tu3 dou4	15-32614-B
tu3 dou4 ni2	15-32653-B
tu3 dou4 si1	15-32709-B,63-45485-S
tu3 dui1	15-30229-B
tu3 er3 qi2 si1 tan3	15-31468-B
tu3 fei3	15-29980-B
tu3 gao1 yuan2	71-17744-S
tu3 gen1	12-60310-B
tu3 gou3	15-31755-B
tu3 gu4 na4 xin1	12-60195-B
tu3 hao2	15-32808-B
tu3 hua4	32-61972-S
tu3 hua4 ruan3 jian4	32-62040-S
tu3 hui2 xiang1	15-32340-B
tu3 ji1	27-66807-S,28-30248-S,64-57264-S
tu3 ji4	6-30705-S
tu3 jia1 zu2	15-30486-B
tu3 jia1 zu2 zi4 zhi4 xian4	3-49518-S
tu3 jie4	57-34764-S
tu3 jin1 shu3	47-27521-S,71-4891-S
tu3 la1 fu2 shi4 jun1	15-31037-B
tu3 lang2	15-31845-B
tu3 lian3	40-26294-S
tu3 ling2 yu2	15-33090-B
tu3 lu3 fan1 pen2 di4	12-61727-B
tu3 lu4	12-61393-B
tu3 mu4	14-1937-S,15-31265-B
tu3 mu4 gong1 cheng2	15-31336-B
tu3 niu2	15-31540-B
tu3 niu2 mu4 ma3	15-31635-B
tu3 pai4	32-62129-S
tu3 qi4	2-1113-S,12-60349-B,12-60399-B
tu3 qiang2	48-32245-S
tu3 rang3	15-30267-B
tu3 rang3 xue2	15-30305-B
tu3 ren2 qing2	68-54242-S
tu3 shen2	15-32107-B
tu3 sheng1 tu3 zhang3	15-31908-B
tu3 shou4 ji1	12-61006-B
tu3 si1	12-60063-B,15-30019-B
tu3 si1 zi4 fu2	12-60842-B
tu3 su4	12-61281-B
tu3 sui4	12-60690-B
tu3 tan2	12-60635-B
tu3 te4 chan3	15-31695-B
tu3 ti3	21-35995-S
tu3 tu3	12-64891-S
tu3 tun2	15-32767-B
tu3 wa3 lu3	12-60587-B
tu3 wan2 zheng3	68-33730-S
tu3 wei2 kuai4	1-4444-S
tu3 wei4 liu4	15-32492-B
tu3 xiong1 yi4	6-46675-S
tu3 xu4	12-60756-B
tu3 yan4	12-61056-B
tu3 yuan2 su4	47-27449-S
tu3 zhang3	15-31908-S
tu3 zhi4	15-32561-B,52-59951-S
tu3 zhong1 chang2	6-46755-S
tu3 zhong4 qian1	19-25778-S
tu3 zhu1	15-32872-B
tu3 zhu4	15-32395-B
tu3 zhu4 ren2	15-32438-B
tu3 zi4	12-60100-B
tu3 zu2 zi4 zhi4 xian4	3-44695-S
tu4	7-22554-B,11-17524-S,12-60021-B,14-29795-S,16-7033-B,19-3798-S,54-30603-B,64-2992-S,70-57591-B
tu4 chun2	7-22582-B
tu4 jing4	7-22745-B
tu4 nian2	7-22681-B
tu4 si1 zi3	54-30649-B
tu4 si3 hu2 bei1	7-22798-B
tu4 wu4	14-29835-S
tu4 zi5	7-22639-B
tu4 zuo4	17-44056-S
tu5	1-5398-S,48-59913-S,48-59966-S,52-21978-S
tu5 chong2	48-60070-S,52-22051-S
tu5 zhang4	48-60131-S
tuan	1-5016-S,1-26914-S,1-35489-S,1-52645-S,2-54181-S,2-82679-S,2-82774-S,3-4883-S,4-979-S,4-33235-S,4-47046-S,5-13584-S,5-15113-S,5-35829-S,6-36701-S,7-30676-S,8-135-S,8-901-S,9-7746-S,9-38371-B,9-40237-S,10-37473-S,10-38385-S,12-32613-S,14-62668-B,15-28529-B,15-67577-S,17-38738-S,19-38844-S,19-39537-S,19-42687-S,20-31043-S,21-35836-S,23-52532-B,24-14821-S,25-35726-S,25-51693-B,26-18010-S,27-12128-S,29-3482-B,30-48787-S,30-68479-S,30-68998-S,31-28965-S,32-25690-S,34-47643-S,35-26445-S,36-20054-S,38-4291-S,39-9902-B,39-47216-B,42-49254-S,43-30872-S,44-688-B,44-4129-S,44-51840-S,44-60048-S,46-47404-S,48-26186-S,49-1007-B,50-16587-S,51-3706-S,51-7264-S,51-12875-S,51-61620-S,54-28585-S,54-35594-S,55-21768-S,58-38200-S,58-52811-S,59-3214-S,59-33114-S,60-44061-S,60-64505-S,62-37874-S,66-23228-S,66-57194-S,69-5601-S,69-35282-S,69-37807-S,69-37964-S,70-6005-S,71-14023-S,71-44525-S
tuan Da zhan	44-52173-S
tuan Gong si	1-52217-S,2-61735-S,2-63495-S
tuan Yun dong	51-12968-S
tuan ci	23-52634-B
tuan dui	15-29320-B
tuan dui jing shen	15-29359-B
tuan gan jun	60-64552-S
tuan huo	15-28590-B,42-2937-S
tuan ji	39-9944-B
tuan jie	15-28885-B,40-3302-S
tuan jie gong hui	15-29090-B
tuan jie jiu shi li liang	15-28946-B
tuan ju	15-29182-B
tuan jun	66-57250-S
tuan jun bing	60-64628-S
tuan liu	39-9999-B
tuan nian	15-28819-B
tuan qi	15-28764-B
tuan ti	15-29469-B,27-5213-S,46-48713-S
tuan ti xing	15-29526-B
tuan yuan	15-28656-B,15-28711-B
tuan zhang	15-29244-B
tuan zi	49-1039-B
tuan1	39-9902-B
tuan1 ji2	39-9944-B
tuan1 liu2	39-9999-B
tuan2	1-5016-S,1-26914-S,1-35489-S,1-52645-S,2-54181-S,2-82679-S,2-82774-S,3-4883-S,4-979-S,4-33235-S,4-47046-S,5-13584-S,5-15113-S,5-35829-S,6-36701-S,7-30676-S,8-135-S,8-901-S,9-7746-S,9-38371-B,9-40237-S,10-37473-S,10-38385-S,12-32613-S,14-62668-B,15-28529-B,15-67577-S,17-38738-S,19-38844-S,19-39537-S,19-42687-S,20-31043-S,21-35836-S,24-14821-S,25-35726-S,25-51693-B,26-18010-S,27-12128-S,29-3482-B,30-48787-S,30-68479-S,30-68998-S,31-28965-S,32-25690-S,34-47643-S,35-26445-S,36-20054-S,38-4291-S,39-47216-B,42-49254-S,43-30872-S,44-4129-S,44-51840-S,44-60048-S,46-47404-S,48-26186-S,49-1007-B,50-16587-S,51-3706-S,51-7264-S,51-12875-S,51-61620-S,54-28585-S,54-35594-S,55-21768-S,58-38200-S,58-52811-S,59-3214-S,59-33114-S,60-44061-S,60-64505-S,62-37874-S,66-23228-S,66-57194-S,69-5601-S,69-35282-S,69-37807-S,69-37964-S,70-6005-S,71-14023-S,71-44525-S
tuan2 Da4 zhan4	44-52173-S
tuan2 Gong1 si1	1-52217-S,2-61735-S,2-63495-S
tuan2 Yun4 dong4	51-12968-S
tuan2 dui4	15-29320-B
tuan2 dui4 jing1 shen2	15-29359-B
tuan2 gan3 jun1	60-64552-S
tuan2 huo3	15-28590-B,42-2937-S
tuan2 jie2	15-28885-B,40-3302-S
tuan2 jie2 gong1 hui4	15-29090-B
tuan2 jie2 jiu4 shi4 li4 liang5	15-28946-B
tuan2 ju4	15-29182-B
tuan2 jun1	66-57250-S
tuan2 jun1 bing4	60-64628-S
tuan2 nian2	15-28819-B
tuan2 qi4	15-28764-B
tuan2 ti3	15-29469-B,27-5213-S,46-48713-S
tuan2 ti3 xing2	15-29526-B
tuan2 yuan2	15-28656-B,15-28711-B
tuan2 zhang3	15-29244-B
tuan2 zi5	49-1039-B
tuan3	44-688-B
tuan4	23-52532-B
tuan4 ci2	23-52634-B
tui	2-21818-S,4-23544-S,5-61660-S,6-9070-S,6-49591-S,9-23083-S,16-44193-S,16-47144-S,16-47812-S,17-32333-S,20-69765-S,24-2380-S,27-13572-S,27-36398-S,28-29436-B,29-8395-S,29-11288-S,29-20015-S,30-47-S,30-60340-S,31-15660-S,38-32697-S,39-1189-S,40-23903-S,45-11933-S,47-41420-B,49-55984-S,49-60840-S,50-56574-S,52-45903-B,55-9574-B,56-1462-B,56-18458-S,56-48722-S,61-37012-S,61-61322-B,62-2755-S,62-31481-S,62-32820-S,64-14548-S,66-42492-B,66-50177-S,68-41320-B,68-47679-S,69-51504-B,70-33928-B
tui ban jiu	10-58009-S
tui ben su yuan	28-31185-B
tui bi	61-62924-B
tui bi san she	61-62965-B
tui bo zhu lan	28-31265-B
tui bu	61-62432-B
tui bu de	62-31596-S
tui ce	28-31444-B
tui chao	61-62483-B
tui che	26-33656-S,28-32437-B
tui chen chu xin	28-33047-B
tui chi	28-30962-B,28-32752-B
tui chi li	28-31029-B
tui chong	28-30479-B
tui chu	28-29927-B,61-61855-B
tui chu yun xing	61-61917-B
tui chuan	68-25632-S
tui ci	28-32498-B
tui dao	28-29881-B,28-30425-B
tui dong	28-29981-B
tui dong li	28-30088-B
tui duan	28-31106-B
tui er	60-36095-S
tui er jie wang	52-60230-S
tui fa	16-47860-S
tui fan	28-31747-B
tui fei	68-41472-B
tui geng huan lin	61-62722-B
tui guang	28-30547-B
tui hei ji su	61-63283-B
tui hua	61-61986-B
tui huan	61-63140-B
tui huan huo	61-62371-B
tui jian	28-31835-B
tui jian shu	28-31961-B
tui jian xin	28-31894-B
tui jie	28-29587-B
tui jin	14-37243-S,28-32557-B,33-57886-S
tui jin cang	28-32660-B
tui jin ji	28-32599-B
tui jin yan jiu zhong xin	12-3331-S
tui ju	28-31790-B
tui kai	28-33004-B
tui lai tui qu	28-29735-B
tui li	2-4844-S,19-36908-S,28-31594-B,35-54975-S,68-29320-S
tui liang nan	62-31841-S
tui lie quan	46-0-S
tui lu	61-62858-B
tui lun	28-32349-B
tui luo	61-62817-B
tui mi	68-41526-B
tui mo	32-40285-S
tui na	28-30890-B
tui pi	56-1584-B
tui piao	61-62600-B
tui qian	61-63236-B
tui qu	28-29735-S
tui que	61-62041-B
tui ren	28-29668-B
tui sha ji	36-15119-S,57-22028-S
tui shao yao	61-62521-B
tui shi	68-41363-B
tui shi ju	62-32013-S
tui suan	28-31658-B
tui suo	61-62665-B
tui tang	68-41417-B
tui tu ji	28-30248-B
tui wei	3-45685-S,28-30300-B,28-32176-B,61-61813-B
tui wei gu	62-32397-S
tui wei nan	62-32227-S
tui wu	61-61494-B
tui wu jun ren	61-61549-B
tui wu jun ren jie	61-61611-B
tui xi	61-62148-B
tui xia	61-61388-B
tui xia jin	61-61431-B
tui xiao	28-32873-B
tui xiao yuan	28-32925-B
tui xie	28-30146-B
tui xin	28-30616-B
tui xin zhi fu	28-30682-B
tui xing	28-32028-B
tui xiu	61-61690-B
tui xiu jin	61-61746-B
tui xuan	28-32808-B
tui xue	61-62100-B
tui yan	28-31517-B,28-32094-B
tui yi	61-62234-B
tui you chang	62-32148-S
tui zhong sheng	62-31760-S
tui zhou	68-25473-S
tui zi	42-7539-S
tui zi ru	62-32566-S
tui1	4-23544-S,16-47812-S,28-29436-B,55-9574-B,68-47679-S
tui1 ban4 jiu4	10-58009-S
tui1 ben3 su4 yuan2	28-31185-B
tui1 bo1 zhu4 lan2	28-31265-B
tui1 ce4	28-31444-B
tui1 che1	26-33656-S,28-32437-B
tui1 chen2 chu1 xin1	28-33047-B
tui1 chi2	28-32752-B
tui1 chi4	28-30962-B
tui1 chi4 li4	28-31029-B
tui1 chong2	28-30479-B
tui1 chu1	28-29927-B
tui1 chuan2	68-25632-S
tui1 ci2	28-32498-B
tui1 dao3	28-29881-B,28-30425-B
tui1 dong4	28-29981-B
tui1 dong4 li4	28-30088-B
tui1 duan4	28-31106-B
tui1 fa3	16-47860-S
tui1 fan1	28-31747-B
tui1 guang3	28-30547-B
tui1 jian4	28-31835-B
tui1 jian4 shu1	28-31961-B
tui1 jian4 xin4	28-31894-B
tui1 jie4	28-29587-B
tui1 jin4	14-37243-S,28-32557-B,33-57886-S
tui1 jin4 cang1	28-32660-B
tui1 jin4 ji1	28-32599-B
tui1 jin4 yan2 jiu1 zhong1 xin1	12-3331-S
tui1 ju3	28-31790-B
tui1 kai1	28-33004-B
tui1 lai2 tui1 qu4	28-29735-B
tui1 li3	2-4844-S,19-36908-S,28-31594-B,35-54975-S,68-29320-S
tui1 lun4	28-32349-B
tui1 mo2	32-40285-S
tui1 na2	28-30890-B
tui1 qu4	28-29735-S
tui1 suan4	28-31658-B
tui1 tu3 ji1	28-30248-B
tui1 wei3	3-45685-S,28-30300-B,28-32176-B
tui1 xiao1	28-32873-B
tui1 xiao1 yuan2	28-32925-B
tui1 xie4	28-30146-B
tui1 xin1	28-30616-B
tui1 xin1 zhi4 fu4	28-30682-B
tui1 xing2	28-32028-B
tui1 xuan3	28-32808-B
tui1 yan3	28-31517-B,28-32094-B
tui1 zhou1	68-25473-S
tui2	6-49591-S,47-41420-B,66-42492-B,68-41320-B,70-33928-B
tui2 fei4	68-41472-B
tui2 mi2	68-41526-B
tui2 shi4	68-41363-B
tui2 tang2	68-41417-B
tui3	6-9070-S,9-23083-S,16-44193-S,16-47144-S,17-32333-S,20-69765-S,27-13572-S,27-36398-S,29-8395-S,30-60340-S,40-23903-S,45-11933-S,49-55984-S,50-56574-S,52-45903-B,64-14548-S
tui3 er5	60-36095-S
tui3 lie4 quan3	46-0-S
tui3 sha1 ji1	36-15119-S,57-22028-S
tui3 zi5	42-7539-S
tui4	2-21818-S,5-61660-S,24-2380-S,29-11288-S,29-20015-S,30-47-S,31-15660-S,38-32697-S,39-1189-S,49-60840-S,56-1462-B,56-18458-S,56-48722-S,61-37012-S,61-61322-B,62-2755-S,62-31481-S,62-32820-S,66-50177-S,69-51504-B
tui4 bi4	61-62924-B
tui4 bi4 san1 she4	61-62965-B
tui4 bu4	61-62432-B
tui4 bu4 de2	62-31596-S
tui4 chao2	61-62483-B
tui4 chu1	61-61855-B
tui4 chu1 yun4 xing2	61-61917-B
tui4 er2 jie2 wang3	52-60230-S
