划掉	9-39518-S
划时代	9-39666-S
划桨	8-65255-S
划槳 划桨	8-65255-B
划清	9-39811-S
划痕	9-39888-S
划破	9-39931-S
划算	8-65300-S
划算 划算	8-65300-B
划线	9-40031-S
划船	8-65436-S
划船 划船	8-65436-B
划艇	8-65480-S
划艇 划艇	8-65480-B
划过	8-65542-S
划過 划过	8-65542-B
刓	8-65585-S
刓 刓	8-65585-B
刖	8-65612-S
刖 刖	8-65612-B
列	8-65665-S
列 列	8-65665-B
列为	8-67033-S
列举	8-67522-S
列传	8-65798-S
列位	8-65725-S
列位 列位	8-65725-B
列傳 列传	8-65798-B
列克星頓 列克星顿	8-65854-B
列克星顿	8-65854-S
列入	8-65919-S
列入 列入	8-65919-B
列別傑夫 列别杰夫	8-66005-B
列别杰夫	8-66005-S
列印	8-66094-S
列印 列印	8-66094-B
列国	8-66181-S
列國 列国	8-66181-B
列夫・托尔斯泰	8-66232-S
列夫・托爾斯泰 列夫・托尔斯泰	8-66232-B
列子	8-66372-S
列子 列子	8-66372-B
列宁	8-66411-S
列宁主义	8-66479-S
列宁格勒	8-66543-S
列寧 列宁	8-66411-B
列寧主義 列宁主义	8-66479-B
列寧格勒 列宁格勒	8-66543-B
列岛	8-66607-S
列島 列岛	8-66607-B
列席	8-66669-S
列席 列席	8-66669-B
列強 列强	8-66745-B
列强	8-66745-S
列支敦士登	8-66805-S
列支敦士登 列支敦士登	8-66805-B
列星	8-66886-S
列星 列星	8-66886-B
列氏温标	8-66950-S
列氏溫標 列氏温标	8-66950-B
列為 列为	8-67033-B
列王紀上 列王纪上	8-67083-B
列王紀下 列王纪下	8-67160-B
列王纪上	8-67083-S
列王纪下	8-67160-S
列王記上 列王记上	8-67236-B
列王記下 列王记下	8-67313-B
列王记上	8-67236-S
列王记下	8-67313-S
列缺	8-67389-S
列缺 列缺	8-67389-B
列缺霹雳	8-67447-S
列缺霹靂 列缺霹雳	8-67447-B
列舉 列举	8-67522-B
列表	8-67578-S
列表 列表	8-67578-B
列車 列车	8-67617-B
列車員 列车员	8-67671-B
列车	8-67617-S
列车员	8-67671-S
刘	9-41077-S
刘云山	9-43366-S
刘伯温	9-41111-S
刘光第	9-41227-S
刘公岛	9-41284-S
刘厚总	9-41362-S
刘基	9-41431-S
刘备	9-41176-S
刘天华	9-41515-S
刘姥姥进大观园	9-41574-S
刘宋	9-41788-S
刘宋时代	9-41873-S
刘家	9-41970-S
刘家夼	9-42030-S
刘家夼镇	9-42136-S
刘少奇	9-42254-S
刘德华	9-42321-S
刘心武	9-42373-S
刘恒	9-42434-S
刘昫	9-42477-S
刘晓波	9-42526-S
刘海	9-42608-S
刘涓子	9-42666-S
刘涓子鬼遗方	9-42721-S
刘渊	9-42883-S
刘熙	9-42926-S
刘禅	9-42975-S
刘禹锡	9-43042-S
刘表	9-43103-S
刘裕	9-43146-S
刘贵今	9-43185-S
刘邦	9-43248-S
刘金宝	9-43311-S
刘鹗	9-43431-S
则	9-16471-S
则步隆	9-16603-S
则辣黑	9-16665-S
刚	9-27374-S
刚体	9-28694-S
刚健	9-27434-S
刚刚	9-27486-S
刚劲	9-27552-S
刚好	9-27601-S
刚察	9-27661-S
