功力 功力	9-47919-B
功劳	9-48093-S
功勋	9-47990-S
功勛 功勋	9-47990-B
功勞 功劳	9-48093-B
功名	9-48159-S
功名 功名	9-48159-B
功名利祿 功名利禄	9-48258-B
功名利禄	9-48258-S
功夫	9-48352-S
功夫 功夫	9-48352-B
功夫茶	9-48415-S
功夫茶 功夫茶	9-48415-B
功底	9-48506-S
功底 功底	9-48506-B
功德	9-48592-S
功德 功德	9-48592-B
功德圆满	9-48649-S
功德圓滿 功德圆满	9-48649-B
功德无量	9-48776-S
功德無量 功德无量	9-48776-B
功成不居	9-48900-S
功成不居 功成不居	9-48900-B
功成名就	9-49014-S
功成名就 功成名就	9-49014-B
功效	9-49117-S
功效 功效	9-49117-B
功敗垂成 功败垂成	9-49161-B
功業 功业	9-49355-B
功烈	9-49431-S
功烈 功烈	9-49431-B
功率	9-49477-S
功率 功率	9-49477-B
功率恶化	9-49538-S
功率惡化 功率恶化	9-49538-B
功用	9-49605-S
功用 功用	9-49605-B
功績 功绩	9-49649-B
功绩	9-49649-S
功罪	9-49724-S
功罪 功罪	9-49724-B
功耗	9-49782-S
功耗 功耗	9-49782-B
功能	9-49851-S
功能 功能	9-49851-B
功能性	9-49906-S
功能性 功能性	9-49906-B
功能磁共振成像术	9-49967-S
功能磁共振成像術 功能磁共振成像术	9-49967-B
功能群	9-50118-S
功能群 功能群	9-50118-B
功能表	9-50181-S
功能表 功能表	9-50181-B
功能詞 功能词	9-50233-B
功能词	9-50233-S
功能集	9-50292-S
功能集 功能集	9-50292-B
功臣	9-50354-S
功臣 功臣	9-50354-B
功虧一簣 功亏一篑	9-50432-B
功課 功课	9-50522-B
功课	9-50522-S
功败垂成	9-49161-S
功过	9-50603-S
功過 功过	9-50603-B
功高不賞 功高不赏	9-50682-B
功高不赏	9-50682-S
功高望重	9-50813-S
功高望重 功高望重	9-50813-B
加	9-50917-S
加 加	9-50917-B
加上	9-50978-S
加上 加上	9-50978-B
加仑	9-54321-S
加以	9-51084-S
加以 加以	9-51084-B
加价	9-51384-S
加倍	9-51219-S
加倍 加倍	9-51219-B
加值型網路 加值型网路	9-51293-B
加值型网路	9-51293-S
加價 加价	9-51384-B
加入	9-51435-S
加入 加入	9-51435-B
加兹尼	9-58881-S
加兹尼省	9-58948-S
加冕	9-51534-S
加冕 加冕	9-51534-B
加农	9-59727-S
加农炮	9-59793-S
加冠	9-51588-S
加冠 加冠	9-51588-B
加冰	9-51675-S
加冰 加冰	9-51675-B
加冰块	9-51732-S
加冰塊 加冰块	9-51732-B
加减乘除	9-57689-S
加利利	9-51805-S
加利利 加利利	9-51805-B
加利福尼亚	9-51879-S
加利福尼亚大学	9-51952-S
加利福尼亚大学洛杉矶分校	9-52060-S
加利福尼亚州	9-52204-S
加利福尼亚理工学院	9-52289-S
加利福尼亞 加利福尼亚	9-51879-B
加利福尼亞大學 加利福尼亚大学	9-51952-B
加利福尼亞大學洛杉磯分校 加利福尼亚大学洛杉矶分校	9-52060-B
加利福尼亞州 加利福尼亚州	9-52204-B
加利福尼亞理工學院 加利福尼亚理工学院	9-52289-B
加利肋亚	9-52441-S
加利肋亞 加利肋亚	9-52441-B
加利西亚	9-52526-S
加利西亞 加利西亚	9-52526-B
加剧	9-52586-S
加劇 加剧	9-52586-B
加加林	9-52695-S
加加林 加加林	9-52695-B
加劲	9-52764-S
加勁 加劲	9-52764-B
加勒比	9-52839-S
加勒比 加勒比	9-52839-B
加勒比国家联盟	9-52891-S
加勒比國家聯盟 加勒比国家联盟	9-52891-B
加勒比海	9-53011-S
加勒比海 加勒比海	9-53011-B
加号	9-59271-S
加吉魚 加吉鱼	9-53078-B
加吉鱼	9-53078-S
加固	9-53145-S
加固 加固	9-53145-B
加大	9-53218-S
加大 加大	9-53218-B
加大力度	9-53282-S
加大力度 加大力度	9-53282-B
加大努力	9-53374-S
加大努力 加大努力	9-53374-B
加官	9-53466-S
加官 加官	9-53466-B
加官晉爵 加官晋爵	9-53534-B
加官晋爵	9-53534-S
加官进位	9-53632-S
加官进爵	9-53745-S
加官进禄	9-53840-S
加官進位 加官进位	9-53632-B
加官進爵 加官进爵	9-53745-B
加官進祿 加官进禄	9-53840-B
加害	9-53952-S
加害 加害	9-53952-B
加宽	9-54111-S
加密	9-53995-S
加密 加密	9-53995-B
加密后的	9-54049-S
加密後的 加密后的	9-54049-B
加寬 加宽	9-54111-B
加封	9-54151-S
加封 加封	9-54151-B
加封官阶	9-54222-S
加封官階 加封官阶	9-54222-B
加尔各答	9-57875-S
加尔文	9-57944-S
加崙 加仑	9-54321-B
加州	9-54361-S
加州 加州	9-54361-B
加州技术学院	9-54406-S
加州技術學院 加州技术学院	9-54406-B
加州理工学院	9-54580-S,9-54770-S
加州理工學院 加州理工学院	9-54580-B,9-54770-B
加工	9-54884-S
加工 加工	9-54884-B
加工厂	9-54963-S
加工廠 加工厂	9-54963-B
加工效率	9-55027-S
加工效率 加工效率	9-55027-B
加工时序	9-55105-S
加工時序 加工时序	9-55105-B
加工貿易 加工贸易	9-55172-B
加工贸易	9-55172-S
加強 加强	9-55266-B
加強控制 加强控制	9-55340-B
加強管制 加强管制	9-55423-B
加强	9-55266-S
加强控制	9-55340-S
加强管制	9-55423-S
加德满都	9-55511-S
加德滿都 加德满都	9-55511-B
加德納 加德纳	9-55593-B
加德纳	9-55593-S
加快	9-55650-S
加快 加快	9-55650-B
加急	9-55710-S
加急 加急	9-55710-B
加护	9-59581-S
加护病房	9-59642-S
加拉加斯	9-55810-S
加拉加斯 加拉加斯	9-55810-B
加拉太书	9-55894-S
加拉太書 加拉太书	9-55894-B
加拉巴哥斯	9-55984-S
加拉巴哥斯 加拉巴哥斯	9-55984-B
加拉巴哥斯群岛	9-56056-S
加拉巴哥斯群島 加拉巴哥斯群岛	9-56056-B
加拉帕戈斯群岛	9-56158-S
加拉帕戈斯群島 加拉帕戈斯群岛	9-56158-B
加拉罕	9-56274-S
加拉罕 加拉罕	9-56274-B
加拿大	9-56342-S
加拿大 加拿大	9-56342-B
加拿大皇家护	9-56400-S
加拿大皇家護 加拿大皇家护	9-56400-B
加时	9-56544-S
加時 加时	9-56544-B
加权平均	9-56710-S
加查	9-56586-S
加查 加查	9-56586-B
加榮耀於 加荣耀于	9-56647-B
加權平均 加权平均	9-56710-B
加气	9-56784-S
加氢油	9-56839-S
加氣 加气	9-56784-B
加氫油 加氢油	9-56839-B
加沙	9-56901-S
加沙 加沙	9-56901-B
加沙地带	9-56939-S
加沙地帶 加沙地带	9-56939-B
加油	9-57004-S
加油 加油	9-57004-B
加油添醋	9-57093-S
加油添醋 加油添醋	9-57093-B
加油站	9-57187-S
加油站 加油站	9-57187-B
加法	9-57244-S
加法 加法	9-57244-B
加泰罗尼亚	9-57285-S
加泰羅尼亞 加泰罗尼亚	9-57285-B
加派	9-57359-S
加派 加派	9-57359-B
加深	9-57423-S
加深 加深	9-57423-B
加深印象	9-57467-S
加深印象 加深印象	9-57467-B
加深理解	9-57559-S
加深理解 加深理解	9-57559-B
加添	9-57643-S
加添 加添	9-57643-B
加減乘除 加减乘除	9-57689-B
加湿气	9-57781-S
加濕氣 加湿气	9-57781-B
加热	9-57835-S
加熱 加热	9-57835-B
加爾各答 加尔各答	9-57875-B
加爾文 加尔文	9-57944-B
加特林	9-58006-S
加特林 加特林	9-58006-B
加特林机枪	9-58095-S
加特林機槍 加特林机枪	9-58095-B
加班	9-58173-S
加班 加班	9-58173-B
加甜	9-58223-S
加甜 加甜	9-58223-B
加百列	9-58265-S
加百列 加百列	9-58265-B
加的夫	9-58362-S
加的夫 加的夫	9-58362-B
加的斯	9-58411-S
加的斯 加的斯	9-58411-B
加盟	9-58460-S
加盟 加盟	9-58460-B
加码	9-58566-S
加碼 加码	9-58566-B
加納 加纳	9-58691-B
加紧	9-58729-S
加緊 加紧	9-58729-B
加纳	9-58691-S
加罗林群岛	9-58798-S
加羅林群島 加罗林群岛	9-58798-B
加茲尼 加兹尼	9-58881-B
加茲尼省 加兹尼省	9-58948-B
加荣耀于	9-56647-S
加菲猫	9-59045-S
加菲貓 加菲猫	9-59045-B
加蓬	9-59137-S
加蓬 加蓬	9-59137-B
加薪	9-59177-S
加薪 加薪	9-59177-B
加藤	9-59223-S
加藤 加藤	9-59223-B
加號 加号	9-59271-B
加裡寧格勒州 加里宁格勒州	9-59316-B
加裡曼丹 加里曼丹	9-59411-B
加西亚	9-59518-S
加西亞 加西亚	9-59518-B
加護 加护	9-59581-B
加護病房 加护病房	9-59642-B
加農 加农	9-59727-B
加農炮 加农炮	9-59793-B
加达里	9-60064-S
加速	9-59870-S
加速 加速	9-59870-B
