司令部 司令部	12-23878-B
司天台	12-23958-S
司天臺 司天台	12-23958-B
司徒	12-24084-S
司徒 司徒	12-24084-B
司机	12-24172-S
司機 司机	12-24172-B
司汤达	12-24568-S
司法	12-24220-S
司法 司法	12-24220-B
司法人员	12-24288-S
司法人員 司法人员	12-24288-B
司法权	12-24356-S
司法權 司法权	12-24356-B
司法独立	12-24412-S
司法獨立 司法独立	12-24412-B
司法部	12-24485-S
司法部 司法部	12-24485-B
司湯達 司汤达	12-24568-B
司炉	12-24620-S
司爐 司炉	12-24620-B
司空見慣 司空见惯	12-24688-B
司空见惯	12-24688-S
司線員 司线员	12-24765-B
司线员	12-24765-S
司鐸 司铎	12-24834-B
司铎	12-24834-S
司長 司长	12-24873-B
司长	12-24873-S
司馬 司马	12-24920-B
司馬光 司马光	12-25037-B
司馬懿 司马懿	12-25104-B
司馬承幀 司马承帧	12-25163-B
司馬昭之心路人所知 司马昭之心路人所知	12-25246-B
司馬法 司马法	12-25419-B
司馬炎 司马炎	12-25543-B
司馬穰苴 司马穰苴	12-25604-B
司馬談 司马谈	12-25673-B
司馬遷 司马迁	12-25734-B
司馬遼太郎 司马辽太郎	12-25802-B
司马	12-24920-S
司马光	12-25037-S
司马懿	12-25104-S
司马承帧	12-25163-S
司马昭之心路人所知	12-25246-S
司马法	12-25419-S
司马炎	12-25543-S
司马穰苴	12-25604-S
司马谈	12-25673-S
司马辽太郎	12-25802-S
司马迁	12-25734-S
叹	14-26789-S,35-26762-S
叹为观止	14-27136-S
叹号	35-26893-S
叹息	14-26829-S,35-26802-S
叹惋观止	14-26893-S
叹惜	14-26975-S
叹服	14-27022-S
叹气	14-27080-S
叹词	14-27250-S
叹赏	14-27307-S
叻	12-25895-S
叻 叻	12-25895-B
叼	12-25928-S
叼 叼	12-25928-B
叽	14-31926-S
叽叽喳喳	14-31955-S
叽叽嘎嘎	14-32062-S
吁	12-25972-S,12-26001-S,48-45149-S
吁 吁	12-25972-B,12-26001-B
吃	12-26030-S,12-26133-S
吃 吃	12-26030-B,12-26133-B
吃不上	12-26162-S
吃不上 吃不上	12-26162-B
吃不下	12-26251-S
吃不下 吃不下	12-26251-B
吃不住	12-26340-S
吃不住 吃不住	12-26340-B
吃不來 吃不来	12-26411-B
吃不到葡萄说葡萄酸	14-14139-S
吃不开	12-26651-S
吃不服	12-26481-S
吃不服 吃不服	12-26481-B
吃不来	12-26411-S
吃不消	12-26582-S
吃不消 吃不消	12-26582-B
吃不開 吃不开	12-26651-B
吃亏	12-27678-S
吃刀	12-26717-S
吃刀 吃刀	12-26717-B
吃力	12-26780-S
吃力 吃力	12-26780-B
吃喝	12-26848-S
吃喝 吃喝	12-26848-B
吃喝嫖賭 吃喝嫖赌	12-26900-B
吃喝嫖赌	12-26900-S
吃喝玩乐	12-26980-S
吃喝玩樂 吃喝玩乐	12-26980-B
吃坏	12-27037-S
吃壞 吃坏	12-27037-B
吃大戶 吃大户	12-27103-B
吃大户	12-27103-S
吃完	12-27214-S
吃完 吃完	12-27214-B
吃布	12-27264-S
吃布 吃布	12-27264-B
吃惊	12-28115-S
吃穿	12-27339-S
吃穿 吃穿	12-27339-B
吃紧	12-27392-S
吃緊 吃紧	12-27392-B
吃肉	12-27484-S
吃肉 吃肉	12-27484-B
吃苦	12-27529-S
吃苦 吃苦	12-27529-B
吃苦头	12-27579-S
吃苦頭 吃苦头	12-27579-B
吃药	12-27628-S
吃藥 吃药	12-27628-B
吃虧 吃亏	12-27678-B
吃豆腐	12-27759-S
吃豆腐 吃豆腐	12-27759-B
吃醋	12-27831-S
吃醋 吃醋	12-27831-B
吃閒飯 吃閒饭	12-27872-B
吃閒饭	12-27872-S
吃食	12-27972-S
吃食 吃食	12-27972-B
吃飯 吃饭	12-28020-B
吃饭	12-28020-S
吃香	12-28067-S
吃香 吃香	12-28067-B
吃驚 吃惊	12-28115-B
各	12-28191-S
各 各	12-28191-B
各个	12-28544-S
各人	12-28223-S
各人 各人	12-28223-B
各位	12-28273-S
各位 各位	12-28273-B
各位听众	12-28335-S
各位聽眾 各位听众	12-28335-B
各位觀衆 各位观众	12-28442-B
各位观众	12-28442-S
各個 各个	12-28544-B
各儘所能 各尽所能	12-28611-B
各別 各别	12-28734-B
各别	12-28734-S
各取所需	12-28818-S
各取所需 各取所需	12-28818-B
各国	12-28895-S
各國 各国	12-28895-B
各地	12-28972-S
各地 各地	12-28972-B
各執所見 各执所见	12-29047-B
各处	12-30439-S
各大军区	12-29130-S
各大軍區 各大军区	12-29130-B
各奔前程	12-29209-S
各奔前程 各奔前程	12-29209-B
各尽所能	12-28611-S
各异	12-30061-S
各式各样	12-29339-S
各式各樣 各式各样	12-29339-B
各得其所	12-29426-S
各得其所 各得其所	12-29426-B
各执所见	12-29047-S
各抒己見 各抒己见	12-29502-B
各抒己见	12-29502-S
各持己見 各持己见	12-29586-B
各持己见	12-29586-S
各方	12-29701-S
各方 各方	12-29701-B
各有所好	12-29750-S
各有所好 各有所好	12-29750-B
各样	12-29866-S
各樣 各样	12-29866-B
各界	12-29920-S
各界 各界	12-29920-B
各界人士	12-29989-S
各界人士 各界人士	12-29989-B
各異 各异	12-30061-B
各种	12-30124-S
各种各样	12-30199-S
各種 各种	12-30124-B
各種各樣 各种各样	12-30199-B
各类	12-30582-S
各級 各级	12-30283-B
各级	12-30283-S
各自	12-30325-S
各自 各自	12-30325-B
各色各样	12-30378-S
各色各樣 各色各样	12-30378-B
各處 各处	12-30439-B
各行各业	12-30483-S
