堭	16-8121-S
堭 堭	16-8121-B
堮	16-8188-S
堮 堮	16-8188-B
堯 尧	16-8228-B
堰	16-8291-S
堰 堰	16-8291-B
堰塞湖	16-8318-S
堰塞湖 堰塞湖	16-8318-B
堰蜓座	16-8409-S
堰蜓座 堰蜓座	16-8409-B
報 报	16-8481-B
報上 报上	16-8561-B
報亭 报亭	16-8613-B
報仇 报仇	16-8663-B
報以 报以	16-8728-B
報信 报信	16-8778-B
報價 报价	16-8825-B
報償 报偿	16-8871-B
報分 报分	16-8923-B
報刊 报刊	16-8971-B
報刊攤 报刊摊	16-9041-B
報到 报到	16-9095-B
報功 报功	16-9162-B
報務員 报务员	16-9248-B
報名 报名	16-9326-B
報告 报告	16-9391-B
報告員 报告员	16-9472-B
報告會 报告会	16-9540-B
報喜 报喜	16-9625-B
報單 报单	16-9691-B
報國 报国	16-9760-B
報失 报失	16-9842-B
報導 报导	16-9920-B
報帳 报帐	16-10005-B
報幕 报幕	16-10108-B
報廢 报废	16-10185-B
報復 报复	16-10272-B
報恩 报恩	16-10349-B
報應 报应	16-10405-B
報應不爽 报应不爽	16-10460-B
報戶口 报户口	16-10555-B
報捷 报捷	16-10626-B
報摘 报摘	16-10695-B
報攤 报摊	16-10741-B
報效 报效	16-10784-B
報數 报数	16-10851-B
報春花 报春花	16-10905-B
報時 报时	16-10969-B
報曉 报晓	16-11024-B
報案 报案	16-11082-B
報界 报界	16-11156-B
報社 报社	16-11236-B
報稅 报税	16-11316-B
報稅单 报税单	16-11415-B
報稅表 报税表	16-11499-B
報窩 报窝	16-11581-B
報章 报章	16-11625-B
報童 报童	16-11671-B
報端 报端	16-11714-B
報答 报答	16-11768-B
報系 报系	16-11814-B
報紙 报纸	16-11872-B
報紙報導 报纸报导	16-11925-B
報考 报考	16-11997-B
報表 报表	16-12063-B
報話機 报话机	16-12141-B
報警 报警	16-12225-B
報警器 报警器	16-12328-B
報道 报道	16-12412-B
報酬 报酬	16-12452-B
報銷 报销	16-12506-B
報關 报关	16-12609-B
報頭 报头	16-12679-B
報館 报馆	16-12752-B
堲	16-12803-S
堲 堲	16-12803-B
堳	16-12829-S
堳 堳	16-12829-B
場 场	16-12860-B,16-13020-B
場區應急 场区应急	16-13131-B
場合 场合	16-13202-B
場地 场地	16-13255-B
場外應急 场外应急	16-13319-B
場所 场所	16-13395-B
場景 场景	16-13445-B
場記板 场记板	16-13504-B
場論 场论	16-13563-B
場院 场院	16-13619-B
場面 场面	16-13671-B
堵	16-13722-S
堵 堵	16-13722-B
堵住	16-13772-S
堵住 堵住	16-13772-B
堵塞	16-13816-S
堵塞 堵塞	16-13816-B
堵塞費 堵塞费	16-13873-B
堵塞费	16-13873-S
堵車 堵车	16-13933-B
堵车	16-13933-S
堽	16-13985-S
堽 堽	16-13985-B
堿	16-14014-S
堿 堿	16-14014-B
塁	16-14049-S
塁 塁	16-14049-B
塈	16-14099-S
塈 塈	16-14099-B
塊 块	16-14150-B
塊兒八毛 块儿八毛	16-14232-B
塊壘 块垒	16-14332-B
塊根 块根	16-14392-B
塊煤 块煤	16-14459-B
塊狀 块状	16-14503-B
塊莖 块茎	16-14545-B
塊菌 块菌	16-14612-B
塊規 块规	16-14675-B
塊頭 块头	16-14756-B
塊體 块体	16-14805-B
塋 茔	16-14882-B
塌	16-14913-S
塌 塌	16-14913-B
塌下	16-14943-S
塌下 塌下	16-14943-B
塌实	16-14984-S
塌實 塌实	16-14984-B
塌方	16-15076-S
塌方 塌方	16-15076-B
塌棵菜	16-15144-S
塌棵菜 塌棵菜	16-15144-B
塌陷	16-15247-S
塌陷 塌陷	16-15247-B
塍	16-15310-S
塍 塍	16-15310-B
塏 垲	16-15361-B
