天枢星	17-48633-S
天枰座	17-48344-S
天枰座 天枰座	17-48344-B
天柱	17-48466-S
天柱 天柱	17-48466-B
天桥	17-48717-S
天梯	17-48531-S
天梯 天梯	17-48531-B
天樞 天枢	17-48579-B
天樞星 天枢星	17-48633-B
天橋 天桥	17-48717-B
天權 天权	17-48787-B
天气	17-48860-S
天气预报	17-48901-S
天氣 天气	17-48860-B
天氣預報 天气预报	17-48901-B
天水	17-48972-S
天水 天水	17-48972-B
天水地区	17-49047-S
天水地區 天水地区	17-49047-B
天水市	17-49144-S
天水市 天水市	17-49144-B
天池	17-49230-S
天池 天池	17-49230-B
天津	17-49289-S
天津 天津	17-49289-B
天津大学	17-49331-S
天津大學 天津大学	17-49331-B
天津市	17-49405-S
天津市 天津市	17-49405-B
天津条约	17-49458-S
天津條約 天津条约	17-49458-B
天涯	17-49541-S
天涯 天涯	17-49541-B
天涯海角	17-49596-S
天涯海角 天涯海角	17-49596-B
天涯若比邻	17-49697-S
天涯若比鄰 天涯若比邻	17-49697-B
天淵之別 天渊之别	17-49818-B
天渊之别	17-49818-S
天演	17-49913-S
天演 天演	17-49913-B
天演論 天演论	17-49991-B
天演论	17-49991-S
天災 天灾	17-50079-B
天災人禍 天灾人祸	17-50130-B
天灾	17-50079-S
天灾人祸	17-50130-S
天炉座	17-50963-S
天無絕人之路 天无绝人之路	17-50257-B
天然	17-50457-S
天然 天然	17-50457-B
天然本地	17-50499-S
天然本地 天然本地	17-50499-B
天然毒素	17-50573-S
天然毒素 天然毒素	17-50573-B
天然气	17-50641-S
天然氣 天然气	17-50641-B
天然照亮	17-50697-S
天然照亮 天然照亮	17-50697-B
天然鈾 天然铀	17-50773-B
天然铀	17-50773-S
天燃气	17-50834-S
天燃氣 天燃气	17-50834-B
天燕座	17-50897-S
天燕座 天燕座	17-50897-B
天爐座 天炉座	17-50963-B
天父	17-51030-S
天父 天父	17-51030-B
天牛	17-51079-S
天牛 天牛	17-51079-B
天狼星	17-51129-S
天狼星 天狼星	17-51129-B
天猫座	17-53895-S
天王星	17-51183-S
天王星 天王星	17-51183-B
天玑	17-51509-S
天球	17-51246-S
天球 天球	17-51246-B
天理教	17-51297-S
天理教 天理教	17-51297-B
天琴座	17-51371-S
天琴座 天琴座	17-51371-B
天璇	17-51437-S
天璇 天璇	17-51437-B
天璣 天玑	17-51509-B
天生	17-51580-S
天生 天生	17-51580-B
天界	17-51631-S
天界 天界	17-51631-B
天皇	17-51672-S
天皇 天皇	17-51672-B
天真	17-51739-S
天真 天真	17-51739-B
天祝藏族自治县	17-51797-S
天祝藏族自治縣 天祝藏族自治县	17-51797-B
天神	17-51928-S
天神 天神	17-51928-B
天祿 天禄	17-51977-B
天禄	17-51977-S
天秤座	17-52028-S
天秤座 天秤座	17-52028-B
天空	17-52120-S
天空 天空	17-52120-B
天窗	17-52159-S
天窗 天窗	17-52159-B
天竺	17-52223-S
天竺 天竺	17-52223-B
天竺牡丹	17-52316-S
