奸細 奸细	18-25299-B
奸细	18-25299-S
奸臣	18-25354-S
奸臣 奸臣	18-25354-B
奸詐 奸诈	18-25461-B
奸诈	18-25461-S
奸賊 奸贼	18-25521-B
奸贼	18-25521-S
奸邪	18-25586-S
奸邪 奸邪	18-25586-B
奸险	18-25658-S
奸險 奸险	18-25658-B
奸雄	18-43086-S
奸黨 奸党	18-25733-B
她	18-25789-S
她 她	18-25789-B
她们	18-25814-S
她們 她们	18-25814-B
她玛	18-25869-S
她瑪 她玛	18-25869-B
她自己	18-25934-S
她自己 她自己	18-25934-B
奼紫嫣紅 姹紫嫣红	18-25983-B
好	18-26083-S,18-26190-S
好 好	18-26083-B,18-26190-B
好不好	18-26226-S
好不好 好不好	18-26226-B
好不容易	18-26291-S
好不容易 好不容易	18-26291-B
好久	18-26382-S
好久 好久	18-26382-B
好久不見 好久不见	18-26429-B
好久不见	18-26429-S
好事	18-26500-S
好事 好事	18-26500-B
好些	18-26545-S
好些 好些	18-26545-B
好似	18-26605-S
好似 好似	18-26605-B
好使	18-26656-S
好使 好使	18-26656-B
好像	18-26721-S
好像 好像	18-26721-B
好兵帅克	18-26775-S
好兵帥克 好兵帅克	18-26775-B
好几	18-28128-S
好几年	18-28180-S
好半天	18-26866-S
好半天 好半天	18-26866-B
好受	18-26927-S
好受 好受	18-26927-B
好吃	18-26995-S
好吃 好吃	18-26995-B
好吃懒做	18-27044-S
好吃懶做 好吃懒做	18-27044-B
好听	18-29335-S
好喝	18-27161-S
好喝 好喝	18-27161-B
好在	18-27208-S
好在 好在	18-27208-B
好坏	18-27261-S
好壞 好坏	18-27261-B
好处	18-29608-S
好多	18-27341-S
好多 好多	18-27341-B
好奇	18-27403-S
好奇 好奇	18-27403-B
好奇尚异	18-27455-S
好奇尚異 好奇尚异	18-27455-B
好奇心	18-27526-S
好奇心 好奇心	18-27526-B
好好	18-27607-S
好好 好好	18-27607-B
好好儿	18-27771-S
好好先生	18-27661-S
好好先生 好好先生	18-27661-B
好好兒 好好儿	18-27771-B
好学	18-27872-S
好學 好学	18-27872-B
好客	18-27937-S
好客 好客	18-27937-B
好容易	18-28045-S
好容易 好容易	18-28045-B
好幾 好几	18-28128-B
好幾年 好几年	18-28180-B
好心	18-28238-S
好心 好心	18-28238-B
好怕的	18-28296-S
好怕的 好怕的	18-28296-B
