宣州 宣州	19-54480-B
宣布	19-54544-S
宣布 宣布	19-54544-B
宣恩	19-54612-S
宣恩 宣恩	19-54612-B
宣战	19-54674-S
宣戰 宣战	19-54674-B
宣扬	19-54724-S
宣揚 宣扬	19-54724-B
宣教	19-54800-S
宣教 宣教	19-54800-B
宣武区	19-54853-S
宣武區 宣武区	19-54853-B
宣武門 宣武门	19-54933-B
宣武门	19-54933-S
宣汉	19-55101-S
宣泄	19-54987-S
宣洩 宣泄	19-54987-B
宣漢 宣汉	19-55101-B
宣示	19-55166-S
宣示 宣示	19-55166-B
宣称	19-55217-S
宣稱 宣称	19-55217-B
宣紙 宣纸	19-55266-B
宣統 宣统	19-55319-B
宣纸	19-55266-S
宣统	19-55319-S
宣言	19-55422-S
宣言 宣言	19-55422-B
宣認 宣认	19-55478-B
宣誓	19-55531-S
宣誓 宣誓	19-55531-B
宣誓證言 宣誓证言	19-55602-B
宣誓证言	19-55602-S
宣講 宣讲	19-55676-B
宣讀 宣读	19-55742-B
宣认	19-55478-S
宣讲	19-55676-S
宣读	19-55742-S
宣道	19-55856-S
宣道 宣道	19-55856-B
室	19-55913-S
室 室	19-55913-B
室內 室内	19-55940-B
室內樂 室内乐	19-55980-B
室內裝潢 室内装潢	19-56038-B
室内	19-55940-S
室内乐	19-55980-S
室内装潢	19-56038-S
室友	19-56135-S
室友 室友	19-56135-B
室外	19-56177-S
室外 室外	19-56177-B
室女	19-56218-S
室女 室女	19-56218-B
室女座	19-56272-S
室女座 室女座	19-56272-B
室温	19-56360-S
室溫 室温	19-56360-B
室町	19-56410-S
室町 室町	19-56410-B
室町幕府	19-56461-S
室町幕府 室町幕府	19-56461-B
宥	19-56532-S
宥 宥	19-56532-B
宦	19-56576-S
宦 宦	19-56576-B
宦官	19-56611-S
宦官 宦官	19-56611-B
宦海	19-56665-S
宦海 宦海	19-56665-B
宦海風波 宦海风波	19-56723-B
宦海风波	19-56723-S
宦門 宦门	19-56839-B
宦门	19-56839-S
宦騎 宦骑	19-56980-B
宦骑	19-56980-S
宧	19-57074-S
