将来	20-36665-S
将棋	20-36980-S
将牌	20-37102-S
将要	20-37159-S
将近	20-37431-S
将错就错	20-37489-S
将领	20-37565-S
將 将	20-36507-B,20-36537-B
將今論古 将今论古	20-36571-B
將來 将来	20-36665-B
將士 将士	20-36718-B
將就 将就	20-36775-B
將會 将会	20-36848-B
將棋 将棋	20-36980-B
將樂 将乐	20-37038-B
將牌 将牌	20-37102-B
將要 将要	20-37159-B
將軍 将军	20-37217-B
將軍肚子 将军肚子	20-37267-B
將軍鄉 将军乡	20-37348-B
將近 将近	20-37431-B
將錯就錯 将错就错	20-37489-B
將領 将领	20-37565-B
專 专	20-37631-B
專一 专一	20-37679-B
專人 专人	20-37740-B
專任 专任	20-37821-B
專利 专利	20-37899-B
專利局 专利局	20-37940-B
專利權 专利权	20-37998-B
專利法 专利法	20-38057-B
專利藥品 专利药品	20-38112-B
專制 专制	20-38181-B
專制主義 专制主义	20-38239-B
專區 专区	20-38326-B
專司 专司	20-38388-B
專名 专名	20-38457-B
專名詞 专名词	20-38505-B
專員 专员	20-38563-B
專家 专家	20-38631-B
專家系統 专家系统	20-38684-B
專家評論 专家评论	20-38755-B
專屬經濟區 专属经济区	20-38831-B
專征 专征	20-38922-B
專心 专心	20-38999-B
專心一意 专心一意	20-39084-B
專意 专意	20-39157-B
專控 专控	20-39215-B
專政 专政	20-39269-B
專有 专有	20-39319-B
專有名詞 专有名词	20-39376-B
專案 专案	20-39445-B
專案組 专案组	20-39530-B
專業 专业	20-39621-B
專業人才 专业人才	20-39715-B
專業化 专业化	20-39791-B
專業戶 专业户	20-39851-B
專業教育 专业教育	20-39952-B
專欄 专栏	20-40047-B
專權 专权	20-40097-B
專款 专款	20-40156-B
專注 专注	20-40246-B
專營 专营	20-40321-B
專用 专用	20-40380-B
專用網路 专用网路	20-40434-B
專用集成電路 专用集成电路	20-40510-B
專科 专科	20-40636-B
專科院校 专科院校	20-40688-B
專程 专程	20-40754-B
專管 专管	20-40812-B
專線 专线	20-40886-B
專職 专职	20-41046-B
專著 专著	20-41123-B
專訪 专访	20-41185-B
專責 专责	20-41241-B
專賣 专卖	20-41299-B
專賣店 专卖店	20-41368-B
專車 专车	20-41431-B
專輯 专辑	20-41513-B
專長 专长	20-41608-B
專門 专门	20-41684-B
專門人員 专门人员	20-41753-B
專門化 专门化	20-41840-B
專門家 专门家	20-41897-B
專門機構 专门机构	20-41954-B
專題 专题	20-42034-B
尉	20-42082-S
尉 尉	20-42082-B
尉氏	20-42142-S
尉氏 尉氏	20-42142-B
尉犁	20-42203-S
尉犁 尉犁	20-42203-B
尉繚子 尉缭子	20-42263-B
尉缭子	20-42263-S
尉迟恭	20-42318-S
尉遲恭 尉迟恭	20-42318-B
尊	20-42393-S
尊 尊	20-42393-B
尊严	20-42719-S
尊亲	20-43929-S
尊从	20-43346-S
尊公	20-42492-S
尊公 尊公	20-42492-B
尊卑	20-42550-S
尊卑 尊卑	20-42550-B
尊号	20-43838-S
尊君	20-42603-S
尊君 尊君	20-42603-B
尊命	20-42660-S
尊命 尊命	20-42660-B
尊嚴 尊严	20-42719-B
尊堂	20-42775-S
尊堂 尊堂	20-42775-B
尊奉	20-42833-S
尊奉 尊奉	20-42833-B
尊容	20-42897-S
尊容 尊容	20-42897-B
尊尚	20-42959-S
尊尚 尊尚	20-42959-B
尊崇	20-43036-S
尊崇 尊崇	20-43036-B
尊师	20-43112-S
尊师爱徒	20-43160-S
尊师贵道	20-43253-S
尊師 尊师	20-43112-B
尊師愛徒 尊师爱徒	20-43160-B
尊師貴道 尊师贵道	20-43253-B
尊從 尊从	20-43346-B
尊意	20-43409-S
尊意 尊意	20-43409-B
尊敬	20-43494-S
尊敬 尊敬	20-43494-B
尊榮 尊荣	20-43546-B
尊称	20-43596-S
尊稱 尊称	20-43596-B
尊翁	20-43675-S
尊翁 尊翁	20-43675-B
尊老愛幼 尊老爱幼	20-43733-B
尊老爱幼	20-43733-S
尊荣	20-43546-S
尊號 尊号	20-43838-B
尊親 尊亲	20-43929-B
尊貴 尊贵	20-43986-B
尊賢使能 尊贤使能	20-44051-B
尊賢愛物 尊贤爱物	20-44160-B
尊贤使能	20-44051-S
尊贤爱物	20-44160-S
尊贵	20-43986-S
尊重	20-44311-S
尊重 尊重	20-44311-B
尊長 尊长	20-44383-B
尊长	20-44383-S
尊駕 尊驾	20-44458-B
尊驾	20-44458-S
尊魚 尊鱼	20-44565-B
尊鱼	20-44565-S
尋 寻	20-44603-B
尋事生非 寻事生非	20-44655-B
尋仇 寻仇	20-44732-B
尋來範疇 寻来范畴	20-44801-B
尋味 寻味	20-44882-B
尋問 寻问	20-44933-B
尋址 寻址	20-44977-B
尋寶 寻宝	20-45069-B
尋常 寻常	20-45116-B
尋找 寻找	20-45173-B
尋根問底 寻根问底	20-45227-B
尋機 寻机	20-45369-B
尋歡作樂 寻欢作乐	20-45428-B
尋求 寻求	20-45534-B
尋烏 寻乌	20-45587-B
尋烏縣 寻乌县	20-45657-B
尋的 寻的	20-45739-B
尋舋 寻衅	20-45804-B
尋花問柳 寻花问柳	20-45872-B
尋覓 寻觅	20-45986-B
尋訪 寻访	20-46030-B
尋開心 寻开心	20-46098-B
對 对	20-46157-B
對不上 对不上	20-46297-B
對不住 对不住	20-46379-B
對不對 对不对	20-46470-B
對不起 对不起	20-46555-B
對乙酰氨基酚 对乙酰氨基酚	20-46627-B
對了 对了	20-46728-B
對仗 对仗	20-46773-B
對付 对付	20-46890-B
對位 对位	20-46967-B
對偶 对偶	20-47024-B
對偶多面體 对偶多面体	20-47126-B
對偶性 对偶性	20-47207-B
對價 对价	20-47267-B
對內 对内	20-47354-B
對刺 对刺	20-47423-B
對勁兒 对劲儿	20-47481-B
對半 对半	20-47570-B
對口 对口	20-47633-B
對口徑 对口径	20-47690-B
對口相聲 对口相声	20-47769-B
對口詞 对口词	20-47961-B
對味兒 对味儿	20-48035-B
對唱 对唱	20-48099-B
對地 对地	20-48177-B
對壘 对垒	20-48233-B
對外 对外	20-48334-B
對外政策 对外政策	20-48428-B
對外經濟貿易大學 对外经济贸易大学	20-48499-B
對外貿易經濟合作部 对外贸易经济合作部	20-48647-B
對外關係 对外关系	20-48814-B
對子 对子	20-48887-B
對家 对家	20-48924-B
對對子 对对子	20-49023-B
對對碰 对对碰	20-49097-B
對局 对局	20-49179-B
對岸 对岸	20-49271-B
對峙 对峙	20-49338-B
對工 对工	20-49392-B
對工兒 对工儿	20-49433-B
對幺 对幺	20-49483-B
對弈 对弈	20-49554-B
對待 对待	20-49597-B
對得起 对得起	20-49649-B
對心 对心	20-49741-B
對心兒 对心儿	20-49800-B
對應 对应	20-49873-B
對手 对手	20-49993-B
對抗 对抗	20-50052-B
對抗性 对抗性	20-50147-B
對抗者 对抗者	20-50206-B
對抗賽 对抗赛	20-50270-B
對接 对接	20-50379-B
對換 对换	20-50460-B
對摺 对折	20-50514-B
對撞 对撞	20-50580-B
對撞機 对撞机	20-50639-B
對攻 对攻	20-50705-B
對敵 对敌	20-50763-B
對敵者 对敌者	20-50825-B
對數 对数	20-50874-B
對數函數 对数函数	20-50917-B
對方 对方	20-50993-B
對於 对于	20-51102-B
對日 对日	20-51187-B
對本 对本	20-51246-B
對杯 对杯	20-51330-B
對案 对案	20-51410-B
對歌 对歌	20-51459-B
對比 对比	20-51542-B
對比度 对比度	20-51591-B
對比溫度 对比温度	20-51709-B
對比聯想 对比联想	20-51839-B
對比色 对比色	20-51934-B
對氨基苯丙酮 对氨基苯丙酮	20-51991-B
對決 对决	20-52089-B
對流 对流	20-52161-B
對流層 对流层	20-52205-B
對流層頂 对流层顶	20-52279-B
對消 对消	20-52366-B
對準 对准	20-52459-B
對火 对火	20-52497-B
對焦 对焦	20-52549-B
對照 对照	20-52613-B
對牛彈琴 对牛弹琴	20-52736-B
對症 对症	20-52978-B
對症下藥 对症下药	20-53110-B
對症發藥 对症发药	20-53317-B
對白 对白	20-53523-B
對眼 对眼	20-53569-B
對稱 对称	20-53628-B
對稱性 对称性	20-53683-B
對稱軸 对称轴	20-53738-B
對空射擊 对空射击	20-53840-B
對立 对立	20-53940-B
對立面 对立面	20-54066-B
對等 对等	20-54161-B
對答 对答	20-54266-B
對答如流 对答如流	20-54313-B
對策 对策	20-54437-B
對簿 对簿	20-54513-B
對簿公堂 对簿公堂	20-54638-B
對美 对美	20-54783-B
對聯 对联	20-54845-B
對胃口 对胃口	20-54965-B
對臺 对台	20-55050-B
對茬兒 对茬儿	20-55111-B
對華 对华	20-55199-B
對著幹 对着干	20-55259-B
對號 对号	20-55362-B
對號入座 对号入座	20-55444-B
對蝦 对虾	20-55639-B
對蝦科 对虾科	20-55685-B
對衝 对冲	20-55767-B
對衝基金 对冲基金	20-55820-B
對襟 对襟	20-55887-B
對襯 对衬	20-55944-B
對視 对视	20-56010-B
對親 对亲	20-56064-B
對角 对角	20-56168-B
對角線 对角线	20-56217-B
對詞 对词	20-56272-B
對話 对话	20-56339-B
對話課 对话课	20-56379-B
對課 对课	20-56441-B
對調 对调	20-56541-B
對講機 对讲机	20-56608-B
對講電話 对讲电话	20-56676-B
對證 对证	20-56743-B
對證命名 对证命名	20-56792-B
對象 对象	20-56872-B
對質 对质	20-56950-B
對路 对路	20-57004-B
對過 对过	20-57061-B
對酒當歌 对酒当歌	20-57125-B
對門 对门	20-57241-B
對開 对开	20-57304-B
對陣 对阵	20-57374-B
對面 对面	20-57451-B
對頂角 对顶角	20-57494-B
對頭 对头	20-57602-B,20-57700-B
對馬島 对马岛	20-57790-B
對馬海峽 对马海峡	20-57849-B
對齊 对齐	20-57922-B
導 导	20-57991-B
導入 导入	20-58063-B
導出 导出	20-58146-B
導出值 导出值	20-58249-B
導函數 导函数	20-58343-B
導尿 导尿	20-58434-B
導師 导师	20-58492-B
導引 导引	20-58556-B
導彈 导弹	20-58602-B
導彈核潛艇 导弹核潜艇	20-58673-B
導彈武器技術控制制度 导弹武器技术控制制度	20-58774-B
導彈潛艇 导弹潜艇	20-58933-B
導數 导数	20-59017-B
導液管 导液管	20-59061-B
導演 导演	20-59121-B
導火索 导火索	20-59181-B
導火線 导火线	20-59248-B
導管 导管	20-59353-B
導管組織 导管组织	20-59417-B
導線 导线	20-59488-B
導致 导致	20-59538-B
導致死亡 导致死亡	20-59616-B
導航 导航	20-59707-B
導航員 导航员	20-59752-B
導言 导言	20-59829-B
導論 导论	20-59884-B
導輪 导轮	20-59930-B
導遊 导游	20-59993-B
導電 导电	20-60072-B
導電性 导电性	20-60129-B
導體 导体	20-60196-B
小	20-60249-S
小 小	20-60249-B
小丑	20-60293-S
小丑 小丑	20-60293-B
小丘	20-60334-S
小丘 小丘	20-60334-B
小义大利	20-69436-S
小乘	20-60379-S
小乘 小乘	20-60379-B
小事	20-60424-S
小事 小事	20-60424-B
小于	20-65109-S
小亚细亚	20-60498-S
小亞細亞 小亚细亚	20-60498-B
小伙子	20-60571-S
小伙子 小伙子	20-60571-B
小传	20-60741-S
小便	20-60641-S
小便 小便	20-60641-B
小偷	20-60701-S
小偷 小偷	20-60701-B
小傳 小传	20-60741-B
小儿科	20-60802-S
小儿麻痹	20-60996-S
小儿麻痹病毒	20-61071-S
小儿麻痹症	20-60896-S
小兒科 小儿科	20-60802-B
小兒麻痹症 小儿麻痹症	20-60896-B
小兒麻痺 小儿麻痹	20-60996-B
小兒麻痺病毒 小儿麻痹病毒	20-61071-B
小公共	20-61157-S
小公共 小公共	20-61157-B
小兰	21-126-S
小冊子 小册子	20-61246-B
小册子	20-61246-S
小写	20-63416-S
小写字母	20-63460-S
小冬	20-61336-S
小冬 小冬	20-61336-B
小冲突	21-483-S
小刀	20-61394-S
小刀 小刀	20-61394-B
小刀会	20-61434-S
小刀會 小刀会	20-61434-B
小包	20-61494-S
小包 小包	20-61494-B
小区	20-61535-S
小區 小区	20-61535-B
小卖部	21-1104-S
小叔	20-61590-S
小叔 小叔	20-61590-B
小号	21-182-S
小吃	20-61666-S
小吃 小吃	20-61666-B
小吃店	20-61719-S
小吃店 小吃店	20-61719-B
小吞噬細胞 小吞噬细胞	20-61786-B
小吞噬细胞	20-61786-S
小品	20-61892-S
小品 小品	20-61892-B
小型	20-61932-S
小型 小型	20-61932-B
小型企业	20-61990-S
小型企業 小型企业	20-61990-B
小型柜橱	20-62135-S
小型核武器	20-62060-S
小型核武器 小型核武器	20-62060-B
小型櫃櫥 小型柜橱	20-62135-B
小型車 小型车	20-62200-B
小型车	20-62200-S
小城	20-62258-S
小城 小城	20-62258-B
小報 小报	20-62305-B
小声	20-69577-S
小夜曲	20-62357-S
小夜曲 小夜曲	20-62357-B
小天鵝 小天鹅	20-62409-B
小天鹅	20-62409-S
小女	20-62465-S
小女 小女	20-62465-B
小妖精	20-62519-S
小妖精 小妖精	20-62519-B
小姐	20-62572-S
小姐 小姐	20-62572-B
小姑	20-62621-S
小姑 小姑	20-62621-B
小姨	20-62694-S
小姨 小姨	20-62694-B
小娃	20-62775-S
小娃 小娃	20-62775-B
小娃娃	20-62814-S
小娃娃 小娃娃	20-62814-B
小婿	20-62861-S
小婿 小婿	20-62861-B
小子	20-62946-S
小子 小子	20-62946-B
小学	20-63116-S
小学生	20-63165-S
小孩	20-63009-S
小孩 小孩	20-63009-B
小孩儿	20-63049-S
小孩兒 小孩儿	20-63049-B
小學 小学	20-63116-B
小學生 小学生	20-63165-B
小家子气	20-63247-S
小家子氣 小家子气	20-63247-B
小家鼠	20-63319-S
小家鼠 小家鼠	20-63319-B
小寒	20-63370-S
小寒 小寒	20-63370-B
小寫 小写	20-63416-B
小寫字母 小写字母	20-63460-B
小屋	20-63534-S
小屋 小屋	20-63534-B
小岛	20-63632-S
小岩洞	20-63579-S
小岩洞 小岩洞	20-63579-B
小島 小岛	20-63632-B
小巷	20-63671-S
小巷 小巷	20-63671-B
小康	20-63713-S
小康 小康	20-63713-B
小康社会	20-63816-S
小康社會 小康社会	20-63816-B
小弟	20-63894-S
小弟 小弟	20-63894-B
小弹	20-63938-S
小彈 小弹	20-63938-B
小径	20-63998-S
小徑 小径	20-63998-B
小心	20-64039-S
小心 小心	20-64039-B
小心眼儿	20-64100-S
小心眼兒 小心眼儿	20-64100-B
小心翼翼	20-64187-S
小心翼翼 小心翼翼	20-64187-B
小惩大诫	20-64272-S
小懲大誡 小惩大诫	20-64272-B
小扁荳 小扁豆	20-64454-B
小扁豆	20-64454-S
小技	20-64507-S
小技 小技	20-64507-B
小报	20-62305-S
小括号	20-64574-S
小括號 小括号	20-64574-B
小指	20-64644-S
小指 小指	20-64644-B
小提琴	20-64692-S
小提琴 小提琴	20-64692-B
小提琴手	20-64750-S
小提琴手 小提琴手	20-64750-B
小摊	20-64824-S
小摊儿	20-64873-S
小攤 小摊	20-64824-B
小攤兒 小摊儿	20-64873-B
小数	20-64947-S
小数点	20-64995-S
小數 小数	20-64947-B
小數點 小数点	20-64995-B
