特別任務連 特别任务连	41-56645-B
特別待遇 特别待遇	41-56729-B
特別感謝 特别感谢	41-56800-B
特別是 特别是	41-56887-B
特別行政區 特别行政区	41-56941-B
特別護理 特别护理	41-57038-B
特利	41-57105-S
特利 特利	41-57105-B
特别	41-56575-S
特别任务连	41-56645-S
特别客串	41-57149-S
特别客串 特别客串	41-57149-B
特别待遇	41-56729-S
特别感谢	41-56800-S
特别护理	41-57038-S
特别是	41-56887-S
特别行政区	41-56941-S
特制	41-57283-S
特制 特制	41-57283-B
特务	41-57330-S
特務 特务	41-57330-B
特化	41-57418-S
特化 特化	41-57418-B
特区	41-57465-S
特區 特区	41-57465-B
特古西加尔巴	41-57568-S
特古西加爾巴 特古西加尔巴	41-57568-B
特地	41-57674-S
特地 特地	41-57674-B
特奥会	41-57737-S
特奧會 特奥会	41-57737-B
特定	41-57796-S
特定 特定	41-57796-B
特定含义	41-57868-S
特定含義 特定含义	41-57868-B
特寫 特写	41-57939-B
特工	41-57987-S
特工 特工	41-57987-B
特异	41-60543-S
特异功能	41-60651-S
特异选择	41-60731-S
特征	41-58051-S
特征值	41-58146-S
特征向量	41-58210-S
特征联合	41-58290-S
特徵 特征	41-58051-B
特徵值 特征值	41-58146-B
特徵向量 特征向量	41-58210-B
特徵聯合 特征联合	41-58290-B
特快	41-58369-S
特快 特快	41-58369-B
特快专递	41-58426-S
特快專遞 特快专递	41-58426-B
特急	41-58495-S
特急 特急	41-58495-B
特性	41-58557-S
特性 特性	41-58557-B
特惠	41-58614-S
特惠 特惠	41-58614-B
特惠金	41-58744-S
特惠金 特惠金	41-58744-B
特意	41-58805-S
特意 特意	41-58805-B
特技	41-58860-S
特技 特技	41-58860-B
特技跳伞	41-58912-S
特技跳傘 特技跳伞	41-58912-B
特护	41-61960-S
特护区	41-62057-S
特拉华	41-59238-S
特拉华州	41-59289-S
特拉法尔加	41-58976-S
特拉法尔加广场	41-59048-S
特拉法爾加 特拉法尔加	41-58976-B
特拉法爾加廣場 特拉法尔加广场	41-59048-B
特拉維夫 特拉维夫	41-59162-B
特拉维夫	41-59162-S
特拉華 特拉华	41-59238-B
特拉華州 特拉华州	41-59289-B
特指	41-59352-S
特指 特指	41-59352-B
特提斯海	41-59410-S
特提斯海 特提斯海	41-59410-B
特效	41-59490-S
特效 特效	41-59490-B
特斯拉	41-59583-S
特斯拉 特斯拉	41-59583-B
特有	41-59637-S
特有 特有	41-59637-B
特权	41-59706-S
特權 特权	41-59706-B
特此	41-59772-S
特此 特此	41-59772-B
特殊	41-59810-S
特殊 特殊	41-59810-B
特殊护理	41-59955-S
特殊教育	41-59883-S
特殊教育 特殊教育	41-59883-B
特殊護理 特殊护理	41-59955-B
特洛伊	41-60038-S
特洛伊 特洛伊	41-60038-B
特洛伊木馬 特洛伊木马	41-60101-B
特洛伊木马	41-60101-S
特派	41-60176-S
特派 特派	41-60176-B
特派员	41-60288-S
特派員 特派员	41-60288-B
特点	41-62663-S
特為 特为	41-60402-B
特產 特产	41-60467-B
特異 特异	41-60543-B
特異功能 特异功能	41-60651-B
特異選擇 特异选择	41-60731-B
特种	41-60815-S
特种警察	41-60878-S
特种部队	41-60996-S
特種 特种	41-60815-B
