眾生 众生	45-53510-B
眾矢之的 众矢之的	45-53565-B
眾議員 众议员	45-53723-B
眾議院 众议院	45-53811-B
眾香子 众香子	45-53908-B
着	54-52997-S,54-53041-S,54-53160-S,54-53241-S
着三不着两	54-53388-S
着凉	54-54896-S
着力	54-53563-S
着劲儿	54-53638-S
着墨	54-53792-S
着处	54-55748-S
着实	54-53849-S
着床	54-53913-S
着忙	54-53988-S
着急	54-54068-S
着想	54-54120-S
着意	54-54220-S
着慌	54-54279-S
着手	54-54333-S
着手成春	54-54426-S
着棋	54-54777-S
着法	54-54824-S
着火	54-54943-S
着火点	54-54995-S
着眼	54-55087-S
着眼点	54-55186-S
着笔	54-55407-S
着紧	54-55460-S
着色	54-55551-S
着落	54-55608-S
着装	54-55793-S
着边	54-55949-S
着边儿	54-56062-S
着迷	54-55905-S
着重	54-56137-S
着重号	54-56212-S
着陆	54-56367-S
着陆点	54-56440-S
着魔	54-56498-S
睁	45-54482-S
睁开	45-54569-S
睁眼	45-54520-S
睅	45-53997-S
睅 睅	45-53997-B
睆	45-54036-S
睆 睆	45-54036-B
睇	45-54077-S
睇 睇	45-54077-B
睊	45-54113-S
睊 睊	45-54113-B
睍	45-54141-S
睍 睍	45-54141-B
睎	45-54176-S
睎 睎	45-54176-B
睏 困	45-54220-B
睐	45-54621-S
睑	45-60673-S
睒	45-54258-S
睒 睒	45-54258-B
睖	45-54309-S
睖 睖	45-54309-B
睙	45-54356-S
睙 睙	45-54356-B
睚	45-54407-S
睚 睚	45-54407-B
睛	45-54455-S
睛 睛	45-54455-B
睜 睁	45-54482-B
睜眼 睁眼	45-54520-B
睜開 睁开	45-54569-B
睞 睐	45-54621-B
睟	45-54654-S
睟 睟	45-54654-B
睠	45-54693-S
睠 睠	45-54693-B
睡	45-54731-S
睡 睡	45-54731-B
睡午覺 睡午觉	45-54763-B
睡午觉	45-54763-S
睡意	45-54822-S
睡意 睡意	45-54822-B
睡懒觉	45-54866-S
睡懶覺 睡懒觉	45-54866-B
睡椅	45-54921-S
睡椅 睡椅	45-54921-B
睡眠	45-54960-S
睡眠 睡眠	45-54960-B
睡眠者	45-55012-S
睡眠者 睡眠者	45-55012-B
睡眠虫	45-55066-S
睡眠蟲 睡眠虫	45-55066-B
睡着	45-55187-S
睡美人	45-55126-S
睡美人 睡美人	45-55126-B
睡莲	45-55229-S
睡著 睡着	45-55187-B
睡蓮 睡莲	45-55229-B
睡衣	45-55275-S
睡衣 睡衣	45-55275-B
睡衣裤	45-55330-S
睡衣褲 睡衣裤	45-55330-B
睡袋	45-55381-S
睡袋 睡袋	45-55381-B
睡覺 睡觉	45-55428-B
睡觉	45-55428-S
睡过头	45-55491-S
睡過頭 睡过头	45-55491-B
睡醒	45-55546-S
睡醒 睡醒	45-55546-B
睡鼠	45-55608-S
睡鼠 睡鼠	45-55608-B
睢	45-55651-S
睢 睢	45-55651-B
睢县	45-55759-S
睢宁	45-55694-S
睢寧 睢宁	45-55694-B
睢縣 睢县	45-55759-B
睢鳩 睢鸠	45-55813-B
睢鸠	45-55813-S
督	45-55887-S
督 督	45-55887-B
督促	45-55921-S
督促 督促	45-55921-B
督办	45-56531-S
督学	45-55982-S
督學 督学	45-55982-B
督察	45-56031-S
督察 督察	45-56031-B
督察小組 督察小组	45-56076-B
督察小组	45-56076-S
督导	45-56148-S
督導 督导	45-56148-B
督建	45-56201-S
督建 督建	45-56201-B
督抚	45-56298-S
督撫 督抚	45-56298-B
督标	45-56382-S
督標 督标	45-56382-B
督責 督责	45-56474-B
督责	45-56474-S
督辦 督办	45-56531-B
睥	45-56602-S
睥 睥	45-56602-B
睥睨	45-56636-S
睥睨 睥睨	45-56636-B
睦	45-56719-S
睦 睦	45-56719-B
睦邻	45-56749-S
睦鄰 睦邻	45-56749-B
睨	45-56802-S
睨 睨	45-56802-B
睪	45-56836-S
睪 睪	45-56836-B
睪酮 睾酮	45-56868-B
睫	45-56951-S
睫 睫	45-56951-B
睫毛	45-56983-S
睫毛 睫毛	45-56983-B
睫毛膏	45-57026-S
睫毛膏 睫毛膏	45-57026-B
睫状体	45-57078-S
睫狀體 睫状体	45-57078-B
睬	45-57149-S
睬 睬	45-57149-B
睯	45-57212-S
睯 睯	45-57212-B
睹	45-57257-S,57-37547-S
睹 睹	45-57257-B
睺 喉	45-57290-B
睼	45-57335-S
睼 睼	45-57335-B
睽	45-57411-S
睽 睽	45-57411-B
睾	45-57449-S
睾 睾	45-57449-B
睾丸	45-57492-S
睾丸 睾丸	45-57492-B
睾丸激素	45-57534-S
睾丸激素 睾丸激素	45-57534-B
睾丸甾酮	45-57600-S
睾丸甾酮 睾丸甾酮	45-57600-B
睾丸素	45-57709-S
睾丸素 睾丸素	45-57709-B
睾丸酮	45-57778-S
睾丸酮 睾丸酮	45-57778-B
睾酮	45-56868-S
睿	45-57836-S
睿 睿	45-57836-B
睿智	45-57890-S
睿智 睿智	45-57890-B
瞀	45-57943-S
瞀 瞀	45-57943-B
瞄	45-57987-S
瞄 瞄	45-57987-B
瞄准	45-58017-S
瞄準 瞄准	45-58017-B
瞅	45-58118-S
瞅 瞅	45-58118-B
瞇 眯	45-58168-B
瞋	45-58199-S
瞋 瞋	45-58199-B
瞌	45-58231-S,45-58268-S
瞌 瞌	45-58231-B,45-58268-B
瞌睡	45-58301-S
瞌睡 瞌睡	45-58301-B
瞍	45-58365-S
瞍 瞍	45-58365-B
瞎	45-58393-S
瞎 瞎	45-58393-B
瞎子	45-58421-S
瞎子 瞎子	45-58421-B
瞎扯	45-58465-S
瞎扯 瞎扯	45-58465-B
瞎扯蛋	45-58537-S
瞎扯蛋 瞎扯蛋	45-58537-B
瞎指挥	45-58620-S
