谢忱	58-56590-S
谢恩	58-56662-S
谢意	58-56752-S
谢拉	58-56801-S
谢灵运	58-57724-S
谢病	58-56911-S
谢礼	58-56982-S
谢绝	58-57040-S
谢罪	58-57092-S
谢肉节	58-57150-S
谢词	58-57297-S
谢谢	58-57346-S
谢赫	58-57394-S
谢辛	58-57443-S
谢通门	58-57485-S
谢里夫	58-57220-S
谢长廷	58-57562-S
谢霆锋	58-57640-S
谢顶	58-57844-S
谣	58-57889-S
谣传	58-57932-S
谣言	58-57973-S
谤	58-53478-S
谥	58-54049-S
谥号	58-45427-S
谦	58-53532-S
谦卑	58-53562-S
谦和	58-53603-S
谦恭	58-53643-S
谦虚	58-53696-S
谦让	58-53838-S
谦诚	58-53787-S
谦语	58-53736-S
谦辞	58-53893-S
谦逊	58-53991-S
谧	58-53054-S
谨	58-59098-S
谨慎	58-59129-S
谨记	58-59180-S
谩	58-59320-S,58-59350-S
谩骂	58-59398-S
谪	58-58194-S
谪戍	58-58250-S
谫	59-5879-S
谬	58-58311-S
谬奖	58-58381-S
谬种	58-58454-S
谬种流传	58-58538-S
谬见	58-58671-S
谬论	58-58808-S
谬误	58-58746-S
谭	58-63849-S
谭咏麟	58-64083-S
谭嗣同	58-63883-S
谭富英	58-63950-S
谭盾	58-64017-S
谭鑫培	58-64145-S
谮	58-61713-S
谮言	58-61743-S
谯	58-63761-S,58-63808-S
谰	59-14211-S
谰言	59-14253-S
谰调	59-14321-S
谱	58-64215-S
谱学	58-64285-S
谱曲	58-64330-S
谱牒	58-64389-S
谱線 谱线	59-15199-B
谱线	59-15199-S
谲	58-61294-S
谳	59-15010-S
谴	59-4084-S
谴责	59-4124-S
谴责小说	59-4184-S
谵	59-2175-S
谶	59-14390-S
谷	47-36694-S,59-15246-S,59-15274-S
谷 谷	59-15246-B,59-15274-B
谷仓	47-36726-S
谷地	59-15306-S
谷地 谷地	59-15306-B
谷城	59-15344-S
谷城 谷城	59-15344-B
谷子	59-15407-S
谷子 谷子	59-15407-B
谷梁传	59-15444-S
谷梁傳 谷梁传	59-15444-B
谷歌	59-15535-S
谷歌 谷歌	59-15535-B
谷氨酰胺	59-15608-S
谷氨酰胺 谷氨酰胺	59-15608-B
谷氨酸	47-36813-S
谷物	47-36876-S
谷神	47-36920-S
谷神星	47-36965-S
谷穗	47-37016-S
谷类	47-37228-S
谷粒	47-37091-S
谷草	47-37140-S
谷雨	47-37178-S
谽	59-15677-S
谽 谽	59-15677-B
谿 溪	59-15718-B
谿壑 溪壑	59-15745-B
谿徑 溪径	59-15798-B
谿湖 溪湖	59-15856-B
谿湖區 溪湖区	59-15935-B
谿澗 溪涧	59-16024-B
谿蟹 溪蟹	59-16079-B
谿谷 溪谷	59-16128-B
谿黃草 溪黄草	59-16172-B
豁	59-16257-S,59-16304-S,59-16365-S
豁 豁	59-16257-B,59-16304-B,59-16365-B
豁免	59-16427-S
豁免 豁免	59-16427-B
豁免权	59-16490-S
豁免權 豁免权	59-16490-B
豁拳	59-16582-S
豁拳 豁拳	59-16582-B
豁然	59-16637-S
豁然 豁然	59-16637-B
豁然开朗	59-16709-S
豁然開朗 豁然开朗	59-16709-B
豆	54-19292-S,59-16853-S
豆 豆	59-16853-B
豆奶	59-16899-S
豆奶 豆奶	59-16899-B
豆子	59-16941-S
豆子 豆子	59-16941-B
豆汁	59-16981-S
豆汁 豆汁	59-16981-B
豆油	59-17029-S
豆油 豆油	59-17029-B
豆浆	59-17224-S
豆渣	59-17075-S
豆渣 豆渣	59-17075-B
豆渣脑筋	59-17124-S
豆渣腦筋 豆渣脑筋	59-17124-B
豆漿 豆浆	59-17224-B
豆皀	54-19324-S
豆科	59-17268-S
豆科 豆科	59-17268-B
豆类	59-18242-S
豆腐	59-17309-S
豆腐 豆腐	59-17309-B
豆腐渣	59-17355-S
豆腐渣 豆腐渣	59-17355-B
豆腐渣工程	59-17413-S
豆腐渣工程 豆腐渣工程	59-17413-B
豆花	59-17539-S
豆花 豆花	59-17539-B
豆芽	59-17597-S
豆芽 豆芽	59-17597-B
豆芽菜	59-17641-S
豆芽菜 豆芽菜	59-17641-B
豆苗	59-17697-S
豆苗 豆苗	59-17697-B
豆蔻	59-17756-S
豆蔻 豆蔻	59-17756-B
豆蔻年华	59-17877-S
豆蔻年华 豆蔻年华	59-17877-B
豆薯	59-17984-S
豆薯 豆薯	59-17984-B
豆薯属	59-18047-S
豆薯属 豆薯属	59-18047-B
豆角	54-19382-S
豆角儿	54-19421-S
豆豉	59-18118-S
豆豉 豆豉	59-18118-B
豆豉酱	59-18179-S
豆豉醬 豆豉酱	59-18179-B
豆類 豆类	59-18242-B
豇	59-18280-S
豇 豇	59-18280-B
豇荳 豇豆	59-18329-B
豇豆	59-18329-S
豈 岂	59-18387-B
豈不 岂不	59-18448-B
豈有此理 岂有此理	59-18502-B
豉	59-18594-S
豉 豉	59-18594-B
豊	59-18639-S
豊 豊	59-18639-B
豋	59-18690-S
豋 豋	59-18690-B
豌	59-18731-S
豌 豌	59-18731-B
豌豆	59-18758-S
豌豆 豌豆	59-18758-B
豌豆粥	59-18811-S
豌豆粥 豌豆粥	59-18811-B
豌豆赵	59-18866-S
豌豆趙 豌豆赵	59-18866-B
豎 竖	59-18937-B
豎式 竖式	59-19010-B
豎折 竖折	59-19061-B
豎琴 竖琴	59-19144-B
豎起 竖起	59-19182-B
豎起耳朵 竖起耳朵	59-19237-B
豎鉤 竖钩	59-19325-B
豏	59-19398-S
豏 豏	59-19398-B
豐 丰	59-19457-B
豐功 丰功	59-19518-B
豐功偉績 丰功伟绩	59-19624-B
豐南 丰南	59-19714-B
豐厚 丰厚	59-19776-B
豐原 丰原	59-19825-B
豐台區 丰台区	59-19890-B
豐城 丰城	59-19968-B
豐城市 丰城市	59-20049-B
豐姿 丰姿	59-20141-B
豐富 丰富	59-20180-B
豐富多彩 丰富多彩	59-20228-B
豐寧 丰宁	59-20299-B
豐寧滿族自治縣 丰宁满族自治县	59-20376-B
豐寧縣 丰宁县	59-20512-B
豐年 丰年	59-20606-B
豐採	59-20682-S
豐採 豐採	59-20682-B
