陇南地区	66-51143-S
陇南市	66-51263-S
陇县	66-51421-S
陇川	66-51353-S
陇西	66-51479-S
陈	66-26233-S,66-26326-S
陈书	66-28179-S
陈云	66-30284-S
陈仁锡	66-26403-S
陈仓	66-26644-S
陈仲琳	66-26470-S
陈伯达	66-26580-S
陈兵	66-26731-S
陈再道	66-26798-S
陈冲	66-28533-S
陈凯歌	66-26855-S
陈列	66-26910-S
陈列台	66-26960-S
陈可雄	66-27011-S
陈天华	66-27150-S
陈奏	66-27221-S
陈套	66-27294-S
陈寿	66-27078-S
陈巴尔虎旗	66-27350-S
陈希同	66-27458-S
陈年	66-27523-S
陈德良	66-27584-S
陈忱	66-27675-S
陈恭尹	66-27732-S
陈情	66-27803-S
陈放	66-27861-S
陈方安生	66-27907-S
陈旧	66-29213-S
陈景润	66-28084-S
陈桥兵变	66-28255-S
陈毅	66-28410-S
陈水扁	66-28463-S
陈炯明	66-28579-S
陈独秀	66-28654-S
陈皮	66-28721-S
陈省身	66-28824-S
陈米	66-28901-S
陈纳德	66-28968-S
陈绍	66-29030-S
陈美	66-29083-S
陈腐	66-29129-S
陈规	66-29261-S
陈规旧习	66-29335-S
陈规陋习	66-29412-S
陈设	66-29507-S
陈诉	66-29553-S
陈词滥调	66-29605-S
陈说	66-29699-S
陈谷子烂芝麻	66-29753-S
陈货	66-29843-S
陈述	66-29978-S
陈述句	66-30045-S
陈迹	66-29902-S
陈酒	66-30110-S
陈醋	66-30153-S
陈陈相因	66-30201-S
陈露	66-30339-S
陈香梅	66-30380-S
陉	66-18952-S
陋	66-16360-S
陋 陋	66-16360-B
陋习	66-16464-S
陋屋	66-16416-S
陋屋 陋屋	66-16416-B
陋習 陋习	66-16464-B
陌	66-16536-S
陌 陌	66-16536-B
陌生	66-16576-S
陌生 陌生	66-16576-B
陌生人	66-16629-S
陌生人 陌生人	66-16629-B
降	66-16685-S,66-16749-S
降 降	66-16685-B,66-16749-B
降下	66-16783-S
降下 降下	66-16783-B
降世	66-16824-S
降世 降世	66-16824-B
降临	66-17819-S,66-17868-S
降临节	66-17910-S
降价	66-16940-S
降低	66-16873-S
降低 降低	66-16873-B
降價 降价	66-16940-B
降噪	66-16991-S
降噪 降噪	66-16991-B
降妖伏磨	66-17042-S
降妖伏磨 降妖伏磨	66-17042-B
降息	66-17128-S
降息 降息	66-17128-B
降水	66-17186-S
降水 降水	66-17186-B
降水量	66-17263-S
降水量 降水量	66-17263-B
降生	66-17361-S
降生 降生	66-17361-B
降福	66-17468-S
降福 降福	66-17468-B
降級 降级	66-17524-B
降結腸 降结肠	66-17566-B
降级	66-17524-S
降结肠	66-17566-S
降职	66-17672-S
降職 降职	66-17672-B
降肾上腺素	66-17735-S
降腎上腺素 降肾上腺素	66-17735-B
降臨 降临	66-17819-B,66-17868-B
降臨節 降临节	66-17910-B
降落	66-18010-S
降落 降落	66-18010-B
降落伞	66-18064-S
降落傘 降落伞	66-18064-B
降落地点	66-18120-S
降落地點 降落地点	66-18120-B
降血鈣素 降血钙素	66-18190-B
降血钙素	66-18190-S
降雨	66-18257-S
降雨 降雨	66-18257-B
限	66-18314-S
限 限	66-18314-B
限于	66-18770-S
限价	66-18349-S
限價 限价	66-18349-B
限制	66-18398-S
限制 限制	66-18398-B
限制酶	66-18484-S
限制酶 限制酶	66-18484-B
限制酶图谱	66-18548-S
限制酶圖譜 限制酶图谱	66-18548-B
限定	66-18667-S
限定 限定	66-18667-B
限度	66-18720-S
限度 限度	66-18720-B
限於 限于	66-18770-B
限期	66-18815-S
限期 限期	66-18815-B
陑	66-18885-S
陑 陑	66-18885-B
陔	66-18917-S
陔 陔	66-18917-B
陕	66-19306-S
陕北	66-19370-S
陕县	66-19528-S
陕甘	66-19412-S
陕甘宁	66-19474-S
陕西	66-19584-S
陕西大地震	66-19666-S
陕西省	66-19797-S
陘 陉	66-18952-B
陛	66-19004-S
陛 陛	66-19004-B
陛下	66-19049-S
陛下 陛下	66-19049-B
陜	66-19113-S
陜 陜	66-19113-B
陜西	66-19223-S
陜西 陜西	66-19223-B
陝 陕	66-19306-B
陝北 陕北	66-19370-B
陝甘 陕甘	66-19412-B
陝甘寧 陕甘宁	66-19474-B
陝縣 陕县	66-19528-B
陝西 陕西	66-19584-B
陝西大地震 陕西大地震	66-19666-B
陝西省 陕西省	66-19797-B
陞 升	66-19892-B
陞任 升任	66-19925-B
陟	66-19970-S
陟 陟	66-19970-B
陡	66-20007-S
陡 陡	66-20007-B
陡峭	66-20035-S
陡峭 陡峭	66-20035-B
陡然	66-20081-S
陡然 陡然	66-20081-B
院	66-20169-S
院 院	66-20169-B
院士	66-20214-S
院士 院士	66-20214-B
院子	66-20298-S
院子 院子	66-20298-B
院校	66-20340-S
院校 院校	66-20340-B
院牧	66-20393-S
院牧 院牧	66-20393-B
院落	66-20444-S
院落 院落	66-20444-B
院長 院长	66-20498-B
院长	66-20498-S
陣 阵	66-20587-B
