ding1 yu2	37-14506-S
ding1 yu3	27-21084-S
ding1 yun2	1-25854-B
ding1 zhi4	22-55935-S
ding1 zhu3	12-10796-B
ding1 zi4	1-24920-B
ding1 zi4 bu4	1-25100-B
ding1 zi4 chi3	1-24962-B
ding1 zi4 fu2	67-65112-S
ding1 zi4 gao3	1-25227-B
ding1 zi4 jie1	1-25172-B
ding1 zi4 liang2	1-25045-B
ding1 zi4 mu3	27-20639-S
ding1 zi5	46-31692-S,64-18287-B
ding1 · Lu4 de2	69-31481-S
ding3	2-75003-S,6-25065-S,10-49432-S,13-63360-S,15-23291-S,15-25229-S,17-20161-S,17-54873-S,19-48857-S,20-34465-S,20-52279-S,21-6747-S,21-20624-S,21-33505-S,22-46549-S,26-27521-S,27-35147-S,27-49243-S,30-64663-S,33-42986-S,38-37465-S,44-49515-S,47-6140-S,47-11139-S,47-44901-S,54-7368-S,56-13711-S,58-57844-S,63-36639-B,63-47720-S,68-19696-B,68-40304-S,71-46505-B,71-47579-S,71-55166-S
ding3 ban4 bian1 tian1	18-54645-S
ding3 ceng2	68-20284-B
ding3 cheng1 yu4 shi2	71-47254-B
ding3 cong1 ming5	49-47813-S
ding3 dian3	68-21041-B
ding3 ding3	17-20161-S,71-47579-B
ding3 duan1	68-20641-B
ding3 duo1	68-19974-B
ding3 fei4	71-46914-B
ding3 feng1	68-20351-B,68-20879-B
ding3 ge2	71-47457-B
ding3 gu3	68-20975-B
ding3 gua1 gua1	68-19900-B
ding3 he2	35-5961-S
ding3 he4	3-3379-S
ding3 ji2	68-20688-B
ding3 jia4	68-20490-B
ding3 jian1	68-20086-B
ding3 jian1 ji2	68-20212-B
ding3 jiao3	20-57494-S
ding3 kua1 ke4	68-20024-B
ding3 li4	71-46535-B
ding3 liang2 zhu4	68-20530-B
ding3 lun2	68-20778-B
ding3 qing1 zhong4	13-63687-S
ding3 shan1	22-46594-S
ding3 shan1 shi4	22-46685-S
ding3 sheng4	31-35134-S,71-46974-B
ding3 shi2	65-667-S,71-47528-B
ding3 shi4	68-19789-B
ding3 ti4	8-10853-S,68-20446-B
ding3 ti4 zhe3	8-11004-S
ding3 wen2	65-804-S
ding3 xiang1	21-40958-S
ding3 xin1	71-46799-B
ding3 ye4	68-20731-B
ding3 yi2 shi4	20-34612-S
ding3 yong4	68-20593-B
ding3 zhen1	68-20836-B
ding3 zhi4	71-46712-B
ding3 zhong1 yuan2	13-63511-S
ding3 zhu4	68-19838-B,71-46618-B
ding3 zhuang4	68-20398-B
ding3 zu2	71-46845-B,71-47047-B
ding3 zu2 zhi1 shi4	71-47141-B
ding4	1-6575-S,1-19636-S,1-20861-S,1-65202-S,2-5151-S,2-22182-S,2-22807-S,2-81022-S,3-26300-S,4-8066-S,4-59603-S,5-13524-S,5-34250-S,5-36235-S,5-49183-S,6-7565-S,6-40321-S,6-40870-S,7-27757-S,9-2452-S,9-10969-S,9-11977-S,9-39448-S,10-64495-S,11-32988-S,12-63888-S,12-66376-S,12-66564-S,13-20386-S,13-59203-S,14-404-B,14-27573-S,14-30899-S,15-0-S,15-51215-S,16-4081-S,16-27573-S,16-64092-S,17-15417-S,17-40417-S,18-11643-S,19-26602-S,19-43542-B,20-20979-S,20-22772-S,21-16096-S,22-39536-S,23-1770-S,24-41310-S,24-66994-S,27-12883-S,27-54768-S,27-57950-S,28-57172-S,29-18903-S,29-27569-S,29-27945-S,29-45513-S,29-49589-S,30-13429-S,30-34936-S,30-40858-S,30-40945-S,30-58791-S,31-24075-S,31-47756-S,31-64875-S,32-55270-S,32-57785-S,32-58618-S,33-53699-S,34-26128-B,34-52607-S,35-11535-S,35-35697-S,35-45995-S,36-8070-S,36-33025-S,36-36715-S,36-50273-S,36-65552-S,37-30786-S,39-3996-S,39-32822-S,40-14917-S,41-327-S,41-50000-S,41-57796-S,43-25321-S,43-41238-S,46-13319-S,46-27217-B,46-33291-S,47-42261-S,48-33679-S,48-40460-S,48-40985-S,49-4840-S,49-49293-S,50-10434-S,50-44747-S,50-56912-S,51-34145-S,52-13173-S,52-20168-S,52-25670-S,55-5802-S,56-53450-S,57-691-S,57-29018-S,57-32862-S,57-38609-S,57-56606-B,57-56976-S,58-1796-S,58-5319-S,58-7392-S,58-20384-S,58-31422-S,59-42520-S,60-20957-S,60-21138-S,60-43112-S,62-7195-S,62-13178-S,63-50-S,64-29431-S,64-35191-B,64-44012-B,64-46814-S,64-54195-S,65-6484-S,65-20619-S,65-56572-S,65-57222-S,66-18667-S,67-66242-S,68-28865-S,68-30412-S,69-4893-B,69-9502-S
ding4 Yi1 li2 tiao2 yue1	29-45849-S
ding4 an4	19-46158-B
ding4 ban3	5-49224-S
ding4 ben3	12-37444-S,16-27627-S
ding4 bian1	19-47029-B
ding4 biao1	19-46234-B
ding4 biao1 qi4	19-46323-B
ding4 bing4 li4 ju4	52-13287-S
ding4 bu4 yi2	16-4145-S
ding4 chang3 bai2	19-44394-B
ding4 chang3 shi1	19-44487-B
ding4 chu1	57-56704-B
ding4 ci2	2-5526-S
ding4 cu4	27-4217-S,36-65704-S
ding4 dan1	19-44282-B,57-56822-B
ding4 dan1 hao4	57-56873-B
ding4 dang4	19-46679-B
ding4 de5	28-63339-S
ding4 di4 qu1	5-36308-S
ding4 dian3	15-296-S,19-48735-B
ding4 diao4	19-47769-B
ding4 diao4 zi5	19-47820-B
ding4 ding3	19-48857-B
ding4 ding4	57-56976-B
ding4 du4	47-42418-S
ding4 e2	19-48635-B
ding4 e2 zu3	19-48686-B
ding4 e4	55-22262-S
ding4 e4 fang1 cheng2	55-22336-S
ding4 fa3	57-34430-S
ding4 fang1 cheng2	2-5286-S
ding4 fang2	57-57161-B
ding4 gou4	19-48030-B,57-57687-B,60-24727-S
ding4 gou4 xian4 lu4	30-21142-S
ding4 gou4 zhe3	57-57754-B
ding4 guan3	39-32865-S
ding4 guan4 ci2	19-43866-B
ding4 han2 yi4	41-57868-S
ding4 he2	36-50360-S
ding4 hu4	57-57086-B
ding4 hua4	19-26703-S
ding4 hun1	19-44585-B,57-56931-B
ding4 huo4	19-47949-B,57-57620-B
ding4 huo4 bi4	37-30844-S
ding4 ji1 fen1	2-5444-S
ding4 ji4	64-54252-S
ding4 jia4	19-43802-B
ding4 jia4 ge2	57-32973-S
ding4 jie4 fu4	22-33481-S
ding4 jin1	57-57810-B
ding4 jing1	19-46737-B
ding4 ju1	19-44749-B
ding4 ju1 dian3	19-44867-B
ding4 ju1 zhe3	19-44815-B
ding4 ju2	19-44707-B
ding4 ju4	6-7139-S,6-8997-S,12-66626-S,45-41358-S,45-44367-S,52-13379-S
ding4 li3	1-73575-S,2-50208-S,2-54850-S,3-43938-S,4-31351-S,9-30065-S,10-12878-S,15-69285-S,19-15158-S,19-46611-B,19-46838-B,22-38302-S,24-20386-S,35-36510-S,50-60554-S,59-47414-S,61-66819-S,69-15967-S,71-27320-S
ding4 li4	57-57450-B
ding4 liang4	19-48229-B
ding4 liang4 fen1 kuai4	19-48294-B
ding4 liang4 fen1 xi1	19-48362-B
ding4 lu:4	19-21880-S,19-45170-B,22-41046-S,22-65442-S,38-12615-S,42-41904-S,52-20804-S,52-28344-S,65-37085-S,65-66378-S
ding4 lun4	19-47880-B,36-65801-S,55-5582-S
ding4 men2	19-26838-S,36-50535-S
ding4 piao4	19-46784-B,57-57382-B
ding4 qi1	2-5375-S,19-46094-B
ding4 qi4 liu2	2-22860-S
ding4 qiao2	40-14980-S
ding4 qu1	14-27639-S
ding4 sheng4 tian1	4-8138-S
ding4 shi2	19-45832-B
ding4 shi2 xin4 guan3	19-45757-B
ding4 shi2 zha4 dan4	19-45950-B
ding4 shi2 zhong1	19-46016-B
ding4 shi4	5-36403-S,19-43928-B,19-44987-B
ding4 shou1 ru4	15-51-S
ding4 shu1	59-3377-S
ding4 shu1 ji1	57-57214-B
ding4 shu1 zhen1	64-18329-B
ding4 shu4	19-45502-B
ding4 si3	64-18382-B
ding4 su2 cheng2	49-4909-S
ding4 tang2	47-42329-S
ding4 tiao2 yue1	2-49857-S
ding4 wei3 yuan2 hui4	15-5708-S,65-6555-S
ding4 wei4	14-57310-S,19-43611-B,22-12431-S
ding4 wei4 xi4 tong3	7-38905-S,43-6504-S,56-37661-S
ding4 wu4 jia4	47-42538-S
ding4 xian2	19-45043-B
ding4 xian4	36-50447-S
ding4 xiang1	19-26761-S,46-9377-S,54-7150-S
ding4 xiang4	19-44139-B,63-57847-S
ding4 xiao4 ying4	46-33547-S
ding4 xing2	2-5222-S
ding4 xing2 shui3	19-44337-B
ding4 xing2 tan4	40-49824-S
ding4 xing4	16-4223-S,19-45219-B,36-65638-S,46-33489-S,47-42482-S,65-15519-S
ding4 xing4 fen1 xi1	19-45340-B
ding4 xing4 li3 lun4	19-45427-B
ding4 xing4 yuan2 li3	2-22248-S
ding4 xu1 ni3 lian2 jie1	15-119-S
ding4 yao4	1-6683-S
ding4 yi4	1-59410-S,19-47142-B,43-35347-S
ding4 yi4 yu4	19-47186-B
ding4 yin1 gu3	19-48583-B
ding4 ying3	19-45107-B
ding4 yu2	19-45642-B
ding4 yu3	19-47713-B
ding4 yuan2	19-44221-B
ding4 yue1	19-46898-B
ding4 yue4	19-48441-B,51-53877-S,57-57885-B
ding4 zheng4	57-57303-B
ding4 zhi3 qi4	1-18733-S
ding4 zhi4	19-47309-B,57-57503-B
ding4 zi1 chan3	15-228-S
ding4 zi1 xun4 su4 lu:4	49-5052-S
ding4 zui4	19-47081-B
ding4 zuo4	19-43676-B,19-43736-B
diu	2-45460-B,64-32570-B
diu chou	2-45556-B
diu diao	2-45692-B
diu fan wan	2-46033-B
diu lian	2-45918-B
diu mei diu yan	2-45780-B
diu mei nong se	2-45849-B
diu mian zi	2-45977-B
diu ming	2-46147-B
diu qi	2-45732-B,12-17483-S
diu ren	2-45600-B
diu shi	2-45646-B
diu xia	2-45512-B
diu yan	2-45780-S
diu1	2-45460-B,64-32570-B
diu1 chou3	2-45556-B
diu1 diao4	2-45692-B
diu1 fan4 wan3	2-46033-B
diu1 lian3	2-45918-B
diu1 mei2 diu1 yan3	2-45780-B
diu1 mei2 nong4 se4	2-45849-B
diu1 mian4 zi5	2-45977-B
diu1 ming4	2-46147-B
diu1 qi4	2-45732-B,12-17483-S
diu1 ren2	2-45600-B
diu1 shi1	2-45646-B
diu1 xia4	2-45512-B
diu1 yan3	2-45780-S
diàn	1-39820-S,2-7042-S,2-12155-S,2-76509-S,3-50881-S,3-55465-S,3-70629-S,4-64413-B,5-23532-S,6-17601-S,7-606-S,7-13664-S,8-52484-S,8-59231-S,13-27046-S,13-59433-S,15-52475-S,15-53921-B,16-23847-B,16-51752-S,17-1085-S,17-57431-S,17-62988-S,18-11298-B,19-57633-S,19-64799-S,20-26836-S,20-28716-S,20-36012-S,20-41368-S,20-60072-S,20-61719-S,22-29223-S,22-59209-S,22-61385-B,23-15372-S,23-56310-S,24-49440-S,25-24271-B,26-30845-B,26-36834-S,29-38070-S,29-53293-S,30-48340-S,30-55983-S,30-60969-S,30-66346-S,30-68288-S,31-12435-S,32-10804-S,32-28761-S,32-41430-S,32-70285-S,33-13329-S,33-31320-S,33-34531-S,33-60873-S,33-63400-S,34-62264-S,35-33284-S,36-2399-B,36-27728-S,36-39292-S,36-47720-S,37-6607-S,37-6654-S,37-12143-S,37-54661-S,38-39791-B,39-30186-S,40-2324-B,40-42463-S,40-59712-S,41-22611-S,42-41585-B,42-57156-S,43-10792-S,43-46949-B,44-8267-B,44-21147-B,44-35289-S,44-41678-S,44-57660-S,44-57826-S,45-22667-S,46-42137-B,46-58314-S,48-30250-S,48-35874-B,50-5660-S,50-23813-S,50-60788-S,51-47763-S,53-20152-S,53-55645-S,55-30237-S,55-34038-S,57-11925-S,57-55279-S,59-12559-S,60-20272-S,60-36565-S,61-18243-S,61-61143-S,62-15552-S,62-17395-S,62-25821-S,63-26487-S,63-39472-S,64-22624-B,64-36644-S,65-12522-S,65-21731-S,65-26790-S,65-34252-S,65-44346-S,65-65394-B,67-6233-S,67-7430-S,67-20009-S,67-24347-S,67-24979-B,67-61208-B,67-62659-S,69-5308-S,69-48636-S,70-12779-S,70-40965-S,71-29935-S
diàn biǎo	67-36015-B
diàn bu	16-24915-B
diàn bào	6-38106-S,67-27005-B
diàn bào diàn huà gōng sī	31-9740-S
diàn bào diàn huà zī xún wěi yuán huì	15-20582-S
diàn bào gōng sī	51-5679-S
diàn bào jú	67-27064-B
diàn bào jī	67-27125-B
diàn bào zī xún wěi yuán huì	15-20795-S
diàn bái	67-32763-B
diàn bái xiàn	67-32830-B
diàn bèi	16-24591-B,16-24872-B
diàn bèi sī	67-37815-B
diàn bīng xiāng	67-25758-B
diàn bō	40-59975-S,67-31895-B
diàn chuán	36-27792-S
diàn chuī fēng	67-26680-B
diàn chàng	67-26738-B
diàn chàng jī	67-26799-B
diàn chàng pán	67-26870-B
diàn cháng shù	4-24346-S
diàn chí	1-20144-S,1-28613-S,1-41295-S,3-41441-S,3-54484-S,14-52727-S,17-62264-S,26-53650-S,41-24146-S,64-38946-S,64-39030-S,67-31853-B
diàn chē	32-39955-S,40-62404-S,67-37997-B
diàn chǎng	15-42461-S,33-60941-S,33-63447-S,41-22679-S,44-35343-S,67-27179-B,67-29818-B
diàn cí	67-32909-B
diàn cí bō	67-33432-B
diàn cí chǎng	67-33136-B
diàn cí gān rǎo	67-33266-B
diàn cí gǎn yìng	67-33350-B
diàn cí jiān róng xìng	67-32958-B
diàn cí mài chōng	33-63513-S,67-33496-B
diàn cí tiě	67-33581-B
diàn cí xué	67-33205-B
diàn cí zào shēng	67-33057-B
diàn diàn	37-6654-S
diàn diàn zǐ	31-12536-S
diàn dì qū	69-48721-S
diàn dìng	18-11643-B
diàn dòng	67-26063-B
diàn dòng hú lu	67-26241-B
diàn dòng jī	67-26181-B
diàn dòng shì	67-26115-B
diàn dòng zhuàn pán	67-26323-B
diàn dù	67-38593-B
diàn dēng	67-32443-B
diàn dēng pào	67-32493-B
diàn dū	18-11781-B
diàn dǎ	67-30612-B
diàn dǎ zì jī	67-30697-B
diàn dǎo	67-29645-B
diàn dǎo tǐ	67-29702-B
diàn dǐ 5r	16-24146-B
diàn fàn bào	67-39379-B
diàn fù	16-23886-B
diàn fù xìng	67-37882-B
diàn fēng	44-42465-S
diàn fēng shàn	67-39319-B
diàn fěn	32-54208-S,40-2427-B,42-31539-S
diàn fěn méi	40-2483-B
diàn guàn zhàn	67-32121-B
diàn gāo	16-25016-B
diàn gōng	67-29771-B
diàn gōng lǜ	67-25955-B
diàn gǎn	67-30519-B,67-31155-B,67-31218-B
diàn huà	6-34678-S,7-62175-S,15-20721-S,20-56676-S,26-50304-S,40-60065-S,47-26575-S,47-26659-S,50-10799-S,56-31974-S,62-15721-S,65-20305-S,67-36767-B
diàn huà bù	67-37310-B
diàn huà diàn bào gōng sī	51-5679-S
diàn huà diàn bào zī xún wěi yuán huì	15-20795-S
diàn huà fú wù	67-37174-B
diàn huà gōng sī	31-9740-S
diàn huà huì yì	67-37091-B
diàn huà hào mǎ	67-37659-B
diàn huà jiào yù	67-26466-B
diàn huà jī	67-37246-B
diàn huà kǎ	67-37032-B
diàn huà líng shēng	67-37731-B
diàn huà qū hào	67-36957-B
diàn huà tíng	67-36822-B
diàn huà wǎng	7-62042-S,67-37374-B
diàn huà wǎng lù	7-55571-S,67-37438-B
diàn huà xiàn	22-32331-S,67-37512-B
diàn huà xiàn lù	67-37588-B
diàn huà xué	67-26404-B
diàn huà xì tǒng zhěng hé	67-34947-S
diàn huà xìn hào	67-36884-B
diàn huà zī xún wěi yuán huì	15-20582-S
diàn huì	67-26566-B
diàn huǒ	22-61468-B
diàn hàn	67-32214-B
diàn hè shù	33-63676-S
diàn hé	66-36968-S,67-35791-B
diàn hé liàng	67-35951-B
diàn hé ǒu hé qì jiàn	67-35840-B
diàn hú	67-29875-B
diàn jiao	16-24712-B
diàn jià	67-25703-B
