dìng zhǐ qì	1-18733-S
dìng zuì	19-47081-B
dìng zuò	19-43676-B,19-43736-B
dìng zī chǎn	15-228-S
dìng zī xùn sù lǜ	49-5052-S
dìng àn	19-46158-B
dìng è	55-22262-S
dìng è fāng chéng	55-22336-S
dìng é	19-48635-B
dìng é zǔ	19-48686-B
dìng ān	19-44644-B
dí	1-57023-S,2-13416-S,4-11813-S,4-21975-S,7-60124-S,9-64435-S,10-7515-S,13-40568-S,13-44272-S,13-65863-S,14-26589-B,16-30192-B,16-52528-S,17-69044-S,18-16390-S,18-59560-B,19-67268-S,20-50763-S,22-6078-S,22-18454-S,23-20068-B,23-44248-S,24-3609-S,25-14312-S,29-55720-S,30-17406-B,32-63019-S,35-57575-S,35-62633-S,37-1017-S,37-53481-S,38-25410-S,39-27945-B,39-64282-S,40-36363-S,40-54399-S,42-5627-B,44-59011-B,47-6904-S,48-5382-B,48-34917-B,48-46040-S,49-1178-B,51-1414-S,51-19105-B,52-13492-S,54-20489-B,54-43222-S,54-43309-S,55-10143-B,55-15829-S,55-37073-S,57-41522-B,57-65220-S,59-1642-S,60-853-S,60-50528-B,61-10599-S,61-50387-B,63-8908-S,63-18262-S,65-18528-S,66-6259-S,66-31701-S,68-5700-B,69-35135-S
dí duì	30-17690-B
dí duì xìng	30-17757-B
dí dá sī	66-12809-S
dí dì	30-17591-B
dí dí wèi	30-17911-B
dí dāng qián	17-19347-S
dí fāng	30-17964-B
dí fū	31-50505-S
dí gu	14-26619-B
dí guó	30-17545-B
dí gé	23-2711-S
dí gé zhōu	23-2791-S
dí gē · jiā xī yà dǎo	61-51021-B
dí háng tiān zhōng xīn	52-13556-S
dí jiàng	30-17638-B
dí jiào zǐ	43-58963-S
dí jiā	61-33456-S
dí jiā ěr	31-21318-S
dí jiǎo	52-13667-S
dí jì	37-53531-S
dí jī	30-18003-B
dí jūn	30-18301-B,63-8986-S
dí kè	27-24483-S,61-50530-B
dí kǎ er	48-5409-B
dí kǎ lā	15-60488-S
dí kǎ ér zuò biāo zhì	48-5477-B
dí lè lā	47-21539-S
dí lè lā shān xì	47-21601-S
dí lún	39-27979-B,61-50492-B
dí lā kè	8-30344-S,42-5859-B
dí màn bēi	55-41618-S
dí měi dūn	13-32375-S
dí měi dūn shū	13-32445-S
dí nán	23-32877-S
dí nèi jiǎ dé	53-46873-S
dí què	44-59268-B
dí què liáng	44-59314-B
dí qìng zhōu	61-50797-B
dí qìng zàng zú zì zhì zhōu	61-50896-B
dí rén	30-17439-B
dí shì	30-18204-B,44-59080-B
dí shì gāo	44-59127-B
dí shì ní	61-50580-B
dí shì ní lè yuán	61-50636-B
dí shí	11-14808-S
dí shā	29-0-S
dí shā gé	48-5711-B
dí shēng	25-38016-S,25-38105-S,53-48715-S
dí shǒu	30-17867-B
dí si kē	61-51313-B
dí si kē tīng	61-51432-B
dí sī	55-46639-S
dí sī bēn chí	34-10377-S
dí sī kē bā	61-51369-B
dí sī léi lì	61-51505-B
dí sī lā fā	22-15598-S
dí sī ní	61-51173-B
dí sī ní lè yuán	61-51239-B
dí tè	30-18046-B,66-1866-S,66-11543-S
dí tè fèn zǐ	30-18106-B
dí tīng	61-50711-B
dí wèi	30-17911-S
dí wéi yǒu	10-23974-S
dí wò sī tuō kè	48-6575-S,48-6722-S
dí wēi	12-22822-S
dí wǎ	47-20314-S
dí wǎ gòng hé guó	47-20410-S
dí xióng	37-48681-S
dí xiū sī	18-16426-S
dí yà	13-37326-S,22-17898-S,32-69529-S,65-68744-S
dí yì	26-895-S,30-17819-B
dí zhuāng	61-51587-B
dí zhàn qū	30-17477-B
dí zhèn	30-18348-B
dí zhě	13-6088-S,20-50825-S
dí zi	48-5668-B
dí ào duō	42-5674-B
dí ào duō · ā duō nuò	42-5731-B
dí ěr	65-68096-S
