dǎ bu guò	26-40554-B
dǎ bu tōng	26-40482-B
dǎ bài	26-45462-B
dǎ bàn	14-15797-S,47-51740-S
dǎ bù chéng xiāng shí	2-11437-S
dǎ bù dòng	67-23076-S
dǎ bù xiāng shí	2-11527-S
dǎ bāo	26-41320-B
dǎ bō	26-41790-B
dǎ chà	26-43373-B,26-45718-B
dǎ chán	26-47657-B
dǎ cháng	26-42380-B
dǎ cháng gōng	26-50031-B
dǎ cháng tú	26-50108-B
dǎ chéng píng shǒu	26-44239-B
dǎ chéng yī piàn	26-44126-B
dǎ chì jiǎo	26-49060-B
dǎ chóng	26-48644-B
dǎ chōng fēng	26-48741-B
dǎ chū tóu niǎo	34-44552-S
dǎ cuò le	26-49957-B
dǎ cǎi	37-11378-S,37-11464-S,40-59150-S,40-59265-S
dǎ de huǒ rè	26-43795-B
dǎ diàn huà	26-50304-B
dǎ diǎn	26-50822-B
dǎ duàn	26-45559-B
dǎ duì	26-41059-B
dǎ duì zhàng	26-43177-B
dǎ duō suo	26-41706-B
dǎ duǎn 5r	26-47344-B
dǎ dào huí fǔ	26-49604-B
dǎ dòng	26-41240-B
dǎ dòu	26-50691-B
dǎ dòu fu	67-22389-S
dǎ dùn	26-50373-B
dǎ dùn 5r	26-50414-B
dǎ dī	26-47068-B
dǎ dǎ	30-13802-S
dǎ dǎo	26-40906-B
dǎ dǐ	26-43750-B
dǎ dǔ	26-48937-B
dǎ dǔn	26-47136-B
dǎ dǔn 5r	26-47209-B,26-49387-B
dǎ fa	26-46980-B
dǎ fù jì pín	26-43079-B
dǎ fān	26-48026-B
dǎ fān shēn zhàng	26-48109-B
dǎ fēi jī	26-50486-B
dǎ fēn	26-41159-B
dǎ fǎ	26-46243-B
dǎ guà	26-41407-B
dǎ guān huà	26-42953-B
dǎ guān qiāng	26-42825-B
dǎ guān si	26-42747-B
dǎ guāng	48-53516-S
dǎ guāng gùn	26-40994-B
dǎ gé	26-41829-B
dǎ gé 5r	26-41878-B
dǎ gé zi	26-45838-B
dǎ gùn zi	26-45935-B
dǎ gāo ěr fū	26-50550-B
dǎ gāo ěr fū qiú	26-50615-B
dǎ gēn tou	26-49300-B
dǎ gēng	26-45636-B
dǎ gōng	26-43465-B
dǎ gōng mèi	26-43566-B
dǎ gōng zuò yī	26-49445-B
dǎ gōng zǎi	26-43662-B
dǎ gōu	26-49899-B
dǎ gǎo zi	26-47716-B
dǎ gǒng	26-44658-B
dǎ gǒng zuò yī	26-44717-B
dǎ gǒu	26-46649-B,52-5283-S
dǎ gǒu qī zhǔ	26-46744-B
dǎ gǔ	26-47787-B,26-50869-B
dǎ gǔ cháng	26-47828-B
dǎ gǔn	26-46367-B
dǎ huǒ jī	26-46413-B
dǎ huǒ shí	26-46481-B
dǎ héng pào	26-46012-B
dǎ hùn	29-8087-S
dǎ hū	26-41669-B
dǎ jià	26-45769-B
dǎ jié	3-13768-S,26-47979-B,60-19437-S
dǎ jiāo dào	26-40675-B
dǎ jiǎo	26-45407-B
dǎ jiǎo tī	27-49482-S
dǎ jiǔ	26-49712-B
dǎ jìn	1-17915-S,26-49552-B
dǎ jī	26-45023-B,37-7624-S,61-46370-S
dǎ jī jūn shì lì liang	26-45279-B
dǎ jī shè huì cái fù	26-45192-B
dǎ jī yuè qì	26-45118-B
dǎ kuǎ	26-42312-B
dǎ kāi	26-50181-B
dǎ kē shuì	26-47274-B
dǎ kǒng qì	26-42550-B
dǎ liang	26-49760-B
dǎ liè	26-46889-B
dǎ luó gǔ	30-13650-S
dǎ lài	26-48997-B
dǎ lái huí	26-40825-B
dǎ léi	26-50264-B
dǎ lāo	26-44926-B
dǎ mó	26-47613-B
dǎ mǎn suàn	39-38702-S
dǎ niǎo	26-50771-B
dǎ nǎi	26-42445-B
dǎ piān	35-46944-S
dǎ pào	26-47417-B
dǎ pái	26-46592-B
dǎ pì gu	26-43312-B
dǎ pò	26-47524-B
dǎ pēn tì	26-42050-B
dǎ pǎo	26-49201-B
dǎ qiú	26-46926-B
dǎ quán	26-44824-B
dǎ qì	26-46132-B
dǎ qì tǒng	26-46185-B
dǎ qíng mà qiào	26-43949-B
dǎ qǐ kè shuì	26-49121-B
dǎ rǎo	26-45367-B,58-42497-S
dǎ shāng	26-40946-B
dǎ suàn	26-47888-B
dǎ suì	26-47573-B
dǎ suì qiāo	67-20251-S
dǎ sǎo	26-44876-B
dǎ sǐ	26-46076-B
dǎ sǔn shāng	60-34532-S
dǎ ting	26-48306-B
dǎ tiān xià	10-15175-S
dǎ tì pen	26-42102-B
dǎ wén zi	17-26443-S
dǎ xiāo	26-46316-B
dǎ xiǎo bào gào	26-43233-B
dǎ xì suàn	48-53603-S
dǎ yuán chǎng	26-42153-B
dǎ yàng	26-46530-B
dǎ yào	60-34613-S
dǎ yìn	26-41486-B
dǎ yìn fú wù qì	26-41544-B
dǎ yìn jī	26-41619-B,29-9882-S,50-7350-S
dǎ yín háng	39-2542-S
dǎ yú	26-50732-B
dǎ yī pá	5-57061-S
dǎ yǐn jī	40-4539-S
dǎ zhàng	26-40760-B
dǎ zhé	26-44452-B
dǎ zhé kòu	26-44503-B
dǎ zhì	26-48806-B
dǎ zhì shí qì	26-48844-B
dǎ zhòng	26-40634-B
dǎ zhāo hu	26-44565-B
dǎ zhēn	26-49837-B
dǎ zhǎi yòng	20-26125-S
dǎ zhǒng liǎn chōng pàng zi	26-48362-B
dǎ zuò	26-42250-B
dǎ zuǐ	26-41942-B
dǎ zì	26-42606-B
dǎ zì jī	26-33146-S,26-42695-B,67-30697-S
dǎ zì yuán	26-42645-B
dǎ zì zhāo	2-11609-S
dǎ ěr guāng	26-48225-B
dǎi	2-21414-S,2-30281-S,6-30016-B,18-28713-S,35-55563-B,40-33310-S,62-26396-B
dǎi dú	35-55664-B
dǎi tú	35-55601-B
dǎi zú	6-30093-B
dǎi zú jǐng pō zú zì zhì zhōu	24-25204-S
dǎi zú zì zhì zhōu	57-24002-S
dǎn	4-5282-B,6-47818-S,14-13343-S,14-40106-S,17-32371-S,19-13470-S,27-11833-S,28-39022-S,29-10363-B,29-10393-B,29-52785-S,31-25668-S,38-23381-S,44-6506-B,46-19744-S,49-24673-B,51-57577-S,52-50455-B,52-54964-S,53-45689-S,59-59619-B,71-21857-S,71-50194-S
dǎn dà	52-50625-B
dǎn guǎn	52-51014-B
dǎn gù chún	52-50569-B
dǎn hán xīn	46-19827-S
dǎn hóng sù	52-51058-B
dǎn jié shí	52-51112-B
dǎn jiǎn zhǐ méi	52-51313-B
dǎn liàng	32-38967-S,52-51272-B
dǎn lüè	52-50903-B
dǎn lǜ sù	52-51167-B
dǎn náng	52-50522-B
dǎn qiè	52-50812-B
dǎn shí zhèng	52-50958-B
dǎn sè sù	52-51220-B
dǎn xiǎo	52-50710-B
dǎn xiǎo guǐ	52-50760-B
dǎn yīng xióng	19-13525-S
dǎn zhī	52-50860-B
dǎn zhōng xīn	60-6677-S
dǎn zi	52-50664-B
dǎng	1-23908-S,2-54320-S,2-59101-S,2-62797-S,3-27794-S,4-13162-S,4-38685-S,4-69981-S,5-35571-S,5-38463-S,7-35352-S,7-43127-S,7-71433-S,7-72215-S,8-31206-S,11-18763-S,11-18852-S,11-47314-S,11-56545-S,11-66579-S,12-1836-S,15-3764-S,15-11017-S,15-36596-S,15-65211-S,15-70118-S,16-20463-S,16-58070-S,17-262-S,17-10950-S,18-4815-S,18-25733-S,21-13936-S,21-50598-S,21-52969-S,21-57535-S,22-66276-S,22-66747-S,23-23077-S,24-15897-S,26-32000-S,27-14886-S,28-16222-S,28-16532-S,28-19703-S,28-46307-S,29-20069-B,29-36549-B,29-58149-S,30-55664-S,30-58409-S,31-8490-S,31-9184-S,32-42230-S,33-47401-S,35-38794-S,36-18678-S,36-18990-S,36-23110-S,37-29904-S,38-66281-S,42-6680-S,45-40437-S,46-49313-S,46-49888-S,46-49949-S,47-47658-S,49-45008-S,50-243-S,53-2456-S,53-2693-S,53-7924-S,53-10929-S,53-11983-S,55-40979-S,56-35307-S,57-39627-S,59-14971-B,60-26432-S,61-42195-S,65-64600-S,68-103-S,68-4907-S,68-37365-S,69-17600-S,70-22448-S,71-30198-S,71-43770-B
dǎng bù duì	7-72607-S
dǎng gé mìng wěi yuán huì	2-56109-S
dǎng gāng	71-45266-B
dǎng gǎn	28-46357-S
dǎng jì	65-43895-S
dǎng jí	71-45163-B
dǎng jūn duì	15-11109-S
dǎng kuí	71-45612-B
dǎng líng	71-45685-B
dǎng nèi	71-43965-B
dǎng piào	71-45040-B
dǎng pài	40-64557-S,71-44904-B
dǎng pài jí huì	71-44971-B
dǎng qí	71-44800-B
dǎng rén	7-71495-S,7-72278-S,36-19052-S
dǎng rén shì	68-147-S
dǎng shēn	21-50674-S,71-44126-B
