jì zēng zhǎng	49-60003-S
jì zǎi	57-67370-B
jì zǐ	19-11880-B
jì zǔ	46-65215-B
jì zǔ zhī	15-18445-S
jì ào lín pǐ kè wěi yuán huì	15-16575-S
jì ào wěi huì	15-16479-S
jì é máo	10-51192-S
jì ér	50-43289-B
jì ān quán	49-60283-S
jìn	1-2207-S,1-17915-S,1-56474-S,2-6357-S,2-8660-S,2-20010-S,2-47913-S,3-42499-S,5-13126-S,5-14948-S,5-31216-S,6-26869-S,7-5994-S,8-11871-S,8-33384-S,8-63293-S,9-24921-S,9-52764-S,9-63792-B,12-2912-S,13-16377-S,14-11917-S,14-13140-S,14-34751-B,14-37243-S,14-42459-S,14-45396-S,14-53322-S,15-36657-S,16-27830-S,17-35946-S,18-18857-S,18-35300-B,19-22832-S,19-60559-S,20-9301-S,20-10169-B,20-17781-S,20-37431-S,21-10884-S,21-47468-S,21-64239-S,22-28204-S,22-51683-S,22-52219-S,23-31240-S,23-68460-S,24-17095-S,25-11896-S,25-29685-S,25-42681-S,26-49552-S,26-64542-S,27-37745-S,27-39377-S,27-68882-S,28-28259-S,28-32557-S,28-44084-S,28-57773-B,29-25510-S,29-46153-S,29-53032-S,30-9434-S,30-19886-S,30-57006-S,31-28053-S,31-43131-B,32-21307-S,33-19865-S,33-46621-S,33-57886-S,35-49189-S,35-64192-B,36-22525-S,37-6188-S,37-59762-S,38-22974-S,38-26993-B,38-44752-S,38-55662-S,38-57746-S,39-15589-B,39-47060-S,39-55778-S,39-55826-S,40-5831-S,40-8876-B,40-14808-S,40-25841-S,41-34010-B,43-3832-B,43-35797-S,45-7675-B,45-9651-S,45-31391-S,45-33460-S,47-174-B,47-4766-S,47-54336-S,47-57411-S,47-65102-S,48-54630-S,48-58546-S,49-37126-S,50-25252-B,52-14498-B,52-62469-S,53-12475-S,53-22111-S,55-2760-S,55-30384-B,56-20923-S,56-35247-S,56-40234-S,57-1453-S,57-18440-S,57-40631-S,57-40782-B,57-51759-S,58-17049-S,58-43255-S,59-43860-S,59-45769-S,59-46461-S,59-48590-S,59-62389-B,60-4353-B,60-14074-S,60-16118-S,60-31779-S,60-38446-S,60-45369-S,60-53691-S,61-3681-S,61-47002-B,61-52671-S,62-28385-B,62-34543-S,62-57912-S,62-60067-S,62-63388-S,62-66359-S,63-35235-S,64-33377-S,65-567-S,65-8812-S,65-10894-S,65-20381-S,65-23566-S,65-40123-S,66-16183-S,66-22063-S,68-763-S,68-5766-B,69-16310-S,70-918-S,70-34881-S
jìn 5r	1-2287-S,20-47481-S,26-64595-S,45-33524-S,54-53638-S,59-46522-S,64-23707-S,65-8872-S
jìn bù	62-29984-B
jìn bù dǎng	36-18678-S
jìn bù hào	62-30060-B
jìn bù jiāo ào shǐ rén luò hòu	55-51582-S
jìn bù zhǐ	21-24590-S
jìn bī	62-32665-B
jìn bǎo	27-43713-S
jìn chén	38-27231-B
jìn chéng	29-46827-S,31-42729-S,31-43473-B,49-29013-S,62-30246-B
jìn chéng shì	31-43560-B
jìn chū jìng	62-29078-B
jìn chū kǒu	62-29016-B
jìn chū kǒu gōng sī	2-62265-S,2-63009-S
jìn chǐ	24-7495-S
jìn cí pín lǜ xiào guǒ	63-35303-S
jìn cāng	28-32660-S
jìn dà guān yuán	9-41574-S
jìn dài	61-47396-B
jìn dài huáng jīn jiǎ	39-36865-S
jìn dài shǐ	61-47442-B
jìn dào	61-49068-B
jìn dào ruò quán	62-32747-B
jìn dào ruò tuì	62-32820-B
jìn dì diǎn	61-47992-B
jìn dòng	1-12068-S
jìn dù	62-29670-B
jìn dù biǎo	62-29759-B
jìn dù xì shù	9-64195-B
jìn dú	47-1026-B
jìn dōng	61-48386-B
jìn dǎng	36-23110-S,56-35307-S
jìn fá	47-268-B
jìn fèn zǐ	40-5889-S
jìn fā	62-30194-B
jìn guǒ	47-718-B
jìn gēn	2-20057-S
jìn gōng	62-29933-B
jìn gōng cáng	70-50338-S
jìn gǔ	61-47835-B
jìn hu	61-47052-B
jìn huà	62-29154-B
jìn huà lùn	62-29197-B
jìn huáng hé shuō bù qīng	60-45420-S
jìn huì	2-60155-S
jìn huān ér sàn	6-56311-B
jìn huǒ	62-61757-S
jìn hàn zhōu shū	34-9151-S
jìn hào	18-18899-S
jìn jià	62-28909-B
jìn jiàn	57-40849-B
jìn jiè	47-671-B
jìn jiāng	31-43855-B
jìn jiāng dì qū	31-43920-B
jìn jiāo	10-28235-S,61-49127-B
jìn jiāo qū	61-49179-B
jìn jiē	62-29826-B,62-32938-B
jìn jiē fú wù	62-29866-B
jìn jiǔ	47-1594-B
jìn jiǔ lìng	47-1662-B
jìn jué	9-53534-S,9-53745-S,31-44018-B
jìn jì	44-55024-S,47-512-B
jìn jì yǔ	47-550-B
jìn jí tǐ	7-6204-S
jìn jī	28-32599-S
jìn jīng	62-28637-B
jìn jūn	47-1476-B,62-31428-B
jìn jǐ nián	32-21361-S
jìn kuài	45-8335-B
jìn kě	62-61567-S
jìn kǒu	62-29372-B
jìn kǒu shāng	62-29412-B
jìn le tiān táng	62-28547-B
jìn liàng	6-56585-B,45-8682-B
jìn lián méng	36-18296-S
jìn liáng jué	23-49491-S
jìn lái	61-47786-B,62-28796-B
jìn lì	9-63862-B,24-57735-S,45-7790-B,45-8143-S
jìn lì ér wéi	45-7863-B
jìn lìng	11-58658-S,47-218-B
jìn líng	61-49246-B
jìn lù	9-53840-S,26-64662-S,61-49027-B
jìn lǐ jiào	38-27570-B
jìn máng chū	24-46030-S
jìn mén	62-32892-B
jìn mò	38-27282-B
jìn měi	45-7946-S
jìn nián	61-48050-B
jìn nián lái	61-48099-B
jìn nán běi cháo	70-34957-S
jìn níng	31-43658-B
jìn nǎo zhī	49-48591-S
jìn pào	38-27324-B
jìn pǐn	47-462-B
jìn qiú	38-56665-S
jìn quán lì	47-65146-S
jìn qí cái	4-14809-S,4-14927-S
jìn qíng	45-8392-B
jìn qù	62-29270-B
jìn qī	61-48305-B
jìn qī chū	65-12079-S
jìn qīn	61-48913-B
jìn qīn jiāo pèi	61-48960-B
jìn qū	47-397-B
jìn qǔ	62-29311-B
jìn qǔ xīn	32-40024-S
jìn rén	22-41929-S,61-47304-B
jìn rén qíng	2-33223-S
jìn rì	61-48167-B
jìn rì diǎn	61-48250-B
jìn rù	62-28956-B
jìn rùn	38-27480-B
jìn rǎn	38-27152-B
jìn shuǐ lóu tái	61-48430-B
jìn shuǐ píng	7-6131-S
jìn shàn jìn měi	45-7946-B
jìn shì	6-7833-S,61-48848-B,62-29483-B
jìn shì qián xián	45-8588-B
jìn shí	47-1734-B,62-32980-B
jìn shí yàn shì	14-36890-S
jìn shā jué	58-18844-S
jìn shēng	31-43406-B
jìn shū	31-43795-B
jìn suǒ néng	12-28611-S
jìn sì	61-47559-B
jìn sì děng jí	61-47645-B
jìn sì jiě	61-47722-B
jìn sù	45-8535-B
jìn sān	19-23173-S
jìn tiān liáng	14-13190-S
jìn tuì	2-21818-S,62-31481-B
jìn tuì bù dé	62-31596-B
jìn tuì liǎng nán	62-31841-B
jìn tuì shī jù	62-32013-B
jìn tuì wéi gǔ	62-32397-B
jìn tuì wéi nán	62-32227-B
jìn tuì yǒu cháng	62-32148-B
jìn tuì zhōng shéng	62-31760-B
jìn tuì zì rú	62-32566-B
jìn tòu	38-27713-B
jìn tóu	9-64754-B,45-8760-B
