lā jiā	69-38107-S
lā jiā dài kǒu	27-22306-B
lā jiā sī	9-55810-S
lā jiǎ sī tǎn bāng	27-25743-B
lā jì	4-37755-S
lā jì yà	43-1025-S
lā jí duī	15-55904-B
lā jù	27-26206-B
lā jī	15-55867-B,27-36628-S
lā jī chē	15-56124-B
lā jī diàn yóu	15-56285-B
lā jī liè fū	22-5909-S
lā jī mǐ ěr	23-31752-S
lā jī na	11-14433-S
lā jī shū	43-1084-S
lā jī tǒng	15-55959-B,15-56014-B
lā jī xiāng	15-56068-B
lā jī yóu jiàn	15-56199-B
lā jǐn	27-25002-B
lā kè	4-48756-S,7-16084-S,8-30344-S,22-20466-S,42-5859-S,47-37453-S
lā kè luó wǎ	24-26826-S
lā kè lì tè	60-8234-S
lā kè shén	69-38236-S
lā kè tuō huǒ shān	14-2117-S
lā kā lā	14-1247-S
lā kāi	27-26469-B
lā kāi bō	69-38425-S
lā kē fū	7-16709-S
lā kē lǔ ní yà	27-24834-B
lā kūn lún shān	14-1312-S,14-2232-S
lā liàn	27-26285-B
lā lái sī	54-25535-S
lā léi	13-38626-S
lā lì	27-21355-B,37-31730-S
lā lì áng	16-19899-S
lā lā	10-55396-S,13-44550-S,14-31238-S,27-36678-S,47-28127-S
lā lā bāng	14-2317-S
lā lā duì	13-66395-B,27-23084-B
lā lā duì zhǎng	13-66477-B
lā lǐ	22-20536-S,27-25601-B
lā lǒng	27-23277-B
lā lǔ	27-26752-B
lā lǔ shī dì guó jiā zì rán bǎo hù qū	27-26789-B
lā miàn	27-26962-B,41-48500-S
lā màn kǎ	54-42588-S
lā mén	24-26908-S
lā mò sī	27-25330-B
lā mó	66-4101-S
lā mó hé	39-57989-S
lā mù	51-67769-S
lā mù tú	66-4321-S
lā měi	27-25055-B
lā měi xī sī	27-25101-B
lā měng gǔ zì zhì zhōu	11-8497-S
lā měng yǐng	38-1015-S
lā mǎ	43-9767-S
lā mǎ gàn	16-16031-S
lā mǎ gān	16-16240-S
lā mǎ gān shā mò	16-16121-S
lā mǎ lǐ bó	22-22722-S
lā mǎ nǎo yán bìng dú	18-40977-S
lā mǎ shān	43-9870-S
lā mǎ yī	7-16434-S
lā mǎ yī shì	7-16566-S
lā mǎ zuǒ fū xiōng dì	11-14667-S
lā mǐ	59-29710-S
lā mǐ sū	28-39213-S
lā mǐ yǔ	66-4811-S
lā mǔ	62-54869-S
lā mǔ chāng dé	11-14511-S
lā mǔ měng hǔ jiě fàng zǔ zhī	37-47718-S
lā mǔ sī	9-65399-S
lā mǔ sī fēi ěr dé	27-22159-B
lā mǔ ān lā	27-22099-B
lā nà	15-40859-S
lā nà dá	33-66054-S
lā nà kǎ	27-24936-B
lā ní nà	27-22386-B
lā nā liè	27-25996-B
lā piào	27-24759-B
lā pà gē sī qún dǎo	9-56158-S
lā pà sī	27-22773-B
lā pí	71-36327-S
lā pí tiáo	27-24690-B
lā píng	27-22821-B
lā pù bù	21-12493-S
lā pǔ lā sī	27-23758-B
lā quān	13-18920-S
lā qì yà	66-1255-S
lā qìn	14-1413-S
lā qìn qí	14-1703-S
lā qìn zuǒ yì měng gǔ zú zì zhì xiàn	14-1512-S
lā qí	11-14373-S
lā qí ào	27-27016-B
lā qún dǎo	69-37437-S
lā qīng gé	27-26659-B
lā rè wō	55-24468-S
lā rén	11-22184-S
lā shou	27-23023-B
lā shàn	66-3557-S
lā shàn méng	66-3809-S
lā shàn yòu qí	66-3611-S
lā shàn zuǒ qí	66-3709-S
lā shèng	37-31779-S
lā shí ní kē fū	11-14263-S
lā shā bìng dú	27-24060-B
lā shā mò	29-6664-S
lā shān	13-50555-S,22-18165-S
lā shān kǒu	3-8938-S
