to fall due	39-39141-B
to fall flat	60-48931-B
to fall forward	60-49974-B,68-46876-B
to fall forwards	68-45427-B
to fall foul of	54-64374-B
to fall from a horse	54-50875-S
to fall from position of prestige	1-58915-B,1-62445-B
to fall from power	5-59075-B,5-60303-B
to fall go down	4-53149-B
to fall head over heels	60-38539-B
to fall headlong	5-58595-B
to fall ill	11-62934-B,24-8617-B,25-8314-B,42-2826-B
to fall ill and die	44-10814-B
to fall in a trap	2-52474-B
to fall in drops	67-45007-B
to fall in love	9-69259-B,64-51507-B
to fall in love with	6-47737-B,25-32435-B
to fall into	16-25899-B,54-49190-B
to fall into a trap	2-81749-B
to fall into a well	63-6336-S
to fall into bad ways	1-60832-S
to fall into disuse of laws	23-8782-B
to fall into enemy occupation	38-45519-B
to fall into poverty	38-45409-B
to fall into ruins	21-44992-B
to fall into water	54-50114-B
to fall off	39-448-B
to fall on the face	60-48931-B
to fall out with sb	11-51714-B,11-51777-B,51-22690-B
to fall over	60-34032-B
to fall over each other in their eagerness to 	41-39132-B
to fall scattered	30-9587-B
to fall short	41-39022-S
to fall short of	55-56402-B
to fall sick	19-59443-B
to fall sick from constant overwork 成语 saw	47-38880-B
to fall through	13-4943-B
to fall through and stand exposed	30-186-S
to fall to an attack	29-48304-B
to fall to the enemy	66-31881-B,66-32332-B
to fall to the ground	54-49235-B
to fall under the jurisdiction of	35-53978-B
to fall vacant	8-44011-B
to falsely claim as one s own	8-12180-B
to falsify	5-5628-B,48-33175-B
to falter	60-28293-B
to fame and profit	65-9643-S
to famous blind historian zuo qiuming 左丘明	45-60730-S
to fan	26-30992-B,28-57949-B
to fancy	25-26046-B,25-26141-B
to fantasize	47-47095-B
to far away lands	62-63600-S
to faraway places	62-63022-S
to farm	47-32139-B
to fart	21-17610-B,29-51675-B
to fascinate	61-53628-B
to fashion an ax handle you need an ax	4-55149-S,29-21528-S
to fashion into	16-15731-B
to fast	17-42837-B,19-22655-B,71-54477-S,71-54572-B
to fasten	11-12694-B,26-53430-B,49-1351-B
to fate	51-70036-S
to father	3-61610-S
to fatten animal before slaughter	6-31933-B
to fatten cattle in a shed	60-51846-B
to fault or motion of camera	63-58549-S
to favor	20-28457-B,67-56769-S,67-56895-S
to favor sb	6-11901-B
to fawn	18-3513-B,18-4928-B,61-45062-B
to fawn as flatterer	66-13664-B
to fawn on	22-8911-B,27-30398-B,60-31497-B
to fear	24-53832-B,24-66717-B,24-68043-B,24-68449-B,26-3362-B,26-3538-B,43-20252-B,43-48064-B
to fear the wolf in front and the tiger behind 成语 saw	9-20196-S
to feast one s eyes	17-41123-B
to feast one s eyes on	69-8339-B
to feather one s nest	41-31903-B
to feed	12-27972-B,27-35597-S,27-35941-S,69-1697-B,69-6846-B,69-18185-B,69-18669-B
to feed ball	6-37731-B
to feel	25-38714-B,25-39135-B,25-43043-B,54-53041-B,57-41179-B,57-54216-B,58-21041-B
to feel a twinge of guilt	7-30193-B
to feel anxious	42-371-B
to feel anxious about sth	42-556-B
to feel ashamed	19-59758-B,45-59191-B
to feel attached to	26-3701-B
to feel beleaguered	54-14773-B
to feel cold as symptom	39-32262-B
to feel contented with	19-29778-B
to feel deeply attached to	25-35162-B
to feel deeply concerned	35-61332-B
to feel disappointed	28-11107-B
to feel discouraged	37-59762-B
to feel disheartened	14-12807-B
to feel dizzy	45-49460-B
to feel embarrassed	46-38372-B
to feel embarrassment	44-32479-B
to feel giddy on heights	31-58931-B
to feel gratitude mixed with shame	25-41517-B
to feel guilty	25-43892-B
to feel happy	65-34683-B
to feel happy or elated	65-40992-B
to feel helpless	32-46573-B,40-47343-B
to feel homesick for one s relatives	24-56217-B
to feel hopelessly worried or get in trouble for imaginary fears	23-3448-B
to feel inferior to others	53-5973-B
to feel it beneath one s dignity	2-6805-B
to feel like	25-26046-B
to feel nervous	26-50869-S,44-29144-B,60-17097-B
to feel no qualms	40-52527-B
to feel obliged to speak out candidly	70-3051-S
to feel one s pulse	29-3565-B
to feel out	58-12828-B
to feel overwhelming joy or sorrow	64-34453-B
to feel perplexed	14-63356-B
to feel pleased	14-6828-B
to feel pulse	52-30362-B
to feel puzzled	61-54345-B
to feel relieved	19-28722-B
to feel sb s pulse	8-62650-B
to feel sb s pulse and body as part of a medical examination	8-63075-B
to feel scared	44-29288-S
to feel sentiments	25-41974-B
to feel shame often with a negative	58-63150-B
