to write down	20-23398-B,46-27368-B
to write for a bit then give up	31-40189-B
to write freely	5-45830-B
to write from memory	71-36146-B,71-36198-B,71-36393-B
to write home about	2-32250-S,22-43165-S
to write in a free style	28-49862-S
to write in fits and starts	31-40189-B
to write in the style of some author	29-27198-B
to write into	61-6989-B
to write off	64-33781-B,64-34128-B
to write off at one stroke	1-16636-B
to write one s first poem	65-40237-B
to write or compose	48-14041-B
to write or draw with a brush	28-49770-B
to write out a medical prescription	65-29583-B
to write the title of a book on a label	68-43145-B
to write without basis	3-26689-B
to write words to a tune	51-20816-B
to write wrong character	44-35806-B
to x than y	25-16073-S
to yangzhou 成语 saw	69-52984-S
to yasukuni shrine 靖國神社 靖国神社	67-60305-S
to yawn	13-16336-B,13-20595-B,23-37771-B
to yearn day and night	70-33373-B
to yearn for	14-41110-B,15-55030-B,45-47128-B
to yearn for sth	23-19574-S
to yell	12-9012-B,12-20083-B,12-30915-B,13-17431-B,14-5634-B,14-32897-B
to yell to urge on an animal	12-30629-B,12-30965-B
to yield	21-20170-B,39-27696-B,58-8829-B,59-13544-B,59-13700-B,59-13949-B,62-59285-B,62-69359-B
to yield after making a show of resistance	10-58009-B
to yinxu 殷墟 in modern henan province	35-65889-S
to yoke	42-71-B
to you	3-24610-S
to you returning a compliment	12-46072-S
to your heart s content	50-28932-B
to your help	71-46535-S,71-46618-S
to yu shi nan 虞世南	13-50280-S
to yuan china by jamal al din 紮馬剌丁 扎马剌丁	54-45055-S
to yuan shikai in 1913	14-3226-S
to yuan shikai 袁世凱 袁世凯	56-49264-S
to zhao 成语 saw	19-37869-S
to zheng1 爭 争	58-43470-S
to zhenghe s 15th century expeditions to the western pacific	1-62826-S
to zhuangzi 莊子 庄子 grieving for his lost wife	71-48348-S
to zhuge liang 諸葛亮 诸葛亮 many of them in different town	35-43849-S
to ≠	2-23746-S
to 两个	5-51743-S
to 了	13-29418-S,14-29364-S
to 了 le	14-37580-S
to 交警	3-72739-S
to 光驅 光驱	7-11231-S
to 八旗 eight banners	31-2669-S
to 初小	9-1358-S
to 北航院	10-27579-S
to 博士學位 博士学位	13-47731-S
to 吧	14-291-S
to 呢 or 啦	13-44488-S
to 啊	7-70090-S
to 啊 after a vowel	13-7104-S
to 啊 after noun ending in n	13-44920-S
to 喜喜	14-44714-S
to 喜喜 as symbol of good luck	66-64437-S
to 夜明珠	31-24576-S
to 奧組委 奥组委	18-15163-S
to 廿	24-49883-S
to 弱受	23-44141-S
to 強攻 强攻	23-36670-S
to 成语 saw	28-34984-S
to 日本鬼子	70-31287-S
to 次貸 次贷	35-21485-S
to 環評 环评	43-5149-S
to 的 as possessive particle	22-59909-S
to 社保	46-48266-S
to 秀才	54-6159-S
to 組委 组委	49-38598-S
to 經合組織 经合组织	49-59618-S
to 網遊 网游	50-8644-S
to 花旗	53-56561-S
to 閃婚 闪婚	65-26835-S
to 電教 电教	67-26466-S
toad	44-21964-B,55-58483-S,56-930-B,56-961-S,56-1065-B,56-3993-B,56-5352-B,56-16157-B,56-16183-B,56-19900-S,56-19943-B,56-22060-S,71-46374-B
toadstool	36-8123-B
toady	27-30500-B,59-13125-S,59-13375-S,66-12229-S,68-25213-B,69-36986-B
toadying	27-30398-B
toadying for personal gain	65-9643-B
toast	3-24610-S,3-24610-S,12-60063-B,30-12742-S,30-12742-S,40-42673-B,41-10818-S,46-55185-S,46-55185-S
toast one another	20-51330-S
toast only to be forced to drink a forfeit	30-12804-S
toast to host by guest	63-41894-B
toasts	63-43505-S
toba place in tibet	18-36387-S
tobacco	33-30582-S,40-42006-S,41-1785-B,41-4024-B,41-4065-S
tobacco addiction	41-2784-B
tobacco pipe	41-4110-B
tobago	10-51395-S,41-61137-S,57-20622-S
toccata	57-54462-B
tock	39-33743-S,39-33827-S
tock sound of clock	14-202-S
today	4-22096-B,4-22208-B,4-22394-B,4-22774-B,4-22812-S,23-2922-S,62-5067-B
today is the key to the past	42-49700-B
today s	43-66144-B
today s service in a canteen	65-29927-S
toe	1-21496-S,3-48795-S,17-18911-S,27-20069-S,27-20158-S,27-20204-S,27-61240-B,52-43570-B,60-33515-B
toed ungulates	6-22129-S,6-22204-S,18-1948-S
toefl	26-52269-B
toes	60-33683-S
tofu	12-27759-S,19-62049-S,52-37174-S,59-17309-B,71-14280-S
tofu japanese natto	49-17806-S
tofu japanese natto 納豆 纳豆	53-17563-S
together	1-1899-S,1-4396-B,1-5095-B,1-5206-B,1-12313-S,1-21178-B,1-22057-B,2-46916-S,2-47913-S,2-47913-S,3-1164-S,3-67103-S,3-68155-S,4-29884-B,7-70231-B,7-70657-B,8-0-S,10-38684-S,10-39231-S,12-10008-S,12-10276-S,12-31307-S,12-31779-S,12-35300-S,12-35300-S,12-35457-S,12-37361-S,12-37661-S,12-38032-S,12-45156-B,12-46559-S,12-51522-S,13-1745-S,13-2280-S,13-21683-S,14-33822-S,14-44374-S,15-48848-S,17-39749-S,18-8316-S,20-47481-S,20-51330-S,21-27138-S,22-58966-S,23-6616-S,23-6689-S,26-44126-S,27-33444-S,27-34604-S,27-34788-S,27-40665-S,27-40665-S,27-51481-S,27-51677-S,27-52496-S,27-52783-S,27-53035-S,27-68380-S,28-2050-S,28-20045-S,28-56903-S,28-59339-S,29-15891-S,29-15891-S,29-33180-S,29-33262-S,29-35530-S,34-23911-S,39-9185-S,39-9185-S,39-9254-S,39-9440-S,39-56340-S,41-52789-S,42-37732-S,45-26217-B,45-29223-S,45-29467-S,45-30497-S,47-40237-S,48-59471-S,48-59471-S,49-1680-S,49-1807-S,49-2148-S,49-2364-S,49-55665-S,49-57530-S,49-64231-S,50-839-S,50-4608-S,50-4945-S,50-11109-S,50-19004-S,50-19216-S,50-26631-S,50-27020-S,51-11621-S,51-53646-S,51-54442-S,51-54685-S,51-56051-S,51-56244-S,51-61896-S,51-61951-S,51-63300-S,53-36580-S,55-42334-S,56-10531-S,56-11459-S,57-903-S,57-7811-S,58-41795-S,59-40303-S,59-54399-S,62-23600-S,64-32276-S,64-36256-S,64-39174-S,66-56610-S,66-57608-S,66-58288-S,66-58860-S,66-59032-S,66-59032-S,67-5049-S,70-28610-S,70-28610-S,71-53268-S,71-54182-S
together a team	50-61661-S
together a temporary shed	28-59401-S,28-60680-S
together and carriages level 成语 saw	62-25879-S
together and the fisherman catches both	71-1127-S,71-1255-S
together as a series	62-25335-S
together as by glue of lovers	18-31353-S
together as one	62-22982-S
together by chance	54-41668-S
together by fate	32-38558-S
together disparate substances	17-71892-S
together in a crowd	60-60767-S
together in a large group or flock	51-10601-S
together in company	5-1152-S
together in hard times	68-58218-S
together in harmony	45-27907-S
together in obeisance	29-22182-S
together in prayer	12-34451-S
together in the name of love	35-60477-S
together of distinguished people or exquisite objects	55-20807-S
together to form whole scrolls	48-3099-S
together to offer a gift	8-34882-S
together until the white hairs of old age 成语 saw	44-48302-S,44-48490-S
together usu things that do not blend well together	48-59471-S
together various bits	67-5049-S
together volunteers	27-44327-S
together with	2-46462-B,6-13867-B,13-21452-B,22-50849-B,53-21885-B,62-20085-B
together with derog 	23-6895-S
together with food	5-1152-S
together with husband or superior	35-60577-S
together with others	18-9534-S
together with sb	49-4569-S
together with sth	62-23244-S
together with the dead	66-23377-S
together with zhou enlai	14-46395-S
together with 難以 难以	4-59984-S
together 成语 saw	10-6945-S,12-36818-S,21-26320-S,27-15313-S,41-52789-S,42-10744-S,45-28990-S,50-45476-S,58-23057-S,70-39346-S
togetherness	49-51927-S
togo	11-14092-S,16-55123-B
