fluency	28-14025-B
fluent	4-60975-B,6-65171-S,31-63669-B,38-2302-B,68-25041-B
fluent and elegant calligraphy	68-61074-B
fluent command of	62-40403-S
fluent speaker 成语 saw	11-70949-S
fluent with words	42-45112-B
fluently	1-47086-S,39-34673-S,41-16674-S
fluently saying all one wants 成语 saw	31-63841-S
fluently 成语 saw	20-54313-S
fluff	60-17097-B
fluff containing seeds	49-50379-S
fluffing	23-49892-S
fluffy	54-12371-B,55-8923-B
fluid	10-59024-S,36-7656-S,38-7766-B,38-29262-S,38-37181-B,38-40652-S,47-51203-S,51-70-S,51-805-S,52-16002-S,52-23746-S,52-40647-S,70-7962-S
fluid dynamics	38-7887-B
fluid glance	45-49679-B
fluid in biological lab 	15-66587-S
fluid infusion	56-57565-B
fluid mechanics	38-7804-B,48-50653-S,50-40828-S,62-24254-B,67-23909-S
fluidity	38-2477-B
fluids	44-16612-S,66-24940-S
fluids esp in plants	37-59316-B
fluids general term in chinese medicine	37-59235-S
fluids in internal organs	38-13923-S,38-14027-S,43-52793-S
fluids of chinese medicine	36-29955-S
fluke	22-51683-S,56-1215-B
flunk	54-50044-S
fluor	36-24749-B,56-12879-B
fluorescence	41-13338-B
fluorescent lamp	48-30004-S
fluorescent light	31-5491-B
fluorescent screen	41-13387-B
fluoridation	36-24578-B
fluoride	36-24698-B,71-3273-S
fluorination	36-24578-B
fluorine	53-62464-B,71-2989-S
fluorine f	36-24546-B
fluorine f 氟	71-3432-S,71-3493-S,71-3643-S
fluorite caf2	36-24749-B,56-12879-B
fluoroscopy i e x ray	62-1206-S
fluorosilicate	36-24810-B,46-22150-S,55-28824-S
fluorosilicic acid h2sif6	36-24810-B
fluorspar	36-24749-B,56-12879-B
fluoxetine	31-50575-S
flurried	5-52070-B,24-66660-B,24-68151-B
flurry	25-46275-S,26-32946-S,44-7614-B
flush	38-55943-B,39-63457-B
flush away	37-14135-S
flush face	44-32691-B
flush red	49-10110-S
flush toilet	27-17333-B
flush with annoyance	5-8853-S
flush with embarassment or anger	39-54226-S
flushed from drinking	63-41848-B
flushed with anger or excitement	68-2743-B
flushed with success	31-36208-B
flushing chinatown	37-31779-B
flustered	25-46219-B,26-32946-S
flustered and exasperated	36-28100-B
flute	48-5382-B,48-5668-S,48-34917-B,48-44726-B,51-1414-S,65-18528-B,71-63853-S
flute with 7 or 8 holes	48-3745-S,48-34768-S
flute with 8 holes	48-23386-S
flutter	27-41563-S,28-44489-S,28-54220-S,68-60309-S,68-60589-B,68-64673-S
flutter in the wind	31-2965-S,68-61241-S
flutter in the wind 成语 saw	61-46671-S
fluttering of flag	31-2437-B
fluttering of flags	31-2077-B
fluviatilis	56-13246-S
flux	38-3733-S,46-34800-S,46-35460-S,46-36302-S,62-15511-B
fly	4-29854-S,16-55160-S,18-18966-S,19-63953-S,33-37939-S,39-29236-S,47-15074-S,51-17358-S,51-19772-S,55-4087-S,55-57505-S,56-3914-S,56-4545-S,56-7671-S,56-12980-S,56-16740-S,56-20132-B,68-59793-S,68-60589-B,68-62406-S,68-63029-S,68-64634-B
fly as a flock	51-11621-S
fly directly	45-23644-S,45-25366-S
fly down	68-28172-B
fly fast	51-19590-B
fly from a flagpole	31-2965-S
fly heavenwards 成语 saw	67-7583-S
fly in air	53-36255-S
fly into a rage	32-472-B
fly into a rage out of humiliation	25-24885-S
fly into space	1-48200-S
fly on a crane	3-14873-S,60-40370-S
fly on a crane and become immortal	69-50084-S
fly on a crane to the western paradise	69-50179-S
fly one s own flag	42-19607-S
fly out	68-62535-S
fly over bridges or underpass tunnels	47-60282-S,47-61990-S
fly over road bridge	60-39900-B
fly shakes the stone tower 成语 saw	56-6180-S
fly the flag as a cover for shady business	31-3456-S
fly to a longed for place or person	24-40583-S
fly to the sky	1-48200-S
fly up to the sky	28-17784-S
fly upwards	68-35740-B
fly upwards swiftly	69-54479-S
fly wing to wing	36-11646-B
flycatcher	70-58469-S
flyer	19-53865-B
flying	6-18628-S,69-239-B
flying bird	69-2587-S
flying dragon	56-12943-B
flying fish	69-1052-B
flying fox	42-6787-B
flying in all directions	14-51842-S
flying in the face of authority	25-6841-B
flying into the fire 成语 saw	69-0-S
flying locusts	69-150-B
flying object	22-55167-S
flying object ufo	2-14035-S
flying pigeon famous bicycle brand	69-1302-B
flying saucer	2-14035-B,68-64413-B
flying snow	69-890-B
