grand valley state university michigan	17-16304-B
grand view	45-5186-B
grand view gardens	9-41574-S
grandaunt s husband	18-40473-S
granddaughter	16-46973-B,19-14663-B,32-15757-S,63-57782-S
granddaughter one s daughter s daughter	16-47050-B
granddaughter s husband	19-14796-B
granddaughter son s daughter	19-14724-B
grande brasil	63-54640-S
grandee	6-62921-B
grandeur	53-4483-S,66-52977-S,70-21885-B
grandfather	11-56848-S,16-2256-S,16-2498-S,16-2661-S,16-2845-S,16-2930-S,16-44266-S,18-42765-S,32-16063-S,32-16249-S,41-41598-S,46-53529-S,51-29270-S,51-29483-S,70-18931-S
grandfather arch 	68-52093-S
grandfather father of one s paternal grandfather	32-16063-S
grandfather great grandfather	11-56848-S
grandfather i e mother s father	16-49461-S
grandfather s sister	56-43454-S
grandfather s younger brother	11-56938-B,11-57558-B,11-57620-S
grandiflora	53-64498-S
grandiflorus	34-7722-S
grandiloquence	11-70949-B
grandiose	16-3065-B,38-10729-B,38-13185-B
grandiose aims but modest ability 成语 saw	45-52491-B
grandiose plans that end up with nothing	49-35613-B
grandma maternal	18-42603-B
grandmother	7-3592-S,16-46717-S,16-49382-S,17-57721-S,18-23831-S,18-42685-S,18-52141-B,32-15544-S,32-16153-S,46-53345-S,51-27030-S,51-30031-S,70-18865-S
grandmother mother s grandmother	32-15544-S
grandmother s brother or sister	56-43454-S
grandnephew	5-16738-B
grandpa	41-41555-B,51-26408-B
grandpa polite form of address for old man	51-25207-B
grandparent	18-6973-S
grandparents	46-52878-B,46-53597-S
grandson	16-46885-B,19-14315-B,19-15015-B,32-15708-S,42-27419-S,63-57732-S,65-13150-S
grandson s wife	19-14887-B
grandson to sustain upper storeys of ancestor worship	26-62739-S
grandstand	45-38162-S
granite	53-55400-B,53-55453-B
granny	51-26350-B,66-618-B,66-959-B
granny liu visits the grand view gardens	9-41574-B
grant	1-66471-S,8-25340-S,8-25409-S,20-32299-S,28-12629-B,44-29935-B,49-49250-B,59-56781-B,59-56822-S,59-56962-S,60-2656-S,61-63943-S
grant a title	58-30780-B
grant an interview	28-27803-S
grant or confer	68-31807-S
granted formal usage in old document	41-8202-S
granted that	21-10255-B
granulated sugar	68-42624-B
granule	37-14272-B,46-12268-B,48-47933-S,48-48071-B,68-42624-B
granulocyte	48-48480-B
granulocyte blood cell	48-48396-S
granulocytes rarest type of white blood cell	14-24802-S
grape	54-57850-B
grape juice	54-58108-B
grape vine	54-58913-B
grape wine	54-58967-B
grapefruit	33-40270-B,34-26686-B,54-58054-B,69-26261-B,69-26549-B
grapes	54-39035-B,54-57647-B,63-45378-S
grapes are sour when you can t eat them	14-14139-S,58-33016-S
grapes set expr based on aesop	14-14139-S,58-33016-S
graph	15-26222-B,22-46129-S,50-16522-S
graph of average values	15-48305-B
graph paper	15-27871-B,30-63088-B
grapheme	19-6329-B
graphic	15-25732-B
graphic interchange format	15-25788-B
graphic novel	62-23170-S
graphic pattern	3-67487-S
graphic variant of 鞍	68-6943-B
graphical	15-26222-B
graphical user interface	15-25896-B
graphical user interface gui	15-26361-B
graphics	4-66419-S,9-10915-B,9-69684-S,21-56523-S,21-56608-S,38-34090-S,39-6698-S,57-59625-S
graphics card	15-26304-B,68-51801-B
graphics e g maps	15-28101-S
graphite	46-5340-B
graphite reactor	46-5401-S
grapple with the enemy	27-52347-S
grapsus	56-5100-B
grapsus sp	56-17073-B
grasp	15-64636-B,26-65079-S,26-65687-B,27-291-B,27-55862-S,28-34363-B,28-47410-S,29-4703-S,29-20338-S,29-36501-S,47-13621-S,47-43080-S,68-34671-B
grasp ideas	42-56493-S
grasp it and victory is assured 成语 saw	47-43080-B
grasp of sth	9-57559-S
grasp often fig 	28-14025-S
grasp sth in the hand and beat it	28-63821-S
grasp the main points	2-8947-S
grasp to advance to breakdown	29-3265-S
grasp with fingers	27-20244-S
grasp with pincers	64-23491-S
grasped when shooting	23-33410-S
grasping official	59-39095-S
