malaysian peninsula and singapore	33-44038-S
malaysian person or people	69-32396-B
malaysian state	37-15686-S
maldives	69-39404-S
male	5-10729-B,23-33471-S,41-50285-B,43-44843-B,43-44925-S,43-45376-S,43-45995-S,43-46651-B,47-13041-S,47-64728-S,51-25129-S,55-50432-S,66-52780-B,66-53126-B
male addicted to computers	19-20385-B
male and female	66-61340-B
male animal	42-1350-B,66-53459-B
male animal kept to breed offspring	7-62246-B
male baby	43-45332-B
male breeding poultry	47-33543-B
male breeding stock of animal species	47-32047-B
male child	43-46687-B
male companion	68-4241-S
male component of nut and bolt	56-14172-S
male cousin	16-2341-S,56-43454-S
male cousin sharing paternal grandfather	16-2256-S,16-2498-S,16-2930-S
male cousin via female line	56-43235-S,56-43584-S,56-44342-S
male cousins via female line	56-43305-B
male dog	7-61821-B
male eagle	66-54042-B
male esp one obliged to forsake male friends	18-37449-S,18-37571-S
male falcon used in falconry	66-54042-S
male female	43-45132-B
male figure	7-3460-S
male friend	43-46456-B
male friends	18-37449-S,18-37571-S,51-25603-S
male frogs	51-65443-S
male gamete	66-53859-B
male genitals	10-6806-B
male guest at party	19-41405-B
male hormone	45-57600-B,45-57709-B,66-53167-B,66-53389-B,66-53927-B
male impotence drug	6-10589-S
male line	18-43929-S
male name	12-22407-S,26-52954-S
male nettle hemp	33-39259-B
male opera singer in puberty	5-55410-S
male part of flower	66-53565-S
male pig	59-26402-B
male principle	3-23839-B
male principle taoism	66-34671-B
male schoolchild	43-46561-B
male sheep	7-63657-S
male student usually primary school	43-46561-B
male to female	43-46282-S
male voice	43-44975-S
malefactor	16-34610-S,17-31513-S,18-24814-S,40-33310-B,60-10009-S
malefactor to a better life	25-39302-S
malefactors to the police	53-26867-S
malefactors 成语 saw	70-34229-S
males	13-42113-S
males having same grandfather great grandfather	11-56848-B
malevolence	30-18204-B
malevolent	25-18726-B,35-55664-B
malevolent returns to haunt one	35-58140-S
malformation	50-24917-S
malfunction	29-61657-B
mali	22-10933-S,23-19847-S,62-6917-S,69-41906-B
mali a person s name	43-1937-B
mali and the sahara	34-6885-S
malice	10-17682-S,25-21113-B,25-21332-B,43-61029-B,47-12540-B,53-65639-S,55-4644-B
malice esp of crime	37-60655-S
malicious	7-2273-S,8-31127-S,18-25658-B,24-33444-B,25-22061-B,42-8031-B,70-32107-B
malicious abuse	25-22917-B
malicious attacks	56-24109-B
malicious calumny	59-13475-B
malicious code e g virus	25-21245-B
malicious cult	63-18781-S
malicious deed	25-18841-B
malicious gossip	47-49516-B
malicious gossip mongering	68-64268-S
malicious intentions	2-10949-S
malicious libel	25-21165-B
malicious spirit	11-37198-B
malicious talk	25-23316-B,25-23521-B
malicious tongue	25-23114-B
malicious words	16-35320-B,71-33202-B
malicious young ruffian	25-20243-B
maliciously	25-23577-S,59-13053-S
malign	66-61619-B
malign tumor	25-20838-B
malignant	25-18726-B,25-20541-B
malignant deity	25-22770-B
maliki c 1950 prime minister iraq from 2006	69-34254-S
maliki name	69-34254-S
maliki or al maliki name	69-34254-B
malipo place in yunnan	71-14651-S
mall	60-51-S
mallard	19-65005-B,70-51352-B
mallard anas platyrhyncha	64-4673-B
mallet	20-65580-B,26-36691-B,34-44015-B,42-59827-B
malleus handle of hammer bone	64-43715-S
malleus or hammer bone of middle ear	64-43645-B
mallotus japonicus	34-36642-B
mallow abutilon theophrasti	53-64879-S,53-64962-S
