minhang district	65-47361-B
minhe huizu tuzu autonomous county in qinghai	36-19695-B
minhou county in fujian	65-48731-B
minhsiung village in taiwan	36-23915-S
mini as in mini skirt or mini cooper	61-53739-B
mini bus used for public transportation	20-61157-B
mini car	21-1321-B
mini cooper	61-53739-S
mini nuke	20-62060-B
mini skirt or mini cooper	61-53739-S
miniature	24-17735-B,24-18545-B,24-21067-B,50-27873-B,50-27939-B
miniature carving	24-19110-S
miniature portrait of great national leader	6-50498-S
miniaturize	24-21067-S
minibus	71-13672-S
minima	34-34146-S
minimal	34-34777-B
minimalist theory	32-18969-B
minimum	32-18907-B,60-17578-S
minimum point	32-19062-B
mining	28-21623-S,28-21872-B,28-21914-B,46-11264-S,46-11369-S,46-44604-S,48-58638-S,65-7050-B
mining affairs bureau	46-43961-B
mining area	46-44027-B
mining corporation	9-46328-S,24-41206-S
mining disaster	46-45327-B
mining industry	46-44384-B
mining or smelting	39-2485-S
mining site	46-44027-B
miniskirt	60-22096-B,61-53809-B
minister	2-45332-S,7-54709-B,9-22863-S,9-33277-S,9-33277-S,9-33672-S,11-28303-S,15-14099-S,16-49330-S,16-51603-S,19-57675-S,20-28772-S,33-5369-S,44-7683-S,44-7881-S,47-63771-S,50-33985-S,52-21106-S,52-53944-B,62-67543-S,63-21130-S,63-23356-B,63-64082-S,64-11746-S
minister during warring states	45-27507-B
minister in feudal china	19-58401-S
minister iraq from 2006	69-34254-S
minister level conference	63-23474-B,63-23545-B,63-23708-B
minister not afraid to give forthright criticism	41-39283-B
minister of education hist 	12-24084-B
minister of finance	59-34277-B
minister of foreign affairs	16-42942-B,16-51603-B
minister of india	21-14493-S
minister of japan	33-7452-S
minister of japan or uk etc	69-23078-S
minister of many kingdoms or dynasties with varying roles	2-45332-S
minister of nepal	24-27729-S
minister of revenue from the han dynasty onwards	26-25447-B
minister of singapore	12-69595-S,33-1016-S
minister of state in pre han states	17-13281-B
minister of the interior	7-28759-B,33-35121-S
minister of war in pre han chinese states	12-24920-S
minister of yan 燕 puzzles out to mean brilliant prospects	63-22219-S
minister provokes a rebellion by exploiting the people	19-43096-S
minister s form of address for the current emperor	51-44165-S
minister title given to reward loyal general or vassal of new dynasty or state	65-31873-S
minister who conspires against the state	18-25354-S
minister who has given outstanding service	9-50354-B
minister zhuge liang 諸葛亮 诸葛亮 of shu	56-2359-S
minister 成语 saw	70-2903-S
ministerial job 成语 saw	49-35175-S
ministerial level e g negotiations	63-23626-B
ministries and commissions	63-23036-B
ministries in imperial china	1-37691-S
ministry	16-42843-S,41-52025-B,57-64173-B,63-22531-B,63-23095-S
ministry e g of japan or korea	16-45023-S
ministry of agriculture	61-41071-B
ministry of civil affairs mca of the prc	36-20781-B
ministry of civil affairs mca 民政部	36-20646-S
ministry of civil affairs 民政部	29-64721-S
ministry of culture japanese monbushō	30-31290-B
ministry of education	30-5107-B
ministry of finance	59-33481-B
ministry of foreign affairs	16-45110-B
ministry of foreign trade and economic cooperation moftec	20-48647-B
ministry of health	11-29652-S,11-29751-S,56-38105-B
ministry of internal affairs	7-26830-B
ministry of national defense	15-14007-B
ministry of navy during qing times	53-38159-B
ministry of nuclear industry	33-57261-B
ministry of public security	7-58507-B,7-58894-B
ministry of revenue	26-25381-S
ministry of the interior	7-28689-B
ministry of truth	2-54596-S
ministry of war in feudal china	8-2849-S
ministry spokesperson	37-4949-S
minituarization	24-19672-B,24-19672-S
minjiang river fujian	65-48890-B
minjiang river sichuan	21-38302-B
mink	71-25864-S,71-26164-S
mink fur	59-27104-B
mink mustela lutreola	36-46635-B
minnan	65-48800-B,65-48840-B
minneapolis	31-23383-B
minnesota	31-23245-B,31-23308-B
minnows	70-45292-B
minoan civilization on crete	48-46368-B
minoan palace at iraklion	58-49168-S
minor	20-60498-S
minor blemishes	17-37103-S
minor constellation	20-67170-S,20-67740-S,20-67858-S
minor details	13-35409-S,50-37846-S,58-8413-S
minor details to clear up later	61-44878-S
minor i e person under 18	32-57965-B,32-58131-B
minor injuries	61-9752-B
minor issue 成语 saw	21-2182-S
minor item in a bigger work	28-43971-S
minor matter	17-40466-S,20-68449-S
minor matters	30-37613-S
minor not an adult	32-58218-B
minor official	12-59942-B
minor old usage	32-56594-B,32-58067-B
minor ones	63-7636-S
minor planet	21-317-B
minor third musical interval	17-15793-S
minorimachi and 袮宜田 minorita	56-52399-S
minorita	56-52399-S
minorities	18-50197-S
minority	5-35648-S,5-38381-S,12-40216-S,21-4176-B,21-4236-S,22-18549-S,33-25098-S,56-10270-S,62-53866-S,71-45384-S,71-45467-S
minority chinese muslims	14-54252-S,14-54862-S
minority group in china	5-9997-S,47-52910-S
minority hereditary headmen in the yuan	15-30019-S
minority in central asia	68-9624-S
minority living across china	14-56113-S
minority of inner mongolia and heilongjiang	62-53930-S
minority of lijiang 麗江 丽江 in northwest yunnan	33-18153-S
minority of myanmar	7-17918-S
minority of northwest yunnan	42-22340-S
minority of pakistan and afghanistan	5-51464-S
minority of south china and southeast asia	6-30016-S,6-30093-S
minority of yunnan	6-25863-S,6-25964-S
minority of yunnan and sichuan	29-1325-S,29-1401-S
minority people living across china	14-56186-S
minors	18-49962-S
minqin place in gansu	36-19634-S
minqing place in fujian	65-48949-S
minsk capital of belarus	31-24166-B
minstrel	12-66024-S
mint	43-51616-B,55-19834-S
mint coins	65-5863-S
mints	49-29881-S
minuet	20-65928-B
minus	35-39240-S,39-144-B
minute	8-48969-B,8-59413-B,39-7300-B,48-19052-S,49-31393-B,49-31443-B,50-46853-B,52-57896-S,58-17220-B,61-29556-S
minute and second 成语 saw	8-56936-S
minute criticism of a woman s appearance	13-35409-B,58-8413-B
minute effort	52-57896-S
minute failure	9-49161-S
minute flies	56-21189-B
minute small	45-35077-B
minute to lose	8-56936-S
minutely	4-24718-B,49-31153-B,61-56577-S
minutely from every angle	28-34613-S
minutely observed thatched hut by ji yun 紀昀 纪昀	65-49421-S
minutes	1-31178-S,3-47397-S,41-38316-S,49-3358-B,64-59606-S
minutes passed	62-43235-S
minutiae of wording	13-28961-S
minyong 1947 	33-2861-S
