savings rate	6-59667-B
savior	29-63524-B
savior in christianity	29-63326-S
savior individual or organization	29-64167-S
savior or religious leader	66-17361-S
savory	69-24798-S
savory herb	69-30758-B
saw	1-865-S,1-1470-S,1-2914-S,1-4752-S,1-5398-S,1-6114-S,1-8366-S,1-9947-S,1-11282-S,1-11646-S,1-11876-S,1-12407-S,1-13126-S,1-13726-S,1-14717-S,1-15116-S,1-15758-S,1-16116-S,1-16525-S,1-17545-S,1-17703-S,1-17915-S,1-20498-S,1-20949-S,1-23039-S,1-23164-S,1-24039-S,1-29980-S,1-33352-S,1-34661-S,1-35002-S,1-39604-S,1-67242-S,1-67379-S,1-67577-S,1-68625-S,1-69119-S,1-72767-S,1-76013-S,2-1208-S,2-4492-S,2-11222-S,2-13082-S,2-16755-S,2-21606-S,2-21818-S,2-28312-S,2-28529-S,2-30554-S,2-30720-S,2-30888-S,2-31022-S,2-32857-S,2-35456-S,2-37921-S,3-10530-S,3-14163-S,3-14744-S,3-19538-S,3-20205-S,3-25990-S,3-29733-S,3-29873-S,3-30289-S,3-30572-S,3-41678-S,3-45199-S,3-45685-S,3-56157-S,3-56522-S,3-56796-S,3-57117-S,3-65840-S,3-66287-S,4-5939-S,4-8138-S,4-13833-S,4-14230-S,4-14549-S,4-17753-S,4-20172-S,4-25249-S,4-25829-S,4-26114-S,4-26250-S,4-26525-S,4-26631-S,4-26737-S,4-26876-S,4-26987-S,4-27069-S,4-27235-S,4-30348-S,4-34664-S,4-36415-S,4-37856-S,4-38274-S,4-38835-S,4-38996-S,4-39331-S,4-40149-S,4-41576-S,4-41706-S,4-42308-S,4-42558-S,4-44001-S,4-60975-S,4-62822-S,5-2623-S,5-6225-S,5-8584-S,5-18148-S,5-23996-S,5-47670-S,5-50462-S,5-52126-S,5-56342-S,5-56503-S,5-56663-S,5-57061-S,5-60574-S,5-64277-S,5-64777-S,5-65501-S,6-981-S,6-5300-S,6-6513-S,6-9948-S,6-22696-S,6-42943-S,6-43218-S,6-43703-S,6-44103-S,6-45265-S,6-47391-S,6-47614-S,6-47818-S,6-48547-S,6-56311-S,7-118-S,7-2453-S,7-2653-S,7-3039-S,7-5151-S,7-5376-S,7-7268-S,7-7890-S,7-9855-S,7-13552-S,7-15935-S,7-45553-S,7-47610-S,7-47755-S,7-64377-S,7-68796-S,7-69294-S,8-519-S,8-1126-S,8-10853-S,8-13966-S,8-14062-S,8-15558-S,8-34461-S,8-34637-S,8-35671-S,8-35789-S,8-40597-S,8-41537-S,8-42238-S,8-43371-S,8-47262-S,8-56936-S,8-62321-S,9-1993-S,9-5303-S,9-14997-S,9-15402-S,9-17070-S,9-17159-S,9-17453-S,9-20196-S,9-28374-S,9-31199-S,9-36214-S,9-43838-S,9-44949-S,9-46175-S,9-46405-S,9-46557-S,9-46939-S,9-47798-S,9-48258-S,9-48649-S,9-48776-S,9-48900-S,9-49014-S,9-49161-S,9-50682-S,9-50813-S,9-53632-S,9-53745-S,9-53840-S,9-61028-S,9-61525-S,10-2698-S,10-6945-S,10-7096-S,10-7515-S,10-10766-S,10-15175-S,10-16004-S,10-17682-S,10-18713-S,10-23974-S,10-25111-S,10-48569-S,10-49646-S,10-50654-S,10-50849-S,10-51192-S,10-51499-S,10-51803-S,10-51965-S,10-52099-S,10-52209-S,10-58009-S,10-62423-S,10-62808-S,10-62946-S,10-71389-S,10-71508-S,10-71629-S,11-6746-S,11-7134-S,11-9212-S,11-10253-S,11-22330-S,11-23171-S,11-23295-S,11-28395-S,11-39371-S,11-42837-S,11-46384-S,11-49943-S,11-51777-S,11-52620-S,11-67198-S,11-68916-S,11-70949-S,11-71169-S,12-8147-S,12-8735-S,12-14731-S,12-20247-S,12-28611-S,12-29209-S,12-29586-S,12-29750-S,12-36818-S,12-46834-S,12-47214-S,12-48043-S,12-49154-S,12-49865-S,12-50154-S,12-53164-S,12-53351-S,12-53496-S,12-54222-S,12-54851-S,12-54992-S,12-57366-S,12-59222-S,12-59425-S,12-60195-S,12-60842-S,12-64891-S,12-66745-S,12-67387-S,12-67489-S,12-69308-S,13-1745-S,13-2280-S,13-5675-S,13-10341-S,13-14488-S,13-19275-S,13-19755-S,13-28961-S,13-29180-S,13-31364-S,13-32526-S,13-33136-S,13-33678-S,13-35409-S,13-49325-S,13-49428-S,13-54683-S,13-55399-S,13-56746-S,13-63360-S,13-63511-S,13-63687-S,14-3623-S,14-6931-S,14-7026-S,14-7241-S,14-7954-S,14-8065-S,14-8688-S,14-9089-S,14-10473-S,14-11780-S,14-12039-S,14-12226-S,14-12644-S,14-13190-S,14-13916-S,14-15797-S,14-16005-S,14-19073-S,14-29882-S,14-41978-S,14-46630-S,14-49300-S,14-51521-S,14-51661-S,14-52530-S,14-53361-S,14-54038-S,14-59084-S,14-59228-S,14-59462-S,14-59606-S,14-61468-S,14-62332-S,15-38707-S,15-50613-S,15-50753-S,15-51688-S,15-55030-S,15-55683-S,15-61237-S,15-65338-S,16-3723-S,16-3887-S,16-4405-S,16-5477-S,16-5684-S,16-5787-S,16-5950-S,16-6308-S,16-10460-S,16-19193-S,16-28449-S,16-30454-S,16-38864-S,16-52363-S,16-52636-S,16-54802-S,16-57460-S,16-57574-S,16-59492-S,17-474-S,17-2526-S,17-3593-S,17-7886-S,17-8847-S,17-10423-S,17-10568-S,17-17175-S,17-20304-S,17-20517-S,17-21298-S,17-25213-S,17-30987-S,17-31103-S,17-31308-S,17-45514-S,17-48173-S,17-50130-S,17-50257-S,17-52669-S,17-59030-S,17-62902-S,18-585-S,18-2800-S,18-4374-S,18-23465-S,18-27044-S,18-30395-S,18-30946-S,18-31059-S,18-31576-S,18-31734-S,18-31896-S,18-32123-S,18-32412-S,18-33217-S,18-33425-S,18-33530-S,18-33654-S,18-35667-S,18-38317-S,18-38918-S,18-40181-S,18-57952-S,18-60793-S,19-4690-S,19-8967-S,19-18347-S,19-37869-S,19-40931-S,19-41293-S,19-43096-S,19-59609-S,19-61234-S,19-63585-S,19-64155-S,20-8739-S,20-10768-S,20-11970-S,20-17906-S,20-19187-S,20-24848-S,20-26125-S,20-28882-S,20-45227-S,20-45428-S,20-52736-S,20-53110-S,20-53317-S,20-54313-S,20-54638-S,20-57125-S,20-64272-S,21-2182-S,21-3986-S,21-17653-S,21-18378-S,21-22490-S,21-24845-S,21-25215-S,21-26320-S,21-31655-S,21-33595-S,21-33739-S,21-39900-S,21-42451-S,21-47678-S,21-58371-S,21-58646-S,21-59763-S,21-60616-S,22-43165-S,22-57903-S,22-63768-S,23-19574-S,23-23495-S,23-24351-S,23-28297-S,23-29475-S,23-29630-S,23-31361-S,23-34398-S,23-36301-S,23-37900-S,23-45173-S,23-45295-S,23-46265-S,23-47088-S,23-48663-S,23-49352-S,23-49491-S,23-58150-S,23-65428-S,23-65532-S,23-66996-S,24-1970-S,24-7256-S,24-7914-S,24-9167-S,24-9306-S,24-9528-S,24-11114-S,24-12606-S,24-23191-S,24-26725-S,24-28215-S,24-29757-S,24-30982-S,24-31251-S,24-31913-S,24-33444-S,24-34053-S,24-38167-S,24-40189-S,24-42815-S,24-43744-S,24-44736-S,24-45369-S,24-46487-S,24-46909-S,24-47132-S,24-47601-S,24-47790-S,24-50107-S,24-52224-S,24-52537-S,24-52729-S,24-53585-S,24-54266-S,24-57735-S,24-58146-S,24-59123-S,24-60079-S,24-63809-S,24-64159-S,25-1415-S,25-4160-S,25-4832-S,25-6841-S,25-7300-S,25-7846-S,25-10673-S,25-12546-S,25-12729-S,25-13805-S,25-18892-S,25-19651-S,25-21703-S,25-23777-S,25-25368-S,25-27478-S,25-31755-S,25-33806-S,25-33955-S,25-40023-S,25-40891-S,25-41345-S,25-42681-S,25-42769-S,25-46843-S,25-46988-S,25-47723-S,25-47875-S,25-48314-S,25-49923-S,25-53101-S,25-53456-S,25-62921-S,26-590-S,26-1115-S,26-2206-S,26-7293-S,26-18920-S,26-23741-S,26-24834-S,26-25075-S,26-31683-S,26-35712-S,26-36384-S,26-37237-S,26-37845-S,26-38019-S,26-38287-S,26-38512-S,26-38739-S,26-38859-S,26-43079-S,26-43795-S,27-667-S,27-2399-S,27-11833-S,27-12591-S,27-13649-S,27-13948-S,27-14086-S,27-15313-S,27-18423-S,27-19042-S,27-19237-S,27-26206-S,27-27976-S,27-29594-S,27-29721-S,27-29831-S,27-30867-S,27-33444-S,27-34788-S,27-39841-S,27-41131-S,27-44014-S,27-44494-S,27-47573-S,27-49482-S,27-53621-S,27-53744-S,27-54456-S,27-58611-S,27-58821-S,27-61283-S,27-61419-S,27-65042-S,27-65192-S,27-65772-S,27-67201-S,27-70445-S,27-70599-S,28-5521-S,28-6998-S,28-8706-S,28-13280-S,28-18376-S,28-22108-S,28-24430-S,28-30682-S,28-31265-S,28-33271-S,28-33509-S,28-34984-S,28-41632-S,28-45128-S,28-45562-S,28-46521-S,28-52200-S,28-54024-S,28-58358-S,29-12887-S,29-18794-S,29-32260-S,29-39612-S,29-39887-S,29-46263-S,29-48739-S,29-53078-S,29-53474-S,29-59423-S,30-7255-S,30-12092-S,30-12323-S,30-13076-S,30-14429-S,30-19551-S,30-29047-S,30-34152-S,30-34450-S,30-38074-S,30-38177-S,30-38497-S,30-38655-S,30-59714-S,30-60108-S,30-60489-S,30-69909-S,31-3858-S,31-4042-S,31-4488-S,31-7665-S,31-10238-S,31-18788-S,31-25748-S,31-25926-S,31-27660-S,31-29694-S,31-30531-S,31-30686-S,31-31406-S,31-35967-S,31-38042-S,31-41957-S,31-55258-S,31-61815-S,31-63841-S,32-159-S,32-2844-S,32-2964-S,32-3329-S,32-5516-S,32-5906-S,32-13007-S,32-16545-S,32-17116-S,32-17315-S,32-31078-S,32-31208-S,32-32359-S,32-35058-S,32-36896-S,32-37053-S,32-37212-S,32-37334-S,32-40285-S,32-45750-S,32-46090-S,32-46433-S,32-47262-S,32-48361-S,32-48488-S,32-54870-S,32-57086-S,32-64677-S,32-69711-S,33-10940-S,33-11937-S,33-13429-S,33-13633-S,33-13788-S,33-15065-S,33-17135-S,33-17266-S,33-17736-S,33-18547-S,33-18712-S,33-18833-S,33-24204-S,33-26608-S,33-42747-S,33-42986-S,33-44475-S,33-50232-S,34-8451-S,34-17009-S,34-35399-S,34-40912-S,34-44552-S,34-47242-S,34-47338-S,34-49233-S,34-49355-S,34-53088-S,34-60376-S,34-60695-S,35-8064-S,35-9909-S,35-22187-S,35-22434-S,35-23119-S,35-23208-S,35-32128-S,35-41079-S,35-55881-S,35-56041-S,35-56175-S,35-57708-S,35-57830-S,35-58140-S,35-58308-S,35-58736-S,35-59864-S,35-61332-S,35-61662-S,35-62924-S,35-66143-S,36-127-S,36-1329-S,36-1517-S,36-1880-S,36-13471-S,36-19315-S,36-22610-S,36-42817-S,36-43354-S,36-53676-S,36-56328-S,36-56606-S,36-62511-S,37-4404-S,37-6297-S,37-8077-S,37-12202-S,37-12381-S,37-13185-S,37-20133-S,37-28572-S,37-42671-S,37-43366-S,37-51133-S,37-51249-S,37-57098-S,37-57791-S,37-57947-S,37-58939-S,37-61943-S,38-3178-S,38-7364-S,38-10420-S,38-24136-S,38-30133-S,38-36525-S,38-41423-S,38-48264-S,38-48544-S,38-51200-S,38-52991-S,38-54113-S,38-54625-S,38-65905-S,38-65996-S,38-66088-S,39-7372-S,39-7964-S,39-10253-S,39-16000-S,39-16104-S,39-21725-S,39-21826-S,39-25878-S,39-26042-S,39-30442-S,39-33050-S,39-33298-S,39-34673-S,39-35230-S,39-36991-S,39-38702-S,39-40576-S,39-40715-S,39-44617-S,39-44860-S,39-44979-S,39-52589-S,39-52859-S,39-57461-S,40-815-S,40-1179-S,40-5307-S,40-9759-S,40-10384-S,40-19642-S,40-31955-S,40-33077-S,40-33310-S,40-33994-S,40-34381-S,40-41434-S,40-43732-S,40-43948-S,40-46343-S,40-47984-S,40-48184-S,40-49606-S,40-50000-S,40-51030-S,40-51264-S,40-51364-S,40-53454-S,40-53763-S,40-56859-S,40-57001-S,40-57922-S,40-58571-S,40-59150-S,40-60766-S,40-64393-S,41-3933-S,41-6173-S,41-9267-S,41-9566-S,41-16330-S,41-20457-S,41-29558-S,41-29877-S,41-30084-S,41-32006-S,41-33166-S,41-38100-S,41-39989-S,41-43222-S,41-52789-S,42-371-S,42-5473-S,42-6057-S,42-6218-S,42-6680-S,42-7048-S,42-9630-S,42-9857-S,42-10015-S,42-10399-S,42-10744-S,42-17783-S,42-17952-S,42-18139-S,42-18392-S,42-19607-S,42-22085-S,42-28888-S,42-29046-S,42-37925-S,42-39839-S,42-40017-S,42-45557-S,42-45855-S,42-54230-S,42-56035-S,42-58917-S,42-59084-S,43-8016-S,43-15682-S,43-17594-S,43-18074-S,43-28366-S,43-28618-S,43-29895-S,43-58963-S,43-59073-S,43-59217-S,43-59492-S,44-6890-S,44-7683-S,44-7881-S,44-8690-S,44-9959-S,44-11346-S,44-11457-S,44-14453-S,44-18392-S,44-21557-S,44-25630-S,44-27477-S,44-33339-S,44-39629-S,44-48302-S,44-48490-S,44-49349-S,44-52813-S,44-54115-S,44-55024-S,44-55966-S,44-62425-S,44-63362-S,44-63558-S,44-63675-S,45-7227-S,45-7946-S,45-8143-S,45-8588-S,45-11228-S,45-11370-S,45-14851-S,45-15041-S,45-15174-S,45-15306-S,45-15431-S,45-15577-S,45-15767-S,45-15897-S,45-16023-S,45-17560-S,45-17733-S,45-18541-S,45-18691-S,45-18895-S,45-21189-S,45-21415-S,45-26532-S,45-28990-S,45-30751-S,45-31023-S,45-31292-S,45-32464-S,45-35301-S,45-41030-S,45-42172-S,45-42396-S,45-43737-S,45-47760-S,45-52491-S,45-53076-S,45-53193-S,45-53282-S,45-53565-S,45-61209-S,45-63445-S,45-63852-S,45-65660-S,45-65925-S,46-1379-S,46-2764-S,46-2943-S,46-18091-S,46-19108-S,46-19461-S,46-19607-S,46-19827-S,46-20447-S,46-20746-S,46-20927-S,46-29840-S,46-38799-S,46-39515-S,46-40428-S,46-43048-S,46-43320-S,46-55891-S,46-57065-S,46-57228-S,46-61946-S,46-62079-S,46-62766-S,47-1925-S,47-2422-S,47-3314-S,47-4655-S,47-9333-S,47-13740-S,47-14532-S,47-15074-S,47-16151-S,47-16329-S,47-36313-S,47-38518-S,47-38880-S,47-39128-S,47-40461-S,47-40710-S,47-41835-S,47-43080-S,47-45389-S,47-46068-S,47-49843-S,47-52177-S,47-52464-S,47-55409-S,47-57091-S,47-58539-S,48-4982-S,48-7938-S,48-25269-S,48-30075-S,48-32362-S,48-49824-S,48-53267-S,48-53760-S,48-54764-S,48-55736-S,48-55910-S,48-56025-S,48-56618-S,48-57976-S,48-58875-S,49-11618-S,49-14823-S,49-21294-S,49-23181-S,49-24916-S,49-35175-S,49-35613-S,49-36835-S,49-44177-S,49-44313-S,49-45059-S,49-45481-S,49-47105-S,49-47813-S,49-64792-S,49-66245-S,50-13327-S,50-15362-S,50-17804-S,50-22471-S,50-29380-S,50-45476-S,50-46223-S,50-51788-S,50-51879-S,50-53953-S,50-58184-S,50-62628-S,50-64323-S,51-1500-S,51-9234-S,51-11461-S,51-13678-S,51-18512-S,51-23712-S,51-30611-S,51-31657-S,51-42788-S,51-50421-S,51-56550-S,51-57006-S,51-64742-S,51-67318-S,52-9457-S,52-17315-S,52-18052-S,52-20447-S,52-21340-S,52-23487-S,52-24832-S,52-28093-S,52-33765-S,52-34788-S,52-42707-S,52-43686-S,52-57896-S,52-60441-S,53-295-S,53-575-S,53-1480-S,53-3557-S,53-5973-S,53-13585-S,53-15053-S,53-21047-S,53-22610-S,53-26121-S,53-26242-S,53-27031-S,53-27178-S,53-28143-S,53-41108-S,53-43202-S,53-43799-S,53-44218-S,53-50235-S,53-50755-S,53-50932-S,53-51398-S,53-51540-S,53-57403-S,53-65325-S,53-65639-S,53-67308-S,54-4910-S,54-14773-S,54-15163-S,54-18048-S,54-18616-S,54-26244-S,54-42277-S,54-45956-S,54-46539-S,54-49049-S,54-50672-S,54-54426-S,54-54670-S,55-3049-S,55-5582-S,55-5802-S,55-46040-S,55-47824-S,55-47958-S,55-49299-S,55-52848-S,55-53901-S,56-1834-S,56-6180-S,56-6398-S,56-24109-S,56-26017-S,56-26513-S,56-28506-S,56-28630-S,56-30838-S,56-31004-S,56-39708-S,56-40631-S,56-56545-S,57-254-S,57-29726-S,57-30307-S,57-30450-S,57-30610-S,57-31576-S,57-31761-S,57-31944-S,57-35272-S,57-35580-S,57-38400-S,57-50806-S,57-52888-S,57-55397-S,57-55739-S,58-8413-S,58-10507-S,58-12152-S,58-15062-S,58-22059-S,58-23057-S,58-26240-S,58-26363-S,58-27901-S,58-29012-S,58-29127-S,58-33789-S,58-36899-S,58-41353-S,58-44834-S,58-51404-S,58-51543-S,58-51653-S,58-51814-S,58-58538-S,58-62318-S,58-63638-S,59-9647-S,59-10542-S,59-14494-S,59-19624-S,59-21826-S,59-35994-S,59-36120-S,59-39437-S,59-39742-S,59-39863-S,59-42167-S,59-43860-S,59-57206-S,60-3148-S,60-6677-S,60-14800-S,60-15016-S,60-15458-S,60-19437-S,60-23156-S,60-25771-S,60-31337-S,60-31652-S,60-34829-S,60-41398-S,60-53133-S,60-53455-S,60-53587-S,60-54554-S,60-59203-S,61-11979-S,61-23153-S,61-23554-S,61-23724-S,61-24800-S,61-30250-S,61-44878-S,61-46671-S,61-46766-S,61-48430-S,61-51698-S,61-51811-S,61-52201-S,61-58233-S,61-62965-S,61-64325-S,61-65870-S,61-67446-S,61-68194-S,62-5116-S,62-18834-S,62-25879-S,62-27819-S,62-31596-S,62-31841-S,62-32013-S,62-32227-S,62-32397-S,62-40403-S,62-47207-S,62-49468-S,62-56008-S,62-56364-S,62-56484-S,62-56679-S,62-56839-S,62-57612-S,62-64661-S,62-66618-S,63-22219-S,63-40681-S,63-47720-S,63-58084-S,63-59343-S,63-59624-S,63-60421-S,63-61797-S,63-62586-S,64-984-S,64-1165-S,64-4838-S,64-5225-S,64-5925-S,64-6912-S,64-12821-S,64-13181-S,64-13284-S,64-15617-S,64-19426-S,64-31519-S,64-31701-S,64-33941-S,64-36020-S,64-36705-S,64-37248-S,64-39269-S,64-39269-S,64-39314-S,64-39835-S,64-41493-S,64-48290-S,64-56612-S,64-58033-S,65-9381-S,65-10101-S,65-12716-S,65-21610-S,65-25835-S,65-28766-S,65-31013-S,65-38362-S,65-41782-S,65-42002-S,65-42222-S,66-12279-S,66-22063-S,66-22240-S,66-40276-S,66-44361-S,66-57782-S,66-59151-S,67-3692-S,67-7583-S,67-9885-S,67-10589-S,67-11707-S,67-12366-S,67-12493-S,67-12719-S,67-14838-S,67-15029-S,67-15405-S,67-15570-S,67-20251-S,67-20412-S,67-23076-S,67-38544-S,67-43105-S,67-45839-S,67-46603-S,67-48446-S,67-52093-S,67-54289-S,67-59368-S,68-9087-S,68-13305-S,68-22053-S,68-24662-S,68-27885-S,68-37864-S,68-39880-S,68-45759-S,68-46305-S,68-48880-S,68-52159-S,68-56954-S,68-57227-S,68-58218-S,68-58368-S,68-58730-S,68-58845-S,68-62435-S,68-64268-S,69-0-S,69-1410-S,69-3430-S,69-4610-S,69-11675-S,69-11878-S,69-12555-S,69-12695-S,69-14036-S,69-14261-S,69-14376-S,69-15072-S,69-19831-S,69-20564-S,69-49464-S,69-52984-S,69-59963-S,69-60447-S,69-60774-S,69-60946-S,69-61806-S,69-62143-S,70-1128-S,70-1679-S,70-2903-S,70-3051-S,70-6328-S,70-7031-S,70-8275-S,70-15112-S,70-18635-S,70-30705-S,70-31065-S,70-31516-S,70-32107-S,70-33233-S,70-34229-S,70-39346-S,70-49821-S,70-50916-S,70-53951-S,70-56753-S,71-40283-S,71-41034-S,71-41263-S,71-42276-S,71-42567-S,71-42826-S,71-42951-S,71-45868-S,71-47254-S,71-48490-S,71-52242-S,71-61068-S,71-62782-S
saw a wise man submits to circumstances	58-62673-S
saw amiability leads to harmony	13-23795-S
saw amiability makes you rich	13-23701-S
