speed change	59-12105-B
speed changer	59-12162-B
speed is precious in war	8-2664-B
speed network	70-22564-S
speed of light	7-13383-S
speed of ship or plane	53-36370-B
speed of sound	68-15806-B
speed per hour	31-41858-B
speed train	30-48192-S
speed up	5-29277-B,9-55650-S,9-58729-S,16-27751-S
speedboat	24-48765-B
speedily 成语 saw	67-43105-S
speedometer of a vehicle	63-55321-B
speedy	57-60842-B,61-44435-B
spell	1-22376-S,13-26415-B,27-40665-S,27-51354-S,60-31100-S,66-20587-B,70-35375-S
spell during autumn	47-15812-S
spell on sb	56-22309-S
spell over sb	61-55774-S
spelling	20-23731-B,27-51313-B,27-52443-B
spelling e g spelling entertainment group	30-38930-B
spelling entertainment group	30-38930-S
spelling of tokhtogan 脱脱	26-51451-S
spelling of 盧布 卢布	50-57419-S
spelling out numbers	22-53269-S,37-57313-S
spelling 喬治敦 乔治敦 is more common	14-15186-S
spelling 蚝油	59-24856-S
spellings	21-12424-S
spence 1936 	12-21753-S
spence 史景遷 史景迁	61-56868-S
spencer name	30-42732-B
spend	22-63914-B,29-37567-S,30-37944-S,51-38115-S,51-38390-S,51-38464-S,59-46155-S
spend a holiday at a summer resort	63-7136-B
spend a long time thinking about sth while unable to reach a decision	41-327-S
spend a lot of money	46-20391-S
spend accordingly 成语 saw	64-4838-S
spend money	46-20622-S,53-54280-S,53-61437-S
spend money like water	28-50441-S
spend one s holidays	39-2079-S
spend one s leisure time	38-33031-S
spend recklessly	3-27367-S
spend the night	62-44356-S
spend the night in the open	67-46904-S
spend the summer	38-29797-S,38-30465-S
spend the whole day eating i e not doing any work	69-8525-S
spend time	53-56744-S
spend time or money	53-60967-S
spend what you earn	64-4838-S
spender or consumer	17-18470-S
spending	20-34465-S,48-57177-S,48-57177-S,61-690-S,65-38362-S
spending money	8-44796-S
spendthrift	29-66013-B
spendthrift and foolish	8-13741-B
spent	8-14623-S,8-15181-S,43-34206-B
spent fuel	3-11626-B
spent fuel rods	3-11766-B
spent fuel storage	3-11681-B
sperm	11-63610-S,48-52303-B,48-52709-B
sperm cell	66-53859-B
sperm count	48-52761-B
spermary of fish	70-46713-B
spermatophore	48-52660-B
spermatozoon	48-52709-B
spero under secretary of state for economic affairs	30-39018-S
sphenoid bone front of the temple	56-9267-B
sphere	15-24501-B,17-22157-S,17-51246-S,42-51378-B,42-52153-B,42-53019-B,68-33852-B
sphere astronomical model	39-7789-S
sphere astronomy	61-25513-S
sphere zhang heng s famous astronomical apparatus	39-44366-S
spheres	68-42574-S
spherical	15-22671-B
spherical aberration optics	42-51723-B
spherical bacteria	64-56281-S
spherical bacteria pathogen	42-52615-S
spherical geometry	12-51951-S,17-11116-S,17-11186-S
spherical substance	15-53691-B
spheroid math 	68-48204-S
sphingolipid	68-7837-B
sphinx	4-18240-B,42-16389-B
sphinx myth 	30-42393-B
sphygmometer	56-24646-B
spice	69-25566-B
spice bag	69-25127-B
spice etc	16-57900-S,21-4115-S
spice girls 1980s uk pop group	61-34163-B
spice pimenta dioica	17-64-S,41-47115-S,45-53908-S,69-30815-S
spices	55-47037-B,71-54821-B
spices powder	3-55751-S
spiciness	2-82282-S
spicy	9-13440-B,24-22089-S,34-36144-S,61-34068-S,64-1435-S
spicy diced chicken	19-57214-B,19-57856-B
spicy hot taste	61-33382-B
spicy shredded pork	70-38807-S
spicy soup	63-45578-S
spider	14-7765-S,56-1293-S,56-4279-B,56-17752-B,56-17782-S,56-22018-S
spider beetle	34-53333-B
spider lycosidae family	42-11046-S
spider s thread and horse track	56-355-S
spider web	56-4373-B
spiderman	56-4319-B,56-4436-B
spiegel	31-26405-S
spielberg 1946 	30-42048-S
spike	65-20619-B
spike volleyball	12-7640-B
spill	39-44521-S,39-56675-S,39-56856-B,40-18316-S
spill blood 成语 saw	14-29882-S
spill the beans	67-48257-S
