stuffed nose	71-52964-B
stuffed of food	17-72001-B
stuffing	6-64781-B,16-21730-B,69-14578-B,69-17896-B
stuffing e g in cooking	17-70359-S
stuffy	25-11015-B,25-11212-S
stumble	49-39411-B,49-39456-B,49-39621-S,60-28519-B,60-35365-B,60-44379-B,60-46342-S,60-47482-S,60-50581-B,60-52017-B,60-52605-S,60-54035-B
stumble over sth	49-39497-S
stumbling	66-20081-B
stumbling block	49-39551-B
stump	34-47102-B,34-61197-S,35-17309-S,55-43829-S
stump on which chickens roost	34-39939-S
stump tree root	33-54275-B
stumpy	46-939-B
stun	69-61934-S
stun grenade	67-40598-B
stunned	6-45782-B,45-18292-B,45-18457-B,69-63362-B
stunned and anxious	69-61182-B
stunned and speechless	14-39516-B
stunning	69-60903-B
stunt	41-58860-B,49-46965-B
stuntman	32-18492-B
stuntman in theatre	32-18384-B
stunts	32-18492-S
stunts ambition	4-15336-S
stupa	53-30236-B
stupa transliteration of pali thupo	38-13080-S,38-13227-S
stupa with buddhist relics	53-30423-B
stupefied	25-43564-B,34-31122-B,45-18457-B,69-59801-B,69-61934-B
stupefied 成语 saw	18-31896-S
stupid	13-7893-B,14-40694-B,25-26586-B,25-30958-B,25-30986-S,25-31652-S,25-31989-B,25-32028-B,25-63333-B,26-4300-B,34-31122-B,42-15709-B,44-15881-B,44-21440-B,48-7325-B,48-7777-B,48-60322-B,50-48899-B,50-49095-B,56-21615-B,56-21761-B,59-5879-B,59-58482-S,61-43504-B,62-67907-B,64-21212-B,68-31193-B,68-31735-B,69-51721-B,70-41428-B
stupid and arrogant	25-31419-B
stupid and cowardly	47-56251-B
stupid and ignorant 成语 saw	25-31755-B
stupid cunt taboo slang	6-45617-B
stupid great hulk of a man	6-45492-B
stupid mistake	60-10677-S
stupid opinion	25-31528-S,25-32074-S
stupid person	3-39696-B,25-31055-B,25-31884-B,41-36868-B,48-7387-B,66-6072-B,70-39874-B
stupid young fellow	6-45858-B
stupid 成语 saw	17-20304-S,17-20517-S
sturdy	6-18128-B,9-63823-B,23-42651-B,23-43284-B,26-39226-B,46-25290-B,49-39890-B,49-40907-B,54-5588-B,54-5651-B,70-33093-S
sturdy horses	8-1381-S
sturgeon	70-42497-S,70-45656-B,70-48458-B,70-48506-B,70-48623-B
sturio	70-48458-S
sturnus cineraceus	34-25112-S
stutter	11-67682-S,49-41121-S
stuttgart city in germany	30-39393-B
style	2-27077-S,2-58420-S,2-70817-S,4-45275-S,5-9084-B,9-3111-S,9-41970-S,19-7130-S,20-2328-S,23-25244-B,23-25353-B,27-41617-B,28-15753-S,28-49862-S,29-27409-S,30-10087-S,30-26855-S,30-30262-B,30-48603-S,30-50147-S,30-62649-B,32-12610-S,32-13127-S,32-42059-S,33-64800-B,34-0-S,34-53584-B,34-58712-B,34-59425-B,35-24383-B,35-27688-S,36-28865-B,37-31423-S,37-50044-S,38-814-B,38-1515-B,41-27480-S,42-6980-S,43-2313-S,43-2513-S,44-2218-S,44-39325-S,48-16510-B,48-31522-S,49-65235-S,49-65357-S,51-6676-S,51-29588-S,53-28252-S,55-19728-S,57-17089-S,58-12906-B,66-51705-S,68-35986-S,68-53274-B,68-54017-S,68-55093-B,68-55732-S,68-57339-B,69-50725-S,69-50884-S,70-5384-B,70-7435-S,70-9788-B
style based on nostalgia	24-13666-S
style clothes	57-22419-S
style clothes historical usage	57-18506-S
style despised as shallow by the classicists	69-50763-S
style dress	31-3694-S
style female organ of flower	53-57539-B
style food	57-24309-S
style guns in former times	37-50743-S
style in chinese calligraphy	68-44750-S
style in literary composition	48-14502-S
style in writing	48-16736-S
style kungfu martial art	37-60984-S
style of a classic author	29-27314-S
style of annals	50-20070-S
style of art or literature	34-0-B
style of calligraphy	68-59260-S
style of chinese calligraphy	54-14614-S
style of drawing or writing	48-15845-B
style of dress	26-44346-B,47-51740-B
style of food	37-46816-S
style of japanese poetry	13-23584-S
style of literature	70-5468-B
style of liu gongquan	33-50792-S
style of lyric poetry	34-48388-S
style of some author	29-27198-S
style of speaking	58-32774-S
style of work	5-9084-B
style of writing	44-39325-S
style strong coffee	25-29055-S
style tofu	19-62049-S
style unmatched in his generation 成语 saw	68-56954-S
style used of items to be censored	4-67354-S
styled genius 成语 saw	53-575-S
styled himself chuang wang one in jiugongshan 九宫山 nature reserve	65-52647-S
styles	21-7406-S,30-16814-S,32-11996-S,34-36476-S
styles of chinese characters	34-36539-S
styles of song in	45-704-S
stylus gramophone needle	13-55962-B
stymie golf	18-36660-B
styrene	54-868-B
styria province of austria	30-66669-B,30-66748-B
su	19-66184-S,47-38239-S,55-10177-S
su buqing	55-39923-B
su c 195 256	42-36514-S
su county in anhui	19-67649-B
su dongpo	55-39362-B
su father and sons	1-41113-S
su nan yuguzu autonomous county in gansu	52-2764-B
su or lu zijing 魯子敬 鲁子敬 172 217	70-41116-S
su shi 1037 1101	55-41516-B
su shi 蘇軾 苏轼	19-35138-S
su tseng chang 1947 	55-41447-B
su wu 140 60 bc	55-39976-B
su xun 1009 1066	55-40084-B
su xun 蘇洵 苏洵	1-41113-S
su yijian 958 997	55-39235-B
su yu	48-51211-B
su zhe 1039 1112	55-41567-B
su 魯肅 鲁肃 172 217	70-40511-S
suan cai	63-45335-B
suao town in taiwan	55-40135-S
suave	15-24176-B,68-61074-B
sub	3-57582-B,5-51686-B,35-21082-B
sub atomic	24-21697-B
sub bureau	8-51793-B
sub clauses in formal document	34-14675-S
sub districts	60-64014-S
sub prefecture	21-50762-B
sub prefecture level city county level division	9-32145-B
sub prefecture level city in hubei	4-29279-S,4-29356-S,17-54593-S,17-54670-S,39-59770-S,39-59851-S
sub provincial city not provincial capital	9-33018-B
sub provincial not provincial status	9-32936-B
sub saharan	29-6486-B
sub saharan africa	29-6560-B
sub standard	37-11016-B
sub syllabic unit	3-64992-B
sub unit	3-58462-B
sub venues	8-54401-B
sub word regularity	3-64103-B
subaltern	2-69229-B
subclass taxonomy	3-63290-B
subcommittee	20-69128-B
subcontinent	35-20417-S
subcontinent e g the indian subcontinent	35-20417-B
subcontinent esp in tang or buddhist context	17-52223-S
subcortical aphasia	44-64954-B
subcortical lesions	9-25219-S
subcritical	3-63703-B
subculture	3-59418-B,35-20777-B
subcutaneous	44-64518-B
subcutaneous injection	44-64446-B
subdivide	8-56383-S
subdivision	3-64927-B,8-48969-S
subdivision e g of provinces into counties	10-40860-B,10-41316-B,56-32726-S,56-32844-S
subdivision of a city	15-48666-B
subdivision of a rhyming dictionary containing all words with the given rhyme	68-18068-B
subdivision of most prc provinces	15-39275-S
subdivision of policing activities traffic	59-1540-B
subdivision of prc county	21-4322-S
subdivision of radio waveband	8-59857-B
subduct of tectonic plates	39-59943-S
subdue	4-53149-S,7-14418-S,9-10827-S,9-11388-S,9-17339-S,23-64087-B
subdue a tiger	4-54634-S
subei mengguzu autonomous county in gansu	52-2625-B
subfamily	29-38711-B
subfamily of serranidae	46-6370-S
subfamily taxonomy	3-62789-B
subgroup	8-57296-B
subgutturosa of xinjiang	70-56658-S
subj arrives at a location or time	9-9327-S
subject	1-39604-S,2-17994-S,3-6895-S,3-7731-B,3-7771-S,3-8395-B,3-8539-B,7-25930-S,8-63558-S,13-59025-S,17-40466-S,19-18931-B,21-35102-S,26-43373-S,28-37545-S,28-37925-S,34-56496-B,43-56167-S,43-56294-S,47-20520-B,48-24361-S,52-54011-B,54-30478-S,58-34316-B,59-3943-B,61-26340-S,65-42311-S,65-57941-S,66-48735-S,66-49773-S,67-49563-S,68-42769-B,68-43094-B
subject as a coherent whole	19-37290-S
subject best avoided	66-47774-S
subject by assiduous study	34-32835-S
subject in science	3-67226-S
subject just mentioned	9-51084-S
subject matter	68-43047-B
subject of a talk or conversation	58-16401-B
subject of business letter	3-31297-B
subject of literary work	68-42990-B
subject of new dynasty	68-25213-S
subject of sex	5-6695-S
subject predicate clause	3-7907-B
subject predicate construction	3-8002-B
subject predicate sentence	3-7907-B
subject s face	45-32341-S
subject s face for his prognostication	45-27646-S
subject to foreign domination	11-61778-B
