the gospel	19-55856-S
the government	1-68297-S,19-41886-S,66-25115-S
the government in imperial times	44-62034-B
the grace of heaven	11-60608-S
the grade of an official	13-34044-S
the grain from the husk	53-21265-S
the grammatical functions of mood	13-66256-S
the grand canal	4-3293-B,4-3375-B,17-36343-B,17-36391-B
the grand canyon colorado	47-21146-B
the grand canyon of the nujiang river in tibet and yunnan	24-53041-B
the grand historian by sima qian 司馬遷 司马迁	12-22624-S
the grand view gardens	9-41574-S
the grass is always greener on the other side of the fence	62-5116-B
the grass 成语 saw	27-44494-S
the grave	26-56230-S,47-44442-S,52-61921-S,63-10833-S
the grave 成语 saw	8-42238-S
the great	3-58248-S,19-48857-S,41-29558-S
the great 1397 1450 4th king of korean choson dynasty	2-38496-S
the great 356 323 bc	3-60199-S
the great and the good	30-12092-S,59-57929-B
the great c 21st century bc	47-10113-S
the great c 21st century bc mythical leader who tamed the floods	17-29797-S
the great ch ing or qing dynasty 1644 1911	17-25392-B,17-25472-B
the great end	17-38544-S
the great firewall of china internet censorship	65-62317-B
the great hall of the people in beijing	10-25596-B
the great han dynasty	17-26162-B
the great helmsman mao zedong	17-33156-B
the great leap forward 1958 1960	17-35946-B
the great learning 大學 大学	14-50796-S
the great men of the past	7-6270-B
the great nebula in orion m42	42-24542-B
the great nirvana sutra every living thing has buddha nature	17-21660-B
the great northern wilderness in northern china	10-29935-B
the great powers hist 	8-66745-B
the great seal	17-30240-B,70-50573-S
the great seal script 大篆	12-22222-S
the great shaanxi earthquake of 2nd february 1556 that killed 830	66-19666-B
the great swan 成语 saw	41-29558-S
the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
the great tangshan earthquake of 27th july 1976 that killed more than 650	13-51683-B
the great wall	1-72640-S,11-67536-S,16-19633-S,54-48183-B,64-22862-S,65-12369-B
the great wall near datong	22-38798-S
the great 禹	13-64508-S
the greater military areas	12-29130-B
the greater part	17-12934-B,17-36783-B
the greatest	14-26893-S
the greatest extent	45-8682-S
the greeks bearing gifts	71-25964-S
the greenwich meridian	33-66994-B
the grenadines	51-47289-S,64-10708-S
the grim reaper	35-58882-B
the groom	18-57752-S
the groom s family	11-64002-S
the groom s family sends a marriage sedan 花轎 花轿 to escort the bride	61-45175-B,61-45804-B
the groom to live with the bride s family	27-43478-S
the ground	8-37476-S,15-37556-S,17-68602-S,17-68922-S,22-42421-S,29-29600-S,47-36189-S,52-54345-S,54-49235-S,54-49235-B,64-57424-S,68-2521-S
the ground in admiration	3-55815-S
the ground of seedling	46-16853-S
the ground of the above	29-24320-S
the ground 成语 saw	52-43686-S
the grouper family	70-42680-B
the guangxi warlord faction	55-12433-S
the guanzhong plain in shaanxi	65-53467-B,65-53534-B,65-53621-B
the guanzhong 關中 关中 plain	39-4776-S,39-5151-S,39-5252-S
the guard	28-46176-S
the guest acts as host 成语 saw	11-46384-S
the guilty party files the suit	25-19103-B
the guomindang	10-56431-S
the guomindang against the communists from 1930 onwards	15-21401-S
the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
the guomindang s encircle and annihilate campaign	11-45906-S
the guomintang and the chinese communist party	15-2382-B
the gut	59-54028-S,59-54130-S
the guy gets his girl etc	32-33225-B,49-35765-B
the hague city in the netherlands	38-22275-B
the hair	50-28258-S,70-25389-S
the hairs upon a fur to discover any defect 成语 saw	13-5675-S
the hall	62-44983-S
the hall of heaven	62-28547-S
the hammer and sickle flag of ussr	65-1542-B
the hammer athletics event	64-56209-S
the hammer fits the drum 成语 saw	34-8451-S
the han	9-65492-S,17-57006-S,39-49187-S
the han 220 280	1-32791-S,1-33013-S
the han dynasty	23-20772-S,56-1999-S
the han dynasty 141 87 bc	39-50212-S
the han dynasty 206 bc 220 ad	39-47775-B,39-48369-B
the han dynasty around 200 ad	33-21377-S,33-21496-S
the han dynasty onwards	26-25447-S
the han period	52-37218-S
the han river in guangdong	68-12636-B
the hand	27-61646-S,28-10527-S,28-36446-S,28-39388-S,28-39801-S,28-47189-S,28-52932-S,28-53684-S,29-3265-S,29-3565-S,29-58201-S,36-12741-S
the hand and beat it	28-63821-S
the hand and feet	28-14757-S
the hand that feeds you	18-23992-S
the hand 成语 saw	51-23712-S
the handover to prc rule in 1997	66-27907-S
the hands	28-34539-S,29-5410-S
the hands due to pressure on the median nerve	52-38801-S
the hands or fingers	28-53446-S
the hanlin imperial academy 翰林院	51-20047-S
the hard ship of life	69-8223-S
the harvest	65-43294-S
the hatchet	13-21826-S
the head	4-70605-S,9-26083-S,15-22796-S,35-38013-S,42-716-S,68-36444-S,68-40304-S,68-40605-S,68-45427-S
the head and discuss the feet 成语 saw	13-35409-S,58-8413-S
the head bald	70-24485-S
the head but keep the queue	9-16342-S
the head catarrh of the nose	71-53000-S
the head e g to avoid rain	15-61126-S
the head etc	64-11065-S
the head of a page	68-19631-B
the head of gov on affairs of state	13-28185-S
the hearse	61-15000-S
the heart	16-14332-S,24-33192-S,24-33641-S,24-37509-S,24-39960-S,25-13270-S
