the root is firm	32-61746-S
the root of a problem etc	37-24511-S
the root of a word by removing prefix and suffix	58-10961-S
the roots	66-22392-S
the roots follow	27-34604-S
the roots follow 成语 saw	27-33444-S,27-34788-S
the roots of plants	55-10048-S
the roots 成语 saw	30-38497-S,54-50672-S
the ropes	25-58125-S,51-31657-S
the rose	70-35514-S
the roses	42-41029-S
the rosicrucian order masonic order	55-21768-B
the rough golf	65-19079-B
the roundabouts	29-39887-S
the royal family	44-60889-S
the royal society uk scientific academy	44-61095-B
the rudder	26-65850-S
the rule of	1-63376-S
the rule of former kings	7-4684-B
the rules	1-17703-S,3-27295-S,24-17586-S,41-9730-S,42-3130-S,45-63852-S,52-20593-S,57-33621-S,62-55753-S,62-57340-S,62-57977-S,62-68579-S,62-69073-S
the ruling clan of japan from 1550 1850	24-25544-S
the ruling class in revolutionary writing	60-12458-S
the run	18-6898-S
the runner up	64-27762-B
the runs	37-60534-S,52-44857-S
the rush hour	70-14064-B
the russian far east	10-3154-S
the rutting season	9-69376-B
the ryder cup us and europe golf team competition	54-39840-B
the ryukyu or luchu islands incl okinawa	38-4916-B
the sacred heart	51-46948-S
the sacred tripods following yu the great	19-48857-S
the sacrificial altar and take over the kitchen 成语 saw	60-25771-S
the sage of calligraphy	32-12090-B
the sage of intoxication	63-46862-B
the sahara	15-28323-S,34-6885-S
the sake of justice	4-42116-S
the sake of loyalty	4-26032-S
the sakya	63-54002-S,63-54210-S
the same	2-568-S,2-20113-S,2-20202-S,4-24555-S,7-43228-S,12-45217-B,18-30263-S
the same action or view without prior consultation	2-24294-S
the same age	12-52957-S
the same as	1-12502-B,40-57468-B,57-34640-S,57-34640-S,61-47559-S
the same as before	11-34117-B
the same bed with different dreams 成语 saw	12-46834-S
the same boat	12-51323-S
the same boat together	13-1745-S
the same boat under wind and rain 成语 saw	68-58218-S
the same boat 成语 saw	13-1745-S
the same breath	1-76013-S,32-57086-S
the same breath as y	45-28990-S
the same character has more than one reading	43-63443-S
the same clan	32-62915-S
the same country	7-32440-S
the same day	43-66975-B,43-67343-B
the same day 成语 saw	1-76013-S,12-48043-S,32-57086-S
the same destination 成语 saw	35-61662-S
the same end	35-61662-S
the same family name	32-62915-S
the same generation	22-45307-S
the same hometown	51-31295-S
the same hymn sheet	1-24039-S,49-50978-S
the same level	12-50619-S,27-22821-S
the same lines	14-62086-S
the same method	68-40655-S
the same month last year	12-48451-S
the same name	45-27190-S
the same night	62-20413-B,62-20760-B
the same nostril 成语 saw	1-24039-S
the same oil repeatedly for deep frying a possible health hazard	14-58183-S
the same old medicine 成语 saw	28-46521-S
the same old routine	14-60157-S
the same old rut	14-60267-S
the same old topic again	63-58324-S,63-59111-S
the same old trick	7-43228-B,7-47531-B
the same old tune 成语 saw	51-30611-S
the same opinion	20-55111-S
the same person	24-14159-S
the same place	1-5095-S,1-5206-S
the same profession	12-51439-S
the same publication	7-26901-S
the same reason	12-49720-S
the same rhyme	35-22055-S
the same road as	64-1093-S
the same roof	35-32291-S
the same roof of different generations	12-46353-S
the same score	22-37104-S
the same sense as the sun	68-26705-S
the same situation a second time	4-62488-S
the same sky	1-70704-S
the same social class or status	12-50536-S
the same sound	12-52576-S,12-52650-S,12-52742-S
