to crush and bury	16-32967-B
to crush guo 成语 saw	6-9948-S
to crush in battle	46-17659-B
to crush sth by running over it	46-34518-B
to crush together in a crowd	60-60767-B
to cry	13-16787-B,13-45968-B,14-631-B,27-17016-B,55-55289-B
to cry bitterly	44-14085-B
to cry for help	36-54241-B
to cry loudly	17-9915-B
to cry of birds	70-52799-B
to cry out	12-9248-B,13-19704-B
to cry out a grievance	14-5529-B
to cry out in anger	13-20762-B
to cry out in fear	69-59747-B,69-59854-B
to cry out loud without tears	3-24232-B,3-25434-B
to cry piteously	13-32960-B
to crystallize	49-41492-B
to cuddle	6-11095-B
to cudgel	28-8440-B
to cultivate	5-47277-B,15-66031-B,15-66270-B,15-66375-B,34-571-B,47-31993-B,51-37961-B,69-10956-B,69-11090-B
to cultivate the heart and nurture the character 成语 saw	5-47670-B
to cup one s hands in obeisance or greeting	27-48581-B
to cup one s hands in salute	27-48151-B
to curb	9-11636-B,41-63061-B
to curdle	59-11528-B
to cure	3-25913-B,37-24408-B,37-25028-B,41-15110-B,44-20127-B,46-3120-B,46-3351-B,63-49306-B,63-50033-B
to cure all diseases	10-16270-S
to cure by drying over a fire tea	40-41167-B
to cure constipation with laxatives	39-61828-B
to cure ills with poison 成语 saw	4-37856-B
to cure meat	63-45958-B
to cure once and for all	66-22392-B
to cure over a fire	41-12696-B
to cure over a wood fire	41-12854-B
to curl	70-27598-B
to curl hair	11-27289-B,28-7971-B
to curl up	27-49821-B,31-179-B,56-5595-B,56-5679-B,56-5786-B,56-5859-B,60-38913-B,60-47661-B
to curl up like a scroll	56-5497-B
to curl up shivering from cold	42-63262-B
to current circumstances	2-30554-S,2-30720-S
to curry favor	10-62423-S,17-3511-B,18-23465-S,65-9643-B
to curry favor for personal gain	65-8433-B
to curry favor from the right person	28-34984-S
to curry favor with	22-8911-B,57-62522-B
to curry favor 成语 saw	60-31652-B
to curse	6-26085-B,12-20520-B
to curse fiercely	25-22824-B
to curse sb	56-22405-B
to curtail	50-28174-B
to curve	61-53132-B
to curve around	23-52243-B
to customize software	5-53565-B
to customs	16-12609-S,43-42930-S
to customs or to the taxman	16-11415-S
to cut	8-60306-B,9-14180-B,9-16949-B,9-26892-B,26-15650-B,28-29436-B,29-10938-B,50-28123-B,64-18209-B
to cut a bloody path out of a battlefield	56-30030-B
to cut a canal	65-43349-B
to cut a long story short	17-40466-B
to cut a sorry figure	42-10566-B
to cut a text down to size for publication	9-8443-B
to cut a way through	65-11334-S
to cut a woodblock e g for printing	65-9762-B
to cut across	35-7518-B,35-10230-B
to cut blocks	9-29477-B
to cut blocks for printing	9-14708-B
to cut classes	32-3476-B,61-64753-B
to cut down	4-54853-B,9-16783-B,9-16884-B,29-3345-B,46-12769-B,50-28174-B,56-53640-B
to cut down on	48-29617-B
to cut gems	42-57996-B
to cut grain	65-1475-S
to cut in line	28-44193-B
to cut into a conversation	28-43434-B
to cut into a line	17-69864-B
to cut into cubes	8-61544-B
to cut off	9-34048-B,9-34090-B,26-16021-B,30-38451-B,62-66829-B,65-65181-B,66-40089-B
to cut off a length	26-15700-B
to cut off a supply etc	8-61750-B
to cut off and capture	26-16239-B
to cut off contact	33-10354-S
to cut off one s means of retreat	46-20447-S
to cut off one s nose to spite one s face	14-59606-S
to cut one s flesh to cover a sore 成语 saw	27-67201-B
to cut open	9-10650-B
to cut or edit film	9-30970-B
to cut out	52-34212-B
to cut out a tumor	8-63402-B
to cut over	8-61704-B
to cut prices	38-66856-B
to cut sb off	51-22762-B
to cut short	49-45227-B
to cut spending	48-57177-B
to cut staff	56-53329-B
to cut the feet to fit the shoes 成语 saw	9-17159-B
to cut the ribbon at a launching or opening ceremony	9-30778-B
to cut two segments 成语 saw	1-2914-S
to cut up	8-50412-B
to cut using oxyacetylene torch	36-32208-B
to cut weeds and eliminate the roots 成语 saw	30-38497-B
to cut with a saw	64-39269-B
to cut with scissors	64-24985-B
to cut wood	4-54947-B
to cycle	30-70187-B
to cycle around	14-55955-B
to cyclize in chemistry	43-4855-B
to dabble in	38-56066-B,38-56232-B
to dally	58-37410-B
to dally with	42-39130-B,42-40221-B
to dam	16-7159-B
to dam a stream and change its direction	15-56658-B
to damage	28-52145-B,28-52350-B,28-52440-B,28-52559-B,36-2530-B,47-2099-B
to damage a third party	6-9948-S
to damage beautiful scenery	41-5219-B
to damage the people and harm the country 成语 saw	44-11346-B,44-11457-B
to dampen one s enthusiasm	39-56712-B
to dance	53-32053-B,60-45151-B,68-61380-B
to dance in the breeze	68-64673-B
to dare	2-12841-S
to dare to	9-66297-B
to darn clothing	50-27298-B
to dart	68-63079-B
to dash	40-5596-B,40-5693-B,47-52686-B,56-39069-B
to dash against	37-12703-B
to dash ahead regardless of the danger	18-18001-B
to dash run fast	68-63079-B
to date	9-9920-B,9-9986-B,32-34411-S,61-44298-B
to date a rich guy	6-26497-B
to date from	61-59008-B
to daub	9-12096-B,16-18621-B
to dawdle	16-39908-B,37-36891-B,46-40980-B
to day	49-58724-S
to daydream	45-50704-B
to dazzle coll 	65-26124-B
to de absorb	57-47990-B
to de nuclearize	40-54725-B
to dead person of deceased s partner	66-23279-S
to deaf ears	20-52736-S
to deal in	41-30716-B
to deal in liquors	63-41973-B
to deal with	9-12755-S,11-37024-S,18-2351-B,20-46890-B,23-64931-B,24-10189-B,25-58821-B,44-5002-S,55-48615-B,55-49051-B,55-50218-B,61-34549-B,67-11322-S,67-13206-S,68-48800-S
to deal with a matter	55-49195-B
to deal with sth	37-215-S
to deal with the subject just mentioned	9-51084-B
to death	6-30776-S,6-44391-S,8-27217-S,9-2829-S,15-54583-S,19-59314-S,20-35575-S,20-59616-S,26-46076-S,29-19735-S,35-64096-S,37-24718-S,41-10242-S,41-26648-S,44-55141-S,49-44117-S,55-50087-S,58-18107-S,58-18281-S,62-34248-S
to death 成语 saw	49-44177-S,49-44313-S
to debase by mixing with fake material	29-33095-B
to debate	41-39531-B,58-44194-B,61-38176-B,61-38229-B,61-39020-B
to debunk	69-46782-B
to decant	38-42605-B
