disorderly, not arranged, unplanned, confused.	inconditus
display, publish, relate, tell, propose, promise.	propono
displeasure.	indignatio
disposed, in a certain condition.	habitus
disprove, refute. with gen. prove guilty, convict.	redarguo
disputation.	sermocinatio
dispute, contention, fight, battle, fracas.	litis
dispute, strife.	altercatio
dispute.	litigatio
disrespectful.	irreverens
dissension, quarrel, insurrection, mutiny, rising.	seditio
distance, remoteness, isolation.	loginquitas
distant, isolated, removed.	semotus
distant.	seposita
distinction.	discretio
distinguished, excellent.	praecellens
distinguished.	insignis
distressed, cast down, prostrate, ruined, weakened.	afflictus
distribution, stewardship.	dispensatio
distributor.	pensator
district, countryside, rural portions of a civitas.	pagus
district, zone, region.	plaga
disturbance, confusion.	turbatio
ditch, trench, channel, moat.	fossa
divine influence, admirably, nobly, by inspiration.	divinitus
divine law or command/ fate, destiny/ lawful, allowed.	fas
divine will.	numen
divine, sacred.	divinus
division.	divortium
do harm, inflict injury.	noceo
doctor, physician.	medicus
doctrine, teaching, instruction, learning.	doctrina
dog.	canis
doing, execution, performance, effect, result.	effectus
doll /little girl.	pupa
dolt, simpleton, fool, blockhead.	baro
domestic fattened bird.	altilis
domestic, civil.	domesticus
donation, offering.	donativum
door.	ianua
double way.	ambivium
double-talk, digression.	ambages
doubt, hesitation, reservation.	dubium
doubtful.	ambiguus
downfall, destruction.	ruina
downfall.	casus
downtumble, seduction, bribery.	corruptio
downward course.	decursus
downwards.	deorsum
draft animal.	jumentum
drag out, extract, remove/.	extraho extraxi extractum
drained.	exhaustus
dread, terror / dreadfulness / scarecrow.	formido, formidonis
dreadful as in producing fear, quaking as in feeling fear.	pavidus
dreadful.	horrendus
dreadful.	terribilis
dreadfully, savagely.	immaniter
dreadfully, teribly.	formidilose
dream, fancy, day-dream /foolishness, nonsense.	somnium
dregs, lees, impurities, filth.	feculentia
dregs, lees, impurities, filth.	feculentia
dregs, rabble.	sentina
dress, attire, equipment, ornament, embellishment.	ornatus
dress, habit.	habitus
dried, roasted, grilled.	assus
dripping moisture, rainwater from the eaves.	stillicidium
drive away, repel violently, extort.	extundo
drive forth, waste, spend, expend.	prodigo
drive out, force out, exact, demand, sell.	exigo
drowsiness, apathy, sleepiness, coma.	lethargus
drug, poison, potion.	venenum
drunk up, drained / swallowed up.	epotus
drunken	ebrius[Adverb]
drunkenly.	madide
dry, thirsty/ sober, temperate.	siccus
duchy, ducal dignity.	ducamen
due forms /funereal rites.	iusta
duke.	dux
dull, obtuse, dull-witted, dumb.	stolidus
duly.	rite
dung, dirt, filth, manure.	fimus
durability.	firmitudo
dusk, twilight.	crepusculum
dust, powder /arena, scene of action.	pulvis
dutiful, godly, holy, upright, kind, honest, affectionate.	pius
dutifulness, dutiful conduct, piety, devotion, kindness.	pietas
duty of the sale of grain.	minagium
duty, service, job, post, position, responsibility.	officium
dyer.	infector
-e, noteworthy, notable, notorious.	notabilis
each one, each person.	quisque
each, every.	sulum
eager for.	cupidus
eager, hot-blooded.	intrepidus
eagerly, earnestly.	contente
eagerly.	studiose
eagerness, zeal.	studium
eagle.	aquila
ear-rings.	crotalia
ear.	auris
earnestness, seriousness.	intenta
earth, ground, land, country, soil.	terra
earthly, temporal.	terrenus
easiest, most agreeable, pleasantest.	facillimus
easily, without difficulty.	facile
easily.	facile
easiness of belief, just belief.	credulitas
Easterners.	Orientales
easy, agreeable, affable, pleasant.	facilis
eating together.	commessatio, onis
eclipse of the sun.	labores solis
