expect.	29-839-S
expectation.	27-1147-S
expected, pay up, deliver.	29-3650-S
expedient, serviceable.	23-5271-S
expedition.	18-4560-S
expel, force out, banish.	31-4270-S
expend, disburse.	28-1255-S
expend, weigh out.	34-400-S
expend.	11-2395-S,31-7250-S
expenditure.	20-6650-S
expenditures, outlay, interest on a loan.	12-1900-B
expense, cost.	12-1953-B
expense, outlay.	12-1976-B
expenses.	12-2001-B
expensive.	2-1537-S,2-1592-S,10-1505-S
experience, hold an opinion,.	35-1496-S
experience, prove.	38-5673-S
experience, skill, advantage, profit.	40-4282-S
experience, suffer (troubles).	32-6537-S
experience.	9-148-S
experienced	12-2019-B
experienced, ascertained, knowing, proven .	12-2051-B
experienced, skilful / cunning, sly.	8-3732-S
experienced.	26-4531-S
expert.	6-2279-S,17-700-S,24-5253-S
expertly, wisely.	12-2104-B
explain, clarify, set straight.	36-2045-S
explain, explain, reveal.	32-0-S
explain, expose.	37-320-S
explain, expound /pay off a debt, pay.	38-7393-S
explain, expound.	38-7218-S
explain, reveal.	32-0-S
explain.	31-7072-S,32-37-S,33-5125-S,38-7502-S
explanation, exposition.	12-2128-B
explanation.	17-5643-S
exploit -.	23-2126-S
explore, investigate, root up.	31-6706-S
expose, convict /declare.	29-2002-S
expose, open, make open.	31-1779-S
expose.	29-3863-S,32-61-S,37-320-S
exposed, to be revealed.	28-5316-S
exposed.	20-2077-S,28-5655-S
exposition.	12-2128-S
expound /pay off a debt, pay.	38-7393-S
expound, display.	32-79-S
expound.	38-7218-S
express /state /declare.	37-3913-S
express oneself, declare, speak eloquently.	37-3710-S
expression of the face, countenance, look, aspect.	12-2164-B
expression.	12-3021-S
expressly.	7-5224-S
exquisite,excellent, fine, delicate.	25-1558-S
exraneous/ foreign, strange.	20-4365-S
extablishment of slaves.	24-2066-S
extant, appear, project, show itself.	37-5153-S
extend /put off, defer.	31-5560-S
extend, aim, direct, direct one's course, aim at.	32-107-S
extend, enlarge / undo, relax.	41-5415-S
extend, expand, increase.	37-4380-S
extend, present, give.	31-1530-S
extend.	32-168-S,37-5214-S,37-6284-S,37-6317-S
extend/ delay, postpone.	31-5477-S
extended, unstrained / untuned.	40-3045-S
extended, wide, copious.	2-1734-S
extension /deferring.	3-2964-S
extension, length.	25-1836-S
extensive.	7-3774-S,12-2222-B
extensively.	7-3817-S
extensively. .	12-2242-B
extent /going around, circuit.	7-2252-S
extent of competence.	4-5650-S
extent that.	2-10183-S
extent, rather, for preference.	18-6265-S
extent, so far, so long.	37-7452-S
extent, where, seeing that.	15-4130-S
extent.	27-4567-S
external.	20-4195-S
external/ strange, unrelated, foreign.	20-4493-S
externally, from the outside.	20-4551-S
extinguish, put out.	32-187-S
extol.	32-244-S
extoll, commend /name, mention, cite, quote.	35-3951-S
extort by force.	38-6676-S
extort.	11-2350-S
extortion.	20-2751-S
extra esto.	12-2266-B
extra, superfluous.	17-2966-S
extra.	26-890-S
extract, remove/.	11-1707-S
extraordinarily.	42-1926-S
extraordinary /news, novelty, a new thing.	19-4471-S
extraordinary, excellent, fine, superb.	12-2285-B
extraordinary, exceptional.	40-337-S
extraordinary, subst, chief.	12-2333-B
extraordinary.	12-1328-S,42-1837-S
extravagance, opulence.	18-42-S
extravagance.	10-1690-S
extravagant, abound in, profuse.	23-2369-S
extreme poverty.	32-264-S
extreme.	20-4239-S
extremely eloquent.	12-2373-B
extremely, greatly.	16-4370-S
extricate, clear up, unravel.	10-6193-S
extricate, detach, disclose, explain.	38-7502-S
exudations from some plants.	26-3828-S
exude, drip.	39-1853-S
exult, be joyful.	32-292-S
exult.	36-4234-S
exultingly.	12-2405-B
exussum, burn down, burn, set on fire.	12-2425-B
eye	12-2474-B
eye /clearness /understanding.	26-5412-S
eye.	12-883-S,12-2500-B,22-1873-S
eyes	12-2512-B
eyes to see..	2-3497-S
f, a killing.	12-2541-B
f, an opening.	12-2572-B,12-2595-B
f, consequential, relating.	12-2618-B
f, direction, government.	12-2659-B
f, foundation.	12-2702-B
f, management, ordering, direction.	12-2731-B
f, rekindling, awakening.	2-7135-S
f, resurection, awakening, renewal.	12-2777-B
f, vineyard.	12-2825-B
f.) a kind of crab.	2-2072-S
f.) flesh, meat.	1-7239-S
f.p.p, same as faciendo, the making, it will be made.	12-2844-B
f.p.p., understanding, being understood.	12-2905-B
fable, story, tale, play.	12-2974-B
fable.	12-3007-B
fabric, piece of cloth.	42-2744-S
fabricate, make up.	32-320-S
face, appearance, shape, form.	3-4465-S
face, countenance, look, aspect.	12-2164-S
face, countenance, sight / expression.	12-3021-B
face, visage, countenance.	12-3069-B
face, visage.	17-4324-S
face.	34-4256-S
facetious, laughable.	12-3103-B
faciendo, the making, it will be made.	12-2844-S
facing, opposite, opposing. /unfortunate.	1-4048-S
facing.	2-8646-S
fact that.	6-5044-S
fact, because, for this reason.	6-4990-S
fact, circumstance.	27-2577-S
fact, moreover.	41-4915-S
fact, real, true.	15-6756-S
fact, truly (may often be omitted).	13-2924-S
fact, truly, indeed.	16-0-S
fact.	39-6389-S
factor.	42-2343-S
fading.	20-5455-S
fail /cut up, cut down, destroy.	28-6024-S
fail in duty, commit a crime.	32-352-S
fail, be wanting/ fail in duty, commit a crime.	32-352-S
fail, err, fall short, be missing, absent.	32-412-S
fail, to weaken, to be in want.	1-8235-S
fail, withdraw.	38-3886-S
fail.	33-7298-S,36-2656-S
failed by, disappointed by something.	28-4674-S
faint-hearted, fearful, timid.	12-3135-B
faintly deny, partially refuse.	12-3174-B
faintly gleaming.	12-3214-S
faintly glimmering, faintly gleaming.	12-3214-B
faintly obscene.	23-3193-S
faintly, glimmer, glow.	32-6814-S
faintly.	41-1905-S
fair, lawful, proper.	16-6755-S
fair, moderate, mediocre.	20-3336-S
fair.	6-4610-S
fairly, justly, rightly.	12-3263-B
fairness, equity.	16-6808-S,16-6853-S
faith, belief, truth.	22-0-S
faith.	2-387-S,2-454-S,39-6223-S
faithful, loyal, true.	12-3294-B
faithless [ones].	12-3325-B
faithless.	12-3353-B,16-1301-S,39-5015-S
faithlessly, disloyally.	12-3374-B
faithlessnes, disloyalty.	12-3411-B
faithlessness.	8-1711-S,39-5051-S
faling headlong.	12-3449-B
fall	12-3474-B
fall (to offer payment to the church).	24-2162-S
fall apart.	29-3219-S
fall asleep.	32-479-S
fall back upon, be reduced to, be brought to.	32-504-S
fall back upon.	28-5881-S
fall back, pass away, depart.	32-559-S
fall back, waver.	29-1154-S
fall dead, die / sink, fall.	32-599-S
fall dead.	32-1448-S
fall down / fall dead, die / sink, fall.	32-599-S
fall down /to happen, occur / to hack, hew /to ruin.	32-650-S
fall down at another's feet.	32-713-S
fall down, (for the sun) to set.	32-1344-S
fall down, sink, perish / (wind) subside.	32-754-S
fall down.	37-2700-S
fall forward, fall down.	37-2700-S
fall ill, become troubled, grow worse.	32-807-S
fall in love with, find pleasure in.	32-867-S
