accuse /prove, expose, convict /declare.	29-2002-S
accuse falsely.	27-4990-S
accuse, blame, find fault with.	27-5019-S,27-5061-S
accuse.	29-1970-S
accused of treachery.	2-3319-S
accused, answerable, bound.	10-2424-S
accuser.	4-4872-B
accusor, plaintiff.	4-4892-B
accustom oneself.	2-9405-S
accustom, acclimate, become used to.	27-5103-S
accustom, inure, habituate.	27-5155-S
accustom, to accustom oneself.	2-9405-S
accustomed to, have the habit of, make a practice of.	28-3452-S
accustomed to, used to, make familiar.	33-1286-S
accustomed to.	3-764-S
accustomed, be used to.	28-3519-S
accustomed, usual, habitual, ordinary, customary.	4-4922-B
achieve, effect.	27-4874-S
achievement.	6-1798-S,10-2179-S
acknowledge, confess / offer, promise.	27-5196-S
acknowledge.	4-4980-B,30-2945-S
acorn, chestnut, date.	4-5001-B
acquaintance.	10-319-S
acquainted with, expert.	17-700-S
acquainted with, get to know.	28-7682-S
acquainted with.	34-1305-S
acquire, arrive at, reach.	27-5248-S
acquire, gain, get, obtain.	27-5288-S
acquire, get possession of.	34-7619-S
acquire.	34-7665-S
acre.	12-3869-S
across a strait.	30-4786-S
across, transfer, convey.	8-115-S
across.	1-768-S,24-1221-S,32-7230-S,35-1166-S,36-7534-S
acsi) even if, although, nothwithstanding.	1-3887-B
act a part.	27-5327-S
act as a support.	27-5356-S
act foolishly, play the fool, make an ass of one's self.	27-5386-S
act of kissing, giving a kiss, being kissed, a kiss.	26-4794-S
act of oath-taking.	19-5089-S
act, achievement.	10-2179-S
act, perform, cause, bring about.	2-9513-S
act.	10-6283-S,24-2803-S,27-5454-S
acting unlawfully.	42-3065-S
action.	4-5032-B,6-3012-S,11-2895-S,21-311-S,35-7314-S,38-7593-S
active, do.	28-3555-S
active, vigorous/ turbulent, restive.	7-3702-S
active.	4-5047-B,10-5417-S
actively.	4-5065-B,10-5471-S
actor's mask, part, role /character, personality.	4-5112-B
actor, player.	4-5083-B
actually, for example.	20-2936-S
actually, rightly.	39-6129-S
actually? really? in truth?.	1-7096-S
actus] put down, conquer, compel.	27-4472-S
acute.	4-5170-B
ad, pro] desire.	27-4142-S
adamant, immovable, not to be persuaded.	4-5185-B
adamant, stubborn, intransigeant.	25-4157-S
adapt, accommodate oneself.	27-5884-S
adapt, adjust, make ready, or fit.	4-5239-B
adapt, please, oblige, serve.	34-4925-S
adapted, unsuiited.	40-2469-S
adapted.	4-3633-S
add something.	28-365-S
add to a heap, accumulate, amass.	27-5468-S
add together, sum up, make perfect, complete.	27-5514-S
add, attach. place next.	29-4535-S
add, increase, augment.	34-5160-S
add, join.	32-6626-S
add, to turn towards, move towards, suggest.	27-5572-S
add.	27-5628-S,35-7097-S
added to lime-deficient soils].	18-2152-S
added.	28-481-S
adding up.	8-5732-S
addition.	5-3204-S
address, apply / to throw to.	31-1482-S
