to feel diffident, ashamed.	32-2078-B
to feel one's way.	32-2117-B
to feel the want of.	32-2142-B
to feel, judge, suppose, vote.	32-2169-B
to fell, fall, be fruitless, kill.	32-2207-B
to fertilize /cheer, gladden, delight.	32-2248-B
to fetter.	32-2307-B
to fight against, attack, assault, assail.	32-2329-B
to fight, attack, oppose.	32-2380-B
to fight, pugnacity.	26-5300-S
to fight, strike, deal blows, lash out.	32-2414-B
to fight.	32-2461-B
to fighten, terrify, intimidate.	32-2477-B
to fill in (or up), satisfy, content, fulfil, perform.	32-2518-B
to fill up, content, satisfy.	32-2580-B
to fill up, man, bring up to strength, fulfil.	32-2617-B
to fill up, stuff.	32-2672-B
to fill up.	32-2712-B
to fill, fill up, complete, finish.	32-2731-B
to fill, satisfy.	32-2791-B
to finish, complete.	32-2816-B
to fish out, find out, discover.	32-2845-B
to fit, approve, be suitable, proper, fit.	32-2887-B
to fix in advance.	32-2935-B
to fix the limits of, set boundaries to, delimit.	32-2963-B
to fix, fasten /to imprint, impress.	32-3023-B
to fix, hammer in, drive in, fasten.	32-3067-B
to fix, station, place, cause to stand, set.	32-3110-B
to flash, shine, beam.	32-3165-B
to flash.	32-3204-B,32-3221-B
to flatter, caress, (+ dat.) coax.	32-3239-B
to flatter.	32-3283-B
to flee, escape, fly away, rush out.	32-3303-B
to flee, escape, runa aaway /avoid, shun.	32-3346-B
to flee, have recourse to, take refuge.	32-3394-B
to flee, retreat, run awar.	32-3442-B
to flee/ interpret, understand/ upset, overthrow.	32-3481-B
to flight, chase away, drive into exile, pursue.	35-6938-S
to flight, chase.	35-6999-S
to flight, rout.	38-6483-S
to flight.	2-4862-S
to flood.	38-399-S
to flourish, bloom.	32-3537-B
to flow away, disappear, be lost.	32-3563-B
to flow down, waste, disappear.	32-3604-B
to flow in /to rush in, steal in.	32-3643-B
to flow out, spread /arise, emanate, originate.	32-3700-B
to flow, pour, stream.	32-3755-B
to flow.	32-3783-B
to fly or cut through.	32-3797-B
to fly, speed, move rapidly.	32-3825-B
to fold together.	32-3859-B
to fold.	32-3886-B
to follow after.	32-3901-B
to follow to the grave, follow to the end.	32-3928-B
to follow, pursue, assail, reproach, rebuke, attack.	32-3988-B
to follow, pursue, take revenge.	32-4050-B
to follow, trail.	32-4113-B
to forbid, prohibit, outlaw, gain an injunction.	32-4138-B
to forbid.	32-4197-B
to force, compel, coerce.	32-4218-B
to force, compel, compress.	38-4014-S
to forebear to), avoid, spare, keep oneself from.	1-2950-S
to foreknow.	32-4251-B
to foresee, provide, make provision for.	32-4273-B
to forestall, prevent, hinder.	32-5778-S
to foretell, announce before hand.	32-4323-B
to forgive, send back.	32-4380-B
to forgive.	32-4411-B
to form again, re-establish, mould anew.	32-4433-B
to form by beating with a hammer, invent, devise.	32-4482-B
to form, fashion, make /duplicate, copy.	32-4540-B
to forsake, desert, abandon.	32-4589-B
to forsake.	32-4629-B,34-1438-S
to fortify, defend, protect /build a road.	32-4648-B
to forwarn.	32-4697-B
to foster, draw out.	32-4719-B
to foster, support, encourage.	32-4746-B
to found, establish.	32-4796-B
to free from a snare, disentangle /ready, settled, arranged.	32-4823-B
to free from faults, emend, edit.	32-4892-B
to free, release, take out, remove, waste.	32-4933-B
to freeze.	32-4982-B
to frighten, terrify, scare away, deter.	32-4998-B
to fulfill, finish.	32-5046-B
to fulfill, perform, carry out.	32-5073-B
to furl sails.	32-5114-B
to furnish, equip, provide /instigate secretly, suborn.	32-5139-B
to furnish, lend, give.	1-1189-S
to furnish, offer.	32-5203-B
to furnish, provide, supply.	32-5230-B
to gab, chatter.	32-5266-B
to gain, learn, perceive, understand.	32-5291-B
to gain, profit, win.	32-5356-B
to gain.	32-5385-B
to gape /yearn for, desire, want, covet.	32-5402-B
to gape wide.	32-5449-B
to gather strength, become stronger.	32-5467-B
to gather together, apprehend.	38-4050-S
to gather together, assemble, convene.	32-5514-B
to gather together, assemble, draw up, unite.	32-5562-B
to gather, choose, collect, pass through, read.	32-5617-B
to gather, take away.	35-2857-S
to generation.	13-6497-S
to get again, find, ascertain, invent, find again.	32-5670-B
to get into a certain state, to fall into.	32-5729-B
to get the start of/ to forestall, prevent, hinder.	32-5778-B
to get up , arise.	32-5840-B
to get wet.	32-5883-B
to get, accomplish, effect, obtain (by asking).	32-5903-B
to get, grab at.	33-896-S
to gird, encircle.	32-5959-B
to give a hint.	32-5988-B
to give a nod to, give a sign to.	32-6013-B
to give a ruling, make an arrangment, decide.	32-6053-B
to give again, give as due.	32-6106-B
to give assent, approve.	32-6143-B
to give back, give up.	32-6174-B
to give back, restore, return /answer, translate, render.	32-6204-B
to give bountifully, shower (with gifts).	32-6268-B
to give duration, to render old.	32-6318-B
to give forth, foam.	32-6360-B
to give in abundance.	32-6390-B
to give off a smell/ to make onself noticed.	1-3243-S
to give orders, command /to rule, hold sway.	32-6422-B
to give out, divide, allot, assign, grant, give, allow.	32-6474-B
to give permission/ to experience, suffer (troubles).	32-6537-B
to give way, totter.	32-6597-B
to give, bring, place, / inspire, cause,/ add, join.	32-6626-B
to give, offer, convey, offer, donate, furnish.	32-6684-B
to give, present.	32-6735-B
to give.	32-6769-B
to gleam especially.	32-6783-B
to gleam faintly, glimmer, glow.	32-6814-B
to gleam.	32-6856-B,32-6873-B
to glide away, flow under, slip away, escape.	32-6892-B
to glide past, translated as transient.	32-6950-B
to glitter, glittering.	32-7000-B
to glorify, adorn, exalt.	32-7032-B
to glory, brag, boast, pride oneself.	32-7068-B
to glow or boil.	28-7841-S
to glut oneself, gorge.	32-7114-B
to gnash one's teeth, bruise, crush, grind.	32-7148-B
to gnash the teetch.	32-7199-B
to go across.	32-7230-B
to go against, attack, enter, penetrate .	32-7253-B
to go ahead, proceed, advance, continue.	32-7303-B
to go apart, withdraw.	32-7352-B
to go astray, wander, err.	32-7382-B
to go away, depart, leave.	32-7414-B
to go away, desist.	32-7449-B
to go away, retire /depart from life, die.	32-7477-B
to go away.	32-7525-B
to go back, come back, return /(revenue) to come in.	32-7545-B
to go back, retire, recede, retreat.	32-7604-B
to go back, retreat, retire, disappear.	32-7667-B
to go back, return, revert.	32-7714-B
to go back.	32-7750-B
to go backwards.	32-7769-B
to go before, precede /to say in advance /to order.	32-7799-B
to go before.	32-7865-B
to go by, pass by, escape.	33-0-B
to go forth, advance, proceed, go out.	33-36-B
to go inland.	28-1134-S
to go off to, betake oneself to, pour forth, inflict.	33-86-B
to go on, be advantageous, accomplish.	33-147-B
to go out, come out /result, prosper /turn out well.	33-195-B
to go out, leave, depart, exit.	33-256-B
to go out, set out / get off / escape / result.	33-307-B
to go over, pass over, cross over, go past.	33-361-B
to go through with, accomplish, finish.	38-4096-S
to go to bed, retire.	33-413-B
to go to meet, oppose /help, remedy.	1-1903-S
to go to meet, rush upon.	33-447-B
to go to see, visit, inspect, look at.	33-481-B
to go to, approach, address, attack.	33-527-B
to go to, begin, attack.	33-574-B
to go up and down, back and forth, in and out.	33-609-B
to go, advance, proceed, travel, move along, progress.	33-663-B
to go, proceed /turn out, happen/go away, withdraw.	33-730-B
to go, result.	33-787-B
to goad, incite, stimulate, urge.	33-834-B
to god, vow, pray for.	35-5526-S
to god.	21-4636-S
to govern.	33-876-B
to grab, try to get, grab at.	33-896-B
to grace.	33-932-B
to grant peace.	33-949-B
to grant, yield/ withdraw.	33-974-B
