to tremble, shake, shudder.	38-5440-B
to tremble, shake.	38-5474-B
to tremble.	38-5502-B
to tribute.	25-6153-S
to trickle away.	1-6866-S
to trifle.	35-2574-S
to trip up.	38-5522-B
to trouble, draw together.	38-5544-B
to trust confidently, believe.	38-5576-B
to trust, venture, dare.	38-5615-B
to try, endeavor.	38-5649-B
to try, test, experience, prove.	38-5673-B
to try, test.	38-5737-B
to tumble down.	38-5757-B
to tumble.	38-5780-B
to turn /to adopt the monastic life.	38-5798-S
to turn around, cause to turn /to adopt the monastic life.	38-5798-B
to turn aside, deflect, turn away.	38-5866-B
to turn aside.	38-5909-B
to turn attention to.	38-5932-B
to turn away, avert, avoid. turn back.	38-5963-B
to turn away.	38-6009-B
to turn from the straight road.	38-6031-B
to turn into, tranform.	38-6069-B
to turn out well, ascribe, refer.	38-6099-B
to turn out, throw out, eject / dislodge, overturn.	38-6152-B
to turn round like a wheel, rotate, turn, go around.	38-6211-B
to turn sideways, turn aside.	38-6269-B
to turn the mind to, take notice of, see, perceive.	38-6307-B
to turn towards, direct one's attention to, attract.	38-6371-B
to turn towards, move towards, suggest.	27-5572-S
to turn upside down, overturn, overthrow.	38-6432-B
to turn, turn around, turn up / to put to flight, rout.	38-6483-B
to turn, turn awry, brandish.	38-6545-B
to twist, curl, rack, torture, torment, distort, test.	38-6583-B
to twist, distort.	38-6646-B
to twist, wrench, dislocate /extort by force.	38-6676-B
to twist.	38-6732-B
to uncoil, undo.	38-6753-B
to uncover, lay bare, disclose.	38-6778-B
to uncover, lay bare, reveal, make clear.	38-6827-B
to undergo, receive, take up, sponsorship at baptism.	38-6876-B
to undergo.	38-6940-B
to undermine, overhtrow, destroy.	38-6956-B
to understand, comprehend, see.	38-7014-B
to understand, overtake.	38-7078-B
to undertake, go in, enter, get in.	38-7114-B
to undertake, try, venture, presume, attempt, presume.	38-7157-B
to unfold, unroll, disentangle / explain, expound.	38-7218-B
to unharnass/ separate, detach.	38-7277-B
to unite by an oath, conspire.	38-7317-B
to unite.	38-7356-B,38-7374-B
to unloose, explain, expound /pay off a debt, pay.	38-7393-B
to unroll a book, go over again, repeat.	38-7453-B
to untangle, extricate, detach, disclose, explain.	38-7502-B
to uphold, guard, protect.	38-7560-B
to urge or incite to action.	38-7593-B
to urge, address, speak to.	38-4242-S
to us.	1-8010-S
to use abusive language / use a word incorrectly.	38-7630-B
to use, employ, possess, enjoy.	38-7687-B
to value highly.	39-0-B
to vanish /be forgotten /pour out, leak, seep /become known.	39-24-B
to vanish, disappear / pass away.	1-9113-S
to vanish.	39-92-B
to vanquish, finish a war, fight out.	39-110-B
to vanquish, outstrip.	39-156-B
to vanquish, overmatch, excel.	39-186-B
to vault.	39-223-B
to vent one's rage, rage.	39-242-B
to vex, annoy, irritate /shake, toss/ harrass.	39-275-B
to violate, pluck away.	39-327-B
to violate.	39-359-B
to visit frequently.	30-1160-S
to vomit forth.	39-379-B
to vomit, throw up /to cast out, throw out.	1-6897-S
to vomit, vomit forth, throw up.	39-401-B
to vow.	39-441-B
to wage war against, rebel.	39-455-B
to wage war, be at war, be in a state of war.	39-491-B
to wage war.	39-547-B,39-566-B
to wail.	39-586-B
to wait for, stand ready.	39-601-B
to walk into, enter, make one's way into.	39-638-B
to walk.	20-5036-S,39-686-B
to wander out, stray off.	39-702-B
to wander through, travel through.	39-735-B
to wander, deviate, escape.	39-778-B
to wander, stray, err.	1-8390-S
to wander, stray, rove / be mistaken, err, go astray.	39-813-B
to wane.	39-872-B
to war with, storm.	39-890-B
to warm, keep warm, caress.	29-7614-S
to warn, admonish /teach, instruct.	39-918-B
to warn, admonish, instruct, foretell.	39-963-B
to warn, admonish, remind, advise, instruct.	39-1020-B
to warp /change, sway, affect.	39-1071-B
to wash away, wash clean.	39-1111-B
to wash beneath /(rivers) flow beneath.	39-1159-B
to wash out, rinse cleanse /squander, waste.	39-1206-B
to wash, bathe/ moisten, get wet / wash away.	39-1256-B
to wash, clean, cleanse.	39-1307-B
to wash.	34-2104-S
to waste / become bankrupt.	1-8987-S
to waste slowly away, decline in health.	39-1338-B
to watch over, keep, protect, observe, save, reserve.	39-1390-B
to wave something.	32-1573-S
to waver.	39-1450-B
to weaken /shake /invalidate, annull/disprove.	39-1467-B
to weaken, disturb /shake violently.	39-1522-B
to weaken, ennervate, sap, exhaust.	39-1569-B
to weaken, ruin, rub against, rub away, erode.	39-1614-B
to weaken, slacken.	28-8031-S
to weaken, to be in want.	1-8235-S
to weaken[en], wear away, wear down.	39-1668-B
to weave together, stitch, plait.	39-1722-B
to weave, twine together, plait, construct, build.	39-1761-B
to weep over.	1-2243-S
to weep, cry, shed tears, sob.	39-1817-B
to weep, shed tears /exude, drip.	39-1853-B
