word, dictate.	42-2108-B
word, respond.	34-7368-S
word, utterance, articulation.	42-2130-B
word.	42-2167-B
words of a god.	4-443-S
words) to mean.	34-4353-S
words, or phrases in a manuscript.	18-5090-S
words.	6-5699-S
work again, resume, rehabilitate.	30-5255-S
work against.	34-7852-S
work at, busy oneself in.	42-2180-B
work done, completed work, building.	42-2218-S
work hard at.	28-2742-S
work of a hangman, execution /torture.	27-1287-S
work one's way in, intimate.	33-5483-S
work zealously, do, accomplish.	39-3050-S
work, a small book.	3-6012-S
work, act, achievement.	10-2179-S
work, building.	42-2218-S
work, exercise, practice.	38-4819-S
work, labor, toil, take pains.	39-3093-S
work, labor, work done, completed work, building.	42-2218-B
work, of a master, of property.	28-4726-S
work, pains, labor.	42-2280-B
work, toil, suffer, be afflicted, be troubled.	2-2715-S
work, toil.	17-906-S
work.	42-2306-B
worked upon.	2-1677-S
workhouse for slaves.	4-1775-S
working.	16-2513-S
workmanlike.	42-2321-B
works, bridging, fortification.	13-4170-S
works.	2-7801-S,24-4185-S
workshop, factor.	42-2343-B
world /university.	27-1202-S
world belongs to us.	1-8010-S
world, circle.	42-2370-B
world, the earth.	27-1342-S
world, universe.	42-2391-B
world, whale.	27-166-S
world.	13-6435-S,17-6204-S,29-3981-S,40-2040-S
worm.	42-2415-B
worn by a priest), insignia.	15-831-S
worn by pyrenean peasants.	17-2840-S
worn out by cares.	7-6175-S
worried, anxious, restless, agitated.	40-893-S
worried.	39-5946-S
worriedly.	5-4511-S
worry, fatigue, vex, harass, tease.	42-2428-B
worry.	8-6033-S
worse (see malus).	42-2471-B
worse, embitter.	27-6259-S
worse.	32-807-S
worship, reverence/ splendor.	42-2496-B
worshipful.	40-5222-S
worshipper.	9-6170-S
worst (see malus).	42-2533-B
worth blushing over.	25-1047-S
worth little.	8-2375-S
worth, courage.	18-1662-S
worth, prestige, dignity.	18-4095-S
worth.	6-1468-S,12-1225-S,23-2447-S
worthless useless, vain.	11-5042-S
worthless, good for nothing, bad.	42-2561-B
worthlessness, badness, wickedness.	42-2602-B
worthlessness, vanity.	19-4131-S
worthlessness.	8-2402-S
worthwhile.	16-6094-S,25-4657-S
worthy of, meritorious.	1-357-S
worthy, fitting, deserving, capable.	22-346-S
worthy, worthy of, meritorious.	1-357-S
worthy.	40-5824-S,42-2657-B,42-2672-B
would cause.".	13-6562-S
would that it were the case!.	15-5270-S
would wish.	42-3122-S
wound /strike a bargain, make a deal.	37-6775-S
wound, amputate, divide, part.	30-5630-S
wound, buffet,.	3-2770-S
wound, injure, hurt, harm.	39-3134-S
wound, stabbing, thrust.	7-1193-S
wound.	42-2687-B
wounded.	42-2701-B
wounding.	23-2218-S
woven cloth, web.	42-2719-B
woven fabric, piece of cloth.	42-2744-B
woven, cloth, tissue.	4-1593-S
wrangle.	39-3172-S
wrangling.	24-5454-S
wrap up, cover,.	39-3190-S
wrap.	39-3218-S
wrath.	5-4214-S,25-2485-S
wrathful.	5-4323-S,28-3704-S,40-571-S
wreck.	31-822-S
wrench, dislocate /extort by force.	38-6676-S
wrestle.	42-2783-B
wrestling school.	14-4608-S
wrestling-place.	39-4549-S
wrestling.	42-2802-B
wretched, mournful, plaintive.	23-5104-S
wretched, unfortunate, miserable.	42-2825-B
wretched,.	18-4934-S
wretched.	42-2865-B
wretchedly, cruelly.	18-4975-S
wretchedly, miserably.	42-2886-B
wretchedly, vilely.	42-2916-B
wretchedly.	23-5169-S
wrinkle.	4-1810-S
