matera, mairia	3-356-B
materia	18-2658-B
matertera	18-2695-B
matrimonium	18-2217-B
matris	19-341-S
maxime	12-241-B,14-3681-B
maxime[adverb]	6-6481-B
maximus	17-1747-S
maximus, -a, -um[adjective]	6-6448-B
me	1-3462-B,1-3734-B
me est	5-6560-S
med. cilicis)	14-5398-S
medicor	33-3322-B
medicus	11-1129-B
medie	18-5578-B
mediocris	20-3336-B
meditari[verb]	18-3219-B
meditatio	9-263-B,21-4097-B
meditatio[noun]	18-3323-B
meditatus	36-1384-S
meditor, meditatus	36-1384-B
medium	12-883-B
medium corpus[noun]	41-620-B
medius	18-4260-B
mei	19-1080-B
meis, etc	16-79-S
mel mellis	15-3230-B
melior	6-6697-B
melior[adjective]	6-6647-B
meliorius[adverb]	6-6672-B
mellis	15-3230-S
mellitus	15-3248-B
membrana	27-2305-B
memini meminisse	36-2446-B
meminisse	36-2446-S
memor	18-4722-B
memoratus	18-3996-B
memoria	18-3945-B
menda	12-4484-S
mendiosus	14-216-B
mendosus	12-4614-B
mendum menda	12-4484-B
mens mentis	18-4673-B
mensa	26-2600-B
mensis	18-6017-S
mensis mensis	18-6017-B
mentionem	33-2588-S
mentis	18-4673-S
mercedis	20-6541-S
merces mercedis	20-6541-B
merces[noun]	41-470-B
mereo	10-3920-B
mereo mereor	10-3869-B
mereor	10-3869-S
meretrices, -ium (f.)[noun]	41-4880-B
meretricis	22-1005-S
meretrix meretricis	22-1005-B
meretrix, -icis (f.)[noun]	41-4847-B
meridianus	18-4223-B
meror	19-552-S
mespilum[noun]	18-3446-B
mespilus[noun]	18-3468-B
messis	26-5633-B
messor	22-5053-B
mestitia	18-5068-B
metal)[noun]	16-5296-S
metim	18-4211-B
metuo	32-1886-B
metus	12-4951-B
meus	19-1144-B
mica	9-5887-B
micans	39-6522-B
michina	19-3484-B
mico	14-1940-B,36-7863-B
migrus	24-6329-B
mihi	1-7966-B
miles militis	25-581-B
milia	2-7840-B
milies	4-1018-S
militaris -e	19-5636-B
militis	25-581-S
militus	14-4041-B
mille	4-1051-B
millies milies	4-1018-B
minae	6-4198-B
minagium	11-3068-B
mind you..")[conjunction]	7-4381-S
miniatus	10-727-B
minime	1-5343-S,16-505-B
minimus	17-2780-B,24-6293-S
ministro	28-2434-B,37-0-B
minor	24-6349-B
minor minimus	24-6293-S
minuens, frangens, deminuens[adjective]	4-2838-B
minuere	4-2886-B
minui minutum	34-1674-S
minuit, frangit, deminuit[verb]	4-2653-B
minuo	31-3395-B
minuo minui minutum	34-1674-B
minus minime	1-5343-S
minutor	18-4780-B
minutum	34-1674-S
miracula, miraculum	3-6247-B
miraculose	18-4857-B
miraculum	3-6247-S
mire	42-1882-B
mirifice	42-1926-B
miro	39-3034-B
miror	34-6071-B
mirus	42-1837-B
mirus[adjective]	22-2831-B
misceo miscui mixtum	34-6521-B
miscui mixtum	34-6521-S
misellus	18-4934-B
miser	42-2825-B
miserabile	23-5169-B
miserabilis	23-5104-B
miseratio	3-4619-B
misere	42-2886-B
misereo, misereor	35-2019-B
misereor	26-2473-B,35-2019-S
miseria	23-5211-B
misericordaliter	18-4066-B
misericordia	21-1705-B
misericorditer	18-4975-B
miseror	1-2862-B
misfacio	31-2836-B
misi, missum	36-7579-S
missa	15-3126-B
missum	36-7579-S
mitesco	33-1435-B
mitigo	34-5459-B
mitis	18-4457-B
mitto, misi, missum	36-7579-B
mixtum	34-6521-S
moderamen	18-1446-B
moderor	8-6489-B,26-2740-B,33-2085-B,34-6660-B
modeste	10-6014-B
modeste[adverb]	18-3633-B
modestia	18-5645-B
modestia[noun]	18-3712-B
modestus	18-5527-B,20-3213-B
modestus[adjective]	18-3581-B
modica	18-5469-B
modicus	20-3391-B,23-6161-B
modio	3-5204-B
modius	20-6945-B
