sic	25-353-B
sic quod	20-472-S
sicco	5-5519-B
siccus	11-2647-B
siccus[adjective]	26-3633-B
siclinium	24-368-B
sicut	6-141-B
sidereus	15-1427-B
sidus	9-534-B
sigillum	24-268-B
signifer	27-1379-S
signum	24-224-B,24-4185-B,26-2357-B
silens	24-4274-B
silenti etc	26-5278-B
silentio	27-4036-B
silentium	24-4218-B
sileo	28-6415-B
silex, silicis (med. cilicis)	14-5398-B
silicis (med. cilicis)	14-5398-S
siliginis	41-3760-S
siligo, siliginis	41-3760-B
silva	42-2065-B
similis	17-4289-B,24-4368-B
similitudo	17-4354-B
simplex	24-4403-B
simul	6-1246-B,39-3506-B
simul atque	6-41-B
simulatio	21-5703-B,24-2918-B
simulator	15-5053-B
simulatus	9-3109-B
simulo	35-4711-B
simultas	24-2778-B
sincerus	14-1274-B
sincerus[adjective]	22-4935-B
sine	1-334-B
sine lacrimis[adjective]	26-3660-B
sine lacrimis[adverb]	26-3694-B
singularis	5-2420-B,5-2562-B
singulariter	4-6339-B
singuli	20-1291-B
singultim	25-3588-B
singulto	37-3303-B
singultus	25-432-B,25-474-B
singulus	24-4710-B
sino	5-2055-B,27-6651-B
sinus	10-135-B,16-3445-B
siquidem	24-4606-B
sirma	24-289-S
sis	1-3133-B,1-3187-B
sisto	29-7555-B
sitiens	27-2784-B
sitio	28-6790-B
sitis	27-2738-B
situs	22-5917-B
sive	8-7028-B
sive seu	20-2906-B
socer	12-4258-B
societas	12-5397-B
socius	20-5832-B,24-2938-B
socius-i	18-184-B
socors	24-5786-B
socus	21-2813-B
sodalitas	12-5344-B
sodes	21-5956-B
sol solis	26-853-B
solacium	15-1803-B
solamen	23-0-B
solator	26-1259-B
solemnis	12-5720-B
solemnitas	12-5681-B
soleo	28-3519-B,38-3940-B
solers	16-3007-B
solidus	41-4763-B
solis	11-3792-S,26-853-S
solitas	17-5564-B
solito	3-490-B,28-3452-B
solitudo	10-3775-B
solitus	4-4922-B
solium	8-1415-B
sollers	8-3796-B
sollertia	16-3064-B
sollicite	5-4511-B
sollicito	30-2445-B,37-5960-B
sollicitudo	8-6033-B,40-836-B
sollicitus	39-5946-B,40-893-B
solor	25-558-B
solum	1-4388-B,17-1542-B
solum .. sed etiam	19-3633-S,19-3678-S
solum, non solum .. sed etiam	19-3678-B
solus	5-2480-B
solutio	17-5643-B
solvo	34-3749-B
somes	7-1461-B
somniculose	24-5673-B
somniculosus	24-5705-B
somnio	31-3895-B,31-3953-B
somnium	3-4369-B,11-2015-B
somnus	24-5659-B
sonitus	19-3220-B
sono	30-5176-B,34-4353-B
sophisma	25-1456-B
sophismata	12-3608-B
sopor	10-2250-B
soporo	37-5829-B
sordeo	28-4444-B
sordes	12-6263-B
sordesco	28-7785-B
sors	17-5896-B
sortilegus	25-1433-B
sortitus	8-429-B
sospes	40-1568-B
sospitas	15-1065-B
spargo	27-4440-B,36-6211-B
spargo, sparsi, sparsum	23-6342-B
sparsi, sparsum	23-6342-S
sparsum	23-6342-S
spatior	37-6058-B
spatiosus	5-3115-B
spatium	16-4850-B
specialis	24-455-B
specialissimus	40-5749-B
specialitas	25-2053-B,25-2098-B
