are	18-1124-S,34-1037-S,37-4517-S
are, -avi, -atus[verb]	8-6150-S
argentum	24-4314-B
argumentatio	5-5598-B
argumenti[noun]	9-1875-B
argumentosus	22-1325-B
argumentum	22-284-B
argumentum[noun]	9-1821-B
arguo	29-2002-B,37-1643-B
argutus	4-5170-B
arista	27-397-B
arma	5-5784-B
armarium	9-6278-B
armentum	15-1901-B
armiger	5-5752-B
armilla	5-5767-B
armis	7-4978-B
armo	35-5793-B
aro	35-2844-B
arripio	34-333-B
arrogans	21-5650-B
arrogantia	21-5679-B
ars	1-6955-B,25-4982-B
ars, artis [noun]	5-6179-B
articulus	2-7057-B
artifex	6-2184-B
artificialiter	5-6201-B
artificiose	24-5388-B
artificiosus	24-5304-B
artis [noun]	5-6179-S
arto	35-4624-B
artus	17-4466-B
arum (f) (as in the shade of an umbrella)[noun]	24-2668-S
arum (f.)[noun]	18-2581-S
arum, fem[noun]	4-3160-S
arum[noun]	9-6201-S
arx, arces	39-4422-B
arx, arcis	8-3038-B
as in satan)[noun]	10-4742-S
as in the shade of an umbrella)[noun]	24-2586-S,24-2668-S
as the metal)[noun]	16-5296-S
ascendo	30-620-B
ascia	7-6364-B
ascio	38-1908-B
ascisco	36-511-B
aspectus	9-3087-B
asper	23-3953-B,40-6659-B
aspergo	37-4740-B
asperitas	23-3981-B
aspernatio	9-987-B
aspernor	37-4787-B
aspersus	16-4086-B
aspicio	34-3190-B
aspirator	16-1160-B
asporto	29-6381-B
assensus	5-5197-B
assentator	13-993-B
asser	4-755-B
assero	30-335-B
assidue	9-2267-S
assiduus	40-2750-B
assilio	34-1221-B
assimilares	4-5460-B
assimulo	24-4431-B
assuesco	2-9405-B,33-1286-S
assumo)	38-1846-S
assus	11-2261-B
astringo	30-1752-S
astrum	25-3612-B
astus	18-207-B
at	1-7623-B
atavus	14-3618-B
ater	14-2061-B
atis (f.)[noun]	9-4851-S,20-2562-S,22-857-S
atis[noun]	9-6338-S
atque	6-41-S,20-3731-S
atque (stronger form, "but mind you..")[conjunction]	7-4381-B
atque etiam	5-912-S
atque or quam	10-5110-S
atque)[conjunction]	7-4438-S
atqui	1-7567-B
atra, atrum	10-910-S
atrer, atra, atrum	10-910-B
atrocitas	14-5921-B
atrociter	9-5805-B
atrox	26-4435-B
atrum	10-910-S
attentus	6-1897-B
attero	10-4397-B,39-1614-B
attero, attritus	39-1668-B
attinet	3-729-B
attollo	31-6652-B,35-7566-B
attonbitus	13-5505-B
attonitus	25-6053-B
attrecto	38-4732-B
attributa	6-515-B
attritus	39-1668-S
atus[verb]	8-6150-S
auarca	17-2840-B
auctor	6-2224-B
auctorita	6-2308-B
auctoritas	6-2336-B
auctorizo	30-3110-B
auctus	14-4104-B
audacia	26-4142-B
audacious	7-1611-B
audaciter	7-1758-S
audacter, audaciter	7-1758-B
audax	7-1626-B
audentia	7-1807-B
audeo	30-5757-B
audio	33-3375-B
auditor	15-1106-B
aufero	29-6150-B,38-1088-B
augeo	16-1686-B,33-5072-B
augmento	33-5103-B
augmentum	16-1756-B
aula	9-3500-B
aura	15-1242-B
aureus	14-2712-B
auris	11-3432-B
aurum	14-2700-B
austerus	25-5178-B
ausus	23-3159-B
aut	11-4288-S
aut ("either... or...")[conjunction]	20-2859-S
aut ..aut	11-4288-B
aut... aut ("either... or...")[conjunction]	20-2859-B
aut[conjunction]	20-2839-B
autem	7-4603-B
autumo	28-1758-B
autus	16-1719-B
auxilium	5-1516-B
avara	6-2528-B
avare[adverb]	6-2546-B
avaritia	6-2503-B
avaritia[noun]	6-2442-B,14-3739-B
avarus	14-3777-B
aveho	29-6104-B
avello	38-2285-B
aversor	36-3316-B
aversus[adjective]	6-2914-B
averto	38-5963-B
avi	28-7130-S
avi, -atus[verb]	8-6150-S
avoco	29-5475-B
avunculus	18-2755-B
avus	14-3236-B
bacca	6-6356-B
baccatus	24-2224-B
bacchatus	11-5807-B
bacifer	6-6376-B
bacillum	23-3479-B
baculum, baculus	7-5688-B
baculus	7-5688-S
baiulo	29-6055-B
baiulus	21-3625-B
bajulo	38-3994-B
balaena	41-3605-B
balanus	4-5001-B
balatro	13-2083-B
balatus	7-687-B
balbus	25-3547-B
balbutio	37-7188-B
balena	41-3620-B
balineum, balneum	6-4078-B
ballista	4-0-B
balnearius	21-1028-B
balneator	17-113-B
balneum	6-4078-S
balo	29-2139-B
balsamam	6-3402-B
balteus	14-1652-B
barathrum	21-1615-B
barba	6-4417-B
barbare	6-3663-B
barbaria	3-3646-B,17-981-B
barbaricus	3-4813-B
barbarus	6-3582-B,6-3602-B
barbatus	6-4440-B
bardus	25-6108-B
baritus, barritus	14-1292-B
baro	11-1299-B
barritus	14-1292-S
barrus	11-4460-B
bascauda	3-2461-B
basiatio	26-4794-B
basiator	20-1730-B
basilica	3-7085-B
basilice	23-4104-B
basilicus	22-5733-B
basio	33-6892-B
basis	3-2425-B
basium	3-5707-B
battuo	28-7612-B
beatitas	14-5295-B
beatus	7-782-B
bellaria	3-1624-B
bellator	3-1005-B,12-6154-B
bellatorius	41-1208-B
belle	21-5724-B
bellicosus	41-1250-B
bellicum	4-50-B
bellicus	18-2299-B
belliger	6-1554-B
belligero	39-491-B
bello	39-547-B
bellor	39-566-B
bellua	3-3027-B
bellum	41-1131-B,41-1152-B
bellus	6-4730-B
belua[noun]	18-5978-B
bene	41-3235-B
beneficentia	17-516-B
beneficium	6-6167-B,7-2023-B
beneficus	17-417-B
benevolens	41-3431-B
benevolentia	6-6221-B
benigne	17-488-B
benignitas	17-290-B
benignus	17-383-B
beo	29-2154-B
bestia	5-4347-B
bibo	31-4048-B
bicallis	13-2241-B
bidens	24-3159-B
bifurcus[adjective]	13-3694-B
bipennis	6-4143-B
bis	39-6511-B
bivium	21-1767-B
blande	7-6245-B
blandio	32-3283-B
blandior	32-3239-B
blanditia	7-590-B
blanditium	5-2153-B
blandus	13-1035-B
blasphematio	23-2103-B
blasphemo	36-4318-B
blasphemus	7-647-B
blatta	22-2295-B
boare	30-5130-S
boatus	6-5861-B
bona	14-2829-B
bonae indolis	19-5844-B
bonus	14-2758-B
bonus, -a, -um[adjective]	14-2727-B
boo, boare	30-5130-B
bos (bovis )	9-4229-B
bovis )	9-4229-S
bracteola	27-2279-B
bravium	23-2202-B
brevis	24-3579-B
brevitas	24-3655-B
breviter	7-3297-B
britones	7-3109-B
bucinum	39-6200-B
bulla	25-5823-B
but mind you..")[conjunction]	7-4381-S
byssus	9-3014-B
caballus	25-4090-B
cacumen	5-4968-B
cadaver	9-2891-B
cadens, imminuens, remittens[adjective]	4-3025-B
cadit, imminuit, remittit[verb]	4-2986-B
cado	32-1307-B
caecus	7-876-B
caecus[adjective]	7-852-B
caedes	7-6348-B
caedo	32-2207-B
caelebs	8-1213-B
caelestis	15-1363-B
caeli	24-5110-B
caelitus	13-6540-B
caelum	24-5505-B
caetera	27-550-B
calamitas	7-5486-B
calamitosus	10-5763-B
calamus	5-4868-B
calcar, -is	25-3042-B
calceata	20-6431-B
calco	38-5311-B
calculus	20-6921-B
caleo	28-7227-B
caliga	10-1005-B
caligo	28-7655-B,34-4879-B
calix	4-1426-B
callide	24-5197-B
calliditas	9-6232-B
callidus	8-3732-B
caltha	18-2053-B
calumnior	27-4990-B
calvities	6-3331-B
calvus	6-3318-B
calx	26-5672-B
camena	21-3032-B
camera	40-5037-B
caminus	3-4868-B
campana	6-5847-B
campeador	8-1514-B
campester	13-955-B
campitor	8-2036-B
campus	17-3629-B
camur	10-184-B
canalis	8-1824-B
cancer	9-4271-B
candela	26-3057-B
candelabrum	17-1473-B
candeo	37-1346-B
candide	20-2114-B
candidus	7-3384-B
canem et lupum	6-1520-S
canis	11-1208-B
canistrum	6-5341-B
canities	14-3881-B
canonicus	7-5835-B
canonus	7-5765-B
canto	37-2207-B
capillus	14-4938-B
