cito	22-3171-B,28-5496-B,35-6773-B
civilis	8-3195-B
civis	8-3116-B
civitas	25-3671-B
clades	24-123-B
clam	24-665-B
clamito	28-2952-B
clamo	29-5753-B
clamor	3-7704-B
clango	37-3473-B
clangor	25-1680-B
claritas	7-3435-B
claritudo	7-3456-B
claro	34-4619-B
clarus	8-3571-B
claudeo	34-2683-B
claudico	34-2726-B
claudo (clausus)	30-3005-B
claudus	17-1271-B
claustrum	7-1835-B
clausus)	30-3005-S
clemens[adjective]	13-3648-B
clementer	8-5325-B
clementia	16-2380-B
clibanus	20-4642-B
clima	8-3842-B
clypeus	7-2906-B
coacervo	30-744-B
coacto	32-4218-B
coactu	7-5031-B
coactum	13-3053-B,29-4403-S
coactus	9-561-B
coadunati	8-4378-B
coadunatio	3-5025-B
coaduno	30-804-B
coaegresco	28-7987-B
coangusto	30-3069-B
coarto	30-3091-B
coegi, coactum	29-4403-S
coepi	6-5441-B
coepio	29-729-B
coepto	29-700-B
coeptum	40-763-B
coerceo	26-1516-B
cogitare[verb]	18-3169-B
cogitat[verb]	18-3243-B
cogitatio	27-3041-B
cogitatio[noun]	18-3267-B
cogitatus	27-3202-B
cogito	38-2939-B
cognatio	17-605-B
cognatus	1-4327-B
cognitatione defixus[adjective]	18-3350-S
cognomen	26-1393-B
cognosco	31-6755-B
cogo	30-1908-B,38-4014-B
cogo, coegi, coactum	29-4403-B
cohaereo	30-638-B
cohaero	30-598-B
cohaero, cohero, cohesi, cohesum	27-5769-B
cohero, cohesi, cohesum	27-5769-S
cohesi, cohesum	27-5769-S
cohesum	27-5769-S
cohibeo	8-6833-B
cohors	4-1872-B
cohortor	31-5129-B
coitus	8-5247-B
collator	9-2386-B
collaudo	35-3905-B
colligo	17-3162-B,29-1935-B
colloco	35-2294-B,37-5542-B
colloquium	25-2201-B
colluctatio	42-2802-B
colluctor	42-2783-B
collum	19-1953-B
colo, colui, cultum	9-6048-B
colonus	27-3728-B
color	8-4448-B
coloratus	8-4469-B
coloro	30-874-B
colui, cultum	9-6048-S
coma	14-4872-B,25-3535-B
combibo	31-4018-B
comburo	29-5078-B
comedi, comesum	31-4692-S
comedo, comedi, comesum	31-4692-B
comes, comitis	8-5179-B
comesum	31-4692-S
cometes	8-4625-B
cometissa, comitissa	9-3132-B
comis	9-3575-B
comitatus	4-4363-B,39-4474-B
comiter	9-3746-B
comitis	8-5179-S
comitissa	9-3132-S
comito	27-4853-B
comitto	31-6130-B
command)[verb]	21-4192-S
commemoro	36-2525-B
commendo	30-1828-B
commentari[verb]	18-3193-B
commentatio[noun]	18-3294-B
commeo	33-609-B
commercium	41-1164-B
commessatio, onis	11-3757-B
commilito	8-5924-B
comminor	38-3050-B
comminuo	36-6236-B
comminus	14-5125-B
commisceo	33-5816-B
commiscere	34-6347-B
commissio	21-311-B
commissum	19-6358-B,40-715-B
committo	35-2260-B
commodo	1-1189-B,34-4925-B
commodum	9-2484-B,21-6543-B,26-479-B
commodus	22-312-B,40-4368-B
commodus[adjective]	41-3077-B
commoneo	33-4970-B,36-2357-B,36-2476-B
commorantes	16-3165-B
commoro, in loco insidiarum	34-2245-B
commoror	23-72-B,37-3435-B
commotio	5-1085-B
commotus	10-6646-B
commoveo	34-6956-B
communico	37-1122-B
communis	8-4872-B
compaciscor	5-1244-B
compacta	9-3913-B
compactor	9-582-B
compages	25-5765-B
compar	8-5229-B
comparo	30-1888-B
compater	26-5551-B
compatior	37-7622-B
compello	31-4359-B,38-4242-B
compendiose	7-3315-B
comperio	31-1716-B,34-1345-B
comperte	20-558-B
compes	12-5738-B
compesco	36-3977-B
compescor	32-1693-B,38-350-B
competentia	5-1483-B
competo	28-3749-B
compitum	9-5378-B
complaceo	28-7167-B
complacitus	12-4766-B
complector	8-5263-B
complectus	11-4858-B
compleo	32-2617-B,32-2816-B
complex	8-6571-B
complexo	11-5206-B
complico	32-3859-B
compono	27-5848-B,35-7063-B
compositio	8-5870-B
compositus	20-3164-B
compotus, computus	7-5534-B
comprehendo	31-4969-B,33-1055-B,36-6876-B,38-4050-B
comprimo	33-3906-B
comprobo	28-677-B
compromitto	27-6354-B
comprovincialis	7-2329-B
compte	11-4427-B
comptus	3-5426-B
computus	7-5534-S
conamen	11-4240-B
conatus	12-1664-B
concateno	34-2762-B
concavo	33-4400-B
concedo	30-2385-B
concepta	18-3095-B
concero	8-7075-B
concido	28-6024-B,32-754-B
concieo	29-4366-B
conciliator	18-3147-B
concilio	28-1699-B,34-5060-B,41-5831-B
concilium	8-6087-B,9-3043-B
concinnitas	26-2411-B
concinnus	26-2389-B
concino	37-2170-B
concio	37-5998-B
concipio	38-1571-B
concisus	10-437-B
concite	22-3241-B
concito	34-7015-B
conclamo	29-1575-B
concor	22-5151-S
concordia	8-6111-B
concordis	14-5729-B
concordo	33-2714-B
concremo	30-3864-B
concresco	38-1432-B
concretio	14-4076-B
concubitus	9-2828-B
conculco	27-4804-B,38-5215-B
concupiscentia	6-2465-B
concupisco	30-4519-B,30-4564-B
concurro	30-2617-B
concursus	8-2008-B
concursus[noun]	18-3779-B
concussio	20-2751-B
