diverto	38-5909-B
dives	23-2417-B
divido	31-2613-B
divinatio	21-5201-B
divinitus	7-4921-B,11-914-B
divinus	11-1054-B
divitiae divitie	23-2672-B
divitie	23-2672-S
divortium	11-1078-B
divulgamen	12-3685-B
divulgatio	22-1694-B
divum	24-5525-B
do	32-6684-B,34-200-S
do pacem	33-949-B
doceo docui doctum	33-5665-B
docere[verb]	21-4792-B
docet[verb]	21-4893-B
doctiloquus	25-1994-B
doctor	26-3207-B
doctrina	11-1156-B
doctum	33-5665-S
doctus	26-3121-B
docui doctum	33-5665-S
dolens	20-5203-B
doleo	37-7578-B
dolor	20-5127-B
dolosa	10-1817-B
dolose	24-6060-B
dolositas	10-1799-B
dolosus	9-4400-B
dolus	3-1246-B,13-5560-B
domesticus	11-1370-B
domigena	23-882-B
domina, domna	17-1183-B
dominatio, dominium	17-5736-B
dominatus	18-2639-B,23-4555-B
dominica	10-3168-B
dominium	17-5736-S
dominor	3-605-B,28-5434-B
dominus	17-5714-B
dominus domno	18-2527-B
domito	38-2151-B
domna	17-1183-S
domno	18-2527-S
domus	15-3963-B,15-4099-B,18-2873-S
donarium	41-349-B
donativum	11-1398-B
donatus	14-1760-B
donec	40-3817-B
dono	32-6769-B
donum	14-1427-B,14-1551-B
dormio	37-2661-B
dormito	28-4553-B
doxa	14-2199-B
dua [adjective]	39-6663-S
duae, dua [adjective]	39-6663-S
dubito	31-3097-B
dubium	11-1494-B,29-5548-S
ducamen	11-2686-B
ducere[verb]	17-2548-B
ducis	17-2669-S
duco	29-5377-B,29-7364-B,31-3826-B,34-787-B,34-910-B
ductor	14-1076-B
dudum	13-2403-B
dulce[adjective]	26-1859-B
dulcedo	26-1960-B
dulcidine	26-1917-B
dulcis	12-1182-S,26-1882-B
dulcis, dulcitudo, dulcitudinis	10-3078-B
dulcis, pre dulcis	12-1182-S
dulcitudinis	10-3078-S
dulcitudo, dulcitudinis	10-3078-S
dum	41-4332-B
dum)	5-4075-S
dummodo	1-7509-B
dumtaxat	6-1109-B
duo	39-6694-B
duo, duae, dua [adjective]	39-6663-B
duplex	3-3133-S,11-5446-S
duplicitas	19-917-B
duro	33-2684-B
durus	14-5460-B
