judicium	39-5483-B
judico	30-2661-B,35-1092-B
juge	5-2850-B
jugis	9-2132-B,9-2181-B
jugiter	9-2209-B,21-458-B
jugulo	37-2575-B
jugum	23-2744-B
jumentum	11-1684-B
juramentum	19-5089-B
jurgium	25-5269-B
juris	20-1947-S
juris est	41-3634-S
jus	23-2821-B
jussio	20-3150-B
justicia	11-6757-B
justifico	32-4411-B
justus	11-6739-B
juvenis	42-3737-B
juventus	26-4860-B
juxta	4-6097-B
labasco	32-6597-B
labecula	4-257-B
labefacio labefeci labefactum	37-1035-B
labefacto	39-1522-B
labefactum	37-1035-S
labefeci labefactum	37-1035-S
labellum	3-5965-B
labes labis	25-3401-B
labes[verb]	12-3474-B
labia labium	17-4578-B
labiae	17-4632-B
labilis	39-4780-B
labiosus	15-459-B
labis	25-3401-S
labium	17-4578-S
labo	38-4457-B,38-4494-B
labor	14-5587-B,14-5620-B,37-2354-B
labor laboris	17-906-B
labor lapsus	37-2821-B
labores solis	11-3792-B
laboriose	17-939-B
laboriosus	39-3559-B
laboris	17-906-S
laboro	2-2715-B
labrum	17-4596-B
labrusca	41-5575-B
labruscum	27-1261-B
lac lactis	18-4620-B
lacer	18-1535-B,39-4031-B
lacerare[verb]	26-3262-B
lacerat[verb]	26-3727-B
laceratio	4-800-B
laceratus	39-3994-B
lacero	38-2511-B
lacerta	17-4962-B
lacertosus	19-1049-B
lacertus	27-1083-B
lacesco	29-7293-S
lacesso	33-2630-B
lacesso, lacesco	29-7293-B
lacrima	26-3828-B
lacrima heliandum	5-2988-B
lacrima[noun]	26-3282-B,26-3381-B
lacrima[verb]	41-2651-B
lacrimabilis	17-1285-B
lacrimae[noun]	26-3747-B,41-2432-B
lacrimans[adjective]	26-3432-B
lacrimare[verb]	41-2350-B
lacrimis[adjective]	26-3660-S
lacrimis[adverb]	26-3572-S,26-3694-S
lacrimo	39-1853-B
lacrimosus	26-3491-B
lacrimosus[adjective]	26-3461-B
lactans	14-1775-B
lactatio	11-6192-B
lacteus	18-4637-B,27-279-S
lactis	18-4620-S
lacto	27-6733-B
lactuca	17-3573-B
lacuna	3-5482-B,18-5090-B
lacunar	20-5585-B
lacus	3-5540-B
laedo ledo	25-5321-B
laesio lesio	23-2218-B
laetabilis letabilis	16-6337-B
laetans	22-6193-B
laetatio, letatio	22-6159-B
laetifico	36-1942-B
laetifico, letifico	32-2248-B
laetificus, letificus	14-1877-B
laetitia	16-6278-B
laetitia letitia leticia	12-5489-B
laeto leto	29-7571-B
laetor	28-4383-B
laetor letor	36-1861-B
laetus	14-1854-B
laeve leve	17-3017-B
laevus levus	13-2139-B,27-97-B
laganum	3-3117-B
lama	7-1506-B
lambo	33-7341-B,34-2104-B
lamenta (neut. pl)	41-2595-B
lamentabilis	17-1360-B
lamentari[verb]	41-2371-B
lamentatio	41-2555-B
lamentatio[noun]	41-2455-B
lamentor	39-1895-B
lamia	42-554-B
lammina lamna	24-3223-S
lamna	24-3223-S
lamnia lammina lamna	24-3223-B
lampas	39-3929-B
lancea	17-1527-B
laneus	42-2093-B
laniare[verb]	26-3301-B
laniat[verb]	26-3768-B
laniatus	4-831-B
lanio	34-5766-B
lanx	10-6397-B,23-6087-B
lapsus	12-3491-B,37-2821-S
laqueum	19-3304-B
laqueus	25-142-B
largiflue	7-2597-B
largifluus	7-2557-B
largior	32-6268-B,34-231-B
largissimum	7-2700-B
largitas	7-2620-B
largitio	7-2720-B
largus	7-2579-B
lascivio	36-5209-B
lasesco	29-0-B
late	7-3817-B
latebra	9-4197-B
latenter	24-582-B
lateque	12-3793-S
later	7-3127-B
latere	34-3964-B
latet	28-6853-B
latex	17-4644-B
latibulum	17-6359-B
latito	33-6578-B,34-2209-B
latitudo	7-2950-B
latrator	3-2390-B
latratus	6-3762-B
latro	1-6258-B,2-7180-B,2-7229-B,6-3532-B,23-3410-B
latrocinium	18-4017-B,40-6517-B
latrocinor	1-8335-B,36-4694-B
latrunculus	15-2263-B
latum	29-6770-S
latus	7-3774-B,7-3804-B
latus -eris	24-4078-B
lauda (command)[verb]	21-4192-B
laudabilis	21-4405-B
laudabiliter	1-4500-B
laudare, laudavi, laudatum[verb]	21-4145-S
laudatio	21-4221-B
laudator	21-4350-B
laudator, -oris (m.)[noun]	21-4315-B
laudatores, -ium (m.)[noun]	21-4368-B
laudatum[verb]	21-4145-S
laudatus, -a, -um[adjective]	21-4278-B
laudavi, laudatum[verb]	21-4145-S
laudo	35-3951-B
laudo, laudare, laudavi, laudatum[verb]	21-4145-B
laudunum	17-1669-B
laureatus	9-5681-B
laureola	3-5804-B,40-6118-B
laurifer	8-229-B,39-5783-B
laurus	27-40-B
laus	21-4252-B
lautitia	25-2738-B
lautomiae	1-7012-S
lautumiae, lautomiae	1-7012-B
lautus	41-1476-B
lauvabrum	3-2480-B
lavacrum	6-4128-B
lavatio	41-1533-B
lavo	28-2919-B,39-1256-B
laxamentum	4-1725-B
laxe	41-5365-B,41-5402-B
laxitas	41-5458-B
laxo	24-1153-B,36-2114-B,41-5415-B
laxus	41-5303-B
lea, leana	17-4558-B
leana	17-4558-S
lebes	9-2759-B
lectica	17-4674-B
lectio	24-1103-B
lectio[noun]	22-4730-B
lector	22-4615-B
lector[noun]	22-4575-B
lectulus	4-331-B
lectus	6-5238-B
ledo	25-5321-S
legatarius	17-3142-B
legatio	11-4841-B,19-6487-B
legationis	36-2000-S
