懷化市 怀化市 [01\[ huái huà shì\]]	huaihua prefecture level city in hunan
懷古 怀古 [01\[ huái gǔ\]]	to recall the past;to cherish memory of past event
懷妊 怀妊 [01\[ huái rèn\]]	gestation;pregnancy
懷孕 怀孕 [01\[ huái yùn\]]	pregnant;to have conceived;gestation;pregnancy
懷安 怀安 [01\[ huái ān\]]	(n) huai'an (place in hebei)
懷寧 怀宁 [01\[ huái níng\]]	(n) huaining (place in anhui)
懷念 怀念 [01\[ huái niàn\]]	to cherish the memory of;to think of;reminisce
懷恨 怀恨 [01\[ huái hèn\]]	to nurse hatred;to harbor a grudge;spiteful
懷才不遇 怀才不遇 [01\[ huái cái bù yù\]]	to cherish one's unrecognized talents (成语 saw); to have talent but no opportunity;not living up to one's abilities;under-achieving
懷抱 怀抱 [01\[ huái bào\]]	to hug;to cherish;within the bosom (of the family);to embrace (also fig. an ideal
懷敵意 怀敌意 [01\[ huái dí yì\]]	hostile
懷柔 怀柔 [01\[ huái róu\]]	huairou town in beijing municipality
懷柔區 怀柔区 [01\[ huái róu qū\]]	huairou county level district of beijing municipality
懷璧其罪 怀璧其罪 [01\[ huái bì qí zuì\]]	lit. treasuring a jade ring becomes a crime (成语 saw); to get into trouble on account of a cherished item;fig. a person's talent will arouse the envy of others.
懷疑 怀疑 [01\[ huái yí\]]	to doubt;to suspect;doubt;suspicion;skeptical
懷疑派 怀疑派 [01\[ huái yí pài\]]	skeptical
懷胎 怀胎 [01\[ huái tāi\]]	pregnant
懷舊 怀旧 [01\[ huái jiù\]]	fond remembrance of times past;nostalgia
懷舊感 怀旧感 [01\[ huái jiù gǎn\]]	feeling of nostalga
懷裡 怀里 [01\[ huái lǐ\]]	embrace;bosom
懷遠 怀远 [01\[ huái yuǎn\]]	(n) huaiyuan (place in anhui)
懷鄉 怀乡 [01\[ huái xiāng\]]	homesick
懷錶 怀表 [01\[ huái biǎo\]]	pocket watch
懷集 怀集 [01\[ huái jí\]]	(n) huaiji (place in guangdong)
懸 悬 [01\[ xuán\]]	hang;suspend;unresolved
懸垂 悬垂 [01\[ xuán chuí\]]	overhang
懸壺濟世 悬壶济世 [01\[ xuán hú jì shì\]]	practice medicine or pharmacy to help the people or public
懸岩 悬岩 [01\[ xuán yán\]]	cliff
懸崖 悬崖 [01\[ xuán yá\]]	precipice
懸崖勒馬 悬崖勒马 [01\[ xuán yá lè mǎ\]]	lit. to rein in the horse at the edge of the precipice (成语 saw); fig. to act in the nick of time
