煆 煆 [01\[ yā\]]	raging fire
煇 煇 [01\[ huī\]]	bright;glorious
煉 炼 [01\[ liàn\]]	refine;smelt
煉丹 炼丹 [01\[ liàn dān\]]	to concoct pills of immortality
煉丹八卦爐 炼丹八卦炉 [01\[ liàn dān bā guà lú\]]	eight trigrams furnace to cook pills of immortality;symbol of the alchemist's art;double
煉之未定 炼之未定 [01\[ liàn zhī wèi dìng\]]	to spend a long time thinking about sth while unable to reach a decision
煉乳 炼乳 [01\[ liàn rǔ\]]	to condense milk (by evaporation);condensed milk
煉句 炼句 [01\[ liàn jù\]]	to polish a phrase
煉字 炼字 [01\[ liàn zì\]]	calligraphy practise;to search for the right word
煉油 炼油 [01\[ liàn yóu\]]	oil refinery
煉油廠 炼油厂 [01\[ liàn yóu chǎng\]]	oil refinery
煉焦 炼焦 [01\[ liàn jiāo\]]	coking;the process of producing coke from coal
煉焦爐 炼焦炉 [01\[ liàn jiāo lú\]]	coking furnace
煉獄 炼狱 [01\[ liàn yù\]]	purgatory
煉珍 炼珍 [01\[ liàn zhēn\]]	a delicacy (food)
煉金術 炼金术 [01\[ liàn jīn shù\]]	alchemy
煉金術士 炼金术士 [01\[ liàn jīn shù shì\]]	alchemist
煉鋼 炼钢 [01\[ liàn gāng\]]	steel making
煉鋼廠 炼钢厂 [01\[ liàn gāng chǎng\]]	steel mill
煉鐵 炼铁 [01\[ liàn tiě\]]	smelting iron
煉鐵廠 炼铁厂 [01\[ liàn tiě chǎng\]]	iron foundry
煌 煌 [01\[ huáng\]]	brilliant
煍 煍 [01\[ jiǎo\]]	to color by smoke
煎 煎 [01\[ jiān\]]	to pan fry;to sauté
煎炸 煎炸 [01\[ jiān zhá\]]	to fry
煎炸油 煎炸油 [01\[ jiān zhá yóu\]]	frying oil
煎炸食品 煎炸食品 [01\[ jiān zhá shí pǐn\]]	fried food
煎餃 煎饺 [01\[ jiān jiǎo\]]	fried dumpling
煐 煐 [01\[ yīng\]]	(person)
煒 炜 [01\[ wěi\]]	glow;raging fire
煖 煖 [01\[ nuǎn\]]	warm
煙 烟 [01\[ yān\]]	cigarette;tobacco;smoke
