非驢非馬 非驴非马 [01\[ fēi lǘ fēi mǎ\]]	neither fish nor fowl;resembling nothing on earth
非黨 非党 [01\[ fēi dǎng\]]	non-party
非黨人士 非党人士 [01\[ fēi dǎng rén shì\]]	non-party member
靠 靠 [01\[ kào\]]	depend upon;lean on;near;by;against;to support
靠不住 靠不住 [01\[ kào bu zhù\]]	unreliable
靠窗 靠窗 [01\[ kào chuāng\]]	by the window (referring to seats on a plane etc)
靠窗戶 靠窗户 [01\[ kào chuāng hu\]]	by the window (referring to seats on a plane etc)
靠背椅 靠背椅 [01\[ kào bèi yǐ\]]	high-back chair
靠走廊 靠走廊 [01\[ kào zǒu láng\]]	next to the aisle;aisle (seat on aircraft)
靠走道 靠走道 [01\[ kào zǒu dào\]]	on the aisle (referring to seats on a plane etc)
靠近 靠近 [01\[ kào jìn\]]	near;approach
靡 靡 [01\[ mí\]]	wasted
靡 靡 [01\[ mǐ\]]	extravagant;go with fashion;not
面 面 [01\[ miàn\]]	fade;side;surface;aspect;top;face;classifier for flat surfaces such as drums
面世 面世 [01\[ miàn shì\]]	to be published (of art
面交 面交 [01\[ miàn jiāo\]]	to deliver personally;to hand over face-to-face
面值 面值 [01\[ miàn zhí\]]	face value;par value
面具 面具 [01\[ miàn jù\]]	mask
面前 面前 [01\[ miàn qián\]]	in front of;facing;presence
面友 面友 [01\[ miàn yǒu\]]	to put on a friendly face
面嚮 面向 [01\[ miàn xiàng\]]	to face;to turn towards;to incline to;geared towards;catering for;-oriented;facial feature;appearance;aspect;facet
面嚮對象的技術 面向对象的技术 [01\[ miàn xiàng duì xiàng de jì shù\]]	object-oriented technology
面嚮對象語言 面向对象语言 [01\[ miàn xiàng duì xiàng yǔ yán\]]	object oriented language
面嚮連接 面向连接 [01\[ miàn xiàng lián jiē\]]	connection-oriented
面型 面型 [01\[ miàn xíng\]]	shape of face
面子 面子 [01\[ miàn zi\]]	outer surface;outside;honor;reputation;face (as in losing face);self-respect;feelings;(medicinal) powder
面孔 面孔 [01\[ miàn kǒng\]]	face
面容 面容 [01\[ miàn róng\]]	appearance;facial features
面對 面对 [01\[ miàn duì\]]	confront;face
面對面 面对面 [01\[ miàn duì miàn\]]	face to face
面巾 面巾 [01\[ miàn jīn\]]	face flannel or towel;shroud (over the face of a corpse)
面形 面形 [01\[ miàn xíng\]]	shape of face
面影 面影 [01\[ miàn yǐng\]]	face (esp. remembered);mental image of sb
面敘 面叙 [01\[ miàn xù\]]	to talk face-to-face
面晤 面晤 [01\[ miàn wù\]]	to interview;to meet
面朝黃土背朝天 面朝黄土背朝天 [01\[ miàn cháo huáng tǔ bèi cháo tiān\]]	face to the ground
面目 面目 [01\[ miàn mù\]]	appearance;facial features;look
面積 面积 [01\[ miàn ji\]]	surface area
面紅耳赤 面红耳赤 [01\[ miàn hóng ěr chì\]]	flushed with anger (or excitement)
