sheng1 ya2	26-7293-S,43-22965-B
sheng1 yan2	51-66584-B
sheng1 yang3	43-30742-B
sheng1 ye4	3-45397-S
sheng1 yi1	29-64910-S
sheng1 yi1 shi4	1-14717-S
sheng1 yi3 lai2	32-36521-S
sheng1 yi4	6-15513-S,32-46090-S
sheng1 yi4 xing1 long2	43-20521-B
sheng1 yi5	27-42390-S,43-20479-B
sheng1 yin1	51-67075-B
sheng1 yin1 jie1	3-53161-S
sheng1 yin2 hang2	24-67906-S
sheng1 yong4 zhi3	56-38170-S
sheng1 you3 quan2	43-21348-B
sheng1 you3 se4	32-38812-S
sheng1 yu2 pian4	43-30818-B
sheng1 yu4	43-29051-B,51-67036-B,57-58220-S
sheng1 yu4 lu:4	43-29146-B
sheng1 yu4 neng2 li4	37-10654-S,43-29201-B
sheng1 yuan1 nie4	9-22113-S
sheng1 yuan2	12-11540-S,43-19747-B,51-65691-B
sheng1 yuan4	43-30677-B,46-14313-S
sheng1 yue4	51-66166-B
sheng1 yun4	27-16295-S
sheng1 zai1 hai4	35-21214-S
sheng1 zai4 dao4	24-64159-S,25-10673-S,68-27885-S
sheng1 zhang1	51-65633-B
sheng1 zhang3	43-30563-B
sheng1 zhang3 ji1 su4	43-30605-B
sheng1 zhao4 huan4	9-22197-S
sheng1 zhe3	20-2418-S
sheng1 zhen3 duan4	60-23634-S
sheng1 zheng4	8-42724-S
sheng1 zheng4 ming2 shu1	8-42809-S
sheng1 zhi1	48-28499-S
sheng1 zhi1 du2 bu4 pa4 hu3	9-785-S
sheng1 zhi2	12-52427-S,19-13898-S,31-19726-B,32-33096-S,43-21633-B
sheng1 zhi2 li4	43-21693-B
sheng1 zhi2 lun2	43-22042-B
sheng1 zhi2 qi4	43-21748-B
sheng1 zhi2 qi4 guan1	43-21821-B
sheng1 zhi2 wu4	55-10649-S
sheng1 zhi2 xi4 bao1	43-21897-B
sheng1 zhi2 xian4	43-21960-B
sheng1 zhi3	56-38241-S
sheng1 zhi4	11-34752-S,24-57268-S
sheng1 zhi4 dong4	8-9472-S
sheng1 zhou3 ye4	59-10542-S
sheng1 zhou4	68-51473-S
sheng1 zhu3 yi4	36-22235-S
sheng1 zi3	6-906-S,47-13041-S
sheng1 zi3 nu:3	42-20116-S,47-13130-S,57-39987-S,67-64097-S
sheng1 zi3 nu:3 zheng4 ce4	42-20184-S
sheng1 zi4	23-55344-S,43-19956-B
sheng1 zu2 nian2	43-18778-B
sheng1 zu3 zhi1	8-56526-S
sheng2	1-8019-S,12-44219-S,18-9869-S,32-4133-S,37-13874-S,40-673-B,50-17437-S,50-25097-B,50-41458-B,60-13527-S,62-31760-S,64-41128-S
sheng2 dao3	37-13919-S
sheng2 qun2 dao3	37-14052-S
sheng2 suo3	50-41685-B
sheng2 suo3 tao4	50-41725-B
sheng2 ti1	50-41637-B
sheng2 xian4	37-13984-S
sheng2 zhi1 yi3 fa3	50-41487-B
sheng2 zi5	32-4192-S,50-41587-B
sheng3	1-72284-S,2-67285-S,3-65508-S,5-44202-S,5-51562-S,7-40136-S,9-58948-S,11-29652-S,11-29751-S,12-40969-S,14-49097-S,15-49841-S,16-45023-S,19-26211-S,19-28630-S,21-30314-S,21-33122-S,22-7654-S,23-13909-S,23-14828-S,30-31290-S,30-67626-S,34-31574-S,36-58222-S,36-60583-S,36-60811-S,37-18955-S,37-19130-S,38-8744-S,38-16590-S,39-10534-S,39-10865-S,42-31945-S,43-11236-S,43-14848-S,45-32944-B,45-40207-B,47-4334-S,48-29617-S,54-43826-S,59-42739-S,60-8388-S,61-41071-S,63-4915-S,66-19797-S,67-17966-S,67-56449-S,71-34396-S
sheng3 Li3 gong1 Xue2 yuan4	71-15193-S
sheng3 bian4	45-33279-B
sheng3 cheng1	45-34582-B
sheng3 cheng2	45-33858-B
sheng3 chi1 jian3 yong4	45-33672-B
sheng3 de5	45-34037-B
sheng3 fen4	11-66156-S,45-33235-B
sheng3 hui4	45-34260-B
sheng3 ji2	9-32936-S,45-34632-B
sheng3 ji2 cheng2 shi4	9-33018-S
sheng3 jian3	45-33326-B
sheng3 jin4	45-33460-B
sheng3 jin4 r5	45-33524-B
sheng3 li4	45-33397-B
sheng3 lu:e4	45-34378-B
sheng3 lu:e4 fu2 hao4	45-34439-B
sheng3 lu:e4 hao4	45-34507-B
sheng3 qian2	45-34893-B
sheng3 que3	45-33597-B
sheng3 shi4	45-33134-B
sheng3 xia2 shi4	45-34831-B
sheng3 xin1	45-34109-B
sheng3 yuan2	45-33801-B
sheng3 zhang3	45-34943-B
sheng3 zhi4	45-34322-B
sheng3 zi4 hao4	45-33916-B
sheng4	1-73815-S,3-12783-S,6-57482-S,7-34457-S,7-40006-S,8-38009-S,9-29691-B,9-33875-B,10-3774-B,11-49943-S,11-57990-S,12-54448-S,13-31364-S,14-6931-S,17-27686-S,21-45960-B,23-27516-S,23-44806-S,24-7044-S,26-17233-S,26-18920-S,26-23332-S,31-3858-S,31-10944-S,31-17427-S,31-21270-S,31-35134-S,31-46314-B,32-12090-S,32-48696-S,33-15246-S,35-44718-S,36-49085-S,37-31779-S,42-23069-S,44-51687-S,44-54226-S,45-4055-B,46-60889-S,47-38045-S,47-41640-S,50-37923-S,51-44118-B,53-24936-S,54-6582-S,59-21479-S,59-63027-B,61-24800-S,62-43768-S,63-46862-S,70-18549-S,71-46974-S,71-53537-S
sheng4 Ge4 zu2 zi4 zhi4 xian4	71-57891-S
sheng4 Ke4	24-41152-S
sheng4 Luo2 ma3 di4 guo2	46-60951-S
sheng4 Pan1 ke4 lei1 si1 zhan4	51-48429-B
sheng4 Wang2	61-29315-S
sheng4 bei1	51-47678-B
sheng4 cai4	9-29841-B
sheng4 can1	51-52360-B
sheng4 can1 tai2	51-52444-B
sheng4 can1 yin3	44-51731-S
sheng4 can1 yin3 ji2 tuan2	44-51840-S
sheng4 chan3	45-5689-B
sheng4 chao2	51-47597-B
sheng4 cheng1	45-5789-B
sheng4 cheng2	51-45392-B
sheng4 chuan2	45-4384-B
sheng4 ci2	9-29788-B
sheng4 da4	45-4622-B
sheng4 de2	45-4966-B
sheng4 di4	10-4287-B,51-45199-B
sheng4 dian3	45-4503-B
sheng4 dian4	51-47763-B
sheng4 du2 wan4 juan3 shu1	56-34692-S
sheng4 dun4	14-14944-S,54-35058-S,69-48443-S
sheng4 dun4 Shi2 bao4	54-35227-S
sheng4 dun4 You2 bao4	54-35427-S
sheng4 dun4 te4 qu1	54-35324-S
sheng4 dun4 zhou1	54-35152-S
sheng4 duo1 ming2 ge1	51-45668-B
sheng4 fan4	9-29893-B
sheng4 fei1	51-50723-B
sheng4 fu2	45-5320-B
sheng4 fu4	1-71419-S,10-4344-B
sheng4 ge1	51-47724-B
sheng4 gong1	51-52037-B,56-35927-S
sheng4 gong1 fu3	56-36026-S
sheng4 gu3 ji4	12-54548-S
sheng4 guo4	10-4420-B
sheng4 hou2	19-40040-S
sheng4 hua4	51-44967-B
sheng4 hui1 jie2	51-48607-B
sheng4 hui4	45-5255-B,56-17537-S
sheng4 huo3	51-48546-B
sheng4 ji2 yi1 shi2	45-5370-B
sheng4 ji4	45-4798-B,51-51921-B
sheng4 jie2	51-48380-B,54-47087-S
sheng4 jie2 qian2 xi1	54-47175-S
sheng4 jing1 dian3 gu4	51-50168-B
sheng4 jing1 duan4 luo4	51-50348-B
sheng4 jing1 xian2 zhuan4	51-50421-B
sheng4 jing3	45-5186-B
sheng4 ju3	7-73055-S,45-5863-B
sheng4 jun1	51-45037-B
sheng4 kai1	45-6298-B
sheng4 kuang4	45-5637-B
sheng4 li3	51-49511-B
sheng4 li4	10-4186-B,42-23365-S
sheng4 li4 zhe3	10-4228-B
sheng4 lu2 xi1 ya4 dao3	51-49161-B
sheng4 ma3 li4 nuo4	51-52508-B
sheng4 mei2 ju3	1-73899-S
sheng4 men2	24-24414-S
sheng4 miao4	51-46559-B
sheng4 ming2	3-9894-S,45-4568-B,51-47491-B
sheng4 mu3 jiao4 tang2	51-48093-B
sheng4 nian2	45-4906-B
sheng4 nu4	45-5056-B
sheng4 pan2	51-49049-B
sheng4 qi4	45-5482-B
sheng4 qi4 ling2 ren2	45-5553-B
sheng4 qiang2	4-37233-S
sheng4 qing2	45-5111-B
sheng4 quan4	47-43080-S
sheng4 ren2	51-44389-B
sheng4 ren4	10-4026-B
sheng4 sa4 er3 wa3 duo1	51-50788-B
sheng4 shan1	32-47889-S
sheng4 shang4	51-44165-B
sheng4 shi1	51-51004-B
sheng4 shi4	17-59030-S,23-1219-S,45-4138-B,45-4228-B,51-44267-B
sheng4 shou1	51-1500-S
sheng4 shou3	51-47071-B
sheng4 shu3	1-75936-S,30-19675-S
sheng4 shuai1	45-5990-B
sheng4 shui3	51-48270-B
sheng4 si4	10-4117-B
sheng4 ti3	51-52693-B
sheng4 ti3 xue4	51-52911-B
sheng4 tian1	4-8138-S
sheng4 tu2	51-46718-B
sheng4 wang2	51-48868-B
sheng4 xi1 wang4 zhe3	40-47561-S
sheng4 xi3	51-48317-B
sheng4 xia4	9-29733-B
sheng4 xian2	51-51626-B
sheng4 xian2 shu1	51-51721-B
sheng4 xiang4	51-44640-B
sheng4 xin1 jie2	51-46948-B
sheng4 xing2	45-5933-B
sheng4 xiong2	51-52241-B
sheng4 xuan3	10-4461-B
sheng4 xun4	21-28569-S,51-50934-B
sheng4 yan4	45-4865-B
sheng4 yao4	51-50891-B
sheng4 yi1 chou2	43-55744-S
sheng4 ying1	51-46173-B
sheng4 yu2	9-29943-B,60-21564-S
sheng4 yu2 ding4 li3	2-54850-S,9-30065-B
sheng4 yu2 fang4 she4 xing4	9-30143-B
sheng4 yu2 fu2 she4	9-30235-B
sheng4 yu2 jia4 zhi2	9-29995-B
sheng4 yu2 xiong2 bian4	3-30289-S
sheng4 yu4	45-6151-B,51-51577-B
sheng4 yue1	51-49632-B
sheng4 zai1 jing1	51-45077-B
sheng4 zan4	45-6208-B
sheng4 zhan4	51-47020-B
sheng4 zhan4 zu3 zhi1	4-49395-S
