shou1 suo1 ya1	24-38337-S,29-42098-B
shou1 tiao2	29-41389-B
shou1 ting1	29-42390-B
shou1 wei3	29-40732-B
shou1 ya1	29-41025-B
shou1 yang3	29-43254-B
shou1 yi4	29-41603-B,43-49006-S,50-33286-S
shou1 yi4 de5 guan1 xi4	68-57982-S
shou1 yin1 ji1	29-43204-B
shou1 yin2	29-42983-B
shou1 yin2 ji1	29-43026-B
shou1 zhang4 kuan3	25-59894-S
shou1 zhi1	29-41194-B
shou1 zhi1 sang1 yu2	29-39887-B
shou1 zhi1 xiang1 di3	29-41279-B
shou2	22-31770-S,41-10561-S
shou2 lian4	10-59136-S
shou2 yu3	41-16635-B
