sàn xìng	67-10036-S
sàn xí	30-9662-B
sàn xīn	30-7968-B
sàn yì	30-9988-B
sàn zhù yì	8-53717-S
sàng	14-11480-B,37-18420-S,38-44993-S
sàng bāng	14-12480-B
sàng dé	14-12167-B,42-38061-S
sàng dǎn	14-13343-B,51-57577-S
sàng fù	14-13017-B
sàng hún luò pò	14-13916-B
sàng hún shī pò	14-13846-B
sàng jiā zhī quǎn	14-12039-B
sàng jìn	14-13140-B
sàng jìn tiān liáng	14-13190-B
sàng mén shén	14-13737-B
sàng mén xīng	14-13628-B
sàng mìng	14-11726-B
sàng qi	14-12807-B
sàng quán rǔ guó	14-12644-B
sàng qì	15-55683-S,40-25659-S
sàng qì guǐ	14-12922-B
sàng qì huà	14-12860-B
sàng qī	14-11992-B
sàng shēng	14-13081-B
sàng shī	14-11870-B
sàng shī dài jìn	14-11917-B
sàng tiān hài lǐ	14-11780-B
sàng wáng	14-11586-B,38-45091-S
sàng xīn bìng kuáng	14-12226-B
sàng zhì	14-12377-B,42-40017-S
sàng ǒu	2-48262-B
sào	14-23292-B,16-2043-B,19-59758-S,28-10614-B,36-17682-B,44-17734-B,52-52821-B,70-24323-S,70-24406-B
sào ba	28-10775-B
sào zhou	28-10736-B
sè	1-40018-S,1-73359-S,2-36247-S,2-45849-S,3-22890-S,3-47090-S,3-55658-S,3-61919-S,3-72411-S,4-276-S,5-8853-S,5-40219-S,6-64518-S,7-41349-S,8-22308-S,8-44476-S,8-57694-S,11-35327-S,12-64567-S,13-27163-S,13-34790-S,14-7954-S,14-20908-S,14-23597-B,16-13816-S,16-19469-B,16-21691-S,17-41650-S,17-53104-S,17-53373-S,18-22205-S,18-29386-S,18-44769-S,20-51934-S,22-28767-S,23-54283-S,23-54873-S,23-56150-S,24-37665-S,24-52537-S,25-15523-S,25-43959-S,27-40010-S,28-13518-S,29-17600-S,30-40207-S,30-42732-S,31-46630-S,31-54688-S,31-60358-S,31-65690-S,32-38812-S,32-39151-S,32-66057-S,32-69313-S,33-4872-S,33-5203-S,33-8592-S,33-43292-S,33-52192-S,33-52455-S,34-7947-S,34-11638-S,34-13385-S,34-21598-S,35-1856-S,35-1931-S,35-38859-S,35-61606-S,36-16661-S,36-29913-S,37-6297-S,38-44054-S,38-50929-S,38-51043-S,38-57528-S,38-58036-S,38-58537-S,38-66475-B,39-10253-S,39-32586-S,39-36527-S,39-61985-S,39-64990-B,39-65152-B,40-7977-B,40-25988-S,40-26040-S,40-40223-S,40-60995-S,41-54542-S,41-61543-S,42-13423-S,42-59588-S,42-62153-S,42-62397-S,42-63095-B,42-63140-S,43-10726-S,43-46810-S,44-44410-S,44-56364-S,45-18895-S,45-41797-S,45-51442-S,46-61345-S,47-41301-B,48-47550-S,48-47747-S,49-12482-S,49-29180-S,49-29240-S,49-65908-S,50-48245-S,51-10304-S,52-52438-S,53-43799-S,53-44137-B,53-46227-S,53-46279-S,53-59837-S,53-67703-S,54-30065-S,54-52193-S,54-55551-S,55-3641-S,55-16876-S,55-21632-S,55-29706-S,56-24549-S,56-29015-S,56-59133-S,57-7254-S,57-8378-S,57-45684-S,57-45746-S,58-762-S,58-39098-S,58-59486-B,59-11386-S,59-39608-S,60-13580-S,60-49515-S,61-31324-B,62-59513-S,64-14109-S,64-17932-S,64-28614-S,64-32641-B,65-27677-S,65-64035-S,66-9407-S,66-11281-S,66-49138-S,66-61547-S,67-5644-S,67-57508-S,67-61293-S,68-3112-S,68-15422-S,68-44712-S,69-3732-S,69-37173-S,69-62143-S,71-4146-S,71-11440-S,71-22375-S,71-23392-S,71-23507-S,71-32639-S,71-51146-S
sè bàn yǎn yóu xì	57-45783-S
sè bù tiáo	42-59631-S
sè bān	53-45248-B
sè cǎi	20-7956-S,53-44612-B
sè diào	53-45876-B
sè dá	53-45976-B
sè dì qū	44-56442-S
sè dù	53-44555-B
sè dāng	53-44390-B
sè dǎn	53-45689-B
sè fèi	16-13873-S
sè fú	45-14061-S
sè fā dǒu	42-63190-S
sè fēn xī	36-11694-S
sè fū	49-6063-S,51-49676-S
sè fǎ	10-22795-S,68-5256-S
sè guǐ	12-64619-S,53-46084-B
sè gāo mián	49-12632-S
sè gē wéi nà	71-29314-S
sè gē wéi yà	16-19573-B
sè gě yàng	12-30378-S
sè huà	14-21078-S
sè huāng	53-45824-B
sè hé míng	42-59713-S
sè hé píng zǔ zhī	49-65945-S
sè hú	16-8318-S
sè jiā	50-11544-S
sè jì	35-1978-S,52-34143-S
sè jìng tóu	8-57743-S
sè jīn shǔ	32-39292-S,71-32741-S
sè jǐn	1-40063-S
sè kǒng bù	44-44536-S
sè liè	4-38565-S
sè liè gōng dǎng	4-38685-S
sè liè rén	4-38614-S
sè láng	53-45376-B
sè lì nèi rěn	53-44218-B
sè lín	8-30155-S
sè lóng	59-11473-S
sè lā	53-45073-B
sè lā jiàng	37-31468-S,53-45177-B
sè lā sì	53-45110-B
sè mài	39-65105-B
sè máng	53-45434-B
sè mí	53-45913-B
sè mí mí	53-45741-S
sè mǔ	22-21178-S
sè qíng	50-10734-S,53-44679-B
sè qíng kuáng	53-44951-B
sè qíng xiǎo shuō	53-44807-B
sè qíng yè	53-44894-B
sè qíng zuò pǐn	53-44732-B
sè rén zhǒng	32-39222-S,44-44465-S
sè shì	44-56533-S
sè shí pǐn	49-66030-S
sè suō	42-63262-B
sè sè	23-54283-S,42-63140-B
sè sè fā dǒu	42-63190-B
sè sè mí mí	53-45741-B
sè sù	49-33351-S,52-51220-S,53-45521-B,56-29068-S,71-32677-S
sè sù chén jī zhèng	56-29189-S
sè sù céng hēi sè sù liú	45-51507-S
sè sù liú	45-51507-S
sè sù tǐ	53-45560-B
sè tè	66-8600-S
sè tī	18-13185-S
sè tīng	65-28278-S
sè tǐ	16-63042-S,33-43413-S,44-44669-S
sè tǐ bèi xìng	33-43466-S
sè tǐ yì cháng	15-67286-S
sè wáng	3-61964-S
sè wèi	39-65046-B
sè wù	16-21730-S
sè wǔ	45-36947-S
sè xiāng	53-45483-B
sè xiǎn huā	49-61894-S
sè xìng yě	69-3795-S
sè yí	53-44443-B
sè yù	53-45023-B
sè yīn	14-4916-S
sè yǎn jìng	26-23583-S
sè yǎn jīng zhuō má què	65-27791-S
sè yǎng huà gǒng	49-12541-S
sè zhà yào	71-22429-S
sè zhàn jì	35-2035-S,44-44603-S,55-29743-S
sè zhào piàn	14-20981-S
sè zhì	33-43328-S
sè zhī tú	18-29471-S
sè zhōu	66-11331-S
sè zhǎng	53-46035-B
sè zi	42-42403-S
sè zé	30-19021-S
sè zǐ luó lán	1-40112-S
sè àn suān	53-45635-B
sè ān suān	43-40180-S,53-45316-B
sè ěr	1-55184-S
sè ěr shì	22-22592-S
sì	1-25283-S,1-32007-S,1-65506-S,3-15915-S,3-34400-S,3-48053-S,4-61783-B,4-62181-B,4-66995-S,5-3590-S,5-42158-B,6-33349-S,6-57048-B,7-22874-B,7-66873-S,8-10394-S,10-4117-S,10-45350-S,13-48065-S,13-51910-S,14-25123-B,14-45451-B,16-17852-S,17-10822-S,17-18053-S,17-20253-S,17-31513-S,17-56019-S,17-70210-S,18-4042-S,18-26605-S,18-40569-B,20-32096-B,20-65152-S,21-4585-S,22-1784-S,22-2656-B,23-67756-S,24-65309-S,25-5106-S,26-2882-S,27-21567-S,27-64128-S,29-52745-S,31-30241-S,32-47262-S,32-67160-S,33-30080-S,33-51473-B,36-57349-B,37-32428-S,37-35342-S,37-35486-B,37-65340-S,38-36795-B,38-64065-S,39-62565-S,43-13236-S,44-3618-S,44-23064-S,44-49140-S,45-26269-S,46-50807-B,46-65142-S,48-5897-B,48-12782-S,51-38618-B,52-3700-B,53-45110-S,61-32986-S,61-47559-S,62-26926-S,63-40606-S,64-9892-S,68-45507-S,68-47285-S,69-1697-B,69-6846-B,69-50632-B
sì biān	14-53483-B
sì biān xíng	2-28817-S,14-53527-B,22-44637-S
sì bù qǔ	14-53646-B
sì bǎi wàn	14-52086-B
sì bǎi yì	1-3559-S,14-52033-B
sì bǎi èr shí jiǔ	1-3468-S
sì bǎo	30-28129-S
sì chuān	14-48804-B
sì chuān dà xué	14-48885-B
sì chuān pén dì	14-49028-B
sì chuān rì bào	14-48959-B
sì chuān shěng	14-49097-B
sì chóng zòu	14-53753-B
sì chù	14-52646-B
sì chōng	6-2921-S
sì cáo	69-6937-B
