tōng rén	31-51503-S
tōng rén hé	29-57997-S
tōng rén shì	38-29998-S
tōng róng	62-12411-B
tōng shén	64-44742-S
tōng shì	11-4033-S,31-37601-S
tōng shí	62-6854-B,62-14028-B
tōng shí jiào yù	62-14210-B
tōng shí kè chéng	62-14284-B
tōng shí péi xùn	62-14138-B
tōng shùn	62-15860-B
tōng shān	62-9367-B
tōng shān xiàn	62-9432-B
tōng shāng	3-47862-S,62-8930-B
tōng shāng kǒu àn	62-9015-B
tōng shū	62-10057-B
tōng shǐ	38-58713-S,62-8658-B
tōng sú	62-7015-B
tōng sú yì dǒng	62-7072-B
tōng sú yǎn yì	35-52701-S,36-19893-S
tōng tòu	62-14743-B
tōng tóng	62-8770-B
tōng tú	62-14789-B
tōng tōng	62-14848-B
tōng wèi	62-10683-B
tōng wèn tí	31-51611-S
tōng wěi yuán huì	51-64275-S
tōng wǎng	62-9705-B
tōng xiàn	4-52001-S,62-12194-B
tōng xiàng	62-8825-B
tōng xiāo	62-9322-B
tōng xiāo zhèn	62-15782-B
tōng xiǎo	62-9964-B
tōng xìn	2-62133-S,30-21247-S,30-22617-S,62-7146-B,62-31068-S
tōng xìn fù zài	62-7672-B
tōng xìn fú wù	62-7434-B
tōng xìn jié dìng	62-7195-B
tōng xìn jì shù	62-7353-B
tōng xìn liàng	62-7747-B
tōng xìn mì dù	62-7276-B
tōng xìn wèi xīng	62-7590-B
tōng xìn wǎng luò	62-7510-B
tōng xìng	3-46558-S,62-1667-S
tōng xíng	62-12525-B
tōng xíng shuì	62-12767-B
tōng xíng wú zǔ	62-12666-B
tōng xíng zhèng	62-12819-B
tōng xùn	11-24884-S,29-44056-S,62-13084-B
tōng xùn háng yè	62-13503-B
tōng xùn lù	62-13663-B
tōng xùn shè	15-16789-S,23-57294-S,32-50113-S,51-60906-S,62-13259-B,68-11638-S
tōng xùn tōng dào	58-28663-S,62-13583-B
tōng xùn xié dìng	62-13178-B
tōng xùn xì tǒng	62-13333-B
tōng xùn yuàn shì	62-13730-B
tōng xùn zì dòng huà	62-13410-B
tōng xīn fěn	62-9807-B
tōng xǔ	62-13843-B
tōng yì wài	3-72565-S
tōng yín háng	4-195-S
tōng yòng	62-10796-B
tōng yòng diàn qì	62-11580-B,62-11657-B
tōng yòng pīn yīn	62-11110-B
tōng yòng qì chē	62-11231-B
tōng yòng qì chē gōng sī	62-11302-B
tōng yòng xìng	62-11050-B
tōng yòng yǔ	62-11395-B
tōng yòng zì fú jí	62-10957-B
tōng yòng zì yuán zǔ	62-10860-B
tōng yòng zī yuán shí bié hào	62-11456-B
tōng yùn shū	4-58-S
tōng yú	62-10099-B
tōng yú xiàn	62-10165-B
tōng zhàng	62-12252-B
tōng zhàng lǜ	62-12298-B
tōng zhèn	4-52289-S
tōng zhī	3-29226-S,9-19084-S,61-66444-S,62-11815-B
tōng zhōng xué	31-51424-S
tōng zhōu	62-9495-B
tōng zhōu qū	62-9560-B
tōng zì rán bǎo hù qū	4-52099-S
tōng zǔ sè	4-276-S
tōu	6-22280-B,6-22321-S,18-56785-B,20-60701-S
tōu duò	6-22837-B
tōu dào	6-23368-B
tōu dù	6-23037-B
tōu dù zhě	6-23152-B
tōu gōng	6-22628-B
tōu gōng jiǎn liào	6-22696-B
tōu jī bù chéng shí bǎ mǐ	6-23700-B
tōu jī bù zháo shí bǎ mǐ	6-23812-B
tōu kàn	6-23410-B
tōu liè	6-23218-B
tōu liè zhě	6-23257-B
tōu lǎn	6-22899-B
tōu mō mō	6-22404-S
tōu pāi	6-22955-B
tōu qiè	6-23494-B
tōu qù	6-22478-B
tōu shuì	6-23448-B
tōu shēng	6-23309-B,24-42815-S,24-43744-S
tōu tīng	6-23539-B
tōu tōu	6-22321-B
tōu tōu mō mō	6-22404-B
tōu xí	6-23608-B
tōu yùn	6-23656-B
tōu ān	6-22543-B
tū	3-22944-S,7-11632-S,8-31261-B,8-31302-S,8-32638-S,13-52607-S,21-483-S,33-22295-S,34-61418-S,35-48822-S,42-9857-S,47-11023-B,47-52686-B,48-60322-S,48-60384-S,48-60494-S,56-173-S,56-40118-S,59-1395-S,61-5373-S
tū biàn	47-53890-B,50-53027-S,64-48381-S
tū biàn lǐ lùn	47-54022-B
tū biàn zhū	47-53946-B
tū biān	8-32249-B
tū bù píng	8-32707-S
tū bǎn	8-31639-B
tū bǎn yìn shuā	8-31693-B
tū chù hòu	47-53833-B
tū chū	8-31373-B,47-52811-B,52-42467-S
tū chū zhèng	52-42594-S
tū duō bāo xíng	8-31430-B
tū duō miàn tǐ	8-31501-B
tū dòu	3-23024-S
tū dǐng	47-11139-B
tū fā	44-7238-S,47-11055-B,47-53630-B
tū fā shì jiàn	47-53670-B
tū fēi měng jìn	47-54336-B
tū jiāo zhì	21-4777-S
tū jué	47-52910-B
tū jué sī tǎn	33-22438-S
tū jué sī tǎn jiě fàng zǔ zhī	33-22703-S
tū jué sī tǎn yī sī lán yùn dòng	33-22547-S
tū jìng	8-32302-B
tū jī	47-53375-B
tū jī duì	47-53454-B
tū lún	8-32104-B
tū lún zhóu	8-32140-B
tū miàn	8-32349-B,66-64027-S
tū miàn bù fèn	8-32397-B
tū miàn jìng	8-32463-B
tū miàn tǐ	8-32522-B
tū ní sī	47-53161-B
tū ní sī shì	47-53237-B
tū ní xī yà	47-53316-B
tū pò	47-53742-B
tū quán xiàn	47-53505-B
tū qǐ	8-32016-B,43-63720-S,47-54103-B
tū qǐ bù	47-54181-B
tū rán	47-53573-B
tū rú qí lái	47-53053-B
tū tòu jìng	8-32193-B
tū tóu	47-11182-B
tū tū	7-11632-S,8-31302-B,48-60322-S
tū wéi	47-52975-B
tū xiàn	8-31802-B,8-31888-B
tū xiǎn	47-54250-B
tū xí	47-53786-B
tū yuán	8-31934-B
tū yuè	45-2085-S
tū yìn shuā	8-32782-S
tū yīng	47-11223-B
tū zhuàng xì bāo	34-61493-S
tū zhá huā	8-32859-S
tū zhé xiàn	8-31573-B
tū zǔ zhī	33-22883-S
tū ěr	8-31974-B
tūn	5-11843-S,5-27147-S,12-64686-B,13-62387-B,25-48953-S,25-49859-S,31-17683-B,32-1282-B,38-36215-B,40-45755-B
tūn bìng	12-64727-B
tūn chī	12-64770-B
tūn hǔ yàn	42-9630-S
tūn jīn	12-65688-B
tūn miè	12-65489-B
tūn mò	12-65421-B
tūn mǐ sāng bù zhá	12-65532-B
tūn ná	12-65313-B
tūn ná yú	12-65362-B
tūn shì	12-65023-B
tūn shì xì bāo	12-65201-B,17-9536-S,20-61786-S
tūn shì zuò yòng	12-65090-B
tūn shí	12-65758-B
tūn shēng	12-65630-B,24-43144-S
tūn tūn	25-48953-S,25-49859-S
tūn tūn tǔ tǔ	12-64891-B
tūn tǔ	12-64813-B
tūn tǔ tǔ	12-64891-S
tǎ	3-18823-S,4-39737-S,4-48114-S,5-3509-S,5-54332-S,8-17141-S,8-20845-S,11-28575-S,12-1509-S,12-42752-S,13-39106-S,14-18067-S,15-57798-S,15-60341-S,16-15913-B,16-25541-S,17-39445-S,20-4605-S,20-5233-S,20-29118-S,21-5574-S,22-59776-S,23-7253-S,24-8449-S,26-15754-S,32-52732-S,33-65584-S,33-66177-S,34-100-S,34-51911-S,34-61316-S,36-44209-S,37-56498-S,40-1462-S,40-30295-S,41-25012-S,42-25953-B,42-57650-S,43-11487-S,46-37794-S,49-4723-S,52-38309-S,53-30236-S,53-30423-S,53-47028-S,53-48534-S,57-14843-S,59-24075-S,59-29294-S,61-22313-S,64-8801-S,64-9083-S,66-7348-S,66-55814-S,66-64808-S,67-22772-S,67-34011-S,70-12615-S,70-46430-B
tǎ 5r	16-16915-S
tǎ 5r rén	16-16971-S
tǎ bù lián	15-49396-S
tǎ bù lián hǎi	15-49653-S
tǎ bù lián shān mài	15-49498-S
tǎ bēng	16-17106-B
tǎ bēng shuǐ jiě méi	16-17145-B
tǎ chéng	16-16750-B
tǎ chéng dì qū	16-16815-B
tǎ diào	16-16705-B
tǎ fū	47-4468-S
tǎ gé shā mò	22-66036-S
tǎ hè	37-30487-S
tǎ hè nà	11-13469-S
tǎ hé	16-17788-B
tǎ jí kè	16-16418-B
tǎ jí kè rén	16-16490-B
tǎ jí kè sī tǎn	16-16557-B
tǎ jí kè zú	16-16630-B
tǎ jī	52-13048-S
tǎ jī zhōu	52-13110-S
tǎ kè lā mǎ gàn	16-16031-B
tǎ kè lā mǎ gān	16-16240-B
tǎ kè lā mǎ gān shā mò	16-16121-B
tǎ liáo fǎ	33-65768-S
tǎ lì	18-50948-S
tǎ lì bān	16-16322-B
tǎ lì yà	31-50401-S
tǎ lín	16-17675-B
tǎ lóu	16-17736-B
tǎ lún	51-45546-S
tǎ lā	66-7787-S
tǎ lā měng gǔ zì zhì zhōu	11-8497-S
tǎ lā wǎ	16-17286-B
tǎ lǐ mù	16-18224-B
tǎ lǐ mù hé	16-18051-B
tǎ lǐ mù pén dì	16-18302-B
tǎ mǎ wān	54-25184-S
tǎ nà	66-5234-S
tǎ nà mó	65-54404-S,65-54468-S
tǎ nà mó wān	65-54532-S
tǎ nà nà lì fó	16-18126-B
tǎ nà ěr	39-57852-S
tǎ ní	57-17755-S
tǎ ní yà	11-13363-S,36-15459-S
tǎ nǎi ěr	49-15982-S
tǎ pù bù	37-56579-S
tǎ qū	12-1590-S,66-64898-S
tǎ shí	53-48248-S
tǎ shí bēi	50-56717-S
tǎ shí gān	16-15955-B
tǎ sī	66-3875-S
tǎ sī kē lā	16-17513-B
tǎ sī màn ní yà	16-17356-B
tǎ sī mǎ ní yà zhōu	16-17593-B
