xiu1 xing2	5-48941-B
xiu1 xing2 ren2	5-49003-B
xiu1 yang3	4-56651-B,5-49996-B
xiu1 yang3 sheng1 xi1	4-56724-B
xiu1 yuan2	46-13182-S
xiu1 yuan4	5-49794-B,66-46576-S
xiu1 zhan4	4-55949-B
xiu1 zheng3	4-55993-B,5-47868-B
xiu1 zheng4	5-48034-B
xiu1 zheng4 an4	5-48156-B
xiu1 zheng4 zhu3 yi4	5-48088-B
xiu1 zhi3	4-56205-B
xiu1 zhi3 fu2	4-56246-B
xiu1 zhu4	5-48791-B
xiu3	2-15798-S,19-66247-B,32-70359-B,36-49842-S,48-60710-B,52-37535-S
xiu3 de5	2-15851-S
xiu3 huai4	32-70388-B
xiu4	3-34042-S,5-32637-S,6-58250-S,9-13878-S,11-39197-S,14-23437-B,18-10091-S,19-66279-B,21-36804-B,24-1768-S,24-36977-S,30-60444-S,31-29281-S,34-28609-S,38-64117-S,38-65905-S,39-12524-S,39-23841-B,42-44416-B,42-57296-B,43-30379-S,43-30459-S,45-36041-S,47-11274-B,48-1209-S,48-57004-S,50-11477-S,50-41079-B,50-55372-S,53-16048-B,56-42719-S,56-50411-B,57-7081-B,64-34538-B,64-45750-S,64-58941-B,65-5200-S,65-48512-S,66-28654-S,68-35032-S
xiu4 Yao2 zu2 zi4 zhi4 xian4	64-13475-S
xiu4 cai5	47-11399-B
xiu4 dan1 zhi4	39-23998-B
xiu4 er2 qu4	27-18423-S
xiu4 gang1	2-35902-S
xiu4 hai3	31-29336-S
xiu4 hua1	50-41210-B
xiu4 hua1 xie2	50-41273-B
xiu4 hua4 jia3	39-23936-B
xiu4 hua4 qing2	39-23874-B
xiu4 jia3 ben3	36-37506-S
xiu4 jie2 mu4	63-893-S
xiu4 jue2	14-23474-B
xiu4 kou3	56-50440-B
xiu4 li4	47-11670-B
xiu4 mei3	47-11620-B
xiu4 ming4	19-66657-B
xiu4 pin3	9-13920-S
xiu4 qing1 feng1	7-47755-S
xiu4 qiu2 hua1	50-41156-B
xiu4 suan1	35-21016-S,36-35092-S
xiu4 tie3	64-58982-B
xiu4 wei2	50-41114-B
xiu4 wu3	43-54364-S
xiu4 zhen1	56-50516-B
xiu4 zhen1 ci2 dian3	56-50557-B
xiu4 zhen1 yin1 xiang3	56-50631-B
xiu4 zhi1 pi3	30-60489-S
xiu4 zi5	56-50478-B
