xìng dài shù	50-16689-S
xìng dòng wù	7-44888-S
xìng dú jì	7-41842-S,27-56250-S,46-59590-S,47-54804-S,48-62207-S,52-14589-S,53-19434-S,62-16933-S
xìng dēng gé rè	8-44926-S
xìng fán zhí	40-51523-S
xìng fèi shuǐ zhǒng	2-70610-S
xìng fèi wù	4-68072-S,29-49997-S
xìng fèi yán	17-33826-S
xìng fù xiè	25-42400-S
xìng fú	22-51515-B,24-48418-S,64-16439-S
xìng fú wù	24-62349-B
xìng fú wù chǎn yè	24-62420-B
xìng fā guāng cái liào	29-50915-S
xìng fāng chéng	50-16761-S
xìng fēn xī	19-45340-S
xìng fǎn yìng	40-28485-S,62-45864-S
xìng guān jié yán	68-56198-S
xìng guān xi	24-63476-B
xìng guāng xué	67-67352-S
xìng guī huà	50-17053-S
xìng gé	24-62506-B
xìng gé bù hé	24-62580-B
xìng gān yán	44-11142-S
xìng gāo cháo	24-63627-B
xìng gōng zuò	24-61784-B
xìng gǎn	24-61971-B
xìng gǎn mào	38-5990-S
xìng gǔ lǎo wèn tí	2-39416-S
xìng huà	5-53565-S
xìng huài sǐ	59-36692-S
xìng huó dù	29-50751-S
xìng huā	7-45217-S,33-6879-B
xìng huā cūn	33-6930-B
xìng huǒ bàn	24-60863-B
xìng hé sù	29-50275-S
xìng hǎo	22-51179-B
xìng jiàn kāng	24-61092-B
xìng jiào yù	24-62290-B
xìng jiā sù qì	45-23338-S
xìng jiāo	24-60744-B,62-30636-S
xìng jiāo gāo cháo	24-60798-B
xìng jiē chù	18-53501-S,24-62228-B,43-61268-S
xìng jiē kǒu	66-61121-S
xìng jiǎ	53-65242-S
xìng jiǎ shè	31-52467-S
xìng jì	37-64862-S,56-47384-S
xìng jìn	22-51683-B
xìng jìn shì	6-7833-S
xìng jìn xíng xìng shī yǔ	11-34962-S
xìng jí bìng	25-49483-S,63-1962-S
xìng jī sù	24-62720-B,66-53167-S
xìng jīn shǔ	71-5976-S
xìng kuī	22-51629-B
xìng liàn	12-47471-S,43-61352-S,66-65515-S
xìng liàn zhě	12-47552-S
xìng luò xià huī	29-51186-S
xìng lán	71-5918-S
xìng láng chuāng	49-9765-S
xìng lè	24-62664-B
xìng lèi	46-46306-S
xìng lì	48-50653-S
xìng lì jí	49-33705-S
xìng lì xì bāo	2-71653-S,14-24687-S,14-24802-S
xìng lín	33-6563-B
xìng lín qū	33-6681-B
xìng lěng gǎn	24-61220-B
xìng lǐ lùn	19-45427-S
xìng miǎn	22-51071-B
xìng miǎn yì	42-23498-S
xìng má bì	52-39810-S
xìng mái míng	66-47069-S
xìng mìng	24-61501-B
xìng mìng yōu guān	24-61541-B
xìng míng	18-40671-B
xìng míng cí	10-847-S,67-63567-S
xìng mó liàng	23-48449-S
xìng nà	53-65164-S
xìng nán yí	36-58907-S,36-59048-S
xìng néng	24-63054-B,32-9509-S,70-14859-S
xìng nüè yuán chóng	25-20728-S
xìng piān hào	24-61028-B
xìng pín xuè	8-9364-S,17-67139-S,38-21216-S,66-42301-S
xìng píng děng	7-45054-S
xìng qu	53-25467-B
xìng quē xiàn	7-3722-S
xìng qì	24-61644-B
xìng qì guān	24-61687-B
xìng qì hòu	38-21132-S
xìng qì tǐ	25-24473-S
xìng qíng	24-61868-B
xìng qíng huà wù zhōng dú	24-58527-S
xìng qù	25-42985-S,32-39024-S
xìng qīn shǔ	43-46102-S
xìng qǔ xiàng	24-61425-B
xìng rèn shi	25-40770-S,42-55017-S
xìng rén	24-58373-S,33-6406-B
xìng rén dòu fu	33-6455-B
xìng rén gān	53-67638-S
xìng shuāi biàn	29-51285-S
xìng shèn	22-51447-B
xìng shì	18-40723-B,22-51008-B,24-60706-B
xìng shì sǔn shāng	44-65106-S,46-59679-S
xìng shòu hài	2-7996-S
xìng shù	33-6832-B
xìng shēng huó	24-62775-B
xìng shēng zhí	32-33096-S
xìng shī yǔ	11-34962-S,62-30733-S
xìng suàn zi	50-16902-S
xìng suì piàn	29-51021-S
xìng sì liào	10-927-S
xìng sāo rǎo	24-63564-B
xìng sǔn shāng	62-67657-S
xìng tàn	37-64922-S
xìng tóng wèi sù	29-49885-S
xìng tōng huò péng zhàng	25-20907-S
xìng tǔ	71-5683-S
xìng wú zhù gǎn	51-18180-S
xìng wū rǎn	29-50460-S
xìng wǔ qì	17-35277-S,29-50374-S
xìng xiàn	24-63110-B
xìng xiàn jī sù	49-49599-S
xìng xiào yìng	1-18646-S,57-32559-S
xìng xiāng	15-3974-S
xìng xiōng zhě	56-31603-B
xìng xiū kè	62-45779-S
xìng xuàn yùn	13-11361-S
xìng xì	25-50972-S
xìng xì bāo	24-62977-B
xìng xì tǒng	50-16982-S
xìng xìng jiē chù	43-61268-S
