yi1 qi2	1-24251-B
yi1 qi3	1-21178-B
yi1 qi4	37-4404-S
yi1 qian1	1-3285-B
yi1 qian1 dun1	1-3414-B
yi1 qian1 ling2 wu3 shi2 yi4	1-3796-B
yi1 qian1 qi1 bai3 wan4	1-3331-B
yi1 qian1 si4 bai3 er4 shi2 jiu3	1-3468-B
yi1 qian1 si4 bai3 yi4	1-3559-B
yi1 qian1 wan4	1-3635-B
yi1 qiao4 bu4 tong1	1-16525-B
yi1 qie4	1-3137-B,2-36562-S,45-18541-S
yi1 qie4 shi4 wu4	1-3180-B
yi1 qing1 zao3	1-14008-B
yi1 qiu1 zhi1 hao2	1-865-B
yi1 qu4 bu4 hui2	1-4005-B
yi1 qu4 wu2 ying3 zong1	1-4070-B
yi1 qun2	1-18186-B,62-25221-S
yi1 ran2	5-25449-B
yi1 ren2 cheng1	48-8302-S
yi1 ren2 de2 dao4 ji1 quan3 sheng1 tian1	1-1662-B
yi1 ri4	32-34770-S
yi1 ru2 ji4 wang3	1-6407-B
yi1 ru2 suo3 liao4	1-6341-B
yi1 se4	38-58537-S
yi1 sha1	65-66241-S,65-66773-S
yi1 shan1 bang4 shui3	5-24520-B
yi1 shan3 nian4	1-22248-B
yi1 shang5	56-42818-B
yi1 shao3 shi2	50-49478-S
yi1 shen1	1-21496-B
yi1 shen1 han4	1-21589-B
yi1 shen2 jiao4	1-15945-B
yi1 shen2 lun4	1-16026-B
yi1 sheng1	1-14646-B,1-18232-B,3-19538-S,14-31146-S,16-49713-S,36-59905-S,40-48955-S,41-46827-S,46-2420-S,48-9461-S,63-50103-B
yi1 sheng1 chan3 li4	47-17500-S
yi1 sheng1 yi1 shi4	1-14717-B
yi1 sheng2	32-4133-S
yi1 sheng2 zi5	32-4192-S
yi1 shi1	44-54922-S,54-46354-S,63-49994-B
yi1 shi1 zu2 cheng2 qian1 gu3 hen4	1-6114-B
yi1 shi2	1-1470-S,1-10572-B,12-54851-S,23-60704-S,42-18285-S,45-5370-S,56-42919-B,68-59064-S
yi1 shi2 ban4 hui4	1-10849-B
yi1 shi2 ban4 hui4 r5	1-10931-B
yi1 shi2 ban4 ke4	1-10684-B
yi1 shi2 ban4 sha4	1-11022-B
yi1 shi2 ban4 shang3	1-10765-B
yi1 shi2 ci3 yi1 shi2	23-60704-S
yi1 shi2 liu4	7-43783-S
yi1 shi4	1-707-B,1-14717-S,1-75354-S,7-16566-S,32-9170-S,54-26244-S,55-37606-S,56-42968-B,58-12452-S
yi1 shi4 bu4 zhang3 yi1 zhi4	2-24768-S
yi1 shi4 he2	55-37661-S
yi1 shi4 ji4	3-33143-S
yi1 shi4 tong2 ren2	1-20498-B
yi1 shi4 yun4 he2	55-37728-S
yi1 shou3	1-9124-B,43-48410-S,67-46431-S
yi1 shu1	49-6724-S,49-7183-S
yi1 shu3	5-24477-B
yi1 shu3 er2	30-19551-S
yi1 shu4	63-50655-B
yi1 shun4	1-15617-B
yi1 shun4 jian1	1-15700-B
yi1 si1	58-17594-S
yi1 si1 bao3	33-8388-S
yi1 si1 bu4 gou3	1-17703-B
yi1 si1 bu4 gua4	1-17545-B
yi1 si1 lan2 yun4 dong4	33-22547-S
yi1 si1 te4	4-49017-B
yi1 si1 yi1 hao2	1-17482-B
yi1 si3	1-70168-S
yi1 sui2	47-6356-B
yi1 suo1 shi2	48-30075-S
yi1 ta1 hu2 tu5	1-5398-B
yi1 ta3	4-48114-B
yi1 tai1 zhi4	1-18314-B
yi1 tai2	1-1062-S
yi1 tan2 zhi3 qing3	1-8366-B
yi1 tan4	4-26525-S,4-26631-S
yi1 tang2	35-32291-S,40-9759-S
yi1 tang4	61-20798-S
yi1 tao4	1-6298-B
yi1 te4	4-55328-S
yi1 ti3	1-22999-B,56-11272-S
yi1 tian1	1-5991-B,9-17876-S
yi1 tian1 dao4 wan3	1-6032-B
yi1 tian1 zuo4 wu3	3-32094-S
yi1 tiao2	3-33219-S
yi1 tiao2 long2	1-12142-B
yi1 tiao4	14-39738-S
yi1 ting1	1-9037-S
yi1 tong2	1-4396-B
yi1 tong3 zhi4	17-4082-S,17-6216-S
yi1 tou2	1-22700-B
yi1 tu3 wei2 kuai4	1-4444-B
yi1 tuan2	1-5016-B
yi1 tuo1	5-24936-B
yi1 wan3	1-15908-B
yi1 wan4	1-19917-B
yi1 wan4 wu3 qian1	1-19962-B
yi1 wang3 da3 jin4	1-17915-B
yi1 wang4 wu2 ji4	1-11282-B
yi1 wei1	5-24114-B
yi1 wei2	1-17859-B
yi1 wei2 ming4	45-26532-S
yi1 wei4	1-4701-B
yi1 wei4 ming4	45-26684-S
yi1 wen2	2-806-S
yi1 wen4 san1 bu4 zhi1	1-4844-B
yi1 wo1 feng1	1-16401-B
yi1 wo3 kan4	5-24880-B
yi1 wo3 lai2 kan4	5-24801-B
yi1 wu2 er4	42-17783-S
yi1 wu2 kao4	40-46343-S
yi1 wu2 shi4 chu4	1-14500-B
yi1 wu2 suo3 wen2	1-14325-B
yi1 wu2 suo3 you3	1-14127-B
yi1 wu2 suo3 zhang3	1-14389-B
yi1 wu2 suo3 zhi1	1-14213-B
yi1 wu3	7-48581-S,7-48676-S
yi1 wu3 yi1 shi2	1-1470-B
yi1 wu4	63-49368-B
yi1 wu4 gui4	56-42569-B
yi1 wu4 shi4	63-49415-B
yi1 wu4 suo3	63-49464-B
yi1 xi1	11-6137-S,18-42-S
yi1 xi2 hua4	1-7612-B
yi1 xi4 lie4	1-17220-B
yi1 xia4	1-399-B,38-27053-S,48-17343-S
yi1 xia4 r5	1-556-B,48-17402-S
yi1 xia4 zi5	1-621-B
yi1 xian4	1-18080-B,52-61295-S
yi1 xian4 wei1 guang1	1-18123-B
yi1 xiang1 qing2 yuan4	1-8241-B,1-15485-B
yi1 xiang4	1-4536-B,1-22650-B
yi1 xiao3 bu4 fen4	1-7334-B
yi1 xiao3 shi2	1-7197-B
yi1 xiao3 shi2 yi3 hou4	1-7250-B
yi1 xiao4	4-26876-S
