yù pén	38-14919-B
yù píng dòng zú zì zhì xiàn	42-29892-B
yù pǔ xī lóng	42-30181-B
yù quán yíng	42-30812-B
yù qì	42-29780-B
yù qī	44-32966-S,68-29273-B
yù qī shōu rù piào jù	68-29393-B
yù qī tuī lǐ	68-29320-B
yù rén	42-29480-B,56-55981-B
yù rén chuī xiāo	42-29584-B
yù shuǐ	38-48097-B,52-14291-B
yù shì	38-14767-B,60-53587-S,68-29719-B,68-30540-B
yù shì jiè	41-53435-S
yù shì wù	2-1040-S
yù shí	42-31434-B,46-43549-B,64-45793-S,71-47254-S
yù shòu shù	69-44778-B
yù shù	42-30508-B,53-51540-S
yù shù zhōu	42-30587-B
yù shù zàng zú zì zhì zhōu	42-30678-B
yù shān	42-30023-B
yù shān xiàn	42-30096-B
yù shēng wù xué	44-33037-S
yù shī	25-43505-S
yù shōu fèi	68-29174-B
yù shǐ	24-12520-B,28-38624-S
yù shǔ shǔ	42-32154-B
yù suàn	15-14191-S,68-29939-B
yù suǐ	42-32469-B
yù suǒ	20-10055-B
yù sài	68-30844-B
yù sù fǔ	42-32008-B
yù sù zé bù dá	25-53606-B
yù tián	42-31169-B
yù tiān lù	71-29427-S
yù tou	53-49239-B
yù tí	68-29113-B
yù wàng	25-53303-B
yù wáng	66-11393-S
yù wéi	40-32406-S
yù wěi yuán huì	30-4608-S
yù wǎng	15-61680-S,21-16788-S,23-11213-S
yù wǎng luò	10-41029-S
yù wǎng lù	10-41106-S,23-11281-S
yù wǎng lù jì shù	10-41182-S
yù xià	36-6182-S
yù xiàn	55-11476-B
yù xiáng	69-44984-S
yù xiān	68-28615-B
yù xiāng tán	30-5030-S
yù xiǎn	62-35936-B
yù xiǎng	68-28918-B
yù xuè	38-15000-B
yù xué	30-4688-S
yù xué yuàn	10-26451-S
yù xuǎn	68-30926-B
yù xì	70-9273-S
yù xìng	2-25783-S,30-4876-S,65-62714-S
yù xí	62-35835-B,68-30031-B
yù xī	42-30868-B
yù xī dì qū	42-30936-B
yù xī shì	42-31026-B
yù yuē	68-29979-B
yù yào	27-4600-S
yù yán	20-10096-B,31-63841-S,68-30309-B
yù yán jiā	68-30361-B
yù yè	43-8016-S
yù yìng lì	68-29014-B
yù yù cōng cōng	70-30705-B
yù yùn dòng	46-48063-S,70-9344-S
yù yī	38-15045-B
yù yǎn	68-29595-B
yù zhuāng	68-30082-B
yù zhào	68-28560-B
yù zhèng	2-25836-S,25-54107-S,26-67111-S,60-52452-S
yù zhé	55-45303-S
yù zhí	65-50703-B
yù zhù	68-29798-B
yù zhāng	13-1183-S
yù zhě	11-40144-S
yù zhī	68-29668-B
yù zhī chuāng	70-8927-S
yù zhōu zī lù	35-61026-S
yù zhǎng	8-5808-S
yù zhǔ yì	47-607-S
yù zài cè	42-45557-S
yù àn	68-29499-B
yùn	2-4384-S,3-22218-S,4-8740-S,4-30716-S,5-61723-S,6-23656-S,7-21924-S,11-60824-S,12-44748-S,13-11361-S,13-20339-S,16-33970-S,17-36343-S,18-16487-S,18-29870-S,19-3767-B,19-53409-S,20-8007-S,21-15866-S,22-51766-S,22-61047-S,25-24039-S,25-25005-B,25-46339-B,26-222-S,26-52675-S,26-62489-S,27-16295-S,27-16564-S,28-9551-S,28-58509-S,31-7780-S,31-35664-S,31-41905-S,31-58231-B,32-27292-S,33-38471-B,34-3654-S,35-22055-S,35-43442-S,36-23189-S,38-25448-S,39-3946-S,41-11754-B,41-17272-B,41-32293-S,45-49460-S,46-62506-S,47-1524-S,47-50204-S,49-10110-S,49-13730-S,50-25605-B,51-63465-S,53-36428-S,55-17689-B,55-42334-B,56-25280-S,56-48782-S,58-57724-S,59-22237-S,59-38174-S,59-38670-S,60-14168-S,60-49600-S,61-7903-S,61-29640-S,61-30395-S,61-68630-S,62-38588-B,63-6570-S,63-29370-B,63-48900-B,66-34444-S,66-59815-S,68-13541-B,68-16023-S,68-17078-B,68-59179-S,69-47202-S
yùn bái	68-17980-B
yùn bù jì	31-41957-S
yùn bǐ	62-40701-B
yùn chuán	31-58649-B
yùn chéng	62-39733-B,62-40637-B,63-29403-B
yùn chéng dì qū	62-39820-B
yùn chéng shì	62-39918-B
yùn chí	31-58534-B
yùn chóu	62-40983-B
yùn chóu wéi wò	61-46766-B
yùn chóu xué	62-41046-B
yùn chē	31-58692-B,64-57694-S
yùn chōu jiǎng	22-51925-S
yùn chǎn	19-4022-B
yùn chǎng	31-58415-B
yùn cáng	55-42896-B
yùn cáng liàng	55-42973-B
yùn cūn	3-64507-S,18-16822-S
yùn diào	68-18525-B
yùn dòng	2-24549-S,3-47695-S,3-48098-S,3-48299-S,6-18855-S,8-16752-S,11-53350-S,12-2515-S,15-14696-S,22-16175-S,27-5334-S,28-11634-S,30-16909-S,31-1559-S,33-22547-S,36-37880-S,37-49919-S,39-30030-S,43-18976-S,43-37566-S,46-46107-S,46-48063-S,51-12968-S,52-3086-S,53-5644-S,57-50019-S,59-4686-S,62-18238-S,62-38806-B,70-9344-S
yùn dòng bìng	62-39384-B
yùn dòng chǎng	62-38919-B
yùn dòng fú	62-39329-B
yùn dòng fāng chéng	62-39184-B
yùn dòng huì	15-62159-S,18-15050-S,62-39263-B
yùn dòng huì zǔ zhī wěi yuán huì	18-15163-S
yùn dòng jiā	62-39060-B
yùn dòng shān	36-15044-S
yùn dòng xié	62-39459-B
yùn dòng xué	62-39004-B
yùn dòng yuán	62-38865-B,65-19878-S
yùn dòng zhàn	62-39123-B
yùn dòu	55-14736-B
yùn dān	62-39674-B
yùn dǒu	41-17310-B
yùn fèi	62-41603-B
yùn fù	19-3866-B,68-18321-B
yùn gāo 5r	31-58931-B
yùn gōng	28-58569-S,56-33879-S
yùn gōng huò shāng	18-16600-S
yùn huán	63-6728-S
yùn huì	3-64452-S,8-16574-S,14-34678-S,15-62525-S,18-16698-S
yùn huò mǎ chē	62-41537-B
yùn huò yuán	62-41485-B
yùn hán	55-42379-B,55-42523-B
yùn hé	4-3293-S,4-3375-S,17-36391-S,22-6330-S,39-12115-S,53-24114-S,55-37728-S,55-42437-B,62-40239-B
yùn jià	62-38753-B
yùn jiè	55-42821-B
yùn jié	55-42634-B
yùn jiǎo	62-41116-B,68-18245-B
yùn jù	55-42682-B
yùn jī	31-58484-B,64-57611-S
yùn jī sù	19-3967-B
yùn liàng	19-53459-S,62-42096-B
yùn liè chē	59-38249-S
yùn lù	69-45272-S
yùn lǜ	68-17418-B
yùn mìng	62-39621-B
yùn mù	68-18068-B
yùn mǔ	14-22659-S,57-6842-S,68-17732-B,71-52526-S
yùn niàng	63-48930-B
yùn qi	62-40189-B
yùn qìng	62-40080-B
yùn qī	19-3913-B
yùn shén	62-40561-B
yùn shì	62-39517-B,68-17162-B
yùn shí	62-39574-B
yùn shù	62-40134-B
yùn shī	68-18430-B
yùn shū	4-58-S,48-27298-S,59-37891-S,61-5411-S,62-41837-B,68-17534-B
yùn shū jī	44-65492-S
yùn shū liàng	62-41896-B
yùn shū xié huì	15-19118-S
yùn suàn	38-14555-S,61-68684-S,62-40759-B
yùn suàn fǎ zé	62-40818-B
yùn suàn huán jìng	62-40903-B
yùn suì	19-4107-B
yùn sài	18-16881-S
yùn sòng	62-42040-B
yùn sī	62-40016-B
yùn tào	63-6678-S
yùn tóu	68-18585-B
yùn tù	19-3798-B
yùn tōng	51-5595-S
yùn wán	63-6616-S
yùn wèi	68-17243-B
yùn wén	68-17495-B
yùn wěi	68-17332-B
yùn xiāng	55-14807-B
yùn xiāo	62-42149-B
yùn xué	68-16077-S
yùn xíng	61-61917-S,62-41165-B
yùn xíng li	26-52743-S
yùn xíng shí	62-41227-B
yùn xíng shí cuò wù	62-41296-B
yùn xíng zhuàng kuàng	62-41392-B
yùn xù	55-42757-B
yùn yào	63-6816-S
yùn yíng	62-40277-B
yùn yòng	62-40348-B
yùn yòng zì rú	62-40403-B
yùn yù	19-4199-B
yùn yún zhòng shēng	55-14623-B
yùn yǔ	68-18477-B
yùn zhuǎn	62-41960-B
yùn zhèng	2-4428-S
yùn zhì	68-18192-B,68-18377-B
yùn zhù dìng	13-20386-S
yùn zhēn	31-58733-B
yùn zuò	16-56828-S,62-38665-B
yùn zài	62-41641-B
yùn zài huǒ jiàn	62-41703-B
yùn zī jīn	41-32357-S
yùn zǎi liàng	62-41774-B
yùn ér	22-51829-S
yùn ér shēng	25-61640-S
