zhài kuǎn	6-43178-B
zhài lěi lěi	59-31224-S
zhài quàn	6-42814-B,7-54989-S,29-54555-S
zhài quán guó	6-43115-B
zhài quán rén	6-43060-B
zhài rén mín dǎng	33-47401-S
zhài tái gāo zhù	6-42943-B,6-43218-B
zhài wù	6-42854-B
zhài wù rén	6-42892-B
zhài xiàn	64-9348-S
zhàn	2-5742-S,2-39207-S,2-82209-S,3-35715-S,3-36720-S,3-36968-S,3-46198-S,3-68497-S,4-55949-S,5-1329-B,5-6930-S,5-26809-S,6-16189-S,6-17122-S,6-17761-S,6-28640-S,7-28578-S,7-56100-S,8-2174-S,8-21105-S,9-46112-S,9-57187-S,10-22104-S,10-27409-S,10-71508-S,11-12109-B,11-32688-S,11-49074-S,11-51628-S,11-69726-S,14-22132-S,15-16384-S,15-42622-S,15-45556-S,16-893-S,16-6439-S,16-54802-S,16-61299-S,17-18427-S,17-60247-S,18-18292-S,18-28486-S,19-52614-S,19-54674-S,19-61539-S,20-9390-S,20-13125-S,21-53455-S,22-4888-S,22-18291-S,23-42542-S,23-63747-S,24-35175-S,24-58998-S,25-21379-S,25-59815-S,26-15442-B,26-16674-B,27-2995-S,27-4670-S,27-20104-S,27-64727-S,27-65772-S,28-53090-S,28-61753-S,29-47230-S,29-49508-S,31-30958-S,32-32359-S,33-41745-S,33-57706-S,33-63611-S,34-8130-B,34-22982-B,34-44347-S,35-13507-S,35-57504-S,36-30658-S,36-39364-S,36-47775-S,36-66016-S,37-1748-S,37-49333-S,38-19785-S,38-31752-S,38-53932-S,39-12992-B,39-29775-S,40-4914-S,40-17884-S,40-24630-S,41-38718-S,41-38909-S,42-17905-S,43-24658-S,44-28154-S,44-35473-S,44-52173-S,46-19354-S,46-64289-S,47-47258-S,47-50419-S,47-62554-B,47-65705-S,48-9058-S,48-11398-S,48-15079-S,48-27061-S,48-54352-S,49-33789-S,49-35916-S,49-37378-S,49-51985-S,50-6482-S,50-11701-B,50-34530-S,51-47020-S,51-48429-S,52-18052-S,52-57582-S,53-29886-S,53-35775-S,53-36049-S,55-25563-S,55-46794-B,55-55858-B,56-25021-S,57-67138-S,58-44194-S,59-4465-S,59-12615-S,59-37639-S,59-37953-S,59-49244-S,60-5815-S,60-27018-S,60-50129-B,60-59788-S,61-23652-S,61-31120-B,61-45304-S,62-21868-S,62-37203-S,62-39123-S,63-181-S,63-13658-S,64-3619-S,64-56791-S,65-14258-S,65-22435-S,65-25577-S,65-26985-S,65-35194-S,67-1405-S,67-32121-S,67-33639-S,67-49022-S,68-12287-S,69-64295-S
zhàn bài	26-18596-B,44-63938-S
zhàn bèi	26-16863-B
zhàn bù	49-52085-S
zhàn bù dài	44-54115-S
zhàn bù hé	2-11362-S
zhàn bǎi chū	46-19461-S
zhàn bǎi shèng	44-54226-S
zhàn bǎn	33-52064-B
zhàn chéng	5-1679-B
zhàn chē	26-20390-B
zhàn chǎng	26-18118-B
zhàn cūn	33-31376-S
zhàn diǎn	64-57875-S
zhàn duì	38-25323-S
zhàn dà tīng	62-48065-S
zhàn dào	34-23382-B,47-24321-S
zhàn dì	26-18073-B
zhàn dì zhǐ	16-61346-S
zhàn dòu	26-20484-B
zhàn dòu jiàn	26-20819-B
zhàn dòu jī	26-20599-B
zhàn dòu lì	26-20537-B
zhàn dòu qún	26-20662-B,53-35536-S
zhàn dòu zhě	26-20766-B
zhàn dǒu bù	10-22357-S,33-57755-S
zhàn fàn	26-19354-B,43-41411-S
zhàn fáng	34-23182-B
zhàn fú	26-16814-B
zhàn fǎ	26-18805-B
zhàn guó	26-17428-B,31-34629-S
zhàn guó cè	26-17900-B
zhàn guó mò	26-17746-B
zhàn guó mò nián	26-17817-B
zhàn guó qī xióng	26-17501-B
zhàn guó shí dài	26-17598-B,31-34761-S
zhàn guǎn lǐ	47-63119-B
zhàn gōng	26-17169-B
zhàn gǎng	47-62840-B
zhàn huò	26-20017-B
zhàn huǒ	26-18856-B
zhàn háo	26-18166-B
zhàn háo rè	26-18215-B
zhàn hòu	26-18381-B
zhàn jià	34-23229-B
zhàn jiàn	26-20132-B
zhàn jiàng gǎng	39-13264-B
zhàn jiāng	39-13047-B
zhàn jiāng dì qū	39-13117-B
zhàn jiāng shì	39-13207-B
zhàn jì	10-22166-S,35-2035-S,43-23743-S,43-24736-S,44-44603-S,55-29743-S
zhàn jì jiǎn dú xiāng	10-22244-S
zhàn jìng	34-23087-B
zhàn jù	5-1759-B
zhàn jī	26-18703-B
zhàn jīng	26-16913-B
zhàn jīng jīng	26-18491-S
zhàn jūn	64-3674-S
zhàn kuàng	26-18755-B
zhàn kàng yì	11-49117-S
zhàn liè jiàn	26-16974-B
zhàn luàn	26-16723-B
zhàn lì	26-17083-B,26-18438-B,47-63054-B
zhàn lì pǐn	26-17031-B
zhàn lüè	5-39533-S,15-44146-S,26-19401-B
