ài dé lěi dé	53-47352-B
ài dé méng dùn	53-47289-B
ài dé sī wò ěr	25-34312-B
ài dí shēng	25-38016-B,25-38105-B,53-48715-B
ài dīng bǎo	25-32381-B
ài dīng hú	53-46647-B
ài fēi ěr tiě tǎ	53-48534-B
ài fǔ	25-35284-B
ài guó	25-33157-B
ài guó huì	2-57810-S
ài guó mín zhǔ tóng méng	2-80337-S
ài guó rú jiā	25-33290-B
ài guó yùn dòng	3-48098-S
ài guó zhě	25-33415-B
ài guó zhǔ yì	25-33226-B
ài gé ní · sī shǐ mò tè lái	53-47522-B
ài gǎng jìng yè	25-34143-B
ài gǔ	66-41651-B
ài hào	25-33666-B
ài hào zhě	25-33749-B
ài hé	25-36007-B
ài hù	25-37907-B
ài hún tiáo yuē	43-3975-B
ài hā mài dí nèi jiǎ dé	53-46873-B
ài hǎ mài dé	53-46717-B
ài hǎ mài dé ā bā dé	53-46782-B
ài hǎo zhě	34-33633-S
ài jiǔ	54-171-S
ài jī	53-47198-B
ài jīng	68-12224-S
ài kè sī guāng	25-32870-B
ài kè sī shè xiàn	25-32955-B
ài kǒu	46-42946-B,66-41603-B
ài kǒu shí xiū	46-43048-B
ài liàn	25-35162-B
ài lián	25-35103-B
ài liú gēn nà	25-36894-B
ài lì sī	22-14623-S,25-37367-B,25-38456-B
ài lì sī màn yóu qí jìng jì	25-38510-B
ài lì xìn	25-37237-B
ài líng	23-39813-S
ài lù	66-41735-B
ài lún · pō	15-58457-S
ài lǐ bù lǐ	25-36552-B
ài miàn zi	46-43440-B
ài miàn zǐ	25-38346-B
ài mèi	32-2105-B
ài mí ěr	53-47235-B
ài mín rú zǐ	25-35817-B
ài mò dà yú xīn sǐ	25-37522-B
ài mò lì wéi ěr	25-37428-B
ài mò néng zhù	25-37755-B
ài mù	25-35012-B
ài mǎ	25-36769-B
ài mǎ niǔ āi ěr	53-48359-B
ài mǎ wò tè sēn	25-36812-B
ài nán	46-43225-B
ài nán cōng mìng	46-43320-B
ài néng yí shān	25-37288-B
ài nú	25-33583-B
ài nú rén	25-33619-B
ài nǐ	26-13059-S
ài pū xī lóng	53-47441-B
ài qiú	18-36660-S
ài qín	25-36644-B
ài qín hǎi	25-36715-B
ài qíng	25-34802-B
ài qíng xǐ jù	25-34872-B
ài qīng	53-48782-B
ài qū	4-20852-S
ài ren	25-32736-B
ài rén rú jǐ	25-32798-B
ài róng	53-48437-B
ài shàng	25-32435-B
ài shén	25-37091-B
ài shì	46-42841-B
ài shā ní yà	25-35947-B
ài sà kè · niú dùn	53-48614-B
ài sè ěr	1-55184-S
ài sēn háo wēi ěr	53-47650-B
ài sī jī mó	25-35368-B
ài sī jī mó rén	25-35432-B
ài tóng fén	55-46040-S
ài tú	20-43160-S
ài tǎ	53-47028-B
ài wèn	25-33035-B
ài wù	20-44160-S
ài wū jí niǎo	25-33955-B
ài wū jí wū	25-33806-B
ài wǎn tíng	25-35667-B
ài xiāng	4-20921-S
ài xìng pín xuè	66-42301-S
ài xī	25-34941-B
ài xīn	25-34759-B
ài xīn jué luó	25-35539-B
ài yuè yuè tuán	25-35726-B
ài yòu	20-43733-S
ài yóu wán	25-38189-B
ài yīn sī tǎn	25-33076-B
ài yǎn	46-43152-B
ài zhù	53-48206-B
ài zhī	25-36956-B
ài zhī rú mìng	25-32627-B
ài zhī xiàn	25-37030-B
ài zhōu	25-34227-B
ài zēng	25-35056-B
ài zī bìng	25-36074-B,53-47820-B,53-48475-B
ài zī bìng bìng dú	53-48130-B
ài zī bìng dú	25-36172-B,53-48026-B
ài zī bìng huàn zhě	53-47868-B
ài zī bìng kàng tǐ	53-47947-B
ài ào huá	25-33466-B
ài ào huá zhōu	25-33524-B
ài ào wǎ	53-47083-B
ài ào wǎ zhōu	53-47140-B
ài ěr lán	10-31483-S,25-36244-B
ài ěr lán gòng hé guó	25-36360-B
ài ěr lán gòng hé jūn	25-36455-B
ài ěr lán rén	25-36294-B
ài ěr mǐ tǎ shí	53-48248-B
àn	1-49098-S,1-68498-S,3-38775-S,4-53731-S,5-7364-S,5-48156-S,5-53702-S,6-8520-S,6-28944-S,6-32639-S,7-2064-S,7-44313-S,7-60752-S,8-13679-S,8-14713-S,8-25251-S,8-32981-S,8-64551-S,10-30802-S,10-70402-S,11-67859-S,13-20243-S,14-45852-S,15-27095-S,16-7563-S,16-11082-S,16-56899-S,17-44399-S,19-46158-S,20-39445-S,20-49271-S,20-51410-S,21-38416-B,21-58540-S,22-55129-S,23-60796-S,25-47421-S,27-6617-S,27-29525-S,27-61646-B,28-2455-S,28-40037-S,30-3201-S,30-63224-S,31-26801-S,31-46582-S,31-60422-B,31-61572-S,33-17979-S,34-4031-B,34-44808-S,35-11482-S,35-66498-S,37-478-S,37-19800-S,37-26689-S,37-32116-S,38-17939-S,38-34998-S,42-3317-B,44-4571-S,46-17923-S,46-42203-S,47-39604-S,48-20924-S,49-39056-S,49-39108-S,49-42380-S,50-21036-S,50-52047-S,51-21947-S,51-55941-S,52-26300-B,52-29616-S,53-63985-S,54-1186-S,54-15112-S,54-57772-S,54-58746-S,55-18841-S,55-37952-S,56-25885-S,56-31831-S,57-16482-S,58-51007-S,59-3641-S,59-9552-S,59-15608-S,59-24131-S,59-27011-B,61-35366-S,62-9015-S,63-43808-S,64-48121-S,65-50855-B,66-24356-S,66-67021-S,68-29499-S,68-37864-S,69-25836-S,69-46629-S,71-30309-S,71-45791-B
àn biān	21-38605-B
àn biāo	21-38501-B
àn bù jiù bān	27-62527-B
àn běn yǐ suān nà	3-38829-S
àn bīng bù dòng	27-62003-B
àn bǎn	34-4432-B
àn bǎo	31-61004-B
àn chuán shū xié dìng	35-11535-S
àn cháo	31-61933-B
àn chèng	34-4559-B
àn chù	31-62912-B
àn chún	37-14372-S
àn chāng	31-61043-B
àn cáng	31-62866-B
àn de lǐ	31-60935-B
àn duì huà	7-44412-S
àn dà gāng xié dìng	2-81022-S
àn dài	31-63029-B
àn dàn	31-61759-B
àn dì	31-60895-B
àn dì qū	37-26755-S
àn dù chén cāng	31-61815-B
àn fú wù	35-11962-S
àn fēn pèi qū	35-11644-S
àn guān xi xié huì	38-18430-S
àn guǎn	35-12225-S
àn huā 5r	31-62771-B
àn hài	31-61155-B
àn hào	31-62957-B
àn hé	31-60674-B,31-61665-B,31-62201-B
àn hù wèi duì	38-18138-S
àn jiàn	27-63450-B,31-62495-B,34-4092-B,35-66567-S
àn jiàn lì	35-11893-S
àn jiào jué	27-29594-S,27-29721-S
àn jiān 5r	31-63493-B
àn jiāo	31-62250-B
àn juàn	34-4195-B
àn jì	27-6674-S
àn jì 5r	31-63092-B
àn jí	31-62120-B
àn jī suān	52-26327-B
àn jīng qí	9-0-S,27-29831-S
àn jǐng	31-60552-B
àn jǐng wèi duì	38-18061-S,51-4438-S
àn liàn	31-61264-B
àn liú	31-61714-B
àn láo fēn pèi	27-62089-B
àn lì	27-63120-B,34-4159-B
àn lín	43-41534-S
àn lǐ	27-62952-B
àn lǐ shuō	27-63045-B
àn mài	27-63162-B
àn mèi	31-61508-B
àn méi	7-32918-S
àn mó	27-62369-B
àn mó shī	18-20778-S,43-46395-S
àn niǔ	27-63406-B
àn nà	27-62321-B
àn qíng	34-4339-B
àn qī	27-62476-B
àn rán	21-38558-B,62-52002-S,71-45828-B
àn rán xiāo hún	71-45868-B
àn shuō	27-63320-B
àn shàng	21-38460-B
àn shì	31-61114-B,31-62305-B
àn shì yìng	31-63387-B
àn shí	27-62408-B
àn shā	31-61621-B
àn shāng	31-60603-B
àn shǒu lǐ	27-62267-B
àn shǔ xìng	35-11822-S
àn suàn	31-62449-B
àn suān	53-45635-S,55-41185-S,70-50801-S
àn suǒ	31-63447-B
àn sòng qiū bō	31-63228-B
àn tàn	31-61376-B
àn tóu	34-4607-B
àn tú suǒ jì	27-62174-B
àn tān	31-61979-B
àn wén	27-63216-B,34-4395-B
àn wú tiān rì	31-62024-B
àn xià	27-61804-B
àn xià hú lú fú qǐ piáo	27-61868-B
àn xiàn	38-17988-S
àn xiàn guāng pǔ	31-62636-B
àn xiào	31-62373-B
àn xiāng	31-62572-B
àn xīng yún	31-61431-B
àn xū	27-63512-B
àn xū chū bǎn	27-63573-B
àn xū fēn pèi	27-63647-B
àn xǐ	31-60777-B
àn yàn	34-4653-B
àn yào	27-6784-S
àn yíng jī	16-6308-S
àn yóu	34-4491-B
àn yǐng	31-61218-B
àn yǔ	27-63276-B,31-63144-B
àn zhuǎn	31-63185-B
àn zhuǎn sòng	35-12028-S
àn zhuǎn sòng cún qǔ jí guǎn lǐ	35-12100-S
àn zhào	27-62634-B
àn zhào fǎ lǜ	27-62796-B
àn zhào jì huà	27-62870-B
àn zhào zì miàn	27-62731-B
àn zhí xíng	35-11735-S
àn zhōng	31-60469-B
àn zhǐ	31-61313-B
àn zi	34-4251-B
àn zuò	21-30410-S
àn zì	31-62711-B
àn zǔ	20-39530-S
àn àn	31-61572-B
àng	45-3112-B
àng gé lǔ	45-3195-B
àng gé lǔ sà kè xùn	45-3338-B
àng gé lǔ sā kè xùn	45-3244-B
àng rán	45-3423-B
àng sī	45-3157-B
ào	2-75863-S,6-32582-B,11-1436-S,15-54123-B,16-30694-B,18-11919-B,18-12639-B,21-48981-B,25-61900-B,27-27016-S,27-37952-B,38-49421-S,39-6111-S,40-2536-B,42-4057-S,42-27266-S,46-56398-S,50-63661-S,53-1300-S,62-55899-S,62-57528-S,69-55666-B,69-57302-S,70-11669-S
ào bì	40-3150-B
ào bā mǎ	18-13646-B
ào duō	42-5674-S
ào duō · ā duō nuò	42-5731-S
ào duō ěr	59-46640-S
ào dà lì	18-17229-B,18-17308-B
ào dà lì yà	40-2737-B,57-20139-S
ào dà lì yà lián bāng	40-2927-B
ào dà lì yà shǒu dū tè qū	40-3028-B
ào dà lì yà zhōu	11-1500-S,57-20239-S
ào dà lì yà zǒng dū	40-2824-B
ào dé sài	18-13962-B
ào dé xiū sī	18-13901-B
ào dì lì	18-13136-B
ào dì qū	39-6185-S
ào dí	18-16390-B
ào dí xiū sī	18-16426-B
ào dǎo	11-1590-S
ào fū	43-54431-S
ào fū dài	43-54507-S
ào guó	18-13096-B
ào gé lán dé	63-54640-S
ào gǔ	6-33125-B
ào gǔ sī dīng	51-45983-S
ào gǔ sī dū	18-13029-B
ào huá	25-33466-S
ào huá zhōu	25-33524-S
ào huì	8-16081-S,15-3830-S,41-57737-S
ào huǐ	25-61994-B
ào jī	18-16334-B
ào kè lán	18-12816-B
ào kè lā hé mǎ zhōu	18-12557-B
ào kāng nà	18-13808-B
ào kāng nèi ěr	18-13708-B
ào kǒu	27-38031-B
ào luó sī	15-58019-S
ào lán duō	18-16223-B
ào léi lì	69-39469-S
ào lì	6-32940-B
ào lì ān	18-12967-B
ào lín pǐ kè	18-14899-B
