元朗 元朗	6-62303-B
元朗市	6-62382-S
元朗市 元朗市	6-62382-B
元朝	6-62443-S
元朝 元朝	6-62443-B
元末	6-62513-S
元末 元末	6-62513-B
元末明初	6-62603-S
元末明初 元末明初	6-62603-B
元氏	6-62701-S
元氏 元氏	6-62701-B
元素	6-62764-S
元素 元素	6-62764-B
元素周期表	6-62839-S
元素週期表 元素周期表	6-62839-B
元老	6-62921-S
元老 元老	6-62921-B
元老院	6-63011-S
元老院 元老院	6-63011-B
元語言學意識 元语言学意识	6-63104-B
元語言能力 元语言能力	6-63205-B
元謀 元谋	6-63294-B
元语言学意识	6-63104-S
元语言能力	6-63205-S
元谋	6-63294-S
元軍 元军	6-63358-B
元長鄉 元长乡	6-63425-B
元长乡	6-63425-S
元阳	6-63508-S
元陽 元阳	6-63508-B
元音	6-63574-S
元音 元音	6-63574-B
元音失讀 元音失读	6-63614-B
元音失读	6-63614-S
元首	6-63685-S
元首 元首	6-63685-B
兄	6-63734-S
兄 兄	6-63734-B
兄弟	6-63772-S
兄弟 兄弟	6-63772-B
兄弟会	6-63824-S
兄弟會 兄弟会	6-63824-B
兄弟阋墙	6-63880-S
兄弟鬩牆 兄弟阋墙	6-63880-B
充	6-63984-S
充 充	6-63984-B
充任	6-64075-S
充任 充任	6-64075-B
充份	6-64150-S
充份 充份	6-64150-B
充值	6-64216-S
充值 充值	6-64216-B
充值卡	6-64289-S
充值卡 充值卡	6-64289-B
充公	6-64356-S
充公 充公	6-64356-B
充其量	6-64406-S
充其量 充其量	6-64406-B
充军	7-544-S
充分	6-64469-S
充分 充分	6-64469-B
充发	7-0-S
充塞	6-64518-S
充塞 充塞	6-64518-B
充填	6-64653-S
充填 充填	6-64653-B
充填因数	6-64702-S
充填因數 充填因数	6-64702-B
充填物	6-64781-S
充填物 充填物	6-64781-B
充好	6-64868-S
充好 充好	6-64868-B
充实	6-64930-S
充實 充实	6-64930-B
充当	6-65842-S
充数	6-65002-S
充數 充数	6-65002-B
充斥	6-65122-S
充斥 充斥	6-65122-B
充暢 充畅	6-65171-B
充气	6-65248-S
充氣 充气	6-65248-B
充氧	6-65293-S
充氧 充氧	6-65293-B
充沛	6-65371-S
充沛 充沛	6-65371-B
充溢	6-65434-S
充溢 充溢	6-65434-B
充满	6-65502-S
充满希望的跋涉比到达目的地更能给人乐趣	6-65579-S
充滿 充满	6-65502-B
充滿希望的跋涉比到達目的地更能給人樂趣 充满希望的跋涉比到达目的地更能给人乐趣	6-65579-B
充电	7-606-S
充电器	7-692-S
充畅	6-65171-S
充當 充当	6-65842-B
充發 充发	7-0-B
充盈	7-63-S
充盈 充盈	7-63-B
充耳不聞 充耳不闻	7-118-B
充耳不闻	7-118-S
充血	7-241-S
充血 充血	7-241-B
充裕	7-328-S
充裕 充裕	7-328-B
充要条件	7-387-S
充要條件 充要条件	7-387-B
充足	7-481-S
充足 充足	7-481-B
充軍 充军	7-544-B
充電 充电	7-606-B
充電器 充电器	7-692-B
充飢 充饥	7-754-B
充饑 充饥	7-810-B
充饥	7-754-S,7-810-S
兆	7-893-S
兆 兆	7-893-B
兆字節 兆字节	7-945-B
兆字节	7-945-S
兆瓦	7-1039-S
兆瓦 兆瓦	7-1039-B
兆电子伏	7-1130-S
兆赫	7-1081-S
