北票 北票	10-34601-B
北票市	10-34687-S
北票市 北票市	10-34687-B
北竿乡	10-34784-S
北竿鄉 北竿乡	10-34784-B
北約 北约	10-34861-B
北緯 北纬	10-34899-B
北约	10-34861-S
北纬	10-34899-S
北美	10-34947-S
北美 北美	10-34947-B
北美洲	10-34994-S
北美洲 北美洲	10-34994-B
北苑	10-35053-S
北苑 北苑	10-35053-B
北荷兰	10-35119-S
北荷蘭 北荷兰	10-35119-B
北越	10-35176-S
北越 北越	10-35176-B
北辰	10-35240-S
北辰 北辰	10-35240-B
北边	10-35435-S
北边儿	10-35516-S
北达科他	10-35293-S
北达科他州	10-35358-S
北達科他 北达科他	10-35293-B
北達科他州 北达科他州	10-35358-B
北邊 北边	10-35435-B
北邊兒 北边儿	10-35516-B
北邙	10-35590-S
北邙 北邙	10-35590-B
北部	10-35652-S
北部 北部	10-35652-B
北部地区	10-35725-S
北部地區 北部地区	10-35725-B
北部拉班特	10-35792-S
北部拉班特 北部拉班特	10-35792-B
北部湾	10-35869-S
北部灣 北部湾	10-35869-B
北鎮 北镇	10-35927-B
北鎮市 北镇市	10-36012-B
北鎮滿族自治縣 北镇满族自治县	10-36108-B
北镇	10-35927-S
北镇市	10-36012-S
北镇满族自治县	10-36108-S
北門鄉 北门乡	10-36240-B
北门乡	10-36240-S
北非	10-36317-S
北非 北非	10-36317-B
北面	10-36363-S
北面 北面	10-36363-B
北韓 北韩	10-36417-B
北韩	10-36417-S
北領地 北领地	10-36462-B
北领地	10-36462-S
北馬裡亞納 北马里亚纳	10-36525-B
北馬裡亞納群島 北马里亚纳群岛	10-36612-B
北马里亚纳	10-36525-S
北马里亚纳群岛	10-36612-S
北魏	10-36721-S
北魏 北魏	10-36721-B
北麓	10-36794-S
北麓 北麓	10-36794-B
北齊 北齐	10-36865-B
北齊書 北齐书	10-36936-B
北齐	10-36865-S
北齐书	10-36936-S
匙	10-37019-S
匙 匙	10-37019-B
匚	10-37047-S
匚 匚	10-37047-B
匜	10-37081-S
匜 匜	10-37081-B
匝	10-37134-S
匝 匝	10-37134-B
匝加利亚	10-37164-S
匝加利亞 匝加利亚	10-37164-B
匟	10-37226-S
匟 匟	10-37226-B
匠	10-37263-S
匠 匠	10-37263-B
匡	10-37297-S
匡 匡	10-37297-B
匣	10-37329-S
匣 匣	10-37329-B
匣子	10-37355-S
匣子 匣子	10-37355-B
匦	10-37597-S
匪	10-37396-S
匪 匪	10-37396-B
匪徒	10-37425-S
匪徒 匪徒	10-37425-B
匪徒集团	10-37473-S
匪徒集團 匪徒集团	10-37473-B
匪穴	10-37536-S
匪穴 匪穴	10-37536-B
匭 匦	10-37597-B
匮	10-39635-S,10-39719-S
匮乏	10-39785-S
匮缺	10-39846-S
匯 汇	10-37629-B
匯價 汇价	10-37693-B
匯兌 汇兑	10-37740-B
匯入 汇入	10-37813-B
匯出 汇出	10-37881-B
匯出行 汇出行	10-37991-B
匯劃 汇划	10-38051-B
匯合 汇合	10-38095-B
匯回 汇回	10-38173-B
匯報 汇报	10-38220-B
匯寄 汇寄	10-38292-B
匯攏 汇拢	10-38330-B
匯業財經集團 汇业财经集团	10-38385-B
匯業銀行 汇业银行	10-38497-B
匯款 汇款	10-38578-B
匯水 汇水	10-38635-B
匯流 汇流	10-38684-B
匯流環 汇流环	10-38748-B
匯演 汇演	10-38846-B
匯率 汇率	10-38897-B
匯票 汇票	10-38943-B
匯編 汇编	10-38994-B
匯編語言 汇编语言	10-39086-B
匯總 汇总	10-39159-B
匯聚 汇聚	10-39231-B
匯豐 汇丰	10-39292-B
匯豐銀行 汇丰银行	10-39377-B
匯費 汇费	10-39485-B
匯金 汇金	10-39533-B
匯點 汇点	10-39574-B
匱 匮	10-39635-B,10-39719-B
匱乏 匮乏	10-39785-B
匱缺 匮缺	10-39846-B
匹	10-39908-S,10-39948-S
匹 匹	10-39908-B,10-39948-B
匹兹堡	10-40007-S
匹茲堡 匹兹堡	10-40007-B
匹配	10-40075-S
匹配 匹配	10-40075-B
区	10-40469-S,10-40501-S
区分	10-40561-S
区分大小写	10-40636-S
区划	10-40860-S
区别	10-40764-S
区区	10-40938-S
区号	10-41394-S
区域	10-40977-S
区域网络	10-41029-S
区域网路	10-41106-S
区域网路技术	10-41182-S
区画	10-41316-S
区议会	10-41436-S
区间	10-41495-S
区间车	10-41545-S
区隔	10-41665-S
医	63-49306-S
医务	63-49368-S
医务室	63-49415-S
医务所	63-49464-S
医卜	63-49513-S
医学	63-49568-S
医学专家	63-49847-S
医学中心	63-49643-S
医学博士	63-49714-S
医学家	63-49786-S
医学系	63-49937-S
医师	63-49994-S
医护	63-50705-S
医护人员	63-50781-S
医术	63-50655-S
医治	63-50033-S
医生	63-50103-S
医疗	63-50144-S
医疗保健	63-50195-S
医疗器械	63-50263-S
医疗护理	63-50409-S
医疗经验	63-50335-S
医科	63-50474-S
医科学校	63-50545-S
医药	63-50614-S
医道	63-50872-S
医院	63-50924-S
匽	10-40116-S
匽 匽	10-40116-B
匾	10-40146-S,34-27101-S
匾 匾	10-40146-B
匾額 匾额	10-40231-B
匾额	10-40231-S
匿	10-40292-S
匿 匿	10-40292-B
匿名	10-40321-S
匿名 匿名	10-40321-B
匿報 匿报	10-40364-B
匿报	10-40364-S
匿跡 匿迹	10-40420-B
匿迹	10-40420-S
區 区	10-40469-B,10-40501-B
區分 区分	10-40561-B
區分大小寫 区分大小写	10-40636-B
區別 区别	10-40764-B
區劃 区划	10-40860-B
區區 区区	10-40938-B
區域 区域	10-40977-B
區域網絡 区域网络	10-41029-B
區域網路 区域网路	10-41106-B
區域網路技術 区域网路技术	10-41182-B
區旗	10-41271-S
區旗 區旗	10-41271-B
區畫 区画	10-41316-B
區號 区号	10-41394-B
區議會 区议会	10-41436-B
區間 区间	10-41495-B
區間車 区间车	10-41545-B
區隔 区隔	10-41665-B
十	10-41731-S
十 十	10-41731-B
十一	10-41760-S
十一 十一	10-41760-B
十一年	10-41830-S
十一年 十一年	10-41830-B
十一月	10-41887-S
十一月 十一月	10-41887-B
十七	10-41954-S
十七 十七	10-41954-B
十七孔桥	10-41999-S
十七孔橋 十七孔桥	10-41999-B
十万	10-47219-S
十万位	10-47269-S
十万火急	10-47375-S
十三	10-42118-S
十三 十三	10-42118-B
十三日	10-42163-S
十三日 十三日	10-42163-B
十三經 十三经	10-42232-B
十三经	10-42232-S
十九	10-42347-S
十九 十九	10-42347-B
十九岁	10-42392-S
十九歲 十九岁	10-42392-B
十二	10-42449-S
十二 十二	10-42449-B
十二分	10-42491-S
十二分 十二分	10-42491-B
十二分之一	10-42582-S
十二分之一 十二分之一	10-42582-B
十二地支	10-42658-S
十二地支 十二地支	10-42658-B
十二宫	10-42739-S
十二宮 十二宫	10-42739-B
十二平均律	10-42878-S
十二平均律 十二平均律	10-42878-B
十二指肠	10-42961-S
十二指腸 十二指肠	10-42961-B
十二支	10-43026-S
十二支 十二支	10-43026-B
十二时辰	10-43224-S
十二星座	10-43097-S
十二星座 十二星座	10-43097-B
十二時辰 十二时辰	10-43224-B
十二月	10-43365-S
十二月 十二月	10-43365-B
十二角形	10-43431-S
十二角形 十二角形	10-43431-B
十二边形	10-43497-S
十二邊形 十二边形	10-43497-B
十二面体	10-43563-S
十二面體 十二面体	10-43563-B
十五	10-43630-S
十五 十五	10-43630-B
十五亿	10-43673-S
十五億 十五亿	10-43673-B
十五大	10-43738-S
十五大 十五大	10-43738-B
十五年	10-43830-S
十五年 十五年	10-43830-B
十亿	10-44027-S
十亿位元	10-44077-S
十亿位元以太网络	10-44140-S
十亿位元以太网络联盟	10-44256-S
十位	10-43888-S
十位 十位	10-43888-B
十倍	10-43970-S
十倍 十倍	10-43970-B
十億 十亿	10-44027-B
十億位元 十亿位元	10-44077-B
十億位元以太網絡 十亿位元以太网络	10-44140-B
十億位元以太網絡聯盟 十亿位元以太网络联盟	10-44256-B
十克	10-44405-S
十克 十克	10-44405-B
十全十美	10-44446-S
十全十美 十全十美	10-44446-B
十八	10-44536-S
十八 十八	10-44536-B
十六	10-44580-S
十六 十六	10-44580-B
十六国	10-44624-S
十六国春秋	10-44784-S
十六國 十六国	10-44624-B
十六國春秋 十六国春秋	10-44784-B
十六烷值	10-44917-S
十六烷值 十六烷值	10-44917-B
十六进制	10-45016-S
十六進制 十六进制	10-45016-B
十几	10-46834-S
十几个月	10-46896-S
十分	10-45083-S
十分 十分	10-45083-B
十分之一	10-45208-S
十分之一 十分之一	10-45208-B
十吋口炮	10-45272-S
十吋口炮 十吋口炮	10-45272-B
十四	10-45350-S
十四 十四	10-45350-B
十四行詩 十四行诗	10-45394-B
十四行诗	10-45394-S
十国春秋	10-45456-S
十國春秋 十国春秋	10-45456-B
十堰	10-45590-S
十堰 十堰	10-45590-B
十堰市	10-45661-S
十堰市 十堰市	10-45661-B
十多亿	10-45743-S
十多億 十多亿	10-45743-B
十天干	10-45823-S
十天干 十天干	10-45823-B
十字	10-45895-S
十字 十字	10-45895-B
十字军	10-46347-S
十字军东征	10-46431-S
十字军远征	10-46542-S
十字形	10-45978-S
十字形 十字形	10-45978-B
十字架	10-46044-S
十字架 十字架	10-46044-B
十字花科	10-46125-S
十字花科 十字花科	10-46125-B
十字路口	10-46270-S
十字路口 十字路口	10-46270-B
十字軍 十字军	10-46347-B
十字軍東征 十字军东征	10-46431-B
十字軍遠征 十字军远征	10-46542-B
十常侍	10-46623-S
十常侍 十常侍	10-46623-B
十干	10-46715-S
