吴堡	13-57-S
吴头楚尾	13-2280-S
吴孟超	13-116-S
吴官正	13-173-S
吴川	13-232-S
吴市吹箫	13-298-S
吴忠	13-423-S
吴忠市	13-498-S
吴承恩	13-584-S
吴敬梓	13-652-S
吴旗	13-717-S
吴晗	13-776-S
吴桥	13-827-S
吴江	13-888-S
吴淞	13-952-S
吴清源	13-1024-S
吴牛见月	13-1091-S
吴玉章	13-1183-S
吴王阖庐	13-1250-S
吴王阖闾	13-1328-S
吴用	13-1406-S
吴自牧	13-1501-S
吴语	13-1566-S
吴越	13-1623-S
吴越同舟	13-1745-S
吴越春秋	13-1945-S
吴越曲	13-2063-S
吴趼人	13-2158-S
吴邦国	13-2225-S
吵	13-2457-S
吵 吵	13-2457-B
吵嘴	13-2542-S
吵嘴 吵嘴	13-2542-B
吵架	13-2587-S
吵架 吵架	13-2587-B
吵闹	13-2646-S
吵闹声	13-2686-S
吵鬧 吵闹	13-2646-B
吵鬧聲 吵闹声	13-2686-B
吶	13-2739-S
吶 吶	13-2739-B
吶 呐	13-2780-B,13-2812-B
吸	13-2868-S
吸 吸	13-2868-B
吸入	13-2931-S
吸入 吸入	13-2931-B
吸入器	13-2997-S
吸入器 吸入器	13-2997-B
吸力	13-3046-S
吸力 吸力	13-3046-B
吸取	13-3140-S
吸取 吸取	13-3140-B
吸吮	13-3199-S
吸吮 吸吮	13-3199-B
吸塵器 吸尘器	13-3243-B
吸尘器	13-3243-S
吸引	13-3314-S
吸引 吸引	13-3314-B
吸引力	13-3367-S
吸引力 吸引力	13-3367-B
吸引子	13-3474-S
吸引子 吸引子	13-3474-B
吸引子網絡 吸引子网络	13-3532-B
吸引子网络	13-3532-S
吸收	13-3615-S
吸收 吸收	13-3615-B
吸收剂量	13-3682-S
吸收劑量 吸收剂量	13-3682-B
吸毒	13-3752-S
吸毒 吸毒	13-3752-B
吸气	13-3797-S
吸气器	13-3834-S
吸氣 吸气	13-3797-B
吸氣器 吸气器	13-3834-B
