嚭	14-40989-S
嚭 嚭	14-40989-B
嚮	14-41030-S
嚮 嚮	14-41030-B
嚮導 向导	14-41069-B
嚮往 向往	14-41110-B
嚲	14-41178-S
嚲 嚲	14-41178-B
嚳 喾	14-41210-B
嚴 严	14-41266-B
嚴冬 严冬	14-41349-B
嚴加 严加	14-41397-B
嚴加申飭 严加申饬	14-41488-B
嚴厲 严厉	14-41560-B
嚴守 严守	14-41606-B
嚴密 严密	14-41656-B
嚴寒 严寒	14-41715-B
嚴峻 严峻	14-41774-B
嚴復 严复	14-41828-B
嚴慈 严慈	14-41879-B
嚴懲不貸 严惩不贷	14-41978-B
嚴格 严格	14-42127-B
嚴格來說 严格来说	14-42191-B
嚴格來講 严格来讲	14-42264-B
嚴格隔離 严格隔离	14-42338-B
嚴正 严正	14-42409-B
嚴禁 严禁	14-42459-B
嚴竣 严竣	14-42510-B
嚴緊 严紧	14-42579-B
嚴肅 严肃	14-42625-B
嚴苛 严苛	14-42674-B
嚴詞 严词	14-42719-B
嚴謹 严谨	14-42796-B
嚴辭 严辞	14-42880-B
嚴酷 严酷	14-42924-B
嚴重 严重	14-43015-B
嚴重問題 严重问题	14-43080-B
嚴重後果 严重后果	14-43152-B
嚴重性 严重性	14-43248-B
嚴重關切 严重关切	14-43307-B
嚴防 严防	14-43381-B
嚴飭 严饬	14-43456-B
嚵	14-43505-S
嚵 嚵	14-43505-B
嚶 嘤	14-43546-B
嚷	14-43586-S
嚷 嚷	14-43586-B
嚼	14-43628-S,14-43659-S
嚼 嚼	14-43628-B,14-43659-B
囀 啭	14-43689-B
囁 嗫	14-43718-B
囁呫 嗫呫	14-43770-B
囁嚅 嗫嚅	14-43814-B
囂 嚣	14-43886-B
囂張氣燄 嚣张气焰	14-43916-B
囅 冁	14-44014-B
囈 呓	14-44047-B
囉 啰	14-44082-B,14-44136-B
囉 罗	14-44184-B,14-44222-B
囉唆 啰唆	14-44277-B
囊	14-44321-S
囊 囊	14-44321-B
囊括	14-44374-S
囊括 囊括	14-44374-B
囊揣	14-44439-S
囊揣 囊揣	14-44439-B
囊泡	14-44480-S
囊泡 囊泡	14-44480-B
囊肿	14-44522-S
囊腫 囊肿	14-44522-B
囊膪	14-44570-S
囊膪 囊膪	14-44570-B
囊謙 囊谦	14-44611-B
囊谦	14-44611-S
囌	14-44678-S
囌 囌	14-44678-B
囍	14-44714-S
囍 囍	14-44714-B
囑 嘱	14-44792-B
囑咐 嘱咐	14-44821-B
囑託 嘱托	14-44882-B
囒	14-44943-S
囒 囒	14-44943-B
囒吨	14-45072-S
囒哰	14-45025-S
囒哰 囒哰	14-45025-B
囒噸 囒吨	14-45072-B
囓	14-45178-S
囓 囓	14-45178-B
囔	14-45205-S
囔 囔	14-45205-B
囗	14-45238-S
囗 囗	14-45238-B
囚	14-45270-S
囚 囚	14-45270-B
囚徒	14-45301-S
囚徒 囚徒	14-45301-B
囚犯	14-45342-S
囚犯 囚犯	14-45342-B
囚禁	14-45396-S
囚禁 囚禁	14-45396-B
四	14-45451-S
