圣母	51-47806-S
圣母升天节	51-47876-S
圣母峰	51-48012-S
圣母教堂	51-48093-S
圣母玛利亚	51-48183-S
圣水	51-48270-S
圣洁	51-48380-S
圣洗	51-48317-S
圣潘克勒斯站	51-48429-S
圣火	51-48546-S
圣灰节	51-48607-S
圣灵	51-52313-S
圣烛节	51-48687-S
圣父	51-48780-S
圣王	51-48868-S
圣皮埃尔和密克隆	51-48927-S
圣盘	51-49049-S
圣礼	51-49511-S
圣神	51-49238-S
圣神降临	51-49306-S
圣神降临周	51-49427-S
圣索非亚	51-49867-S
圣索非亚大教堂	51-49957-S
圣约	51-49632-S
圣约瑟夫	51-49676-S
圣约翰	51-49744-S
圣约翰斯	51-49801-S
圣经	51-50098-S
圣经典故	51-50168-S
圣经外传	51-50243-S
圣经段落	51-50348-S
圣经贤传	51-50421-S
圣者	51-50574-S
圣职	51-50624-S
圣药	51-50891-S
圣荷西	51-50670-S
圣菲	51-50723-S
圣萨尔瓦多	51-50788-S
圣训	51-50934-S
圣诗	51-51004-S
圣诞	51-51044-S
圣诞前夕	51-51138-S
圣诞卡	51-51209-S
圣诞快乐	51-51269-S
圣诞树	51-51342-S
圣诞老人	51-51491-S
圣诞节	51-51403-S
圣谕	51-51577-S
圣贤	51-51626-S
圣贤书	51-51721-S
圣赫勒拿	51-51778-S
圣赫勒拿岛	51-51843-S
圣路易斯	51-51974-S
圣躬	51-52037-S
圣迭哥	51-52131-S
圣迭戈	51-52186-S
圣迹	51-51921-S
圣雄	51-52241-S
圣餐	51-52360-S
圣餐台	51-52444-S
圣马利诺	51-52508-S
圣马力诺	51-52574-S
圣马洛	51-52640-S
圧	15-33375-S
圧 圧	15-33375-B
在	15-33424-S
在 在	15-33424-B
在下	15-33541-S
在下 在下	15-33541-B
在下方	15-33580-S
在下方 在下方	15-33580-B
在下面	15-33633-S
在下面 在下面	15-33633-B
在世	15-33689-S
在世 在世	15-33689-B
在之上	15-33734-S
在之上 在之上	15-33734-B
在乎	15-33785-S
在乎 在乎	15-33785-B
在于	15-35114-S
在今年年底	15-33852-S
在今年年底 在今年年底	15-33852-B
在传输过程中	15-34081-S
在位	15-33943-S
在位 在位	15-33943-B
在位时代	15-34009-S
在位時代 在位时代	15-34009-B
在傳輸過程中 在传输过程中	15-34081-B
在內 在内	15-34203-B
在其中	15-34246-S
在其中 在其中	15-34246-B
在内	15-34203-S
在前	15-34307-S
在前 在前	15-34307-B
在华	15-36270-S
在后	15-34911-S
在地下	15-34349-S
在地下 在地下	15-34349-B
在场	15-34404-S
在場 在场	15-34404-B
在外	15-34472-S
在外 在外	15-34472-B
在大多数情况下	15-34511-S
在大多數情況下 在大多数情况下	15-34511-B
在头版	15-36707-S
在室內 在室内	15-34619-B
在室内	15-34619-S
在密切注意	15-34671-S
在密切注意 在密切注意	15-34671-B
在座	15-34767-S
在座 在座	15-34767-B
在很多方面	15-34811-S
在很多方面 在很多方面	15-34811-B
在後 在后	15-34911-B
在意	15-34951-S
在意 在意	15-34951-B
在我看	15-35005-S
在我看 在我看	15-35005-B
在戶外 在户外	15-35062-B
在户外	15-35062-S
在於 在于	15-35114-B
在旁	15-35174-S
在旁 在旁	15-35174-B
在朝	15-35221-S
在朝 在朝	15-35221-B
在未來 在未来	15-35282-B
在未来	15-35282-S
在某种程度上	15-35340-S
在某種程度上 在某种程度上	15-35340-B
在校园	15-35442-S
在校园内	15-35498-S
在校園 在校园	15-35442-B
在校園內 在校园内	15-35498-B
在此	15-35565-S
在此 在此	15-35565-B
在此之前	15-35609-S
在此之前 在此之前	15-35609-B
在此之后	15-35698-S
在此之後 在此之后	15-35698-B
在此之际	15-35779-S
在此之際 在此之际	15-35779-B
在此后	15-35859-S
在此处	15-35926-S
在此後 在此后	15-35859-B
在此處 在此处	15-35926-B
在水步行	15-35976-S
在水步行 在水步行	15-35976-B
在深处	15-36037-S
在深處 在深处	15-36037-B
在眼前	15-36089-S
在眼前 在眼前	15-36089-B
在線 在线	15-36153-B
在线	15-36153-S
在职训练	15-36194-S
在職訓練 在职训练	15-36194-B
在華 在华	15-36270-B
在車 在车	15-36344-B
在车	15-36344-S
在这期间	15-36442-S
在途	15-36384-S
在途 在途	15-36384-B
在這期間 在这期间	15-36442-B
在野	15-36522-S
在野 在野	15-36522-B
在野党	15-36596-S
在野黨 在野党	15-36596-B
在附近	15-36657-S
在附近 在附近	15-36657-B
在頭版 在头版	15-36707-B
在高处	15-36769-S
在高處 在高处	15-36769-B
在﹍之上	15-36819-S
在﹍之上 在﹍之上	15-36819-B
在﹍之下	15-36882-S
在﹍之下 在﹍之下	15-36882-B
在﹍之中	15-36938-S
在﹍之中 在﹍之中	15-36938-B
在﹍之內 在﹍之内	15-37001-B
在﹍之内	15-37001-S
在﹍之旁	15-37061-S
在﹍之旁 在﹍之旁	15-37061-B
在﹍之間 在﹍之间	15-37119-B
在﹍之间	15-37119-S
圩	15-37178-S
圩 圩	15-37178-B
圪	15-37205-S
圪 圪	15-37205-B
圬	15-37237-S
圬 圬	15-37237-B
圭	15-37279-S
圭 圭	15-37279-B
圭亚那	15-37313-S
圭亞那 圭亚那	15-37313-B
圮	15-37362-S
圮 圮	15-37362-B
圯	15-37400-S
圯 圯	15-37400-B
地	15-37428-S,15-37505-S
地 地	15-37428-B,15-37505-B
地上	15-37556-S
地上 地上	15-37556-B
地下	15-37616-S
地下 地下	15-37616-B
地下室	15-37680-S
地下室 地下室	15-37680-B
地下核爆炸	15-37739-S
地下核爆炸 地下核爆炸	15-37739-B
地下核試驗 地下核试验	15-37859-B
地下核试验	15-37859-S
地下水	15-37948-S
地下水 地下水	15-37948-B
地下通道	15-38004-S
地下通道 地下通道	15-38004-B
地下鐵路 地下铁路	15-38083-B
地下铁路	15-38083-S
地中海	15-38143-S
地中海 地中海	15-38143-B
地中海形貧血 地中海形贫血	15-38206-B
地中海形贫血	15-38206-S
地主	15-38318-S
地主 地主	15-38318-B
地主阶级	15-38370-S
地主階級 地主阶级	15-38370-B
地久天長 地久天长	15-38443-B
地久天长	15-38443-S
地产	15-43419-S
地亩	15-43459-S
地位	15-38563-S
地位 地位	15-38563-B
地利	15-38617-S
地利 地利	15-38617-B
地利人和	15-38707-S
地利人和 地利人和	15-38707-B
地动	15-38857-S
地动仪	15-38912-S
地动山摇	15-39064-S
地势	15-39137-S
地動 地动	15-38857-B
地動儀 地动仪	15-38912-B
地動山搖 地动山摇	15-39064-B
地勢 地势	15-39137-B
地勤人员	15-39198-S
地勤人員 地勤人员	15-39198-B
地区	15-39275-S
地区性	15-39370-S
地區 地区	15-39275-B
地區性 地区性	15-39370-B
地史	15-39428-S
地史 地史	15-39428-B
地名	15-39493-S
地名 地名	15-39493-B
地图	15-39537-S
地圖 地图	15-39537-B
地址	15-39572-S
地址 地址	15-39572-B
地址的轉換 地址的转换	15-39612-B
地址的转换	15-39612-S
地址解析协议	15-39698-S
地址解析協議 地址解析协议	15-39698-B
地块	15-39987-S
地坛	15-40103-S
地垄	15-40164-S
地域	15-39804-S
地域 地域	15-39804-B
地基	15-39856-S
地基 地基	15-39856-B
地堡	15-39920-S
地堡 地堡	15-39920-B
地塊 地块	15-39987-B
地塞米松	15-40035-S
地塞米松 地塞米松	15-40035-B
地壇 地坛	15-40103-B
地壟 地垄	15-40164-B
地壳	15-42106-S
地宫	15-40231-S
地宮 地宫	15-40231-B
地对空导弹	15-40310-S
地對空導彈 地对空导弹	15-40310-B
地层	15-40398-S
地层学	15-40449-S
地層 地层	15-40398-B
地層學 地层学	15-40449-B
地带	15-40516-S
地帶 地带	15-40516-B
地幔	15-40553-S
地幔 地幔	15-40553-B
地平線 地平线	15-40619-B
地平线	15-40619-S
地形	15-40672-S
地形 地形	15-40672-B
地心吸力	15-40733-S
地心吸力 地心吸力	15-40733-B
地心說 地心说	15-40797-B
地心说	15-40797-S
地拉那	15-40859-S
地拉那 地拉那	15-40859-B
地支	15-40928-S
地支 地支	15-40928-B
地方	15-40988-S,15-41076-S
地方 地方	15-40988-B,15-41076-B
地方主义	15-41153-S
地方主義 地方主义	15-41153-B
地方停車 地方停车	15-41247-B
地方停车	15-41247-S
地方官职位	15-41316-S
地方官職位 地方官职位	15-41316-B
地方性	15-41394-S
地方性 地方性	15-41394-B
地方性斑疹伤寒	15-41445-S
地方性斑疹傷寒 地方性斑疹伤寒	15-41445-B
地方政府	15-41557-S
地方政府 地方政府	15-41557-B
地方法院	15-41630-S
地方法院 地方法院	15-41630-B
地方自治	15-41713-S
地方自治 地方自治	15-41713-B
地方选举	15-41792-S
地方選舉 地方选举	15-41792-B
地板	15-41862-S
地板 地板	15-41862-B
地标	15-41959-S
地核	15-41900-S
地核 地核	15-41900-B
地標 地标	15-41959-B
地步	15-42001-S
地步 地步	15-42001-B
地段	15-42056-S
地段 地段	15-42056-B
地殼 地壳	15-42106-B
地毯	15-42157-S
地毯 地毯	15-42157-B
地毯拖鞋	15-42200-S
地毯拖鞋 地毯拖鞋	15-42200-B
地洞	15-42270-S
地洞 地洞	15-42270-B
地漏	15-42322-S
地漏 地漏	15-42322-B
地炉	15-42711-S
地点	15-46872-S
地热	15-42419-S
地热发电厂	15-42461-S
地热电站	15-42622-S
地热能	15-42561-S
地熱 地热	15-42419-B
地熱發電廠 地热发电厂	15-42461-B
地熱能 地热能	15-42561-B
地熱電站 地热电站	15-42622-B
地爐 地炉	15-42711-B
地狱	15-42751-S
地獄 地狱	15-42751-B
地球	15-42807-S
地球 地球	15-42807-B
地球仪	15-42856-S
地球儀 地球仪	15-42856-B
地球化学	15-42904-S
地球化學 地球化学	15-42904-B
地球大气	15-42971-S
地球大氣 地球大气	15-42971-B
地球物理学	15-43042-S
地球物理學 地球物理学	15-43042-B
地球科学	15-43116-S
地球科學 地球科学	15-43116-B
地理	15-43183-S
地理 地理	15-43183-B
地理学	15-43224-S
地理学家	15-43276-S
地理學 地理学	15-43224-B
地理學家 地理学家	15-43276-B
地理极	15-43340-S
地理極 地理极	15-43340-B
地產 地产	15-43419-B
地畝 地亩	15-43459-B
地痞	15-43507-S
地痞 地痞	15-43507-B
地皮	15-43561-S
地皮 地皮	15-43561-B
地盘	15-43596-S
地盤 地盘	15-43596-B
地磁场	15-43724-S
地磁場 地磁场	15-43724-B
地租	15-43795-S
地租 地租	15-43795-B
地稅 地税	15-43845-B
地税	15-43845-S
地窖	15-43890-S
地窖 地窖	15-43890-B
地級 地级	15-43939-B
地級市 地级市	15-43987-B
地線 地线	15-44051-B
地緣 地缘	15-44104-B
地緣戰略 地缘战略	15-44146-B
地緣政治學 地缘政治学	15-44216-B
地级	15-43939-S
地级市	15-43987-S
地线	15-44051-S
地缘	15-44104-S
地缘战略	15-44146-S
地缘政治学	15-44216-S
地脈 地脉	15-44296-B
地脉	15-44296-S
地藏	15-44398-S
地藏 地藏	15-44398-B
地藏王菩萨	15-44445-S
地藏王菩薩 地藏王菩萨	15-44445-B
地藏菩萨	15-44536-S
地藏菩薩 地藏菩萨	15-44536-B
地衣	15-44615-S
地衣 地衣	15-44615-B
地表	15-44653-S
地表 地表	15-44653-B
地表水	15-44713-S
地表水 地表水	15-44713-B
地西泮	15-44772-S
地西泮 地西泮	15-44772-B
地貌	15-44830-S
地貌 地貌	15-44830-B
地質 地质	15-44886-B
地質學 地质学	15-44926-B
地質學家 地质学家	15-44977-B
地質年代表 地质年代表	15-45041-B
地质	15-44886-S
地质学	15-44926-S
地质学家	15-44977-S
地质年代表	15-45041-S
地躺拳	15-45130-S
地躺拳 地躺拳	15-45130-B
地軸 地轴	15-45245-B
地轴	15-45245-S
地道	15-45295-S,15-45343-S
地道 地道	15-45295-B,15-45343-B
地邻	15-45458-S
地鄰 地邻	15-45458-B
地鐵 地铁	15-45511-B
地鐵站 地铁站	15-45556-B
地铁	15-45511-S
地铁站	15-45556-S
地雷	15-45615-S
地雷 地雷	15-45615-B
地震	15-45656-S
地震 地震	15-45656-B
地震中	15-45700-S
地震中 地震中	15-45700-B
地震仪	15-45767-S
地震儀 地震仪	15-45767-B
地震区	15-45822-S
地震區 地震区	15-45822-B
地震学	15-45894-S
地震学家	15-45972-S
地震學 地震学	15-45894-B
地震學家 地震学家	15-45972-B
地震局	15-46061-S
地震局 地震局	15-46061-B
地震带	15-46122-S
地震帶 地震带	15-46122-B
地震波	15-46195-S
地震波 地震波	15-46195-B
地震活动带	15-46251-S
地震活動帶 地震活动带	15-46251-B
地面	15-46347-S
地面 地面	15-46347-B
地面控制	15-46401-S
地面控制 地面控制	15-46401-B
地面核爆炸	15-46505-S
地面核爆炸 地面核爆炸	15-46505-B
地面气压	15-46596-S
地面氣壓 地面气压	15-46596-B
地面水	15-46665-S
地面水 地面水	15-46665-B
地面灌溉	15-46724-S
地面灌溉 地面灌溉	15-46724-B
地黃 地黄	15-46799-B
地黄	15-46799-S
地點 地点	15-46872-B
圳	15-46931-S
圳 圳	15-46931-B
圹	16-34327-S
场	16-12860-S,16-13020-S
场区应急	16-13131-S
场合	16-13202-S
场地	16-13255-S
场外应急	16-13319-S
场所	16-13395-S
场景	16-13445-S
场记板	16-13504-S
场论	16-13563-S
场院	16-13619-S
场面	16-13671-S
圻	15-46970-S
圻 圻	15-46970-B
圾	15-47009-S
圾 圾	15-47009-B
址	15-47056-S
址 址	15-47056-B
坂	15-47092-S
坂 坂	15-47092-B
坆	15-47153-S,15-47201-S
坆 坆	15-47153-B,15-47201-B
均	15-47243-S
均 均	15-47243-B
均一	15-47288-S
均一 均一	15-47288-B
均值	15-47345-S
均值 均值	15-47345-B
均分	15-47392-S
均分 均分	15-47392-B
均势	15-47452-S
均勢 均势	15-47452-B
均勻 均匀	15-47524-B
均勻性 均匀性	15-47591-B
均匀	15-47524-S
均匀性	15-47591-S
均变论	15-48539-S
均差	15-47648-S
均差 均差	15-47648-B
均摊	15-47723-S
均攤 均摊	15-47723-B
均方	15-47794-S
均方 均方	15-47794-B
均沾	15-47840-S
均沾 均沾	15-47840-B
均湿	15-47893-S
均濕 均湿	15-47893-B
均热	15-47970-S
均熱 均热	15-47970-B
均田制	15-48042-S
均田制 均田制	15-48042-B
均等	15-48169-S
均等 均等	15-48169-B
均等化	15-48224-S
均等化 均等化	15-48224-B
均線 均线	15-48305-B
均線指標 均线指标	15-48363-B
均线	15-48305-S
均线指标	15-48363-S
均衡	15-48470-S
均衡 均衡	15-48470-B
均變論 均变论	15-48539-B
均質 均质	15-48602-B
均质	15-48602-S
坊	15-48666-S
坊 坊	15-48666-B
坊子区	15-48711-S
坊子區 坊子区	15-48711-B
坋	15-48784-S
坋 坋	15-48784-B
坋粒	15-48811-S
坋粒 坋粒	15-48811-B
坌	15-48848-S
坌 坌	15-48848-B
坍	15-48890-S
坍 坍	15-48890-B
坍塌	15-48921-S
坍塌 坍塌	15-48921-B
坎	15-48962-S
坎 坎	15-48962-B
坎儿	15-48998-S
坎儿井	15-49058-S
坎兒 坎儿	15-48998-B
坎兒井 坎儿井	15-49058-B
坎坎	15-49108-S
坎坎 坎坎	15-49108-B
坎坷	15-49160-S
坎坷 坎坷	15-49160-B
坎坷不平	15-49273-S
坎坷不平 坎坷不平	15-49273-B
坎塔布连	15-49396-S
坎塔布连山脉	15-49498-S
坎塔布连海	15-49653-S
坎塔布連 坎塔布连	15-49396-B
坎塔布連山脈 坎塔布连山脉	15-49498-B
坎塔布連海 坎塔布连海	15-49653-B
坎大哈	15-49759-S
坎大哈 坎大哈	15-49759-B
坎大哈省	15-49841-S
坎大哈省 坎大哈省	15-49841-B
坎子	15-49929-S
坎子 坎子	15-49929-B
坎帕拉	15-49979-S
坎帕拉 坎帕拉	15-49979-B
坎德拉	15-50049-S
坎德拉 坎德拉	15-50049-B
坎昆	15-50136-S
坎昆 坎昆	15-50136-B
坎特伯雷	15-50177-S
坎特伯雷 坎特伯雷	15-50177-B
坎特伯雷大主教	15-50241-S
坎特伯雷大主教 坎特伯雷大主教	15-50241-B
坎肩	15-50352-S
坎肩 坎肩	15-50352-B
坎肩儿	15-50439-S
坎肩兒 坎肩儿	15-50439-B
坏	16-34417-S
坏东西	16-34941-S
坏事	16-34473-S
坏人	16-34610-S
坏包儿	16-34747-S
坏处	16-35160-S
坏家伙	16-34670-S
坏死	16-35009-S
坏种	16-35051-S
坏脾气	16-35106-S
坏蛋	16-35207-S
坏血病	16-35267-S
坏话	16-35320-S
坏账	16-35386-S
坏透	16-35431-S
坐	15-50513-S
坐 坐	15-50513-B
坐下	15-50572-S
坐下 坐下	15-50572-B
坐不垂堂	15-50613-S
坐不垂堂 坐不垂堂	15-50613-B
坐井觀天 坐井观天	15-50753-B
坐井观天	15-50753-S
坐像	15-50899-S
坐像 坐像	15-50899-B
坐化	15-50970-S
坐化 坐化	15-50970-B
坐吃享福	15-51019-S
坐喫享福 坐吃享福	15-51019-B
坐好	15-51147-S
坐好 坐好	15-51147-B
坐定	15-51215-S
坐定 坐定	15-51215-B
坐月子	15-51262-S
坐月子 坐月子	15-51262-B
坐标	22-64550-S
坐标法	22-64710-S
坐标空间	22-64784-S
坐标系	22-64859-S
坐椅	15-51364-S
坐椅 坐椅	15-51364-B
坐牢	15-51407-S
坐牢 坐牢	15-51407-B
坐班	15-51464-S
坐班 坐班	15-51464-B
坐禅	15-51526-S
坐禪 坐禅	15-51526-B
坐落	15-51590-S
坐落 坐落	15-51590-B
坐觀成敗 坐观成败	15-51688-B
坐观成败	15-51688-S
坐車 坐车	15-51874-B
坐车	15-51874-S
坑	15-51920-S
坑 坑	15-51920-B
坑口	15-51958-S
坑口 坑口	15-51958-B
坑坑洼洼	15-52021-S
坑坑窪窪 坑坑洼洼	15-52021-B
坑洼	15-52100-S
坑窪 坑洼	15-52100-B
坒	15-52154-S
坒 坒	15-52154-B
块	16-14150-S
块体	16-14805-S
块儿八毛	16-14232-S
块垒	16-14332-S
块头	16-14756-S
块根	16-14392-S
块煤	16-14459-S
块状	16-14503-S
块茎	16-14545-S
块菌	16-14612-S
块规	16-14675-S
坚	16-3222-S
坚信	16-3283-S
坚信礼	16-3353-S
坚决	16-5141-S
坚决否认	16-5200-S
坚固	16-3431-S
坚固性	16-3488-S
坚壁	16-3647-S
坚壁清野	16-3723-S
坚如磐石	16-3887-S
坚守	16-4018-S
坚定	16-4081-S
坚定不移	16-4145-S
坚定性	16-4223-S
坚实	16-4293-S
坚强	16-4354-S
坚强不屈	16-4405-S
坚忍	16-4508-S
坚忍不拔	16-4554-S
坚执	16-3542-S
坚持	16-4618-S
坚持下去	16-4753-S
坚振	16-4820-S
坚振礼	16-4889-S
坚挺	16-4968-S
坚明	16-5041-S
坚果	16-5103-S
坚毅 堅毅	15-52204-B
坚牢	16-5271-S
坚硬	16-5317-S
坚称	16-5363-S
坚致	16-5418-S
坚苦卓绝	16-5477-S
坚贞	16-5616-S
