援救	28-51207-S
援救 援救	28-51207-B
揵	28-51304-S
揵 揵	28-51304-B
揶	28-51333-S,29-26797-S
揶 揶	28-51333-B
揶揄	29-26848-S
揹 背	28-51378-B
揹債 背债	28-51420-B
揹負 背负	28-51487-B
揺	28-51565-S
揺 揺	28-51565-B
揽	29-37126-S
揿	29-17199-S
搀	29-33034-S
搀假	29-33095-S
搀兑	29-33180-S
搀合	29-33262-S
搀和	29-33325-S
搀扶	29-33425-S
搀杂	29-33487-S
搁	29-28525-S
搁板	29-28555-S
搁置	29-28593-S
搁脚物	29-28642-S
搂	28-64907-S,28-64972-S
搂抱	28-65012-S
搅	29-36586-S
搅乱	29-36644-S
搅动	29-36690-S
搅和	29-36740-S
搅扰	29-36856-S
搅拌	29-36803-S
搅混	29-36910-S
搆	28-51615-S
搆 搆	28-51615-B
搉	28-51656-S
搉 搉	28-51656-B
搊	28-51697-S
搊 搊	28-51697-B
搋	28-51748-S
搋 搋	28-51748-B
搋在怀里	28-51877-S
搋在懷裡 搋在怀里	28-51877-B
搋子	28-51998-S
搋子 搋子	28-51998-B
搋面	28-52061-S
搋麵 搋面	28-52061-B
搌	28-52112-S
搌 搌	28-52112-B
損 损	28-52145-B
損人利己 损人利己	28-52200-B
損傷 损伤	28-52350-B
損壞 损坏	28-52440-B
損失 损失	28-52494-B
損害 损害	28-52559-B
損毀 损毁	28-52629-B
損益 损益	28-52669-B
損稅 损税	28-52739-B
損耗 损耗	28-52792-B
損耗品 损耗品	28-52839-B
搎	28-52932-S
搎 搎	28-52932-B
搏	28-52985-S
搏 搏	28-52985-B
搏击	28-53156-S
搏动	28-53025-S
搏動 搏动	28-53025-B
搏战	28-53090-S
搏戰 搏战	28-53090-B
搏擊 搏击	28-53156-B
搏斗	28-53196-S
搏斗 搏斗	28-53196-B
搏杀	28-53260-S
搏殺 搏杀	28-53260-B
搏髀	28-53309-S
搏髀 搏髀	28-53309-B
搐	28-53378-S
搐 搐	28-53378-B
搒	28-53410-S
搒 搒	28-53410-B
搓	28-53446-S
搓 搓	28-53446-B
搓揉	28-53521-S
搓揉 搓揉	28-53521-B
搔	28-53560-S
搔 搔	28-53560-B
搔痒	28-53601-S
搔痒 搔痒	28-53601-B
搔癢	28-53643-S
搔癢 搔癢	28-53643-B
搕	28-53684-S
搕 搕	28-53684-B
搖 摇	28-53734-B
搖光 摇光	28-53770-B
