收買 收买	29-42792-B
收費 收费	29-42847-B
收購 收购	29-42892-B
收货人	29-42715-S
收购	29-42892-S
收费	29-42847-S
收銀 收银	29-42983-B
收銀機 收银机	29-43026-B
收錄 收录	29-43084-B
收银	29-42983-S
收银机	29-43026-S
收集	29-43150-S
收集 收集	29-43150-B
收音机	29-43204-S
收音機 收音机	29-43204-B
收養 收养	29-43254-B
攷	29-43304-S
攷 攷	29-43304-B
攸	29-43395-S
攸 攸	29-43395-B
攸关	29-43479-S
攸县	29-43425-S
攸縣 攸县	29-43425-B
攸關 攸关	29-43479-B
改	29-43530-S
改 改	29-43530-B
改业	29-44772-S
改信	29-43595-S
改信 改信	29-43595-B
改写	29-44215-S
改则	29-43724-S
改判	29-43661-S
改判 改判	29-43661-B
改則 改则	29-43724-B
改动	29-43783-S
改動 改动	29-43783-B
改变	29-45630-S
改变信仰者	29-45696-S
改变形像	29-45774-S
改口	29-43846-S
改口 改口	29-43846-B
改名	29-43942-S
改名 改名	29-43942-B
改善	29-43996-S
改善 改善	29-43996-B
改善关系	29-44139-S
改善通訊 改善通讯	29-44056-B
改善通讯	29-44056-S
改善關係 改善关系	29-44139-B
改头換面	29-47045-S
改寫 改写	29-44215-B
改建	29-44266-S
改建 改建	29-44266-B
改恶向善	29-44350-S
改惡向善 改恶向善	29-44350-B
改成	29-44444-S
改成 改成	29-44444-B
改日	29-44551-S
改日 改日	29-44551-B
改朝	29-44610-S
改朝 改朝	29-44610-B
改朝换代	29-44664-S
改朝換代 改朝换代	29-44664-B
改样	29-44837-S
改業 改业	29-44772-B
改樣 改样	29-44837-B
改正	29-44892-S
改正 改正	29-44892-B
改稿	29-44971-S
改稿 改稿	29-44971-B
改組 改组	29-45027-B
改編 改编	29-45098-B
改组	29-45027-S
改编	29-45098-S
改良	29-45164-S
改良 改良	29-45164-B
改良主义	29-45207-S
改良主義 改良主义	29-45207-B
改行	29-45329-S
改行 改行	29-45329-B
改装	29-45384-S
改裝 改装	29-45384-B
改觀 改观	29-45428-B
改观	29-45428-S
改訂 改订	29-45513-B
改譯 改译	29-45563-B
改變 改变	29-45630-B
改變信仰者 改变信仰者	29-45696-B
改變形像 改变形像	29-45774-B
改订	29-45513-S
改订伊犁条约	29-45849-S
改订伊犁條約 改订伊犁条约	29-45849-B
改译	29-45563-S
改过	29-46212-S
改过自新	29-46263-S
改进	29-46153-S
改选	29-46467-S
改造	29-46088-S
改造 改造	29-46088-B
改進 改进	29-46153-B
改過 改过	29-46212-B
改過自新 改过自新	29-46263-B
改道	29-46382-S
改道 改道	29-46382-B
改選 改选	29-46467-B
改邪归正	29-46523-S
改邪歸正 改邪归正	29-46523-B
改錐 改锥	29-46624-B
改锥	29-46624-S
改革	29-46670-S
改革 改革	29-46670-B
改革开放	29-46898-S
改革派	29-46712-S
改革派 改革派	29-46712-B
改革者	29-46775-S
改革者 改革者	29-46775-B
改革进程	29-46827-S
改革進程 改革进程	29-46827-B
改革開放 改革开放	29-46898-B
改頭換面 改头換面	29-47045-B
攻	29-47116-S
攻 攻	29-47116-B
攻伐	29-47168-S
攻伐 攻伐	29-47168-B
攻佔 攻占	29-47230-B
攻克	29-47283-S
攻克 攻克	29-47283-B
攻关	29-48135-S
攻击	29-47554-S
攻击型核潜艇	29-47635-S
攻击机	29-47747-S
攻击线	29-47813-S
攻势	29-47335-S
攻勢 攻势	29-47335-B
攻占	29-47230-S
攻城	29-47390-S
攻城 攻城	29-47390-B
攻城木	29-47446-S
攻城木 攻城木	29-47446-B
