bian1 yin4	50-19782-B
bian1 yu2	56-7401-B
bian1 yu3 yan2	10-39086-S
bian1 yuan2	63-12763-B
bian1 yuan3	63-13157-B
bian1 zao4	50-21882-B
bian1 zhai4	63-11694-B
bian1 zhe3	50-20986-B
bian1 zhe3 an4	50-21036-B
bian1 zhi1	50-20886-B
bian1 zhi4	50-21269-B
bian1 zhou1	23-19057-S
bian1 zhu3 yi4	14-22260-S
bian1 zhu4	50-21160-B
bian1 zhuan4	50-21372-B
bian1 zi5	68-8556-B
bian1 zu3	50-20707-B
bian1 zuan3	50-20943-B
bian3	10-40146-B,16-33102-S,26-30109-B,41-45750-S,47-54523-B,57-6936-B,59-44279-B,66-28463-S
bian3 chi4	59-44638-B
bian3 chong2	26-30757-B
bian3 ci2	59-44738-B
bian3 dan5	26-30338-B
bian3 di1	59-44373-B
bian3 dou4	20-64454-S,26-30701-B
bian3 e2	10-40231-B
bian3 gu3	26-30802-B
bian3 pi1	26-30253-B
bian3 ping2	26-30291-B
bian3 sun3	59-44571-B
bian3 tao2	26-30399-B
bian3 tao2 ti3	26-30584-B
bian3 tao2 ti3 yan2	26-30635-B
bian3 tao2 xian4	26-30463-B
bian3 tao2 xian4 yan2	26-30516-B
bian3 xia2	57-6973-B
bian3 yi4	59-44518-B,59-44688-B
bian3 yuan2	26-30211-B
bian3 zhe2	59-44809-B
bian3 zhi2	59-37431-S,59-44436-B
bian4	1-1367-S,1-21980-S,1-26425-S,1-68160-S,2-5988-S,2-13663-S,2-30720-S,2-31144-S,3-12592-S,3-17360-S,3-30289-S,3-31823-S,3-71887-S,4-35965-S,4-42048-S,5-14597-S,5-28266-B,6-41803-S,8-2622-S,8-58683-S,8-58873-S,9-16342-S,9-30631-S,9-40664-S,11-11839-B,11-24102-S,11-56171-S,11-66081-S,12-16297-S,12-16923-S,13-8755-S,14-4105-S,14-31609-S,14-45618-S,14-45708-S,14-59355-S,16-39857-B,16-63671-S,17-5687-S,17-15888-S,18-61585-S,20-14998-S,20-60641-S,21-9408-S,22-62270-S,23-23262-B,23-48371-S,23-55505-S,24-49768-B,25-48430-S,25-61555-S,26-5663-S,26-59976-S,26-63851-B,27-10790-S,28-54741-S,28-59063-S,29-45630-S,29-51285-S,29-57948-S,30-61708-S,31-26362-S,31-52259-S,32-25555-S,32-56406-S,33-49592-S,33-61462-S,33-61861-S,33-62716-S,35-5146-S,36-64685-B,36-64739-B,37-9313-S,38-6539-S,39-47005-S,39-55728-S,39-61828-S,40-27465-S,41-39886-S,42-8301-S,42-27932-S,43-44484-S,44-415-S,44-12469-S,44-63849-S,45-13840-S,45-33279-S,45-40885-S,45-41030-S,47-41507-S,47-53890-S,48-21489-S,48-21567-S,48-36111-S,48-62356-S,50-14533-S,50-24814-B,50-53027-S,51-55586-S,53-39202-B,53-63947-B,54-32187-S,55-36662-S,56-36147-S,56-47997-S,56-48482-S,56-54774-S,57-6273-S,57-15734-S,58-15246-S,58-39683-S,58-42209-S,58-62867-S,59-6936-B,59-61020-S,60-36340-S,61-9671-S,61-28143-S,61-35587-B,61-37076-B,61-37246-B,61-68368-S,62-42226-B,63-52237-B,64-6786-S,64-48381-S,66-28255-S,66-42940-S,66-44361-S,66-53743-S,68-15697-S,68-21968-S,70-25048-S,71-19324-S
bian4 an4	53-63985-B,59-9552-B
bian4 ba3 xi4	59-8757-B
bian4 bai2	61-37774-B
bian4 ben3 jia1 li4	59-9647-B
bian4 bie2	61-35632-B,61-37298-B
bian4 bie2 li4	61-35714-B
