皮袋 皮袋	45-205-B
皮諾切特 皮诺切特	45-276-B
皮诺切特	45-276-S
皮質 皮质	45-366-B
皮质	45-366-S
皮面	45-421-S
皮面 皮面	45-421-B
皮革	45-471-S
皮革 皮革	45-471-B
皮鞋	45-510-S
皮鞋 皮鞋	45-510-B
皮鞋匠	45-556-S
皮鞋匠 皮鞋匠	45-556-B
皮鞋油	45-611-S
皮鞋油 皮鞋油	45-611-B
皮鞭	45-666-S
皮鞭 皮鞭	45-666-B
皮黃 皮黄	45-704-B
皮黄	45-704-S
皰 疱	45-811-B
皰疹 疱疹	45-845-B
皰疹病毒 疱疹病毒	45-923-B
皱	45-1111-S
皱眉	45-1164-S
皱眉头	45-1226-S
皱纹	45-1277-S
皱缩	45-1319-S
皲	45-1081-S
皴	45-999-S
皴 皴	45-999-B
皴裂	45-1037-S
皴裂 皴裂	45-1037-B
皸 皲	45-1081-B
皺 皱	45-1111-B
皺眉 皱眉	45-1164-B
皺眉頭 皱眉头	45-1226-B
皺紋 皱纹	45-1277-B
皺縮 皱缩	45-1319-B
皽	45-1376-S
皽 皽	45-1376-B
皿	45-1404-S
皿 皿	45-1404-B
盂	45-1469-S
盂 盂	45-1469-B
盂县	45-1504-S
盂縣 盂县	45-1504-B
盃	45-1557-S
盃 盃	45-1557-B
盅	45-1614-S
盅 盅	45-1614-B
盆	45-1642-S
盆 盆	45-1642-B
盆地	45-1722-S
盆地 盆地	45-1722-B
盆景	45-1804-S
盆景 盆景	45-1804-B
盆栽	45-1864-S
盆栽 盆栽	45-1864-B
盆浴	45-1937-S
盆浴 盆浴	45-1937-B
盆腔	45-1977-S
盆腔 盆腔	45-1977-B
盈	45-2042-S
盈 盈	45-2042-B
盈亏	45-2272-S
盈亏自负	45-2340-S
盈余	45-2507-S
盈凸月	45-2085-S
盈凸月 盈凸月	45-2085-B
盈利	45-2159-S
盈利 盈利	45-2159-B
盈江	45-2204-S
盈江 盈江	45-2204-B
盈虧 盈亏	45-2272-B
盈虧自負 盈亏自负	45-2340-B
盈餘 盈余	45-2507-B
益	45-2555-S
益 益	45-2555-B
益发	45-2669-S
益处	45-2750-S
益民	45-2593-S
益民 益民	45-2593-B
益發 益发	45-2669-B
益處 益处	45-2750-B
益阳	45-2789-S
益阳地区	45-2860-S
益阳市	45-2953-S
益陽 益阳	45-2789-B
益陽地區 益阳地区	45-2860-B
益陽市 益阳市	45-2953-B
盋	45-3035-S
盋 盋	45-3035-B
盍	45-3083-S
盍 盍	45-3083-B
盎	45-3112-S
盎 盎	45-3112-B
盎司	45-3157-S
盎司 盎司	45-3157-B
盎格魯 盎格鲁	45-3195-B
盎格魯撒克遜 盎格鲁撒克逊	45-3244-B
盎格魯薩克遜 盎格鲁萨克逊	45-3338-B
盎格鲁	45-3195-S
盎格鲁撒克逊	45-3244-S
盎格鲁萨克逊	45-3338-S
盎然	45-3423-S
盎然 盎然	45-3423-B
盏	45-6830-S
盐	71-6457-S
盐井	71-6484-S
盐亭	71-6547-S
盐卤	71-7946-S
盐城	71-6612-S
盐城市	71-6689-S
盐埔乡	71-6777-S
盐埕区	71-6852-S
盐山	71-6927-S
盐水镇	71-6990-S
盐池	71-7065-S
盐池县	71-7133-S
盐津	71-7203-S
盐湖城	71-7265-S
盐源	71-7325-S
盐滩	71-7390-S
盐田	71-7444-S,71-7486-S
盐田区	71-7564-S
盐碱	71-7984-S
盐碱地	71-8046-S
盐碱湿地	71-8102-S
盐边	71-7652-S
盐酸	71-7717-S
盐酸克仑特罗	71-7773-S
盐酸盐	71-7870-S
监	45-8806-S,45-8888-S
监利	45-8922-S
监制	45-10003-S
监听	45-9932-S
监察	45-8983-S
监察院	45-9030-S
监工	45-9089-S
监护	45-10231-S
监护人	45-10285-S
监押	45-9155-S
监控	45-9207-S
监测	45-9253-S
监牢	45-9294-S
监狱	45-9371-S
监督	45-9411-S
监督人	45-9479-S
监督者	45-9538-S
监票	45-9592-S
监禁	45-9651-S
监管	45-9726-S
监考	45-9841-S
监视	45-10098-S
监视居住	45-10151-S
盒	45-3492-S
盒 盒	45-3492-B
盒子	45-3528-S
盒子 盒子	45-3528-B
盒带	45-3563-S
盒帶 盒带	45-3563-B
盒式录音磁带	45-3657-S
盒式錄音磁帶 盒式录音磁带	45-3657-B
盒飯 盒饭	45-3745-B
盒饭	45-3745-S
盔	45-3814-S
盔 盔	45-3814-B
盔甲	45-3843-S
盔甲 盔甲	45-3843-B
盖	55-4968-S,55-5020-S
盖世	55-5052-S
盖世太保	55-5106-S
盖儿	55-5169-S
盖印	55-5210-S
盖县	55-6238-S
盖子	55-5259-S
盖尔	55-6079-S
盖尔语	55-6118-S
盖层	55-5306-S
盖州	55-5349-S
盖州市	55-5434-S
盖帽	55-5530-S
盖棺定论	55-5582-S
盖棺论定	55-5802-S
盖然性	55-6022-S
盖章	55-6178-S
盖茨	55-6295-S
盖菜	55-6453-S
盖革计数器	55-6499-S
盖饭	55-6576-S
盗	45-6418-S
盗匪	45-6480-S
盗取	45-3882-S
盗取 盗取	45-3882-B
盗版	45-6520-S
盗版者	45-6608-S
盗窃	45-6668-S
盗贼	45-6707-S
盗龙	45-6748-S
盘	45-10338-S
盘古	45-10437-S
盘古氏	45-10522-S
盘头	45-12524-S
盘子	45-10685-S
盘尼西林	45-10732-S
盘山	45-10796-S,45-10854-S
盘山县	45-10927-S
盘弄	45-11012-S
盘旋	45-11086-S
盘曲	45-11171-S
盘根错节	45-11370-S
盘根问底	45-11228-S
盘梯	45-11542-S
盘盘	45-11591-S
盘石	45-11645-S
盘符	45-11686-S
盘算	45-11783-S
盘绕	45-11848-S
盘腿	45-11933-S
盘诘	45-11986-S
盘踞	45-12041-S
盘锦	45-12136-S
盘锦市	45-12258-S
盘问	45-10618-S
盘陀	45-12391-S
盘陀路	45-12453-S
盘龙卧虎	45-12600-S
盚	45-3949-S
盚 盚	45-3949-B
盛	45-3983-S,45-4055-S
盛 盛	45-3983-B,45-4055-B
盛世	45-4138-S
盛世 盛世	45-4138-B
盛举	45-5863-S
盛事	45-4228-S
盛事 盛事	45-4228-B
盛产	45-5689-S
盛京	45-4278-S
盛京 盛京	45-4278-B
盛会	45-5255-S
盛传	45-4384-S
盛傳 盛传	45-4384-B
盛典	45-4503-S
盛典 盛典	45-4503-B
盛况	45-5637-S
盛名	45-4568-S
盛名 盛名	45-4568-B
盛大	45-4622-S
盛大 盛大	45-4622-B
盛妆	45-4732-S
盛妝 盛妆	45-4732-B
盛季	45-4798-S
盛季 盛季	45-4798-B
盛宴	45-4865-S
盛宴 盛宴	45-4865-B
盛年	45-4906-S
盛年 盛年	45-4906-B
盛开	45-6298-S
盛德	45-4966-S
盛德 盛德	45-4966-B
盛怒	45-5056-S
盛怒 盛怒	45-5056-B
盛情	45-5111-S
盛情 盛情	45-5111-B
盛景	45-5186-S
盛景 盛景	45-5186-B
盛會 盛会	45-5255-B
盛服	45-5320-S
盛服 盛服	45-5320-B
盛极一时	45-5370-S
盛極一時 盛极一时	45-5370-B
盛气	45-5482-S
盛气凌人	45-5553-S
盛氣 盛气	45-5482-B
盛氣凌人 盛气凌人	45-5553-B
盛況 盛况	45-5637-B
盛產 盛产	45-5689-B
盛称	45-5789-S
